timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,237.85
2016-01-01 01:00:00,2016-01-01 01:00:00,221.25
2016-01-01 02:00:00,2016-01-01 02:00:00,222.5
2016-01-01 03:00:00,2016-01-01 03:00:00,221.4
2016-01-01 04:00:00,2016-01-01 04:00:00,224.25
2016-01-01 05:00:00,2016-01-01 05:00:00,241.262
2016-01-01 06:00:00,2016-01-01 06:00:00,261.3
2016-01-01 07:00:00,2016-01-01 07:00:00,481.45
2016-01-01 08:00:00,2016-01-01 08:00:00,477.4
2016-01-01 09:00:00,2016-01-01 09:00:00,485.4
2016-01-01 10:00:00,2016-01-01 10:00:00,517.6
2016-01-01 11:00:00,2016-01-01 11:00:00,564.75
2016-01-01 12:00:00,2016-01-01 12:00:00,576.4
2016-01-01 13:00:00,2016-01-01 13:00:00,610.25
2016-01-01 14:00:00,2016-01-01 14:00:00,622.35
2016-01-01 15:00:00,2016-01-01 15:00:00,708.75
2016-01-01 16:00:00,2016-01-01 16:00:00,797.55
2016-01-01 17:00:00,2016-01-01 17:00:00,816.75
2016-01-01 18:00:00,2016-01-01 18:00:00,910.4
2016-01-01 19:00:00,2016-01-01 19:00:00,884.9
2016-01-01 20:00:00,2016-01-01 20:00:00,883.35
2016-01-01 21:00:00,2016-01-01 21:00:00,881.05
2016-01-01 22:00:00,2016-01-01 22:00:00,555.6
2016-01-01 23:00:00,2016-01-01 23:00:00,404.4
2016-01-02 00:00:00,2016-01-02 00:00:00,371.9
2016-01-02 01:00:00,2016-01-02 01:00:00,357.1503
2016-01-02 02:00:00,2016-01-02 02:00:00,356.15
2016-01-02 03:00:00,2016-01-02 03:00:00,358.3
2016-01-02 04:00:00,2016-01-02 04:00:00,317.55
2016-01-02 05:00:00,2016-01-02 05:00:00,235.45
2016-01-02 06:00:00,2016-01-02 06:00:00,269.95
2016-01-02 07:00:00,2016-01-02 07:00:00,299.5
2016-01-02 08:00:00,2016-01-02 08:00:00,291.4
2016-01-02 09:00:00,2016-01-02 09:00:00,306.15
2016-01-02 10:00:00,2016-01-02 10:00:00,415.3
2016-01-02 11:00:00,2016-01-02 11:00:00,421.6
2016-01-02 12:00:00,2016-01-02 12:00:00,426.5
2016-01-02 13:00:00,2016-01-02 13:00:00,445.15
2016-01-02 14:00:00,2016-01-02 14:00:00,506.55
2016-01-02 15:00:00,2016-01-02 15:00:00,504.75
2016-01-02 16:00:00,2016-01-02 16:00:00,503.9
2016-01-02 17:00:00,2016-01-02 17:00:00,516.5
2016-01-02 18:00:00,2016-01-02 18:00:00,495.75
2016-01-02 19:00:00,2016-01-02 19:00:00,476.65
2016-01-02 20:00:00,2016-01-02 20:00:00,460.7
2016-01-02 21:00:00,2016-01-02 21:00:00,437.85
2016-01-02 22:00:00,2016-01-02 22:00:00,242.05
2016-01-02 23:00:00,2016-01-02 23:00:00,234.25
2016-01-03 00:00:00,2016-01-03 00:00:00,227.4
2016-01-03 01:00:00,2016-01-03 01:00:00,222.25
2016-01-03 02:00:00,2016-01-03 02:00:00,223.1
2016-01-03 03:00:00,2016-01-03 03:00:00,222.7
2016-01-03 04:00:00,2016-01-03 04:00:00,226.45
2016-01-03 05:00:00,2016-01-03 05:00:00,337.95
2016-01-03 06:00:00,2016-01-03 06:00:00,395.75
2016-01-03 07:00:00,2016-01-03 07:00:00,435.25
2016-01-03 08:00:00,2016-01-03 08:00:00,695.55
2016-01-03 09:00:00,2016-01-03 09:00:00,685.6
2016-01-03 10:00:00,2016-01-03 10:00:00,766.05
2016-01-03 11:00:00,2016-01-03 11:00:00,771.7
2016-01-03 12:00:00,2016-01-03 12:00:00,789.0
2016-01-03 13:00:00,2016-01-03 13:00:00,829.9
2016-01-03 14:00:00,2016-01-03 14:00:00,870.75
2016-01-03 15:00:00,2016-01-03 15:00:00,834.0
2016-01-03 16:00:00,2016-01-03 16:00:00,860.6
2016-01-03 17:00:00,2016-01-03 17:00:00,910.45
2016-01-03 18:00:00,2016-01-03 18:00:00,899.35
2016-01-03 19:00:00,2016-01-03 19:00:00,855.45
2016-01-03 20:00:00,2016-01-03 20:00:00,769.15
2016-01-03 21:00:00,2016-01-03 21:00:00,473.15
2016-01-03 22:00:00,2016-01-03 22:00:00,386.85
2016-01-03 23:00:00,2016-01-03 23:00:00,383.25
2016-01-04 00:00:00,2016-01-04 00:00:00,362.6
2016-01-04 01:00:00,2016-01-04 01:00:00,226.45
2016-01-04 02:00:00,2016-01-04 02:00:00,226.05
2016-01-04 03:00:00,2016-01-04 03:00:00,227.75
2016-01-04 04:00:00,2016-01-04 04:00:00,229.65
2016-01-04 05:00:00,2016-01-04 05:00:00,293.25
2016-01-04 06:00:00,2016-01-04 06:00:00,363.95
2016-01-04 07:00:00,2016-01-04 07:00:00,568.8
2016-01-04 08:00:00,2016-01-04 08:00:00,762.95
2016-01-04 09:00:00,2016-01-04 09:00:00,773.1
2016-01-04 10:00:00,2016-01-04 10:00:00,782.0
2016-01-04 11:00:00,2016-01-04 11:00:00,787.65
2016-01-04 12:00:00,2016-01-04 12:00:00,755.9
2016-01-04 13:00:00,2016-01-04 13:00:00,731.05
2016-01-04 14:00:00,2016-01-04 14:00:00,794.2
2016-01-04 15:00:00,2016-01-04 15:00:00,796.9258
2016-01-04 16:00:00,2016-01-04 16:00:00,801.35
2016-01-04 17:00:00,2016-01-04 17:00:00,792.9
2016-01-04 18:00:00,2016-01-04 18:00:00,774.15
2016-01-04 19:00:00,2016-01-04 19:00:00,521.9
2016-01-04 20:00:00,2016-01-04 20:00:00,340.65
2016-01-04 21:00:00,2016-01-04 21:00:00,344.0
2016-01-04 22:00:00,2016-01-04 22:00:00,324.2
2016-01-04 23:00:00,2016-01-04 23:00:00,278.95
2016-01-05 00:00:00,2016-01-05 00:00:00,236.0
2016-01-05 01:00:00,2016-01-05 01:00:00,219.9
2016-01-05 02:00:00,2016-01-05 02:00:00,220.1
2016-01-05 03:00:00,2016-01-05 03:00:00,219.0
2016-01-05 04:00:00,2016-01-05 04:00:00,221.1
2016-01-05 05:00:00,2016-01-05 05:00:00,341.45
2016-01-05 06:00:00,2016-01-05 06:00:00,359.75
2016-01-05 07:00:00,2016-01-05 07:00:00,559.8
2016-01-05 08:00:00,2016-01-05 08:00:00,578.75
2016-01-05 09:00:00,2016-01-05 09:00:00,592.95
2016-01-05 10:00:00,2016-01-05 10:00:00,722.7
2016-01-05 11:00:00,2016-01-05 11:00:00,784.75
2016-01-05 12:00:00,2016-01-05 12:00:00,790.75
2016-01-05 13:00:00,2016-01-05 13:00:00,787.55
2016-01-05 14:00:00,2016-01-05 14:00:00,783.55
2016-01-05 15:00:00,2016-01-05 15:00:00,799.25
2016-01-05 16:00:00,2016-01-05 16:00:00,810.3
2016-01-05 17:00:00,2016-01-05 17:00:00,793.25
2016-01-05 18:00:00,2016-01-05 18:00:00,774.5
2016-01-05 19:00:00,2016-01-05 19:00:00,522.2
2016-01-05 20:00:00,2016-01-05 20:00:00,312.1585
2016-01-05 21:00:00,2016-01-05 21:00:00,281.95
2016-01-05 22:00:00,2016-01-05 22:00:00,256.65
2016-01-05 23:00:00,2016-01-05 23:00:00,244.5
2016-01-06 00:00:00,2016-01-06 00:00:00,233.25
2016-01-06 01:00:00,2016-01-06 01:00:00,222.55
2016-01-06 02:00:00,2016-01-06 02:00:00,219.35
2016-01-06 03:00:00,2016-01-06 03:00:00,217.3
2016-01-06 04:00:00,2016-01-06 04:00:00,221.0
2016-01-06 05:00:00,2016-01-06 05:00:00,320.4607
