timestamp,timestamp,meter_reading
2016-08-09 13:00:00,2016-08-09 13:00:00,10.609
2016-08-11 00:00:00,2016-08-11 00:00:00,5.589
2016-08-11 10:00:00,2016-08-11 10:00:00,12.322
2016-08-11 13:00:00,2016-08-11 13:00:00,11.0571
2016-08-12 07:00:00,2016-08-12 07:00:00,6.476
2016-08-12 10:00:00,2016-08-12 10:00:00,11.336
2016-08-12 22:00:00,2016-08-12 22:00:00,5.028
2016-08-13 00:00:00,2016-08-13 00:00:00,5.111
2016-08-13 02:00:00,2016-08-13 02:00:00,3.961
2016-08-13 09:00:00,2016-08-13 09:00:00,6.0348
2016-08-13 21:00:00,2016-08-13 21:00:00,5.376
2016-08-13 22:00:00,2016-08-13 22:00:00,5.182
2016-08-13 23:00:00,2016-08-13 23:00:00,4.635
2016-08-14 00:00:00,2016-08-14 00:00:00,4.441
2016-08-14 01:00:00,2016-08-14 01:00:00,4.164
2016-08-14 06:00:00,2016-08-14 06:00:00,5.8177
2016-08-14 08:00:00,2016-08-14 08:00:00,6.076
2016-08-14 09:00:00,2016-08-14 09:00:00,6.137
2016-08-14 17:00:00,2016-08-14 17:00:00,6.146
2016-08-14 22:00:00,2016-08-14 22:00:00,5.112
2016-08-15 10:00:00,2016-08-15 10:00:00,11.896
2016-08-15 23:00:00,2016-08-15 23:00:00,5.393
2016-08-16 00:00:00,2016-08-16 00:00:00,5.262
2016-08-16 07:00:00,2016-08-16 07:00:00,6.54
2016-08-17 10:00:00,2016-08-17 10:00:00,13.136
2016-08-17 11:00:00,2016-08-17 11:00:00,12.259
2016-08-17 12:00:00,2016-08-17 12:00:00,10.864
2016-08-17 13:00:00,2016-08-17 13:00:00,12.474
2016-08-17 14:00:00,2016-08-17 14:00:00,11.92
2016-08-17 15:00:00,2016-08-17 15:00:00,10.785
2016-08-17 16:00:00,2016-08-17 16:00:00,11.541
2016-08-17 17:00:00,2016-08-17 17:00:00,8.079
2016-08-17 18:00:00,2016-08-17 18:00:00,5.988
2016-08-17 19:00:00,2016-08-17 19:00:00,6.301
2016-08-17 20:00:00,2016-08-17 20:00:00,6.592
2016-08-17 21:00:00,2016-08-17 21:00:00,5.81
2016-08-17 22:00:00,2016-08-17 22:00:00,5.35
2016-08-17 23:00:00,2016-08-17 23:00:00,6.19
2016-08-18 00:00:00,2016-08-18 00:00:00,5.197
2016-08-18 01:00:00,2016-08-18 01:00:00,4.517
2016-08-18 02:00:00,2016-08-18 02:00:00,4.436
2016-08-18 03:00:00,2016-08-18 03:00:00,4.234
2016-08-18 04:00:00,2016-08-18 04:00:00,3.922
2016-08-18 05:00:00,2016-08-18 05:00:00,4.2736
