timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,98.336
2016-01-01 01:00:00,2016-01-01 01:00:00,94.512
2016-01-01 02:00:00,2016-01-01 02:00:00,97.056
2016-01-01 03:00:00,2016-01-01 03:00:00,96.544
2016-01-01 04:00:00,2016-01-01 04:00:00,96.736
2016-01-01 05:00:00,2016-01-01 05:00:00,94.2464
2016-01-01 06:00:00,2016-01-01 06:00:00,93.408
2016-01-01 07:00:00,2016-01-01 07:00:00,114.096
2016-01-01 08:00:00,2016-01-01 08:00:00,123.6
2016-01-01 09:00:00,2016-01-01 09:00:00,120.88
2016-01-01 10:00:00,2016-01-01 10:00:00,133.616
2016-01-01 11:00:00,2016-01-01 11:00:00,130.112
2016-01-01 12:00:00,2016-01-01 12:00:00,131.056
2016-01-01 13:00:00,2016-01-01 13:00:00,133.888
2016-01-01 14:00:00,2016-01-01 14:00:00,132.544
2016-01-01 15:00:00,2016-01-01 15:00:00,133.056
2016-01-01 16:00:00,2016-01-01 16:00:00,133.232
2016-01-01 17:00:00,2016-01-01 17:00:00,131.04
2016-01-01 18:00:00,2016-01-01 18:00:00,126.704
2016-01-01 19:00:00,2016-01-01 19:00:00,128.048
2016-01-01 20:00:00,2016-01-01 20:00:00,127.072
2016-01-01 21:00:00,2016-01-01 21:00:00,128.96
2016-01-01 22:00:00,2016-01-01 22:00:00,101.424
2016-01-01 23:00:00,2016-01-01 23:00:00,99.328
2016-01-02 00:00:00,2016-01-02 00:00:00,94.544
2016-01-02 01:00:00,2016-01-02 01:00:00,100.08
2016-01-02 02:00:00,2016-01-02 02:00:00,95.952
2016-01-02 03:00:00,2016-01-02 03:00:00,100.592
2016-01-02 04:00:00,2016-01-02 04:00:00,94.256
2016-01-02 05:00:00,2016-01-02 05:00:00,97.552
2016-01-02 06:00:00,2016-01-02 06:00:00,98.0
2016-01-02 07:00:00,2016-01-02 07:00:00,100.24
2016-01-02 08:00:00,2016-01-02 08:00:00,96.352
2016-01-02 09:00:00,2016-01-02 09:00:00,100.448
2016-01-02 10:00:00,2016-01-02 10:00:00,93.6
2016-01-02 11:00:00,2016-01-02 11:00:00,95.408
2016-01-02 12:00:00,2016-01-02 12:00:00,95.616
2016-01-02 13:00:00,2016-01-02 13:00:00,101.968
2016-01-02 14:00:00,2016-01-02 14:00:00,100.64
2016-01-02 15:00:00,2016-01-02 15:00:00,100.816
2016-01-02 16:00:00,2016-01-02 16:00:00,97.536
2016-01-02 17:00:00,2016-01-02 17:00:00,99.968
2016-01-02 18:00:00,2016-01-02 18:00:00,100.736
2016-01-02 19:00:00,2016-01-02 19:00:00,95.632
2016-01-02 20:00:00,2016-01-02 20:00:00,98.784
2016-01-02 21:00:00,2016-01-02 21:00:00,96.624
2016-01-02 22:00:00,2016-01-02 22:00:00,97.408
2016-01-02 23:00:00,2016-01-02 23:00:00,93.504
2016-01-03 00:00:00,2016-01-03 00:00:00,92.96
2016-01-03 01:00:00,2016-01-03 01:00:00,96.384
2016-01-03 02:00:00,2016-01-03 02:00:00,97.12
2016-01-03 03:00:00,2016-01-03 03:00:00,95.328
2016-01-03 04:00:00,2016-01-03 04:00:00,98.448
2016-01-03 05:00:00,2016-01-03 05:00:00,94.96
2016-01-03 06:00:00,2016-01-03 06:00:00,97.488
2016-01-03 07:00:00,2016-01-03 07:00:00,98.592
2016-01-03 08:00:00,2016-01-03 08:00:00,94.96
2016-01-03 09:00:00,2016-01-03 09:00:00,104.528
2016-01-03 10:00:00,2016-01-03 10:00:00,108.768
2016-01-03 11:00:00,2016-01-03 11:00:00,102.48
2016-01-03 12:00:00,2016-01-03 12:00:00,111.808
2016-01-03 13:00:00,2016-01-03 13:00:00,104.352
2016-01-03 14:00:00,2016-01-03 14:00:00,112.176
2016-01-03 15:00:00,2016-01-03 15:00:00,103.184
2016-01-03 16:00:00,2016-01-03 16:00:00,111.872
2016-01-03 17:00:00,2016-01-03 17:00:00,105.008
2016-01-03 18:00:00,2016-01-03 18:00:00,112.608
2016-01-03 19:00:00,2016-01-03 19:00:00,104.64
2016-01-03 20:00:00,2016-01-03 20:00:00,107.664
2016-01-03 21:00:00,2016-01-03 21:00:00,105.568
2016-01-03 22:00:00,2016-01-03 22:00:00,106.896
2016-01-03 23:00:00,2016-01-03 23:00:00,105.408
2016-01-04 00:00:00,2016-01-04 00:00:00,106.416
2016-01-04 01:00:00,2016-01-04 01:00:00,104.992
2016-01-04 02:00:00,2016-01-04 02:00:00,107.232
2016-01-04 03:00:00,2016-01-04 03:00:00,106.288
2016-01-04 04:00:00,2016-01-04 04:00:00,105.76
2016-01-04 05:00:00,2016-01-04 05:00:00,140.768
2016-01-04 06:00:00,2016-01-04 06:00:00,141.296
2016-01-04 07:00:00,2016-01-04 07:00:00,162.128
2016-01-04 08:00:00,2016-01-04 08:00:00,175.792
2016-01-04 09:00:00,2016-01-04 09:00:00,187.552
2016-01-04 10:00:00,2016-01-04 10:00:00,193.824
2016-01-04 11:00:00,2016-01-04 11:00:00,195.696
2016-01-04 12:00:00,2016-01-04 12:00:00,196.112
2016-01-04 13:00:00,2016-01-04 13:00:00,199.808
2016-01-04 14:00:00,2016-01-04 14:00:00,197.536
2016-01-04 15:00:00,2016-01-04 15:00:00,201.344
2016-01-04 16:00:00,2016-01-04 16:00:00,196.976
2016-01-04 17:00:00,2016-01-04 17:00:00,178.992
2016-01-04 18:00:00,2016-01-04 18:00:00,170.496
2016-01-04 19:00:00,2016-01-04 19:00:00,165.456
2016-01-04 20:00:00,2016-01-04 20:00:00,155.2
2016-01-04 21:00:00,2016-01-04 21:00:00,133.568
2016-01-04 22:00:00,2016-01-04 22:00:00,110.0
2016-01-04 23:00:00,2016-01-04 23:00:00,113.376
2016-01-05 00:00:00,2016-01-05 00:00:00,103.056
2016-01-05 01:00:00,2016-01-05 01:00:00,109.616
2016-01-05 02:00:00,2016-01-05 02:00:00,101.952
2016-01-05 03:00:00,2016-01-05 03:00:00,100.128
2016-01-05 04:00:00,2016-01-05 04:00:00,104.56
2016-01-05 05:00:00,2016-01-05 05:00:00,141.088
2016-01-05 06:00:00,2016-01-05 06:00:00,137.648
2016-01-05 07:00:00,2016-01-05 07:00:00,153.424
2016-01-05 08:00:00,2016-01-05 08:00:00,166.128
2016-01-05 09:00:00,2016-01-05 09:00:00,180.8
2016-01-05 10:00:00,2016-01-05 10:00:00,190.848
2016-01-05 11:00:00,2016-01-05 11:00:00,232.96
2016-01-05 12:00:00,2016-01-05 12:00:00,239.968
2016-01-05 13:00:00,2016-01-05 13:00:00,238.176
2016-01-05 14:00:00,2016-01-05 14:00:00,242.832
2016-01-05 15:00:00,2016-01-05 15:00:00,246.352
2016-01-05 16:00:00,2016-01-05 16:00:00,201.712
2016-01-05 17:00:00,2016-01-05 17:00:00,175.744
2016-01-05 18:00:00,2016-01-05 18:00:00,167.344
2016-01-05 19:00:00,2016-01-05 19:00:00,166.272
2016-01-05 20:00:00,2016-01-05 20:00:00,157.248
2016-01-05 21:00:00,2016-01-05 21:00:00,118.384
2016-01-05 22:00:00,2016-01-05 22:00:00,113.744
2016-01-05 23:00:00,2016-01-05 23:00:00,105.872
2016-01-06 00:00:00,2016-01-06 00:00:00,113.552
2016-01-06 01:00:00,2016-01-06 01:00:00,104.752
2016-01-06 02:00:00,2016-01-06 02:00:00,114.624
2016-01-06 03:00:00,2016-01-06 03:00:00,104.304
2016-01-06 04:00:00,2016-01-06 04:00:00,113.68
2016-01-06 05:00:00,2016-01-06 05:00:00,146.512
2016-01-06 06:00:00,2016-01-06 06:00:00,139.648
2016-01-06 07:00:00,2016-01-06 07:00:00,163.584
2016-01-06 08:00:00,2016-01-06 08:00:00,176.688
2016-01-06 09:00:00,2016-01-06 09:00:00,183.984
2016-01-06 10:00:00,2016-01-06 10:00:00,238.336
2016-01-06 11:00:00,2016-01-06 11:00:00,243.552
2016-01-06 12:00:00,2016-01-06 12:00:00,240.88
2016-01-06 13:00:00,2016-01-06 13:00:00,244.528
2016-01-06 14:00:00,2016-01-06 14:00:00,242.112
2016-01-06 15:00:00,2016-01-06 15:00:00,248.848
2016-01-06 16:00:00,2016-01-06 16:00:00,194.208
2016-01-06 17:00:00,2016-01-06 17:00:00,181.52
2016-01-06 18:00:00,2016-01-06 18:00:00,168.8
2016-01-06 19:00:00,2016-01-06 19:00:00,166.704
2016-01-06 20:00:00,2016-01-06 20:00:00,155.52
2016-01-06 21:00:00,2016-01-06 21:00:00,131.12
2016-01-06 22:00:00,2016-01-06 22:00:00,111.568
2016-01-06 23:00:00,2016-01-06 23:00:00,114.448
2016-01-07 00:00:00,2016-01-07 00:00:00,111.664
2016-01-07 01:00:00,2016-01-07 01:00:00,110.128
2016-01-07 02:00:00,2016-01-07 02:00:00,108.432
2016-01-07 03:00:00,2016-01-07 03:00:00,111.712
2016-01-07 04:00:00,2016-01-07 04:00:00,106.288
2016-01-07 05:00:00,2016-01-07 05:00:00,153.36
2016-01-07 06:00:00,2016-01-07 06:00:00,140.32
2016-01-07 07:00:00,2016-01-07 07:00:00,164.8
2016-01-07 08:00:00,2016-01-07 08:00:00,218.576
2016-01-07 09:00:00,2016-01-07 09:00:00,249.12
2016-01-07 10:00:00,2016-01-07 10:00:00,252.128
2016-01-07 11:00:00,2016-01-07 11:00:00,253.76
2016-01-07 12:00:00,2016-01-07 12:00:00,247.712
2016-01-07 13:00:00,2016-01-07 13:00:00,232.16
2016-01-07 14:00:00,2016-01-07 14:00:00,194.976
2016-01-07 15:00:00,2016-01-07 15:00:00,197.12
2016-01-07 16:00:00,2016-01-07 16:00:00,190.64
2016-01-07 17:00:00,2016-01-07 17:00:00,180.128
2016-01-07 18:00:00,2016-01-07 18:00:00,166.4
2016-01-07 19:00:00,2016-01-07 19:00:00,167.024
2016-01-07 20:00:00,2016-01-07 20:00:00,159.504
2016-01-07 21:00:00,2016-01-07 21:00:00,131.2
2016-01-07 22:00:00,2016-01-07 22:00:00,105.856
2016-01-07 23:00:00,2016-01-07 23:00:00,105.504
2016-01-08 00:00:00,2016-01-08 00:00:00,109.648
2016-01-08 01:00:00,2016-01-08 01:00:00,107.28
2016-01-08 02:00:00,2016-01-08 02:00:00,102.704
2016-01-08 03:00:00,2016-01-08 03:00:00,101.264
2016-01-08 04:00:00,2016-01-08 04:00:00,104.832
2016-01-08 05:00:00,2016-01-08 05:00:00,143.056
2016-01-08 06:00:00,2016-01-08 06:00:00,142.304
2016-01-08 07:00:00,2016-01-08 07:00:00,167.168
2016-01-08 08:00:00,2016-01-08 08:00:00,180.736
2016-01-08 09:00:00,2016-01-08 09:00:00,190.768
2016-01-08 10:00:00,2016-01-08 10:00:00,196.4
2016-01-08 11:00:00,2016-01-08 11:00:00,199.072
2016-01-08 12:00:00,2016-01-08 12:00:00,199.04
2016-01-08 13:00:00,2016-01-08 13:00:00,199.408
2016-01-08 14:00:00,2016-01-08 14:00:00,198.608
2016-01-08 15:00:00,2016-01-08 15:00:00,197.872
2016-01-08 16:00:00,2016-01-08 16:00:00,195.424
2016-01-08 17:00:00,2016-01-08 17:00:00,178.128
2016-01-08 18:00:00,2016-01-08 18:00:00,167.104
2016-01-08 19:00:00,2016-01-08 19:00:00,162.336
2016-01-08 20:00:00,2016-01-08 20:00:00,155.248
2016-01-08 21:00:00,2016-01-08 21:00:00,128.256
2016-01-08 22:00:00,2016-01-08 22:00:00,100.816
2016-01-08 23:00:00,2016-01-08 23:00:00,103.616
2016-01-09 00:00:00,2016-01-09 00:00:00,99.12
2016-01-09 01:00:00,2016-01-09 01:00:00,101.072
2016-01-09 02:00:00,2016-01-09 02:00:00,99.792
2016-01-09 03:00:00,2016-01-09 03:00:00,102.304
2016-01-09 04:00:00,2016-01-09 04:00:00,105.536
2016-01-09 05:00:00,2016-01-09 05:00:00,99.248
2016-01-09 06:00:00,2016-01-09 06:00:00,106.464
2016-01-09 07:00:00,2016-01-09 07:00:00,95.232
2016-01-09 08:00:00,2016-01-09 08:00:00,102.224
2016-01-09 09:00:00,2016-01-09 09:00:00,99.952
2016-01-09 10:00:00,2016-01-09 10:00:00,102.496
2016-01-09 11:00:00,2016-01-09 11:00:00,108.096
2016-01-09 12:00:00,2016-01-09 12:00:00,104.912
2016-01-09 13:00:00,2016-01-09 13:00:00,102.096
2016-01-09 14:00:00,2016-01-09 14:00:00,102.5024
2016-01-09 15:00:00,2016-01-09 15:00:00,105.28
2016-01-09 16:00:00,2016-01-09 16:00:00,109.216
2016-01-09 17:00:00,2016-01-09 17:00:00,100.992
2016-01-09 18:00:00,2016-01-09 18:00:00,102.4
2016-01-09 19:00:00,2016-01-09 19:00:00,101.056
2016-01-09 20:00:00,2016-01-09 20:00:00,103.36
2016-01-09 21:00:00,2016-01-09 21:00:00,109.008
2016-01-09 22:00:00,2016-01-09 22:00:00,98.72
2016-01-09 23:00:00,2016-01-09 23:00:00,98.048
2016-01-10 00:00:00,2016-01-10 00:00:00,100.3264
2016-01-10 01:00:00,2016-01-10 01:00:00,100.688
2016-01-10 02:00:00,2016-01-10 02:00:00,98.304
2016-01-10 03:00:00,2016-01-10 03:00:00,102.8
2016-01-10 04:00:00,2016-01-10 04:00:00,98.992
2016-01-10 05:00:00,2016-01-10 05:00:00,98.464
2016-01-10 06:00:00,2016-01-10 06:00:00,99.456
2016-01-10 07:00:00,2016-01-10 07:00:00,101.936
2016-01-10 08:00:00,2016-01-10 08:00:00,98.512
2016-01-10 09:00:00,2016-01-10 09:00:00,103.504
2016-01-10 10:00:00,2016-01-10 10:00:00,100.144
2016-01-10 11:00:00,2016-01-10 11:00:00,103.136
2016-01-10 12:00:00,2016-01-10 12:00:00,106.64
2016-01-10 13:00:00,2016-01-10 13:00:00,101.536
2016-01-10 14:00:00,2016-01-10 14:00:00,106.976
2016-01-10 15:00:00,2016-01-10 15:00:00,104.256
2016-01-10 16:00:00,2016-01-10 16:00:00,107.648
2016-01-10 17:00:00,2016-01-10 17:00:00,108.384
2016-01-10 18:00:00,2016-01-10 18:00:00,102.464
2016-01-10 19:00:00,2016-01-10 19:00:00,98.112
