timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,146.0996
2016-01-01 01:00:00,2016-01-01 01:00:00,146.1086
2016-01-01 02:00:00,2016-01-01 02:00:00,146.885
2016-01-01 03:00:00,2016-01-01 03:00:00,150.5104
2016-01-01 04:00:00,2016-01-01 04:00:00,153.6493
2016-01-01 05:00:00,2016-01-01 05:00:00,149.6266
2016-01-01 06:00:00,2016-01-01 06:00:00,143.6105
2016-01-01 07:00:00,2016-01-01 07:00:00,144.3609
2016-01-01 08:00:00,2016-01-01 08:00:00,146.3558
2016-01-01 09:00:00,2016-01-01 09:00:00,145.8467
2016-01-01 10:00:00,2016-01-01 10:00:00,143.5993
2016-01-01 11:00:00,2016-01-01 11:00:00,147.8632
2016-01-01 12:00:00,2016-01-01 12:00:00,147.616
2016-01-01 13:00:00,2016-01-01 13:00:00,146.6257
2016-01-01 14:00:00,2016-01-01 14:00:00,147.3704
2016-01-01 15:00:00,2016-01-01 15:00:00,149.1165
2016-01-01 16:00:00,2016-01-01 16:00:00,150.8326
2016-01-01 17:00:00,2016-01-01 17:00:00,149.3079
2016-01-01 18:00:00,2016-01-01 18:00:00,149.8027
2016-01-01 19:00:00,2016-01-01 19:00:00,149.8219
2016-01-01 20:00:00,2016-01-01 20:00:00,149.0816
2016-01-01 21:00:00,2016-01-01 21:00:00,149.0952
2016-01-01 22:00:00,2016-01-01 22:00:00,149.1153
2016-01-01 23:00:00,2016-01-01 23:00:00,148.1482
2016-01-02 00:00:00,2016-01-02 00:00:00,149.6895
2016-01-02 01:00:00,2016-01-02 01:00:00,149.4507
2016-01-02 02:00:00,2016-01-02 02:00:00,149.4494
2016-01-02 03:00:00,2016-01-02 03:00:00,150.2101
2016-01-02 04:00:00,2016-01-02 04:00:00,148.6968
2016-01-02 05:00:00,2016-01-02 05:00:00,148.1854
2016-01-02 06:00:00,2016-01-02 06:00:00,146.6801
2016-01-02 07:00:00,2016-01-02 07:00:00,147.4168
2016-01-02 08:00:00,2016-01-02 08:00:00,148.1556
2016-01-02 09:00:00,2016-01-02 09:00:00,147.6421
2016-01-02 10:00:00,2016-01-02 10:00:00,147.6405
2016-01-02 11:00:00,2016-01-02 11:00:00,151.1433
