timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,5.35
2016-01-01 01:00:00,2016-01-01 01:00:00,5.375
2016-01-01 02:00:00,2016-01-01 02:00:00,5.4
2016-01-01 03:00:00,2016-01-01 03:00:00,5.45
2016-01-01 04:00:00,2016-01-01 04:00:00,5.45
2016-01-01 05:00:00,2016-01-01 05:00:00,5.45
2016-01-01 06:00:00,2016-01-01 06:00:00,5.35
2016-01-01 07:00:00,2016-01-01 07:00:00,4.4
2016-01-01 08:00:00,2016-01-01 08:00:00,2.5
2016-01-01 09:00:00,2016-01-01 09:00:00,4.85
2016-01-01 10:00:00,2016-01-01 10:00:00,5.275
2016-01-01 11:00:00,2016-01-01 11:00:00,4.75
2016-01-01 12:00:00,2016-01-01 12:00:00,4.4751
2016-01-01 13:00:00,2016-01-01 13:00:00,4.5
2016-01-01 14:00:00,2016-01-01 14:00:00,3.9
2016-01-01 15:00:00,2016-01-01 15:00:00,4.525
2016-01-01 16:00:00,2016-01-01 16:00:00,4.4
2016-01-01 17:00:00,2016-01-01 17:00:00,5.35
2016-01-01 18:00:00,2016-01-01 18:00:00,4.575
2016-01-01 19:00:00,2016-01-01 19:00:00,5.575
2016-01-01 20:00:00,2016-01-01 20:00:00,5.375
2016-01-01 21:00:00,2016-01-01 21:00:00,5.375
2016-01-01 22:00:00,2016-01-01 22:00:00,5.35
2016-01-01 23:00:00,2016-01-01 23:00:00,5.425
2016-01-02 00:00:00,2016-01-02 00:00:00,5.45
2016-01-02 01:00:00,2016-01-02 01:00:00,3.9258
2016-01-02 02:00:00,2016-01-02 02:00:00,5.4242
2016-01-02 03:00:00,2016-01-02 03:00:00,5.4
2016-01-02 04:00:00,2016-01-02 04:00:00,5.4
2016-01-02 05:00:00,2016-01-02 05:00:00,5.425
2016-01-02 06:00:00,2016-01-02 06:00:00,5.475
2016-01-02 07:00:00,2016-01-02 07:00:00,4.825
2016-01-02 08:00:00,2016-01-02 08:00:00,4.275
2016-01-02 09:00:00,2016-01-02 09:00:00,4.175
2016-01-02 10:00:00,2016-01-02 10:00:00,4.175
2016-01-02 11:00:00,2016-01-02 11:00:00,4.275
2016-01-02 12:00:00,2016-01-02 12:00:00,4.225
2016-01-02 13:00:00,2016-01-02 13:00:00,4.2001
2016-01-02 14:00:00,2016-01-02 14:00:00,4.2
2016-01-02 15:00:00,2016-01-02 15:00:00,4.125
2016-01-02 16:00:00,2016-01-02 16:00:00,4.225
2016-01-02 17:00:00,2016-01-02 17:00:00,5.75
2016-01-02 18:00:00,2016-01-02 18:00:00,5.625
2016-01-02 19:00:00,2016-01-02 19:00:00,6.2
2016-01-02 20:00:00,2016-01-02 20:00:00,6.125
2016-01-02 21:00:00,2016-01-02 21:00:00,6.075
2016-01-02 22:00:00,2016-01-02 22:00:00,6.4999
2016-01-02 23:00:00,2016-01-02 23:00:00,5.95
2016-01-03 00:00:00,2016-01-03 00:00:00,5.65
2016-01-03 01:00:00,2016-01-03 01:00:00,5.6
2016-01-03 02:00:00,2016-01-03 02:00:00,5.625
2016-01-03 03:00:00,2016-01-03 03:00:00,5.45
2016-01-03 04:00:00,2016-01-03 04:00:00,5.4
2016-01-03 05:00:00,2016-01-03 05:00:00,5.4
2016-01-03 06:00:00,2016-01-03 06:00:00,5.325
2016-01-03 07:00:00,2016-01-03 07:00:00,4.65
2016-01-03 08:00:00,2016-01-03 08:00:00,4.15
2016-01-03 09:00:00,2016-01-03 09:00:00,4.15
2016-01-03 10:00:00,2016-01-03 10:00:00,4.175
2016-01-03 11:00:00,2016-01-03 11:00:00,4.3
2016-01-03 12:00:00,2016-01-03 12:00:00,4.7999
2016-01-03 13:00:00,2016-01-03 13:00:00,5.2
2016-01-03 14:00:00,2016-01-03 14:00:00,6.6
2016-01-03 15:00:00,2016-01-03 15:00:00,4.2
2016-01-03 16:00:00,2016-01-03 16:00:00,4.375
2016-01-03 17:00:00,2016-01-03 17:00:00,5.85
2016-01-03 18:00:00,2016-01-03 18:00:00,5.85
2016-01-03 19:00:00,2016-01-03 19:00:00,6.65
2016-01-03 20:00:00,2016-01-03 20:00:00,6.3
2016-01-03 21:00:00,2016-01-03 21:00:00,6.0
2016-01-03 22:00:00,2016-01-03 22:00:00,5.9
2016-01-03 23:00:00,2016-01-03 23:00:00,5.975
2016-01-04 00:00:00,2016-01-04 00:00:00,5.925
2016-01-04 01:00:00,2016-01-04 01:00:00,5.875
2016-01-04 02:00:00,2016-01-04 02:00:00,5.775
2016-01-04 03:00:00,2016-01-04 03:00:00,5.675
2016-01-04 04:00:00,2016-01-04 04:00:00,5.6
2016-01-04 05:00:00,2016-01-04 05:00:00,5.55
2016-01-04 06:00:00,2016-01-04 06:00:00,5.375
2016-01-04 07:00:00,2016-01-04 07:00:00,4.675
2016-01-04 08:00:00,2016-01-04 08:00:00,4.225
2016-01-04 09:00:00,2016-01-04 09:00:00,4.275
2016-01-04 10:00:00,2016-01-04 10:00:00,4.325
2016-01-04 11:00:00,2016-01-04 11:00:00,4.55
2016-01-04 12:00:00,2016-01-04 12:00:00,4.525
