timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,46.892
2016-01-01 01:00:00,2016-01-01 01:00:00,47.392
2016-01-01 02:00:00,2016-01-01 02:00:00,47.49
2016-01-01 03:00:00,2016-01-01 03:00:00,46.788
2016-01-01 04:00:00,2016-01-01 04:00:00,45.884
2016-01-01 05:00:00,2016-01-01 05:00:00,47.892
2016-01-01 06:00:00,2016-01-01 06:00:00,47.392
2016-01-01 07:00:00,2016-01-01 07:00:00,44.99
2016-01-01 08:00:00,2016-01-01 08:00:00,40.792
2016-01-01 09:00:00,2016-01-01 09:00:00,41.79
2016-01-01 10:00:00,2016-01-01 10:00:00,41.792
2016-01-01 11:00:00,2016-01-01 11:00:00,41.788
2016-01-01 12:00:00,2016-01-01 12:00:00,41.888
2016-01-01 13:00:00,2016-01-01 13:00:00,42.284
2016-01-01 14:00:00,2016-01-01 14:00:00,40.888
2016-01-01 15:00:00,2016-01-01 15:00:00,41.888
2016-01-01 16:00:00,2016-01-01 16:00:00,43.092
2016-01-01 17:00:00,2016-01-01 17:00:00,45.792
2016-01-01 18:00:00,2016-01-01 18:00:00,45.892
2016-01-01 19:00:00,2016-01-01 19:00:00,47.792
2016-01-01 20:00:00,2016-01-01 20:00:00,47.192
2016-01-01 21:00:00,2016-01-01 21:00:00,46.392
2016-01-01 22:00:00,2016-01-01 22:00:00,46.39
2016-01-01 23:00:00,2016-01-01 23:00:00,47.16
2016-01-02 00:00:00,2016-01-02 00:00:00,47.684
2016-01-02 01:00:00,2016-01-02 01:00:00,47.988
2016-01-02 02:00:00,2016-01-02 02:00:00,46.186
2016-01-02 03:00:00,2016-01-02 03:00:00,46.984
2016-01-02 04:00:00,2016-01-02 04:00:00,47.386
2016-01-02 05:00:00,2016-01-02 05:00:00,47.486
2016-01-02 06:00:00,2016-01-02 06:00:00,46.284
2016-01-02 07:00:00,2016-01-02 07:00:00,45.786
2016-01-02 08:00:00,2016-01-02 08:00:00,42.784
2016-01-02 09:00:00,2016-01-02 09:00:00,41.986
2016-01-02 10:00:00,2016-01-02 10:00:00,42.684
2016-01-02 11:00:00,2016-01-02 11:00:00,41.384
2016-01-02 12:00:00,2016-01-02 12:00:00,40.886
2016-01-02 13:00:00,2016-01-02 13:00:00,41.684
2016-01-02 14:00:00,2016-01-02 14:00:00,41.384
2016-01-02 15:00:00,2016-01-02 15:00:00,40.486
2016-01-02 16:00:00,2016-01-02 16:00:00,41.588
2016-01-02 17:00:00,2016-01-02 17:00:00,46.692
2016-01-02 18:00:00,2016-01-02 18:00:00,46.992
2016-01-02 19:00:00,2016-01-02 19:00:00,46.792
2016-01-02 20:00:00,2016-01-02 20:00:00,45.592
2016-01-02 21:00:00,2016-01-02 21:00:00,46.992
2016-01-02 22:00:00,2016-01-02 22:00:00,46.992
2016-01-02 23:00:00,2016-01-02 23:00:00,46.186
2016-01-03 00:00:00,2016-01-03 00:00:00,45.592
2016-01-03 01:00:00,2016-01-03 01:00:00,47.284
2016-01-03 02:00:00,2016-01-03 02:00:00,47.286
2016-01-03 03:00:00,2016-01-03 03:00:00,46.588
2016-01-03 04:00:00,2016-01-03 04:00:00,45.384
2016-01-03 05:00:00,2016-01-03 05:00:00,48.088
2016-01-03 06:00:00,2016-01-03 06:00:00,46.884
2016-01-03 07:00:00,2016-01-03 07:00:00,44.686
2016-01-03 08:00:00,2016-01-03 08:00:00,39.584
2016-01-03 09:00:00,2016-01-03 09:00:00,41.186
2016-01-03 10:00:00,2016-01-03 10:00:00,42.092
2016-01-03 11:00:00,2016-01-03 11:00:00,40.09
2016-01-03 12:00:00,2016-01-03 12:00:00,39.99
2016-01-03 13:00:00,2016-01-03 13:00:00,41.092
2016-01-03 14:00:00,2016-01-03 14:00:00,42.988
2016-01-03 15:00:00,2016-01-03 15:00:00,40.488
2016-01-03 16:00:00,2016-01-03 16:00:00,43.392
2016-01-03 17:00:00,2016-01-03 17:00:00,46.892
2016-01-03 18:00:00,2016-01-03 18:00:00,47.792
2016-01-03 19:00:00,2016-01-03 19:00:00,45.292
2016-01-03 20:00:00,2016-01-03 20:00:00,46.192
2016-01-03 21:00:00,2016-01-03 21:00:00,46.692
2016-01-03 22:00:00,2016-01-03 22:00:00,46.392
2016-01-03 23:00:00,2016-01-03 23:00:00,45.59
2016-01-04 00:00:00,2016-01-04 00:00:00,46.784
2016-01-04 01:00:00,2016-01-04 01:00:00,46.784
2016-01-04 02:00:00,2016-01-04 02:00:00,45.986
2016-01-04 03:00:00,2016-01-04 03:00:00,45.386
2016-01-04 04:00:00,2016-01-04 04:00:00,46.79
2016-01-04 05:00:00,2016-01-04 05:00:00,46.592
2016-01-04 06:00:00,2016-01-04 06:00:00,45.692
2016-01-04 07:00:00,2016-01-04 07:00:00,46.99
2016-01-04 08:00:00,2016-01-04 08:00:00,44.492
