timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,120.0002
2016-01-01 01:00:00,2016-01-01 01:00:00,109.5
2016-01-01 02:00:00,2016-01-01 02:00:00,103.2501
2016-01-01 03:00:00,2016-01-01 03:00:00,98.7501
2016-01-01 04:00:00,2016-01-01 04:00:00,99.5001
2016-01-01 05:00:00,2016-01-01 05:00:00,98.7502
2016-01-01 06:00:00,2016-01-01 06:00:00,99.5001
2016-01-01 07:00:00,2016-01-01 07:00:00,100.2502
2016-01-01 08:00:00,2016-01-01 08:00:00,98.0
2016-01-01 09:00:00,2016-01-01 09:00:00,95.0
2016-01-01 10:00:00,2016-01-01 10:00:00,94.5002
2016-01-01 11:00:00,2016-01-01 11:00:00,95.75
2016-01-01 12:00:00,2016-01-01 12:00:00,93.2502
2016-01-01 13:00:00,2016-01-01 13:00:00,93.25
2016-01-01 14:00:00,2016-01-01 14:00:00,93.2502
2016-01-01 15:00:00,2016-01-01 15:00:00,93.7502
2016-01-01 16:00:00,2016-01-01 16:00:00,93.7501
2016-01-01 17:00:00,2016-01-01 17:00:00,95.7501
2016-01-01 18:00:00,2016-01-01 18:00:00,103.7503
2016-01-01 19:00:00,2016-01-01 19:00:00,100.5001
2016-01-01 20:00:00,2016-01-01 20:00:00,104.0
2016-01-01 21:00:00,2016-01-01 21:00:00,101.5001
2016-01-01 22:00:00,2016-01-01 22:00:00,102.5002
2016-01-01 23:00:00,2016-01-01 23:00:00,102.2501
2016-01-02 00:00:00,2016-01-02 00:00:00,102.5001
2016-01-02 01:00:00,2016-01-02 01:00:00,104.2499
2016-01-02 02:00:00,2016-01-02 02:00:00,102.0
2016-01-02 03:00:00,2016-01-02 03:00:00,107.25
2016-01-02 04:00:00,2016-01-02 04:00:00,109.25
2016-01-02 05:00:00,2016-01-02 05:00:00,108.4999
2016-01-02 06:00:00,2016-01-02 06:00:00,108.25
2016-01-02 07:00:00,2016-01-02 07:00:00,114.5
2016-01-02 08:00:00,2016-01-02 08:00:00,134.5
2016-01-02 09:00:00,2016-01-02 09:00:00,137.5
2016-01-02 10:00:00,2016-01-02 10:00:00,134.5
2016-01-02 11:00:00,2016-01-02 11:00:00,138.2501
2016-01-02 12:00:00,2016-01-02 12:00:00,134.2502
2016-01-02 13:00:00,2016-01-02 13:00:00,123.75
2016-01-02 14:00:00,2016-01-02 14:00:00,111.25
2016-01-02 15:00:00,2016-01-02 15:00:00,103.2501
2016-01-02 16:00:00,2016-01-02 16:00:00,107.0001
2016-01-02 17:00:00,2016-01-02 17:00:00,94.75
2016-01-02 18:00:00,2016-01-02 18:00:00,97.0
2016-01-02 19:00:00,2016-01-02 19:00:00,97.7501
2016-01-02 20:00:00,2016-01-02 20:00:00,97.5001
2016-01-02 21:00:00,2016-01-02 21:00:00,93.75
2016-01-02 22:00:00,2016-01-02 22:00:00,97.2501
2016-01-02 23:00:00,2016-01-02 23:00:00,96.5
2016-01-03 00:00:00,2016-01-03 00:00:00,95.5001
2016-01-03 01:00:00,2016-01-03 01:00:00,97.0001
2016-01-03 02:00:00,2016-01-03 02:00:00,95.0002
2016-01-03 03:00:00,2016-01-03 03:00:00,95.5001
2016-01-03 04:00:00,2016-01-03 04:00:00,99.75
2016-01-03 05:00:00,2016-01-03 05:00:00,102.0
2016-01-03 06:00:00,2016-01-03 06:00:00,98.5
2016-01-03 07:00:00,2016-01-03 07:00:00,106.9999
2016-01-03 08:00:00,2016-01-03 08:00:00,106.7501
2016-01-03 09:00:00,2016-01-03 09:00:00,107.2499
2016-01-03 10:00:00,2016-01-03 10:00:00,105.2499
2016-01-03 11:00:00,2016-01-03 11:00:00,112.25
2016-01-03 12:00:00,2016-01-03 12:00:00,96.0
2016-01-03 13:00:00,2016-01-03 13:00:00,92.0001
2016-01-03 14:00:00,2016-01-03 14:00:00,93.75
2016-01-03 15:00:00,2016-01-03 15:00:00,93.2501
