timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,5.39
2016-01-01 01:00:00,2016-01-01 01:00:00,10.4898
2016-01-01 02:00:00,2016-01-01 02:00:00,10.17
2016-01-01 03:00:00,2016-01-01 03:00:00,9.8
2016-01-01 04:00:00,2016-01-01 04:00:00,10.6899
2016-01-01 05:00:00,2016-01-01 05:00:00,5.9301
2016-01-01 06:00:00,2016-01-01 06:00:00,6.0101
2016-01-01 07:00:00,2016-01-01 07:00:00,11.65
2016-01-01 08:00:00,2016-01-01 08:00:00,7.3999
2016-01-01 09:00:00,2016-01-01 09:00:00,6.9499
2016-01-01 10:00:00,2016-01-01 10:00:00,3.63
2016-01-01 11:00:00,2016-01-01 11:00:00,11.3499
2016-01-01 12:00:00,2016-01-01 12:00:00,10.0002
2016-01-01 13:00:00,2016-01-01 13:00:00,11.6098
2016-01-01 14:00:00,2016-01-01 14:00:00,7.3
2016-01-01 15:00:00,2016-01-01 15:00:00,4.9
2016-01-01 16:00:00,2016-01-01 16:00:00,9.8999
2016-01-01 17:00:00,2016-01-01 17:00:00,12.9699
2016-01-01 18:00:00,2016-01-01 18:00:00,7.9299
2016-01-01 19:00:00,2016-01-01 19:00:00,12.8698
2016-01-01 20:00:00,2016-01-01 20:00:00,12.4501
2016-01-01 21:00:00,2016-01-01 21:00:00,7.25
2016-01-01 22:00:00,2016-01-01 22:00:00,7.3301
2016-01-01 23:00:00,2016-01-01 23:00:00,8.65
2016-01-02 00:00:00,2016-01-02 00:00:00,9.2601
2016-01-02 01:00:00,2016-01-02 01:00:00,10.6198
2016-01-02 02:00:00,2016-01-02 02:00:00,0.93
2016-01-02 03:00:00,2016-01-02 03:00:00,9.8398
2016-01-02 04:00:00,2016-01-02 04:00:00,10.5599
2016-01-02 05:00:00,2016-01-02 05:00:00,8.4499
2016-01-02 06:00:00,2016-01-02 06:00:00,11.7799
2016-01-02 07:00:00,2016-01-02 07:00:00,14.7799
2016-01-02 08:00:00,2016-01-02 08:00:00,8.77
2016-01-02 09:00:00,2016-01-02 09:00:00,8.7099
2016-01-02 10:00:00,2016-01-02 10:00:00,6.6098
2016-01-02 11:00:00,2016-01-02 11:00:00,9.99
2016-01-02 12:00:00,2016-01-02 12:00:00,8.99
2016-01-02 13:00:00,2016-01-02 13:00:00,6.7798
2016-01-02 14:00:00,2016-01-02 14:00:00,10.4001
2016-01-02 15:00:00,2016-01-02 15:00:00,5.18
2016-01-02 16:00:00,2016-01-02 16:00:00,11.01
2016-01-02 17:00:00,2016-01-02 17:00:00,7.7799
2016-01-02 18:00:00,2016-01-02 18:00:00,11.3901
2016-01-02 19:00:00,2016-01-02 19:00:00,9.28
2016-01-02 20:00:00,2016-01-02 20:00:00,7.7401
2016-01-02 21:00:00,2016-01-02 21:00:00,15.5199
2016-01-02 22:00:00,2016-01-02 22:00:00,13.0
2016-01-02 23:00:00,2016-01-02 23:00:00,6.91
2016-01-03 00:00:00,2016-01-03 00:00:00,9.6299
2016-01-03 01:00:00,2016-01-03 01:00:00,2.78
2016-01-03 02:00:00,2016-01-03 02:00:00,11.0702
2016-01-03 03:00:00,2016-01-03 03:00:00,13.7298
2016-01-03 04:00:00,2016-01-03 04:00:00,11.7999
2016-01-03 05:00:00,2016-01-03 05:00:00,9.5002
2016-01-03 06:00:00,2016-01-03 06:00:00,11.5699
2016-01-03 07:00:00,2016-01-03 07:00:00,10.07
2016-01-03 08:00:00,2016-01-03 08:00:00,11.56
2016-01-03 09:00:00,2016-01-03 09:00:00,12.73
2016-01-03 10:00:00,2016-01-03 10:00:00,4.58
2016-01-03 11:00:00,2016-01-03 11:00:00,8.35
2016-01-03 12:00:00,2016-01-03 12:00:00,6.0099
2016-01-03 13:00:00,2016-01-03 13:00:00,6.23
2016-01-03 14:00:00,2016-01-03 14:00:00,5.4999
2016-01-03 15:00:00,2016-01-03 15:00:00,7.2301
2016-01-03 16:00:00,2016-01-03 16:00:00,11.1599
2016-01-03 17:00:00,2016-01-03 17:00:00,5.89
2016-01-03 18:00:00,2016-01-03 18:00:00,8.9898
2016-01-03 19:00:00,2016-01-03 19:00:00,6.18
2016-01-03 20:00:00,2016-01-03 20:00:00,7.3701
2016-01-03 21:00:00,2016-01-03 21:00:00,11.8799
2016-01-03 22:00:00,2016-01-03 22:00:00,6.3801
2016-01-03 23:00:00,2016-01-03 23:00:00,7.9
2016-01-04 00:00:00,2016-01-04 00:00:00,12.8299
2016-01-04 01:00:00,2016-01-04 01:00:00,10.6
2016-01-04 02:00:00,2016-01-04 02:00:00,13.6399
