timestamp,timestamp,meter_reading
2017-12-04 12:00:00,2017-12-04 12:00:00,154.5
2017-12-04 13:00:00,2017-12-04 13:00:00,469.2
2017-12-04 14:00:00,2017-12-04 14:00:00,470.9
2017-12-04 15:00:00,2017-12-04 15:00:00,458.1
2017-12-04 16:00:00,2017-12-04 16:00:00,443.3
2017-12-04 17:00:00,2017-12-04 17:00:00,448.5
2017-12-04 18:00:00,2017-12-04 18:00:00,446.1
2017-12-04 19:00:00,2017-12-04 19:00:00,436.6
2017-12-04 20:00:00,2017-12-04 20:00:00,427.5
2017-12-04 21:00:00,2017-12-04 21:00:00,391.0
2017-12-04 22:00:00,2017-12-04 22:00:00,375.6
2017-12-04 23:00:00,2017-12-04 23:00:00,360.0
2017-12-05 00:00:00,2017-12-05 00:00:00,354.1
2017-12-05 01:00:00,2017-12-05 01:00:00,358.3
2017-12-05 02:00:00,2017-12-05 02:00:00,356.4
2017-12-05 03:00:00,2017-12-05 03:00:00,374.7
2017-12-05 04:00:00,2017-12-05 04:00:00,398.8
2017-12-05 05:00:00,2017-12-05 05:00:00,414.5
2017-12-05 06:00:00,2017-12-05 06:00:00,417.7
2017-12-05 07:00:00,2017-12-05 07:00:00,472.7
2017-12-05 08:00:00,2017-12-05 08:00:00,503.8
2017-12-05 09:00:00,2017-12-05 09:00:00,532.0
2017-12-05 10:00:00,2017-12-05 10:00:00,498.9
2017-12-05 11:00:00,2017-12-05 11:00:00,509.0
2017-12-05 12:00:00,2017-12-05 12:00:00,503.4
2017-12-05 13:00:00,2017-12-05 13:00:00,498.1
2017-12-05 14:00:00,2017-12-05 14:00:00,481.5
2017-12-05 15:00:00,2017-12-05 15:00:00,469.9
2017-12-05 16:00:00,2017-12-05 16:00:00,469.5
2017-12-05 17:00:00,2017-12-05 17:00:00,537.2
2017-12-05 18:00:00,2017-12-05 18:00:00,453.1
2017-12-05 19:00:00,2017-12-05 19:00:00,448.1
2017-12-05 20:00:00,2017-12-05 20:00:00,422.1
2017-12-05 21:00:00,2017-12-05 21:00:00,397.8
2017-12-05 22:00:00,2017-12-05 22:00:00,391.5
2017-12-05 23:00:00,2017-12-05 23:00:00,377.9
2017-12-06 00:00:00,2017-12-06 00:00:00,366.5
2017-12-06 01:00:00,2017-12-06 01:00:00,353.6
2017-12-06 02:00:00,2017-12-06 02:00:00,363.9
2017-12-06 03:00:00,2017-12-06 03:00:00,368.9
2017-12-06 04:00:00,2017-12-06 04:00:00,382.7
2017-12-06 05:00:00,2017-12-06 05:00:00,411.3
2017-12-06 06:00:00,2017-12-06 06:00:00,438.4
2017-12-06 07:00:00,2017-12-06 07:00:00,457.8
2017-12-06 08:00:00,2017-12-06 08:00:00,514.0
2017-12-06 09:00:00,2017-12-06 09:00:00,504.2
2017-12-06 10:00:00,2017-12-06 10:00:00,523.3
2017-12-06 11:00:00,2017-12-06 11:00:00,483.6
2017-12-06 12:00:00,2017-12-06 12:00:00,490.7
2017-12-06 13:00:00,2017-12-06 13:00:00,481.8
2017-12-06 14:00:00,2017-12-06 14:00:00,491.3
2017-12-06 15:00:00,2017-12-06 15:00:00,390.2
2017-12-06 16:00:00,2017-12-06 16:00:00,574.8
2017-12-06 17:00:00,2017-12-06 17:00:00,459.7
2017-12-06 18:00:00,2017-12-06 18:00:00,457.0
2017-12-06 19:00:00,2017-12-06 19:00:00,434.8
2017-12-06 20:00:00,2017-12-06 20:00:00,423.6
2017-12-06 21:00:00,2017-12-06 21:00:00,395.9
2017-12-06 22:00:00,2017-12-06 22:00:00,384.7
2017-12-06 23:00:00,2017-12-06 23:00:00,376.6
2017-12-07 00:00:00,2017-12-07 00:00:00,375.0
2017-12-07 01:00:00,2017-12-07 01:00:00,359.6
2017-12-07 02:00:00,2017-12-07 02:00:00,358.3
2017-12-07 03:00:00,2017-12-07 03:00:00,378.1
2017-12-07 04:00:00,2017-12-07 04:00:00,393.8
2017-12-07 05:00:00,2017-12-07 05:00:00,401.8
2017-12-07 06:00:00,2017-12-07 06:00:00,427.8
2017-12-07 07:00:00,2017-12-07 07:00:00,477.3
2017-12-07 08:00:00,2017-12-07 08:00:00,481.1
2017-12-07 09:00:00,2017-12-07 09:00:00,483.8
2017-12-07 10:00:00,2017-12-07 10:00:00,479.8
2017-12-07 11:00:00,2017-12-07 11:00:00,469.1
2017-12-07 12:00:00,2017-12-07 12:00:00,457.9
2017-12-07 13:00:00,2017-12-07 13:00:00,479.1996
2017-12-07 14:00:00,2017-12-07 14:00:00,463.4
2017-12-07 15:00:00,2017-12-07 15:00:00,451.8
2017-12-07 16:00:00,2017-12-07 16:00:00,449.1
2017-12-07 17:00:00,2017-12-07 17:00:00,449.4
2017-12-07 18:00:00,2017-12-07 18:00:00,446.6
2017-12-07 19:00:00,2017-12-07 19:00:00,438.0
2017-12-07 20:00:00,2017-12-07 20:00:00,440.1
