timestamp,timestamp,meter_reading
2016-01-27 18:00:00,2016-01-27 18:00:00,34.3
2016-01-28 19:00:00,2016-01-28 19:00:00,76.7
2016-01-30 10:00:00,2016-01-30 10:00:00,40.225
2016-01-30 12:00:00,2016-01-30 12:00:00,36.425
2016-01-31 12:00:00,2016-01-31 12:00:00,40.45
2016-01-31 18:00:00,2016-01-31 18:00:00,38.375
2016-02-01 16:00:00,2016-02-01 16:00:00,86.4
2016-02-02 15:00:00,2016-02-02 15:00:00,55.475
2016-02-02 19:00:00,2016-02-02 19:00:00,77.175
2016-02-03 16:00:00,2016-02-03 16:00:00,56.1
2016-02-04 19:00:00,2016-02-04 19:00:00,77.8
2016-02-05 16:00:00,2016-02-05 16:00:00,83.05
2016-02-06 12:00:00,2016-02-06 12:00:00,80.725
2016-02-06 15:00:00,2016-02-06 15:00:00,38.95
2016-02-06 17:00:00,2016-02-06 17:00:00,41.175
2016-02-06 19:00:00,2016-02-06 19:00:00,39.0
2016-02-07 06:00:00,2016-02-07 06:00:00,40.15
2016-02-07 09:00:00,2016-02-07 09:00:00,77.575
2016-02-08 15:00:00,2016-02-08 15:00:00,93.025
2016-03-31 06:00:00,2016-03-31 06:00:00,40.975
2016-04-06 17:00:00,2016-04-06 17:00:00,79.675
2016-04-07 20:00:00,2016-04-07 20:00:00,51.775
2016-04-07 21:00:00,2016-04-07 21:00:00,18.425
2016-04-07 22:00:00,2016-04-07 22:00:00,18.425
2016-04-07 23:00:00,2016-04-07 23:00:00,18.4
2016-04-08 00:00:00,2016-04-08 00:00:00,18.35
2016-04-08 01:00:00,2016-04-08 01:00:00,18.475
2016-04-08 02:00:00,2016-04-08 02:00:00,18.3
2016-04-08 03:00:00,2016-04-08 03:00:00,18.225
2016-04-08 04:00:00,2016-04-08 04:00:00,18.225
2016-04-08 05:00:00,2016-04-08 05:00:00,18.375
2016-04-08 06:00:00,2016-04-08 06:00:00,18.35
2016-04-08 07:00:00,2016-04-08 07:00:00,18.3
2016-04-08 08:00:00,2016-04-08 08:00:00,18.275
2016-04-08 09:00:00,2016-04-08 09:00:00,18.25
2016-04-08 10:00:00,2016-04-08 10:00:00,18.25
2016-04-08 11:00:00,2016-04-08 11:00:00,18.3
2016-04-08 12:00:00,2016-04-08 12:00:00,18.375
2016-04-08 13:00:00,2016-04-08 13:00:00,18.4
2016-04-08 22:00:00,2016-04-08 22:00:00,52.0
2016-04-08 23:00:00,2016-04-08 23:00:00,18.225
2016-04-09 00:00:00,2016-04-09 00:00:00,18.225
2016-04-09 01:00:00,2016-04-09 01:00:00,18.275
2016-04-09 02:00:00,2016-04-09 02:00:00,18.3
2016-04-09 03:00:00,2016-04-09 03:00:00,18.225
2016-04-09 04:00:00,2016-04-09 04:00:00,18.275
2016-04-09 05:00:00,2016-04-09 05:00:00,18.15
2016-04-09 06:00:00,2016-04-09 06:00:00,18.325
2016-04-09 07:00:00,2016-04-09 07:00:00,18.375
2016-04-09 08:00:00,2016-04-09 08:00:00,18.225
2016-04-09 09:00:00,2016-04-09 09:00:00,87.875
2016-04-10 02:00:00,2016-04-10 02:00:00,85.2
2016-04-10 03:00:00,2016-04-10 03:00:00,18.35
2016-04-10 04:00:00,2016-04-10 04:00:00,18.25
2016-04-10 05:00:00,2016-04-10 05:00:00,18.25
2016-04-10 06:00:00,2016-04-10 06:00:00,18.35
2016-04-10 07:00:00,2016-04-10 07:00:00,18.475
2016-04-10 08:00:00,2016-04-10 08:00:00,18.325
2016-04-10 09:00:00,2016-04-10 09:00:00,18.375
2016-04-10 10:00:00,2016-04-10 10:00:00,18.375
