timestamp,timestamp,meter_reading
2016-01-14 08:00:00,2016-01-14 08:00:00,65.0
2016-01-14 09:00:00,2016-01-14 09:00:00,136.0
2016-01-14 10:00:00,2016-01-14 10:00:00,139.0
2016-01-14 11:00:00,2016-01-14 11:00:00,149.0
2016-01-14 12:00:00,2016-01-14 12:00:00,151.0
2016-01-14 13:00:00,2016-01-14 13:00:00,151.0
2016-01-14 14:00:00,2016-01-14 14:00:00,153.0
2016-01-14 15:00:00,2016-01-14 15:00:00,146.0
2016-01-14 16:00:00,2016-01-14 16:00:00,146.0
2016-01-14 17:00:00,2016-01-14 17:00:00,142.0
2016-01-14 18:00:00,2016-01-14 18:00:00,132.0
2016-01-14 19:00:00,2016-01-14 19:00:00,123.0
2016-01-14 20:00:00,2016-01-14 20:00:00,117.0
2016-01-14 21:00:00,2016-01-14 21:00:00,106.0
2016-01-14 22:00:00,2016-01-14 22:00:00,92.0
2016-01-14 23:00:00,2016-01-14 23:00:00,90.0
2016-01-15 00:00:00,2016-01-15 00:00:00,88.0
2016-01-15 01:00:00,2016-01-15 01:00:00,81.0
2016-01-15 02:00:00,2016-01-15 02:00:00,79.0
2016-01-15 03:00:00,2016-01-15 03:00:00,80.0
2016-01-15 04:00:00,2016-01-15 04:00:00,80.0
2016-01-15 05:00:00,2016-01-15 05:00:00,81.0
2016-01-15 06:00:00,2016-01-15 06:00:00,87.0
2016-01-15 07:00:00,2016-01-15 07:00:00,104.0
2016-01-15 08:00:00,2016-01-15 08:00:00,137.0
2016-01-15 09:00:00,2016-01-15 09:00:00,148.0
2016-01-15 10:00:00,2016-01-15 10:00:00,149.0
2016-01-15 11:00:00,2016-01-15 11:00:00,155.0
2016-01-15 12:00:00,2016-01-15 12:00:00,160.0
2016-01-15 13:00:00,2016-01-15 13:00:00,157.0
2016-01-15 14:00:00,2016-01-15 14:00:00,156.0
2016-01-15 15:00:00,2016-01-15 15:00:00,161.0
2016-01-15 16:00:00,2016-01-15 16:00:00,154.0
2016-01-15 17:00:00,2016-01-15 17:00:00,146.0
2016-01-15 18:00:00,2016-01-15 18:00:00,141.0
2016-01-15 19:00:00,2016-01-15 19:00:00,132.0
2016-01-15 20:00:00,2016-01-15 20:00:00,130.0
2016-01-15 21:00:00,2016-01-15 21:00:00,113.0
2016-01-15 22:00:00,2016-01-15 22:00:00,98.0
2016-01-15 23:00:00,2016-01-15 23:00:00,94.0
2016-01-16 00:00:00,2016-01-16 00:00:00,89.0
2016-01-16 01:00:00,2016-01-16 01:00:00,89.0
2016-01-16 02:00:00,2016-01-16 02:00:00,85.0
2016-01-16 03:00:00,2016-01-16 03:00:00,87.0
2016-01-16 04:00:00,2016-01-16 04:00:00,86.0
2016-01-16 05:00:00,2016-01-16 05:00:00,86.0
2016-01-16 06:00:00,2016-01-16 06:00:00,87.0
2016-01-16 07:00:00,2016-01-16 07:00:00,87.0
2016-01-16 08:00:00,2016-01-16 08:00:00,90.0
2016-01-16 09:00:00,2016-01-16 09:00:00,90.0
2016-01-16 10:00:00,2016-01-16 10:00:00,93.0
2016-01-16 11:00:00,2016-01-16 11:00:00,99.0
2016-01-16 12:00:00,2016-01-16 12:00:00,100.0
2016-01-16 13:00:00,2016-01-16 13:00:00,101.0
