timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,600.5538
2016-01-01 01:00:00,2016-01-01 01:00:00,539.4237
2016-01-01 02:00:00,2016-01-01 02:00:00,564.1807
2016-01-01 03:00:00,2016-01-01 03:00:00,555.0933
2016-01-01 04:00:00,2016-01-01 04:00:00,570.8038
2016-01-01 05:00:00,2016-01-01 05:00:00,540.2842
2016-01-01 06:00:00,2016-01-01 06:00:00,521.834
2016-01-01 07:00:00,2016-01-01 07:00:00,523.9629
2016-01-01 08:00:00,2016-01-01 08:00:00,517.119
2016-01-01 09:00:00,2016-01-01 09:00:00,511.9929
2016-01-01 10:00:00,2016-01-01 10:00:00,541.1793
2016-01-01 11:00:00,2016-01-01 11:00:00,542.4473
2016-01-01 12:00:00,2016-01-01 12:00:00,547.6886
2016-01-01 13:00:00,2016-01-01 13:00:00,541.3303
2016-01-01 14:00:00,2016-01-01 14:00:00,536.5795
2016-01-01 15:00:00,2016-01-01 15:00:00,545.6068
2016-01-01 16:00:00,2016-01-01 16:00:00,533.5167
2016-01-01 17:00:00,2016-01-01 17:00:00,551.6852
2016-01-01 18:00:00,2016-01-01 18:00:00,544.1581
2016-01-01 19:00:00,2016-01-01 19:00:00,543.4978
2016-01-01 20:00:00,2016-01-01 20:00:00,543.213
2016-01-01 21:00:00,2016-01-01 21:00:00,543.3401
2016-01-01 22:00:00,2016-01-01 22:00:00,557.2494
2016-01-01 23:00:00,2016-01-01 23:00:00,549.0311
2016-01-02 00:00:00,2016-01-02 00:00:00,547.5832
2016-01-02 01:00:00,2016-01-02 01:00:00,557.3115
2016-01-02 02:00:00,2016-01-02 02:00:00,507.1762
2016-01-02 03:00:00,2016-01-02 03:00:00,508.3355
2016-01-02 04:00:00,2016-01-02 04:00:00,507.2858
2016-01-02 05:00:00,2016-01-02 05:00:00,509.6787
2016-01-02 06:00:00,2016-01-02 06:00:00,507.292
2016-01-02 07:00:00,2016-01-02 07:00:00,509.0652
2016-01-02 08:00:00,2016-01-02 08:00:00,511.984
2016-01-02 09:00:00,2016-01-02 09:00:00,512.8603
2016-01-02 10:00:00,2016-01-02 10:00:00,505.8136
2016-01-02 11:00:00,2016-01-02 11:00:00,544.4086
2016-01-02 12:00:00,2016-01-02 12:00:00,553.6144
2016-01-02 13:00:00,2016-01-02 13:00:00,545.9421
2016-01-02 14:00:00,2016-01-02 14:00:00,549.1226
2016-01-02 15:00:00,2016-01-02 15:00:00,541.8036
2016-01-02 16:00:00,2016-01-02 16:00:00,541.9889
2016-01-02 17:00:00,2016-01-02 17:00:00,541.1286
2016-01-02 18:00:00,2016-01-02 18:00:00,542.0407
2016-01-02 19:00:00,2016-01-02 19:00:00,547.2148
2016-01-02 20:00:00,2016-01-02 20:00:00,545.3
2016-01-02 21:00:00,2016-01-02 21:00:00,546.2035
2016-01-02 22:00:00,2016-01-02 22:00:00,550.1649
2016-01-02 23:00:00,2016-01-02 23:00:00,556.703
2016-01-03 00:00:00,2016-01-03 00:00:00,553.8015
2016-01-03 01:00:00,2016-01-03 01:00:00,555.8722
2016-01-03 02:00:00,2016-01-03 02:00:00,508.8856
2016-01-03 03:00:00,2016-01-03 03:00:00,510.1695
2016-01-03 04:00:00,2016-01-03 04:00:00,509.3948
2016-01-03 05:00:00,2016-01-03 05:00:00,512.4287
2016-01-03 06:00:00,2016-01-03 06:00:00,513.76
2016-01-03 07:00:00,2016-01-03 07:00:00,517.1981
2016-01-03 08:00:00,2016-01-03 08:00:00,505.8489
2016-01-03 09:00:00,2016-01-03 09:00:00,519.1616
2016-01-03 10:00:00,2016-01-03 10:00:00,558.3345
2016-01-03 11:00:00,2016-01-03 11:00:00,554.45
2016-01-03 12:00:00,2016-01-03 12:00:00,552.6952
2016-01-03 13:00:00,2016-01-03 13:00:00,549.7931
2016-01-03 14:00:00,2016-01-03 14:00:00,545.6575
2016-01-03 15:00:00,2016-01-03 15:00:00,539.8099
2016-01-03 16:00:00,2016-01-03 16:00:00,545.0607
2016-01-03 17:00:00,2016-01-03 17:00:00,546.1724
2016-01-03 18:00:00,2016-01-03 18:00:00,553.5738
2016-01-03 19:00:00,2016-01-03 19:00:00,551.314
2016-01-03 20:00:00,2016-01-03 20:00:00,543.7951
2016-01-03 21:00:00,2016-01-03 21:00:00,547.2461
2016-01-03 22:00:00,2016-01-03 22:00:00,550.4038
2016-01-03 23:00:00,2016-01-03 23:00:00,545.4435
2016-01-04 00:00:00,2016-01-04 00:00:00,558.9842
2016-01-04 01:00:00,2016-01-04 01:00:00,554.9795
2016-01-04 02:00:00,2016-01-04 02:00:00,514.4863
2016-01-04 03:00:00,2016-01-04 03:00:00,512.5121
2016-01-04 04:00:00,2016-01-04 04:00:00,523.0864
2016-01-04 05:00:00,2016-01-04 05:00:00,507.8488
2016-01-04 06:00:00,2016-01-04 06:00:00,520.4859
2016-01-04 07:00:00,2016-01-04 07:00:00,508.8536
2016-01-04 08:00:00,2016-01-04 08:00:00,516.1921
2016-01-04 09:00:00,2016-01-04 09:00:00,520.2476
2016-01-04 10:00:00,2016-01-04 10:00:00,516.2073
2016-01-04 11:00:00,2016-01-04 11:00:00,557.1479
2016-01-04 12:00:00,2016-01-04 12:00:00,583.2122
2016-01-04 13:00:00,2016-01-04 13:00:00,673.9278
2016-01-04 14:00:00,2016-01-04 14:00:00,636.4261
2016-01-04 15:00:00,2016-01-04 15:00:00,643.3634
2016-01-04 16:00:00,2016-01-04 16:00:00,710.4562
2016-01-04 17:00:00,2016-01-04 17:00:00,684.4799
2016-01-04 18:00:00,2016-01-04 18:00:00,681.3568
2016-01-04 19:00:00,2016-01-04 19:00:00,653.8397
2016-01-04 20:00:00,2016-01-04 20:00:00,667.1628
2016-01-04 21:00:00,2016-01-04 21:00:00,656.1201
2016-01-04 22:00:00,2016-01-04 22:00:00,642.3597
2016-01-04 23:00:00,2016-01-04 23:00:00,633.2117
2016-01-05 00:00:00,2016-01-05 00:00:00,629.4343
2016-01-05 01:00:00,2016-01-05 01:00:00,605.796
2016-01-05 02:00:00,2016-01-05 02:00:00,589.1095
2016-01-05 03:00:00,2016-01-05 03:00:00,588.3795
2016-01-05 04:00:00,2016-01-05 04:00:00,573.2779
2016-01-05 05:00:00,2016-01-05 05:00:00,565.0467
2016-01-05 06:00:00,2016-01-05 06:00:00,529.6278
2016-01-05 07:00:00,2016-01-05 07:00:00,540.3778
2016-01-05 08:00:00,2016-01-05 08:00:00,542.6781
2016-01-05 09:00:00,2016-01-05 09:00:00,543.0115
2016-01-05 10:00:00,2016-01-05 10:00:00,552.6802
2016-01-05 11:00:00,2016-01-05 11:00:00,574.9232
2016-01-05 12:00:00,2016-01-05 12:00:00,497.2444
2016-01-05 13:00:00,2016-01-05 13:00:00,605.7484
2016-01-05 14:00:00,2016-01-05 14:00:00,622.734
2016-01-05 15:00:00,2016-01-05 15:00:00,654.6693
2016-01-05 16:00:00,2016-01-05 16:00:00,655.6625
2016-01-05 17:00:00,2016-01-05 17:00:00,682.6423
2016-01-05 18:00:00,2016-01-05 18:00:00,709.804
2016-01-05 19:00:00,2016-01-05 19:00:00,685.6067
2016-01-05 20:00:00,2016-01-05 20:00:00,713.7977
2016-01-05 21:00:00,2016-01-05 21:00:00,654.0543
2016-01-05 22:00:00,2016-01-05 22:00:00,644.5341
2016-01-05 23:00:00,2016-01-05 23:00:00,647.1376
2016-01-06 00:00:00,2016-01-06 00:00:00,614.8865
2016-01-06 01:00:00,2016-01-06 01:00:00,559.6278
2016-01-06 02:00:00,2016-01-06 02:00:00,591.2041
2016-01-06 03:00:00,2016-01-06 03:00:00,586.8722
2016-01-06 04:00:00,2016-01-06 04:00:00,608.67
2016-01-06 05:00:00,2016-01-06 05:00:00,582.3063
2016-01-06 06:00:00,2016-01-06 06:00:00,537.7714
2016-01-06 07:00:00,2016-01-06 07:00:00,545.4675
2016-01-06 08:00:00,2016-01-06 08:00:00,500.6293
2016-01-06 09:00:00,2016-01-06 09:00:00,556.4783
2016-01-06 10:00:00,2016-01-06 10:00:00,550.3905
2016-01-06 11:00:00,2016-01-06 11:00:00,572.1006
2016-01-06 12:00:00,2016-01-06 12:00:00,503.7283
2016-01-06 13:00:00,2016-01-06 13:00:00,511.189
2016-01-06 14:00:00,2016-01-06 14:00:00,643.3616
2016-01-06 15:00:00,2016-01-06 15:00:00,690.2193
2016-01-06 16:00:00,2016-01-06 16:00:00,664.537
2016-01-06 17:00:00,2016-01-06 17:00:00,662.8501
2016-01-06 18:00:00,2016-01-06 18:00:00,660.2983
2016-01-06 19:00:00,2016-01-06 19:00:00,654.7882
2016-01-06 20:00:00,2016-01-06 20:00:00,658.2102
2016-01-06 21:00:00,2016-01-06 21:00:00,649.8746
2016-01-06 22:00:00,2016-01-06 22:00:00,660.9457
2016-01-06 23:00:00,2016-01-06 23:00:00,641.6808
2016-01-07 00:00:00,2016-01-07 00:00:00,635.7999
2016-01-07 01:00:00,2016-01-07 01:00:00,597.9368
2016-01-07 02:00:00,2016-01-07 02:00:00,585.7281
2016-01-07 03:00:00,2016-01-07 03:00:00,579.9678
2016-01-07 04:00:00,2016-01-07 04:00:00,578.7853
2016-01-07 05:00:00,2016-01-07 05:00:00,562.9586
2016-01-07 06:00:00,2016-01-07 06:00:00,541.6313
2016-01-07 07:00:00,2016-01-07 07:00:00,542.2595
2016-01-07 08:00:00,2016-01-07 08:00:00,544.7943
2016-01-07 09:00:00,2016-01-07 09:00:00,539.2973
2016-01-07 10:00:00,2016-01-07 10:00:00,567.9533
2016-01-07 11:00:00,2016-01-07 11:00:00,620.2223
2016-01-07 12:00:00,2016-01-07 12:00:00,583.9935
2016-01-07 13:00:00,2016-01-07 13:00:00,642.3175
2016-01-07 14:00:00,2016-01-07 14:00:00,650.5445
2016-01-07 15:00:00,2016-01-07 15:00:00,647.4001
2016-01-07 16:00:00,2016-01-07 16:00:00,672.2816
2016-01-07 17:00:00,2016-01-07 17:00:00,703.6398
2016-01-07 18:00:00,2016-01-07 18:00:00,672.2266
2016-01-07 19:00:00,2016-01-07 19:00:00,717.0137
2016-01-07 20:00:00,2016-01-07 20:00:00,660.1416
2016-01-07 21:00:00,2016-01-07 21:00:00,653.2608
2016-01-07 22:00:00,2016-01-07 22:00:00,680.0447
2016-01-07 23:00:00,2016-01-07 23:00:00,636.5508
2016-01-08 00:00:00,2016-01-08 00:00:00,630.6187
