timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,338.11
2016-01-01 01:00:00,2016-01-01 01:00:00,324.51
2016-01-01 02:00:00,2016-01-01 02:00:00,323.82
2016-01-01 03:00:00,2016-01-01 03:00:00,318.72
2016-01-01 04:00:00,2016-01-01 04:00:00,314.95
2016-01-01 05:00:00,2016-01-01 05:00:00,326.36
2016-01-01 06:00:00,2016-01-01 06:00:00,321.24
2016-01-01 07:00:00,2016-01-01 07:00:00,322.69
2016-01-01 08:00:00,2016-01-01 08:00:00,323.79
2016-01-01 09:00:00,2016-01-01 09:00:00,318.96
2016-01-01 10:00:00,2016-01-01 10:00:00,324.02
2016-01-01 11:00:00,2016-01-01 11:00:00,335.97
2016-01-01 12:00:00,2016-01-01 12:00:00,311.36
2016-01-01 13:00:00,2016-01-01 13:00:00,319.45
2016-01-01 14:00:00,2016-01-01 14:00:00,328.27
2016-01-01 15:00:00,2016-01-01 15:00:00,324.79
2016-01-01 16:00:00,2016-01-01 16:00:00,335.19
2016-01-01 17:00:00,2016-01-01 17:00:00,323.09
2016-01-01 18:00:00,2016-01-01 18:00:00,327.92
2016-01-01 19:00:00,2016-01-01 19:00:00,322.03
2016-01-01 20:00:00,2016-01-01 20:00:00,334.21
2016-01-01 21:00:00,2016-01-01 21:00:00,308.17
2016-01-01 22:00:00,2016-01-01 22:00:00,316.69
2016-01-01 23:00:00,2016-01-01 23:00:00,327.5
2016-01-02 00:00:00,2016-01-02 00:00:00,315.09
2016-01-02 01:00:00,2016-01-02 01:00:00,324.89
2016-01-02 02:00:00,2016-01-02 02:00:00,315.66
2016-01-02 03:00:00,2016-01-02 03:00:00,326.1
2016-01-02 04:00:00,2016-01-02 04:00:00,310.35
2016-01-02 05:00:00,2016-01-02 05:00:00,334.71
2016-01-02 06:00:00,2016-01-02 06:00:00,340.09
2016-01-02 07:00:00,2016-01-02 07:00:00,340.27
2016-01-02 08:00:00,2016-01-02 08:00:00,334.27
2016-01-02 09:00:00,2016-01-02 09:00:00,340.11
2016-01-02 10:00:00,2016-01-02 10:00:00,335.08
2016-01-02 11:00:00,2016-01-02 11:00:00,307.67
2016-01-02 12:00:00,2016-01-02 12:00:00,320.46
2016-01-02 13:00:00,2016-01-02 13:00:00,325.14
2016-01-02 14:00:00,2016-01-02 14:00:00,320.16
2016-01-02 15:00:00,2016-01-02 15:00:00,322.64
2016-01-02 16:00:00,2016-01-02 16:00:00,335.7
2016-01-02 17:00:00,2016-01-02 17:00:00,328.83
2016-01-02 18:00:00,2016-01-02 18:00:00,339.19
2016-01-02 19:00:00,2016-01-02 19:00:00,337.8
2016-01-02 20:00:00,2016-01-02 20:00:00,356.96
2016-01-02 21:00:00,2016-01-02 21:00:00,322.02
