timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,235.53
2016-01-01 01:00:00,2016-01-01 01:00:00,272.71
2016-01-01 02:00:00,2016-01-01 02:00:00,251.74
2016-01-01 03:00:00,2016-01-01 03:00:00,279.55
2016-01-01 04:00:00,2016-01-01 04:00:00,236.37
2016-01-01 05:00:00,2016-01-01 05:00:00,247.46
2016-01-01 06:00:00,2016-01-01 06:00:00,221.99
2016-01-01 07:00:00,2016-01-01 07:00:00,204.6
2016-01-01 08:00:00,2016-01-01 08:00:00,277.63
2016-01-01 09:00:00,2016-01-01 09:00:00,310.75
2016-01-01 10:00:00,2016-01-01 10:00:00,268.49
2016-01-01 11:00:00,2016-01-01 11:00:00,294.78
2016-01-01 12:00:00,2016-01-01 12:00:00,277.53
2016-01-01 13:00:00,2016-01-01 13:00:00,333.58
2016-01-01 14:00:00,2016-01-01 14:00:00,299.63
2016-01-01 15:00:00,2016-01-01 15:00:00,295.21
2016-01-01 16:00:00,2016-01-01 16:00:00,231.93
2016-01-01 17:00:00,2016-01-01 17:00:00,314.18
2016-01-01 18:00:00,2016-01-01 18:00:00,284.7
2016-01-01 19:00:00,2016-01-01 19:00:00,316.44
2016-01-01 20:00:00,2016-01-01 20:00:00,329.91
2016-01-01 21:00:00,2016-01-01 21:00:00,291.09
2016-01-01 22:00:00,2016-01-01 22:00:00,297.31
2016-01-01 23:00:00,2016-01-01 23:00:00,322.84
2016-01-02 00:00:00,2016-01-02 00:00:00,349.64
2016-01-02 01:00:00,2016-01-02 01:00:00,327.65
2016-01-02 02:00:00,2016-01-02 02:00:00,305.29
2016-01-02 03:00:00,2016-01-02 03:00:00,312.07
2016-01-02 04:00:00,2016-01-02 04:00:00,318.42
2016-01-02 05:00:00,2016-01-02 05:00:00,328.0
2016-01-02 06:00:00,2016-01-02 06:00:00,278.43
2016-01-02 07:00:00,2016-01-02 07:00:00,302.51
2016-01-02 08:00:00,2016-01-02 08:00:00,322.07
2016-01-02 09:00:00,2016-01-02 09:00:00,352.05
2016-01-02 10:00:00,2016-01-02 10:00:00,314.18
2016-01-02 11:00:00,2016-01-02 11:00:00,268.23
2016-01-02 12:00:00,2016-01-02 12:00:00,312.23
2016-01-02 13:00:00,2016-01-02 13:00:00,338.2
2016-01-02 14:00:00,2016-01-02 14:00:00,348.16
2016-01-02 15:00:00,2016-01-02 15:00:00,319.7
2016-01-02 16:00:00,2016-01-02 16:00:00,363.66
2016-01-02 17:00:00,2016-01-02 17:00:00,308.16
2016-01-02 18:00:00,2016-01-02 18:00:00,319.36
2016-01-02 19:00:00,2016-01-02 19:00:00,310.41
2016-01-02 20:00:00,2016-01-02 20:00:00,287.29
2016-01-02 21:00:00,2016-01-02 21:00:00,314.15
2016-01-02 22:00:00,2016-01-02 22:00:00,302.29
2016-01-02 23:00:00,2016-01-02 23:00:00,333.52
2016-01-03 00:00:00,2016-01-03 00:00:00,314.32
