timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,78.03
2016-01-01 01:00:00,2016-01-01 01:00:00,78.18
2016-01-01 02:00:00,2016-01-01 02:00:00,78.06
2016-01-01 03:00:00,2016-01-01 03:00:00,78.26
2016-01-01 04:00:00,2016-01-01 04:00:00,78.23
2016-01-01 05:00:00,2016-01-01 05:00:00,78.25
2016-01-01 06:00:00,2016-01-01 06:00:00,78.26
2016-01-01 07:00:00,2016-01-01 07:00:00,78.41
2016-01-01 08:00:00,2016-01-01 08:00:00,78.36
2016-01-01 09:00:00,2016-01-01 09:00:00,78.39
2016-01-01 10:00:00,2016-01-01 10:00:00,78.45
2016-01-01 11:00:00,2016-01-01 11:00:00,78.4
2016-01-01 12:00:00,2016-01-01 12:00:00,78.41
2016-01-01 13:00:00,2016-01-01 13:00:00,78.4
2016-01-01 14:00:00,2016-01-01 14:00:00,72.49
2016-01-01 15:00:00,2016-01-01 15:00:00,72.5
2016-01-01 16:00:00,2016-01-01 16:00:00,72.36
2016-01-01 17:00:00,2016-01-01 17:00:00,72.37
2016-01-01 18:00:00,2016-01-01 18:00:00,72.5
2016-01-01 19:00:00,2016-01-01 19:00:00,72.37
2016-01-01 20:00:00,2016-01-01 20:00:00,72.37
2016-01-01 21:00:00,2016-01-01 21:00:00,72.4
2016-01-01 22:00:00,2016-01-01 22:00:00,72.49
2016-01-01 23:00:00,2016-01-01 23:00:00,78.44
2016-01-02 00:00:00,2016-01-02 00:00:00,78.44
2016-01-02 01:00:00,2016-01-02 01:00:00,78.41
2016-01-02 02:00:00,2016-01-02 02:00:00,78.33
2016-01-02 03:00:00,2016-01-02 03:00:00,78.46
2016-01-02 04:00:00,2016-01-02 04:00:00,78.42
2016-01-02 05:00:00,2016-01-02 05:00:00,84.45
2016-01-02 06:00:00,2016-01-02 06:00:00,78.47
2016-01-02 07:00:00,2016-01-02 07:00:00,78.5
2016-01-02 08:00:00,2016-01-02 08:00:00,78.47
2016-01-02 09:00:00,2016-01-02 09:00:00,78.43
2016-01-02 10:00:00,2016-01-02 10:00:00,78.58
2016-01-02 11:00:00,2016-01-02 11:00:00,78.45
2016-01-02 12:00:00,2016-01-02 12:00:00,78.33
2016-01-02 13:00:00,2016-01-02 13:00:00,78.4
2016-01-02 14:00:00,2016-01-02 14:00:00,72.36
2016-01-02 15:00:00,2016-01-02 15:00:00,78.39
2016-01-02 16:00:00,2016-01-02 16:00:00,72.47
2016-01-02 17:00:00,2016-01-02 17:00:00,72.45
2016-01-02 18:00:00,2016-01-02 18:00:00,72.55
2016-01-02 19:00:00,2016-01-02 19:00:00,72.32
2016-01-02 20:00:00,2016-01-02 20:00:00,72.39
2016-01-02 21:00:00,2016-01-02 21:00:00,72.47
2016-01-02 22:00:00,2016-01-02 22:00:00,72.53
2016-01-02 23:00:00,2016-01-02 23:00:00,78.44
2016-01-03 00:00:00,2016-01-03 00:00:00,78.34
2016-01-03 01:00:00,2016-01-03 01:00:00,78.34
2016-01-03 02:00:00,2016-01-03 02:00:00,78.5
2016-01-03 03:00:00,2016-01-03 03:00:00,78.35
2016-01-03 04:00:00,2016-01-03 04:00:00,78.38
2016-01-03 05:00:00,2016-01-03 05:00:00,78.35
2016-01-03 06:00:00,2016-01-03 06:00:00,78.46
2016-01-03 07:00:00,2016-01-03 07:00:00,78.47
2016-01-03 08:00:00,2016-01-03 08:00:00,78.36
2016-01-03 09:00:00,2016-01-03 09:00:00,78.34
2016-01-03 10:00:00,2016-01-03 10:00:00,78.49
2016-01-03 11:00:00,2016-01-03 11:00:00,78.62
2016-01-03 12:00:00,2016-01-03 12:00:00,78.38
2016-01-03 13:00:00,2016-01-03 13:00:00,78.38
2016-01-03 14:00:00,2016-01-03 14:00:00,72.34
2016-01-03 15:00:00,2016-01-03 15:00:00,72.46
2016-01-03 16:00:00,2016-01-03 16:00:00,72.56
2016-01-03 17:00:00,2016-01-03 17:00:00,78.59
