timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,209.67
2016-01-01 01:00:00,2016-01-01 01:00:00,208.9
2016-01-01 02:00:00,2016-01-01 02:00:00,419.5
2016-01-01 03:00:00,2016-01-01 03:00:00,474.4
2016-01-01 04:00:00,2016-01-01 04:00:00,438.47
2016-01-01 05:00:00,2016-01-01 05:00:00,432.8
2016-01-01 06:00:00,2016-01-01 06:00:00,433.36
2016-01-01 07:00:00,2016-01-01 07:00:00,440.94
2016-01-01 08:00:00,2016-01-01 08:00:00,426.48
2016-01-01 09:00:00,2016-01-01 09:00:00,410.4
2016-01-01 10:00:00,2016-01-01 10:00:00,401.55
2016-01-01 11:00:00,2016-01-01 11:00:00,372.87
2016-01-01 12:00:00,2016-01-01 12:00:00,349.36
2016-01-01 13:00:00,2016-01-01 13:00:00,368.38
2016-01-01 14:00:00,2016-01-01 14:00:00,371.75
2016-01-01 15:00:00,2016-01-01 15:00:00,383.24
2016-01-01 16:00:00,2016-01-01 16:00:00,392.53
2016-01-01 17:00:00,2016-01-01 17:00:00,407.47
2016-01-01 18:00:00,2016-01-01 18:00:00,408.47
2016-01-01 19:00:00,2016-01-01 19:00:00,416.72
2016-01-01 20:00:00,2016-01-01 20:00:00,402.46
2016-01-01 21:00:00,2016-01-01 21:00:00,419.42
2016-01-01 22:00:00,2016-01-01 22:00:00,306.2
2016-01-01 23:00:00,2016-01-01 23:00:00,191.04
2016-01-02 00:00:00,2016-01-02 00:00:00,197.53
2016-01-02 01:00:00,2016-01-02 01:00:00,191.87
2016-01-02 02:00:00,2016-01-02 02:00:00,185.82
2016-01-02 03:00:00,2016-01-02 03:00:00,185.58
2016-01-02 04:00:00,2016-01-02 04:00:00,411.1
2016-01-02 05:00:00,2016-01-02 05:00:00,471.62
2016-01-02 06:00:00,2016-01-02 06:00:00,433.74
2016-01-02 07:00:00,2016-01-02 07:00:00,426.54
2016-01-02 08:00:00,2016-01-02 08:00:00,420.28
2016-01-02 09:00:00,2016-01-02 09:00:00,397.76
2016-01-02 10:00:00,2016-01-02 10:00:00,389.92
2016-01-02 11:00:00,2016-01-02 11:00:00,356.98
2016-01-02 12:00:00,2016-01-02 12:00:00,351.65
2016-01-02 13:00:00,2016-01-02 13:00:00,349.5
2016-01-02 14:00:00,2016-01-02 14:00:00,364.6
2016-01-02 15:00:00,2016-01-02 15:00:00,370.92
2016-01-02 16:00:00,2016-01-02 16:00:00,390.96
2016-01-02 17:00:00,2016-01-02 17:00:00,391.13
2016-01-02 18:00:00,2016-01-02 18:00:00,406.92
2016-01-02 19:00:00,2016-01-02 19:00:00,404.81
2016-01-02 20:00:00,2016-01-02 20:00:00,414.42
2016-01-02 21:00:00,2016-01-02 21:00:00,409.4
2016-01-02 22:00:00,2016-01-02 22:00:00,310.7
2016-01-02 23:00:00,2016-01-02 23:00:00,192.62
2016-01-03 00:00:00,2016-01-03 00:00:00,201.96
2016-01-03 01:00:00,2016-01-03 01:00:00,199.94
2016-01-03 02:00:00,2016-01-03 02:00:00,185.52
2016-01-03 03:00:00,2016-01-03 03:00:00,182.45
2016-01-03 04:00:00,2016-01-03 04:00:00,411.21
2016-01-03 05:00:00,2016-01-03 05:00:00,465.03
2016-01-03 06:00:00,2016-01-03 06:00:00,428.24
2016-01-03 07:00:00,2016-01-03 07:00:00,421.56
2016-01-03 08:00:00,2016-01-03 08:00:00,406.47
2016-01-03 09:00:00,2016-01-03 09:00:00,392.59
2016-01-03 10:00:00,2016-01-03 10:00:00,380.74
2016-01-03 11:00:00,2016-01-03 11:00:00,347.69
2016-01-03 12:00:00,2016-01-03 12:00:00,329.99
2016-01-03 13:00:00,2016-01-03 13:00:00,347.65
2016-01-03 14:00:00,2016-01-03 14:00:00,360.19
2016-01-03 15:00:00,2016-01-03 15:00:00,377.92
2016-01-03 16:00:00,2016-01-03 16:00:00,383.64
2016-01-03 17:00:00,2016-01-03 17:00:00,394.24
2016-01-03 18:00:00,2016-01-03 18:00:00,393.53
2016-01-03 19:00:00,2016-01-03 19:00:00,407.23
2016-01-03 20:00:00,2016-01-03 20:00:00,247.88
2016-01-03 21:00:00,2016-01-03 21:00:00,197.1
2016-01-03 22:00:00,2016-01-03 22:00:00,199.45
2016-01-03 23:00:00,2016-01-03 23:00:00,202.65
2016-01-04 00:00:00,2016-01-04 00:00:00,204.45
2016-01-04 01:00:00,2016-01-04 01:00:00,199.09
2016-01-04 02:00:00,2016-01-04 02:00:00,397.91
2016-01-04 03:00:00,2016-01-04 03:00:00,439.95
2016-01-04 04:00:00,2016-01-04 04:00:00,405.71
2016-01-04 05:00:00,2016-01-04 05:00:00,407.75
2016-01-04 06:00:00,2016-01-04 06:00:00,405.01
2016-01-04 07:00:00,2016-01-04 07:00:00,392.12
2016-01-04 08:00:00,2016-01-04 08:00:00,421.81
2016-01-04 09:00:00,2016-01-04 09:00:00,417.63
2016-01-04 10:00:00,2016-01-04 10:00:00,413.79
2016-01-04 11:00:00,2016-01-04 11:00:00,415.13
2016-01-04 12:00:00,2016-01-04 12:00:00,409.99
2016-01-04 13:00:00,2016-01-04 13:00:00,400.62
2016-01-04 14:00:00,2016-01-04 14:00:00,397.36
2016-01-04 15:00:00,2016-01-04 15:00:00,394.52
2016-01-04 16:00:00,2016-01-04 16:00:00,404.55
2016-01-04 17:00:00,2016-01-04 17:00:00,407.33
2016-01-04 18:00:00,2016-01-04 18:00:00,393.67
2016-01-04 19:00:00,2016-01-04 19:00:00,390.85
2016-01-04 20:00:00,2016-01-04 20:00:00,394.6
2016-01-04 21:00:00,2016-01-04 21:00:00,402.69
2016-01-04 22:00:00,2016-01-04 22:00:00,295.47
2016-01-04 23:00:00,2016-01-04 23:00:00,160.45
2016-01-05 00:00:00,2016-01-05 00:00:00,165.79
2016-01-05 01:00:00,2016-01-05 01:00:00,164.02
2016-01-05 02:00:00,2016-01-05 02:00:00,393.78
2016-01-05 03:00:00,2016-01-05 03:00:00,421.9
2016-01-05 04:00:00,2016-01-05 04:00:00,402.89
2016-01-05 05:00:00,2016-01-05 05:00:00,404.63
2016-01-05 06:00:00,2016-01-05 06:00:00,402.59
