timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,175.12
2016-01-01 01:00:00,2016-01-01 01:00:00,175.19
2016-01-01 02:00:00,2016-01-01 02:00:00,175.16
2016-01-01 03:00:00,2016-01-01 03:00:00,174.77
2016-01-01 04:00:00,2016-01-01 04:00:00,176.19
2016-01-01 05:00:00,2016-01-01 05:00:00,175.94
2016-01-01 06:00:00,2016-01-01 06:00:00,176.03
2016-01-01 07:00:00,2016-01-01 07:00:00,173.26
2016-01-01 08:00:00,2016-01-01 08:00:00,169.81
2016-01-01 09:00:00,2016-01-01 09:00:00,169.57
2016-01-01 10:00:00,2016-01-01 10:00:00,166.62
2016-01-01 11:00:00,2016-01-01 11:00:00,166.36
2016-01-01 12:00:00,2016-01-01 12:00:00,169.65
2016-01-01 13:00:00,2016-01-01 13:00:00,169.27
2016-01-01 14:00:00,2016-01-01 14:00:00,168.65
2016-01-01 15:00:00,2016-01-01 15:00:00,167.43
2016-01-01 16:00:00,2016-01-01 16:00:00,164.71
2016-01-01 17:00:00,2016-01-01 17:00:00,165.59
2016-01-01 18:00:00,2016-01-01 18:00:00,167.65
2016-01-01 19:00:00,2016-01-01 19:00:00,167.84
2016-01-01 20:00:00,2016-01-01 20:00:00,166.0
2016-01-01 21:00:00,2016-01-01 21:00:00,167.87
2016-01-01 22:00:00,2016-01-01 22:00:00,168.09
2016-01-01 23:00:00,2016-01-01 23:00:00,168.25
2016-01-02 00:00:00,2016-01-02 00:00:00,168.98
2016-01-02 01:00:00,2016-01-02 01:00:00,167.72
2016-01-02 02:00:00,2016-01-02 02:00:00,167.67
2016-01-02 03:00:00,2016-01-02 03:00:00,169.48
2016-01-02 04:00:00,2016-01-02 04:00:00,167.94
2016-01-02 05:00:00,2016-01-02 05:00:00,168.04
2016-01-02 06:00:00,2016-01-02 06:00:00,167.68
2016-01-02 07:00:00,2016-01-02 07:00:00,165.99
2016-01-02 08:00:00,2016-01-02 08:00:00,164.22
2016-01-02 09:00:00,2016-01-02 09:00:00,164.13
2016-01-02 10:00:00,2016-01-02 10:00:00,167.44
2016-01-02 11:00:00,2016-01-02 11:00:00,168.06
2016-01-02 12:00:00,2016-01-02 12:00:00,169.41
2016-01-02 13:00:00,2016-01-02 13:00:00,171.28
2016-01-02 14:00:00,2016-01-02 14:00:00,170.98
2016-01-02 15:00:00,2016-01-02 15:00:00,169.85
2016-01-02 16:00:00,2016-01-02 16:00:00,168.32
2016-01-02 17:00:00,2016-01-02 17:00:00,167.11
2016-01-02 18:00:00,2016-01-02 18:00:00,169.82
2016-01-02 19:00:00,2016-01-02 19:00:00,167.57
2016-01-02 20:00:00,2016-01-02 20:00:00,166.15
2016-01-02 21:00:00,2016-01-02 21:00:00,166.39
2016-01-02 22:00:00,2016-01-02 22:00:00,167.69
2016-01-02 23:00:00,2016-01-02 23:00:00,166.31
2016-01-03 00:00:00,2016-01-03 00:00:00,166.58
2016-01-03 01:00:00,2016-01-03 01:00:00,166.56
2016-01-03 02:00:00,2016-01-03 02:00:00,166.36
2016-01-03 03:00:00,2016-01-03 03:00:00,166.98
2016-01-03 04:00:00,2016-01-03 04:00:00,167.2
2016-01-03 05:00:00,2016-01-03 05:00:00,164.02
2016-01-03 06:00:00,2016-01-03 06:00:00,166.19
2016-01-03 07:00:00,2016-01-03 07:00:00,165.71
2016-01-03 08:00:00,2016-01-03 08:00:00,164.42
2016-01-03 09:00:00,2016-01-03 09:00:00,165.87
2016-01-03 10:00:00,2016-01-03 10:00:00,164.62
2016-01-03 11:00:00,2016-01-03 11:00:00,165.37
2016-01-03 12:00:00,2016-01-03 12:00:00,165.64
2016-01-03 13:00:00,2016-01-03 13:00:00,165.42
2016-01-03 14:00:00,2016-01-03 14:00:00,167.83
2016-01-03 15:00:00,2016-01-03 15:00:00,167.19
2016-01-03 16:00:00,2016-01-03 16:00:00,165.79
2016-01-03 17:00:00,2016-01-03 17:00:00,167.08
2016-01-03 18:00:00,2016-01-03 18:00:00,164.92
2016-01-03 19:00:00,2016-01-03 19:00:00,165.04
2016-01-03 20:00:00,2016-01-03 20:00:00,164.13
2016-01-03 21:00:00,2016-01-03 21:00:00,164.52
2016-01-03 22:00:00,2016-01-03 22:00:00,165.48
2016-01-03 23:00:00,2016-01-03 23:00:00,164.44
2016-01-04 00:00:00,2016-01-04 00:00:00,166.11
2016-01-04 01:00:00,2016-01-04 01:00:00,164.33
2016-01-04 02:00:00,2016-01-04 02:00:00,165.11
2016-01-04 03:00:00,2016-01-04 03:00:00,165.49
2016-01-04 04:00:00,2016-01-04 04:00:00,164.34
2016-01-04 05:00:00,2016-01-04 05:00:00,164.32
2016-01-04 06:00:00,2016-01-04 06:00:00,165.49
2016-01-04 07:00:00,2016-01-04 07:00:00,166.29
2016-01-04 08:00:00,2016-01-04 08:00:00,164.31
2016-01-04 09:00:00,2016-01-04 09:00:00,172.04
2016-01-04 10:00:00,2016-01-04 10:00:00,176.72
2016-01-04 11:00:00,2016-01-04 11:00:00,182.72
2016-01-04 12:00:00,2016-01-04 12:00:00,196.4
2016-01-04 13:00:00,2016-01-04 13:00:00,195.13
2016-01-04 14:00:00,2016-01-04 14:00:00,196.07
2016-01-04 15:00:00,2016-01-04 15:00:00,198.59
2016-01-04 16:00:00,2016-01-04 16:00:00,198.05
2016-01-04 17:00:00,2016-01-04 17:00:00,194.79
2016-01-04 18:00:00,2016-01-04 18:00:00,194.65
2016-01-04 19:00:00,2016-01-04 19:00:00,192.16
2016-01-04 20:00:00,2016-01-04 20:00:00,188.78
2016-01-04 21:00:00,2016-01-04 21:00:00,187.03
