timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,199.75
2016-01-01 01:00:00,2016-01-01 01:00:00,197.27
2016-01-01 02:00:00,2016-01-01 02:00:00,198.2
2016-01-01 03:00:00,2016-01-01 03:00:00,197.66
2016-01-01 04:00:00,2016-01-01 04:00:00,197.43
2016-01-01 05:00:00,2016-01-01 05:00:00,200.67
2016-01-01 06:00:00,2016-01-01 06:00:00,200.22
2016-01-01 07:00:00,2016-01-01 07:00:00,201.26
2016-01-01 08:00:00,2016-01-01 08:00:00,197.62
2016-01-01 09:00:00,2016-01-01 09:00:00,196.22
2016-01-01 10:00:00,2016-01-01 10:00:00,198.06
2016-01-01 11:00:00,2016-01-01 11:00:00,199.89
2016-01-01 12:00:00,2016-01-01 12:00:00,208.64
2016-01-01 13:00:00,2016-01-01 13:00:00,210.07
2016-01-01 14:00:00,2016-01-01 14:00:00,215.53
2016-01-01 15:00:00,2016-01-01 15:00:00,213.41
2016-01-01 16:00:00,2016-01-01 16:00:00,213.47
2016-01-01 17:00:00,2016-01-01 17:00:00,212.52
2016-01-01 18:00:00,2016-01-01 18:00:00,215.49
2016-01-01 19:00:00,2016-01-01 19:00:00,216.61
2016-01-01 20:00:00,2016-01-01 20:00:00,211.46
2016-01-01 21:00:00,2016-01-01 21:00:00,204.76
2016-01-01 22:00:00,2016-01-01 22:00:00,200.32
2016-01-01 23:00:00,2016-01-01 23:00:00,198.82
2016-01-02 00:00:00,2016-01-02 00:00:00,200.66
2016-01-02 01:00:00,2016-01-02 01:00:00,199.18
2016-01-02 02:00:00,2016-01-02 02:00:00,199.76
2016-01-02 03:00:00,2016-01-02 03:00:00,199.07
2016-01-02 04:00:00,2016-01-02 04:00:00,199.66
2016-01-02 05:00:00,2016-01-02 05:00:00,199.46
2016-01-02 06:00:00,2016-01-02 06:00:00,198.1
2016-01-02 07:00:00,2016-01-02 07:00:00,201.11
2016-01-02 08:00:00,2016-01-02 08:00:00,196.55
2016-01-02 09:00:00,2016-01-02 09:00:00,198.82
2016-01-02 10:00:00,2016-01-02 10:00:00,196.3
2016-01-02 11:00:00,2016-01-02 11:00:00,199.27
2016-01-02 12:00:00,2016-01-02 12:00:00,201.29
2016-01-02 13:00:00,2016-01-02 13:00:00,200.59
2016-01-02 14:00:00,2016-01-02 14:00:00,203.91
2016-01-02 15:00:00,2016-01-02 15:00:00,209.2
2016-01-02 16:00:00,2016-01-02 16:00:00,209.87
2016-01-02 17:00:00,2016-01-02 17:00:00,209.61
2016-01-02 18:00:00,2016-01-02 18:00:00,210.28
