timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,196.9
2016-01-01 01:00:00,2016-01-01 01:00:00,198.9
2016-01-01 02:00:00,2016-01-01 02:00:00,196.07
2016-01-01 03:00:00,2016-01-01 03:00:00,192.26
2016-01-01 04:00:00,2016-01-01 04:00:00,198.62
2016-01-01 05:00:00,2016-01-01 05:00:00,139.14
2016-01-01 06:00:00,2016-01-01 06:00:00,115.41
2016-01-01 07:00:00,2016-01-01 07:00:00,110.61
2016-01-01 08:00:00,2016-01-01 08:00:00,108.59
2016-01-01 09:00:00,2016-01-01 09:00:00,109.11
2016-01-01 10:00:00,2016-01-01 10:00:00,109.95
2016-01-01 11:00:00,2016-01-01 11:00:00,106.99
2016-01-01 12:00:00,2016-01-01 12:00:00,105.06
2016-01-01 13:00:00,2016-01-01 13:00:00,105.94
2016-01-01 14:00:00,2016-01-01 14:00:00,100.86
2016-01-01 15:00:00,2016-01-01 15:00:00,100.77
2016-01-01 16:00:00,2016-01-01 16:00:00,101.15
2016-01-01 17:00:00,2016-01-01 17:00:00,101.51
2016-01-01 18:00:00,2016-01-01 18:00:00,110.15
2016-01-01 19:00:00,2016-01-01 19:00:00,108.86
2016-01-01 20:00:00,2016-01-01 20:00:00,109.77
2016-01-01 21:00:00,2016-01-01 21:00:00,108.73
2016-01-01 22:00:00,2016-01-01 22:00:00,108.05
2016-01-01 23:00:00,2016-01-01 23:00:00,109.39
2016-01-02 00:00:00,2016-01-02 00:00:00,109.19
2016-01-02 01:00:00,2016-01-02 01:00:00,107.27
2016-01-02 02:00:00,2016-01-02 02:00:00,110.72
2016-01-02 03:00:00,2016-01-02 03:00:00,114.56
2016-01-02 04:00:00,2016-01-02 04:00:00,109.62
2016-01-02 05:00:00,2016-01-02 05:00:00,168.96
2016-01-02 06:00:00,2016-01-02 06:00:00,193.12
2016-01-02 07:00:00,2016-01-02 07:00:00,186.76
2016-01-02 08:00:00,2016-01-02 08:00:00,183.59
2016-01-02 09:00:00,2016-01-02 09:00:00,182.11
2016-01-02 10:00:00,2016-01-02 10:00:00,169.13
2016-01-02 11:00:00,2016-01-02 11:00:00,175.51
2016-01-02 12:00:00,2016-01-02 12:00:00,167.36
2016-01-02 13:00:00,2016-01-02 13:00:00,166.7
2016-01-02 14:00:00,2016-01-02 14:00:00,163.34
2016-01-02 15:00:00,2016-01-02 15:00:00,161.32
2016-01-02 16:00:00,2016-01-02 16:00:00,167.41
2016-01-02 17:00:00,2016-01-02 17:00:00,170.95
2016-01-02 18:00:00,2016-01-02 18:00:00,183.75
2016-01-02 19:00:00,2016-01-02 19:00:00,185.07
2016-01-02 20:00:00,2016-01-02 20:00:00,179.58
2016-01-02 21:00:00,2016-01-02 21:00:00,185.72
2016-01-02 22:00:00,2016-01-02 22:00:00,184.7
2016-01-02 23:00:00,2016-01-02 23:00:00,184.27
2016-01-03 00:00:00,2016-01-03 00:00:00,187.21
2016-01-03 01:00:00,2016-01-03 01:00:00,186.18
2016-01-03 02:00:00,2016-01-03 02:00:00,190.82
2016-01-03 03:00:00,2016-01-03 03:00:00,186.48
2016-01-03 04:00:00,2016-01-03 04:00:00,185.73
2016-01-03 05:00:00,2016-01-03 05:00:00,190.07
2016-01-03 06:00:00,2016-01-03 06:00:00,184.93
2016-01-03 07:00:00,2016-01-03 07:00:00,184.68
2016-01-03 08:00:00,2016-01-03 08:00:00,179.31
2016-01-03 09:00:00,2016-01-03 09:00:00,175.46
2016-01-03 10:00:00,2016-01-03 10:00:00,170.83
2016-01-03 11:00:00,2016-01-03 11:00:00,165.28
2016-01-03 12:00:00,2016-01-03 12:00:00,161.78
2016-01-03 13:00:00,2016-01-03 13:00:00,161.56
2016-01-03 14:00:00,2016-01-03 14:00:00,158.46
2016-01-03 15:00:00,2016-01-03 15:00:00,166.8
2016-01-03 16:00:00,2016-01-03 16:00:00,166.27
2016-01-03 17:00:00,2016-01-03 17:00:00,169.13
2016-01-03 18:00:00,2016-01-03 18:00:00,180.45
2016-01-03 19:00:00,2016-01-03 19:00:00,173.66
2016-01-03 20:00:00,2016-01-03 20:00:00,182.93
2016-01-03 21:00:00,2016-01-03 21:00:00,179.43
2016-01-03 22:00:00,2016-01-03 22:00:00,179.18
2016-01-03 23:00:00,2016-01-03 23:00:00,181.49
2016-01-04 00:00:00,2016-01-04 00:00:00,178.59
2016-01-04 01:00:00,2016-01-04 01:00:00,179.44
2016-01-04 02:00:00,2016-01-04 02:00:00,175.82
2016-01-04 03:00:00,2016-01-04 03:00:00,183.37
2016-01-04 04:00:00,2016-01-04 04:00:00,186.09
2016-01-04 05:00:00,2016-01-04 05:00:00,180.76
2016-01-04 06:00:00,2016-01-04 06:00:00,186.97
2016-01-04 07:00:00,2016-01-04 07:00:00,182.29
2016-01-04 08:00:00,2016-01-04 08:00:00,196.64
2016-01-04 09:00:00,2016-01-04 09:00:00,211.88
2016-01-04 10:00:00,2016-01-04 10:00:00,207.16
2016-01-04 11:00:00,2016-01-04 11:00:00,208.8
2016-01-04 12:00:00,2016-01-04 12:00:00,211.82
2016-01-04 13:00:00,2016-01-04 13:00:00,208.11
2016-01-04 14:00:00,2016-01-04 14:00:00,204.41
2016-01-04 15:00:00,2016-01-04 15:00:00,210.01
2016-01-04 16:00:00,2016-01-04 16:00:00,199.81
2016-01-04 17:00:00,2016-01-04 17:00:00,195.2
2016-01-04 18:00:00,2016-01-04 18:00:00,192.07
2016-01-04 19:00:00,2016-01-04 19:00:00,181.6
2016-01-04 20:00:00,2016-01-04 20:00:00,185.72
2016-01-04 21:00:00,2016-01-04 21:00:00,184.62
2016-01-04 22:00:00,2016-01-04 22:00:00,184.38
2016-01-04 23:00:00,2016-01-04 23:00:00,184.6
2016-01-05 00:00:00,2016-01-05 00:00:00,182.96
2016-01-05 01:00:00,2016-01-05 01:00:00,184.3
2016-01-05 02:00:00,2016-01-05 02:00:00,184.76
2016-01-05 03:00:00,2016-01-05 03:00:00,187.67
2016-01-05 04:00:00,2016-01-05 04:00:00,184.37
2016-01-05 05:00:00,2016-01-05 05:00:00,185.42
2016-01-05 06:00:00,2016-01-05 06:00:00,180.08
2016-01-05 07:00:00,2016-01-05 07:00:00,192.33
2016-01-05 08:00:00,2016-01-05 08:00:00,205.68
2016-01-05 09:00:00,2016-01-05 09:00:00,208.04
2016-01-05 10:00:00,2016-01-05 10:00:00,212.84
2016-01-05 11:00:00,2016-01-05 11:00:00,211.32
2016-01-05 12:00:00,2016-01-05 12:00:00,208.15
2016-01-05 13:00:00,2016-01-05 13:00:00,206.83
2016-01-05 14:00:00,2016-01-05 14:00:00,204.98
2016-01-05 15:00:00,2016-01-05 15:00:00,201.79
2016-01-05 16:00:00,2016-01-05 16:00:00,206.36
2016-01-05 17:00:00,2016-01-05 17:00:00,195.21
2016-01-05 18:00:00,2016-01-05 18:00:00,185.2
2016-01-05 19:00:00,2016-01-05 19:00:00,187.14
2016-01-05 20:00:00,2016-01-05 20:00:00,187.04
2016-01-05 21:00:00,2016-01-05 21:00:00,181.21
2016-01-05 22:00:00,2016-01-05 22:00:00,188.77
2016-01-05 23:00:00,2016-01-05 23:00:00,182.12
2016-01-06 00:00:00,2016-01-06 00:00:00,182.5
2016-01-06 01:00:00,2016-01-06 01:00:00,187.99
2016-01-06 02:00:00,2016-01-06 02:00:00,181.82
2016-01-06 03:00:00,2016-01-06 03:00:00,186.58
2016-01-06 04:00:00,2016-01-06 04:00:00,185.88
2016-01-06 05:00:00,2016-01-06 05:00:00,183.77
2016-01-06 06:00:00,2016-01-06 06:00:00,185.11
2016-01-06 07:00:00,2016-01-06 07:00:00,190.01
2016-01-06 08:00:00,2016-01-06 08:00:00,196.66
2016-01-06 09:00:00,2016-01-06 09:00:00,210.57
2016-01-06 10:00:00,2016-01-06 10:00:00,204.08
2016-01-06 11:00:00,2016-01-06 11:00:00,213.61
2016-01-06 12:00:00,2016-01-06 12:00:00,207.62
2016-01-06 13:00:00,2016-01-06 13:00:00,208.8
2016-01-06 14:00:00,2016-01-06 14:00:00,208.3
2016-01-06 15:00:00,2016-01-06 15:00:00,203.16
2016-01-06 16:00:00,2016-01-06 16:00:00,204.85
2016-01-06 17:00:00,2016-01-06 17:00:00,194.82
2016-01-06 18:00:00,2016-01-06 18:00:00,193.66
2016-01-06 19:00:00,2016-01-06 19:00:00,195.36
2016-01-06 20:00:00,2016-01-06 20:00:00,190.27
2016-01-06 21:00:00,2016-01-06 21:00:00,192.87
2016-01-06 22:00:00,2016-01-06 22:00:00,186.38
2016-01-06 23:00:00,2016-01-06 23:00:00,189.09
2016-01-07 00:00:00,2016-01-07 00:00:00,190.0
2016-01-07 01:00:00,2016-01-07 01:00:00,186.51
2016-01-07 02:00:00,2016-01-07 02:00:00,195.61
2016-01-07 03:00:00,2016-01-07 03:00:00,190.52
2016-01-07 04:00:00,2016-01-07 04:00:00,190.83
2016-01-07 05:00:00,2016-01-07 05:00:00,188.69
2016-01-07 06:00:00,2016-01-07 06:00:00,189.53
2016-01-07 07:00:00,2016-01-07 07:00:00,193.2
2016-01-07 08:00:00,2016-01-07 08:00:00,205.25
2016-01-07 09:00:00,2016-01-07 09:00:00,210.76
2016-01-07 10:00:00,2016-01-07 10:00:00,217.44
2016-01-07 11:00:00,2016-01-07 11:00:00,221.71
2016-01-07 12:00:00,2016-01-07 12:00:00,215.63
2016-01-07 13:00:00,2016-01-07 13:00:00,217.57
2016-01-07 14:00:00,2016-01-07 14:00:00,210.76
2016-01-07 15:00:00,2016-01-07 15:00:00,211.76
2016-01-07 16:00:00,2016-01-07 16:00:00,211.72
2016-01-07 17:00:00,2016-01-07 17:00:00,205.28
