timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,146.99
2016-01-01 01:00:00,2016-01-01 01:00:00,146.39
2016-01-01 02:00:00,2016-01-01 02:00:00,148.43
2016-01-01 03:00:00,2016-01-01 03:00:00,149.72
2016-01-01 04:00:00,2016-01-01 04:00:00,146.86
2016-01-01 05:00:00,2016-01-01 05:00:00,147.66
2016-01-01 06:00:00,2016-01-01 06:00:00,148.11
2016-01-01 07:00:00,2016-01-01 07:00:00,150.38
2016-01-01 08:00:00,2016-01-01 08:00:00,145.77
2016-01-01 09:00:00,2016-01-01 09:00:00,148.92
2016-01-01 10:00:00,2016-01-01 10:00:00,152.61
2016-01-01 11:00:00,2016-01-01 11:00:00,152.11
2016-01-01 12:00:00,2016-01-01 12:00:00,158.7
2016-01-01 13:00:00,2016-01-01 13:00:00,158.63
2016-01-01 14:00:00,2016-01-01 14:00:00,159.05
2016-01-01 15:00:00,2016-01-01 15:00:00,160.62
2016-01-01 16:00:00,2016-01-01 16:00:00,163.69
2016-01-01 17:00:00,2016-01-01 17:00:00,160.92
2016-01-01 18:00:00,2016-01-01 18:00:00,161.34
2016-01-01 19:00:00,2016-01-01 19:00:00,155.95
2016-01-01 20:00:00,2016-01-01 20:00:00,151.75
2016-01-01 21:00:00,2016-01-01 21:00:00,153.06
2016-01-01 22:00:00,2016-01-01 22:00:00,154.32
2016-01-01 23:00:00,2016-01-01 23:00:00,148.33
2016-01-02 00:00:00,2016-01-02 00:00:00,152.99
2016-01-02 01:00:00,2016-01-02 01:00:00,148.56
2016-01-02 02:00:00,2016-01-02 02:00:00,147.26
2016-01-02 03:00:00,2016-01-02 03:00:00,149.54
2016-01-02 04:00:00,2016-01-02 04:00:00,148.44
2016-01-02 05:00:00,2016-01-02 05:00:00,147.29
2016-01-02 06:00:00,2016-01-02 06:00:00,150.83
2016-01-02 07:00:00,2016-01-02 07:00:00,151.36
2016-01-02 08:00:00,2016-01-02 08:00:00,151.1
2016-01-02 09:00:00,2016-01-02 09:00:00,211.64
2016-01-02 10:00:00,2016-01-02 10:00:00,250.59
2016-01-02 11:00:00,2016-01-02 11:00:00,260.68
2016-01-02 12:00:00,2016-01-02 12:00:00,226.26
2016-01-02 13:00:00,2016-01-02 13:00:00,216.3
2016-01-02 14:00:00,2016-01-02 14:00:00,213.1
2016-01-02 15:00:00,2016-01-02 15:00:00,210.54
2016-01-02 16:00:00,2016-01-02 16:00:00,208.65
2016-01-02 17:00:00,2016-01-02 17:00:00,208.32
2016-01-02 18:00:00,2016-01-02 18:00:00,205.64
2016-01-02 19:00:00,2016-01-02 19:00:00,208.26
2016-01-02 20:00:00,2016-01-02 20:00:00,218.61
2016-01-02 21:00:00,2016-01-02 21:00:00,172.04
2016-01-02 22:00:00,2016-01-02 22:00:00,154.45
2016-01-02 23:00:00,2016-01-02 23:00:00,153.33
2016-01-03 00:00:00,2016-01-03 00:00:00,152.61
2016-01-03 01:00:00,2016-01-03 01:00:00,149.63
2016-01-03 02:00:00,2016-01-03 02:00:00,149.31
2016-01-03 03:00:00,2016-01-03 03:00:00,147.2
2016-01-03 04:00:00,2016-01-03 04:00:00,149.37
2016-01-03 05:00:00,2016-01-03 05:00:00,149.14
2016-01-03 06:00:00,2016-01-03 06:00:00,150.92
2016-01-03 07:00:00,2016-01-03 07:00:00,154.06
2016-01-03 08:00:00,2016-01-03 08:00:00,152.95
