timestamp,timestamp,meter_reading
2017-01-01 00:00:00,2017-01-01 00:00:00,251.69
2017-01-01 01:00:00,2017-01-01 01:00:00,243.82
2017-01-01 02:00:00,2017-01-01 02:00:00,243.64
2017-01-01 03:00:00,2017-01-01 03:00:00,244.53
2017-01-01 04:00:00,2017-01-01 04:00:00,244.54
2017-01-01 05:00:00,2017-01-01 05:00:00,245.89
2017-01-01 06:00:00,2017-01-01 06:00:00,254.89
2017-01-01 07:00:00,2017-01-01 07:00:00,265.07
2017-01-01 08:00:00,2017-01-01 08:00:00,260.2
2017-01-01 09:00:00,2017-01-01 09:00:00,255.61
2017-01-01 10:00:00,2017-01-01 10:00:00,258.3
2017-01-01 11:00:00,2017-01-01 11:00:00,258.4
2017-01-01 12:00:00,2017-01-01 12:00:00,259.24
2017-01-01 13:00:00,2017-01-01 13:00:00,258.32
2017-01-01 14:00:00,2017-01-01 14:00:00,263.94
2017-01-01 15:00:00,2017-01-01 15:00:00,264.55
2017-01-01 16:00:00,2017-01-01 16:00:00,258.32
2017-01-01 17:00:00,2017-01-01 17:00:00,269.04
2017-01-01 18:00:00,2017-01-01 18:00:00,269.59
2017-01-01 19:00:00,2017-01-01 19:00:00,267.04
2017-01-01 20:00:00,2017-01-01 20:00:00,270.58
2017-01-01 21:00:00,2017-01-01 21:00:00,271.07
2017-01-01 22:00:00,2017-01-01 22:00:00,266.11
2017-01-01 23:00:00,2017-01-01 23:00:00,259.81
2017-01-02 00:00:00,2017-01-02 00:00:00,249.63
2017-01-02 01:00:00,2017-01-02 01:00:00,182.29
2017-01-02 02:00:00,2017-01-02 02:00:00,241.03
2017-01-02 03:00:00,2017-01-02 03:00:00,243.37
2017-01-02 04:00:00,2017-01-02 04:00:00,240.92
2017-01-02 05:00:00,2017-01-02 05:00:00,239.19
2017-01-02 06:00:00,2017-01-02 06:00:00,257.82
2017-01-02 07:00:00,2017-01-02 07:00:00,270.55
2017-01-02 08:00:00,2017-01-02 08:00:00,263.41
2017-01-02 09:00:00,2017-01-02 09:00:00,262.31
2017-01-02 10:00:00,2017-01-02 10:00:00,264.03
2017-01-02 11:00:00,2017-01-02 11:00:00,262.6
2017-01-02 12:00:00,2017-01-02 12:00:00,266.82
2017-01-02 13:00:00,2017-01-02 13:00:00,261.85
2017-01-02 14:00:00,2017-01-02 14:00:00,266.11
2017-01-02 15:00:00,2017-01-02 15:00:00,266.74
2017-01-02 16:00:00,2017-01-02 16:00:00,266.97
2017-01-02 17:00:00,2017-01-02 17:00:00,271.49
2017-01-02 18:00:00,2017-01-02 18:00:00,281.64
2017-01-02 19:00:00,2017-01-02 19:00:00,289.01
2017-01-02 20:00:00,2017-01-02 20:00:00,291.4
2017-01-02 21:00:00,2017-01-02 21:00:00,288.94
2017-01-02 22:00:00,2017-01-02 22:00:00,289.08
2017-01-02 23:00:00,2017-01-02 23:00:00,283.5
2017-01-03 00:00:00,2017-01-03 00:00:00,254.34
2017-01-03 01:00:00,2017-01-03 01:00:00,253.02
2017-01-03 02:00:00,2017-01-03 02:00:00,249.03
2017-01-03 03:00:00,2017-01-03 03:00:00,249.73
2017-01-03 04:00:00,2017-01-03 04:00:00,245.72
2017-01-03 05:00:00,2017-01-03 05:00:00,246.53
2017-01-03 06:00:00,2017-01-03 06:00:00,262.0
2017-01-03 07:00:00,2017-01-03 07:00:00,273.12
2017-01-03 08:00:00,2017-01-03 08:00:00,285.72
2017-01-03 09:00:00,2017-01-03 09:00:00,286.36
2017-01-03 10:00:00,2017-01-03 10:00:00,304.52
2017-01-03 11:00:00,2017-01-03 11:00:00,305.02
2017-01-03 12:00:00,2017-01-03 12:00:00,308.31
2017-01-03 13:00:00,2017-01-03 13:00:00,301.72
2017-01-03 14:00:00,2017-01-03 14:00:00,301.94
2017-01-03 15:00:00,2017-01-03 15:00:00,296.97
2017-01-03 16:00:00,2017-01-03 16:00:00,308.56
2017-01-03 17:00:00,2017-01-03 17:00:00,328.18
2017-01-03 18:00:00,2017-01-03 18:00:00,322.24
2017-01-03 19:00:00,2017-01-03 19:00:00,302.25
2017-01-03 20:00:00,2017-01-03 20:00:00,303.14
2017-01-03 21:00:00,2017-01-03 21:00:00,291.68
2017-01-03 22:00:00,2017-01-03 22:00:00,282.19
2017-01-03 23:00:00,2017-01-03 23:00:00,286.14
2017-01-04 00:00:00,2017-01-04 00:00:00,269.92
2017-01-04 01:00:00,2017-01-04 01:00:00,267.14
2017-01-04 02:00:00,2017-01-04 02:00:00,264.46
2017-01-04 03:00:00,2017-01-04 03:00:00,265.03
2017-01-04 04:00:00,2017-01-04 04:00:00,261.73
2017-01-04 05:00:00,2017-01-04 05:00:00,263.37
2017-01-04 06:00:00,2017-01-04 06:00:00,277.03
2017-01-04 07:00:00,2017-01-04 07:00:00,295.56
2017-01-04 08:00:00,2017-01-04 08:00:00,309.31
2017-01-04 09:00:00,2017-01-04 09:00:00,322.76
2017-01-04 10:00:00,2017-01-04 10:00:00,320.77
2017-01-04 11:00:00,2017-01-04 11:00:00,327.44
2017-01-04 12:00:00,2017-01-04 12:00:00,332.66
2017-01-04 13:00:00,2017-01-04 13:00:00,322.62
2017-01-04 14:00:00,2017-01-04 14:00:00,317.08
2017-01-04 15:00:00,2017-01-04 15:00:00,321.0
