timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,389.98
2016-01-01 01:00:00,2016-01-01 01:00:00,381.71
2016-01-01 02:00:00,2016-01-01 02:00:00,378.45
2016-01-01 03:00:00,2016-01-01 03:00:00,367.82
2016-01-01 04:00:00,2016-01-01 04:00:00,359.33
2016-01-01 05:00:00,2016-01-01 05:00:00,356.97
2016-01-01 06:00:00,2016-01-01 06:00:00,353.21
2016-01-01 07:00:00,2016-01-01 07:00:00,349.0
2016-01-01 08:00:00,2016-01-01 08:00:00,338.74
2016-01-01 09:00:00,2016-01-01 09:00:00,346.93
2016-01-01 10:00:00,2016-01-01 10:00:00,362.55
2016-01-01 11:00:00,2016-01-01 11:00:00,392.96
2016-01-01 12:00:00,2016-01-01 12:00:00,409.77
2016-01-01 13:00:00,2016-01-01 13:00:00,420.59
2016-01-01 14:00:00,2016-01-01 14:00:00,420.47
2016-01-01 15:00:00,2016-01-01 15:00:00,415.62
2016-01-01 16:00:00,2016-01-01 16:00:00,419.28
2016-01-01 17:00:00,2016-01-01 17:00:00,418.03
2016-01-01 18:00:00,2016-01-01 18:00:00,424.03
2016-01-01 19:00:00,2016-01-01 19:00:00,420.03
2016-01-01 20:00:00,2016-01-01 20:00:00,416.65
2016-01-01 21:00:00,2016-01-01 21:00:00,413.42
2016-01-01 22:00:00,2016-01-01 22:00:00,409.58
2016-01-01 23:00:00,2016-01-01 23:00:00,403.5
2016-01-02 00:00:00,2016-01-02 00:00:00,400.73
2016-01-02 01:00:00,2016-01-02 01:00:00,397.97
2016-01-02 02:00:00,2016-01-02 02:00:00,397.07
2016-01-02 03:00:00,2016-01-02 03:00:00,401.47
2016-01-02 04:00:00,2016-01-02 04:00:00,399.85
2016-01-02 05:00:00,2016-01-02 05:00:00,400.79
2016-01-02 06:00:00,2016-01-02 06:00:00,400.21
2016-01-02 07:00:00,2016-01-02 07:00:00,399.87
2016-01-02 08:00:00,2016-01-02 08:00:00,395.71
2016-01-02 09:00:00,2016-01-02 09:00:00,403.46
2016-01-02 10:00:00,2016-01-02 10:00:00,407.32
2016-01-02 11:00:00,2016-01-02 11:00:00,413.07
2016-01-02 12:00:00,2016-01-02 12:00:00,422.22
2016-01-02 13:00:00,2016-01-02 13:00:00,421.09
2016-01-02 14:00:00,2016-01-02 14:00:00,419.98
