timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,493.4
2016-01-01 01:00:00,2016-01-01 01:00:00,494.49
2016-01-01 02:00:00,2016-01-01 02:00:00,492.17
2016-01-01 03:00:00,2016-01-01 03:00:00,489.68
2016-01-01 04:00:00,2016-01-01 04:00:00,492.7
2016-01-01 05:00:00,2016-01-01 05:00:00,490.22
2016-01-01 06:00:00,2016-01-01 06:00:00,489.94
2016-01-01 07:00:00,2016-01-01 07:00:00,487.61
2016-01-01 08:00:00,2016-01-01 08:00:00,481.14
2016-01-01 09:00:00,2016-01-01 09:00:00,481.38
2016-01-01 10:00:00,2016-01-01 10:00:00,485.54
2016-01-01 11:00:00,2016-01-01 11:00:00,488.76
2016-01-01 12:00:00,2016-01-01 12:00:00,491.79
2016-01-01 13:00:00,2016-01-01 13:00:00,498.25
2016-01-01 14:00:00,2016-01-01 14:00:00,497.77
2016-01-01 15:00:00,2016-01-01 15:00:00,499.67
2016-01-01 16:00:00,2016-01-01 16:00:00,499.91
2016-01-01 17:00:00,2016-01-01 17:00:00,490.96
2016-01-01 18:00:00,2016-01-01 18:00:00,485.64
2016-01-01 19:00:00,2016-01-01 19:00:00,486.83
2016-01-01 20:00:00,2016-01-01 20:00:00,485.36
2016-01-01 21:00:00,2016-01-01 21:00:00,484.97
2016-01-01 22:00:00,2016-01-01 22:00:00,484.9
2016-01-01 23:00:00,2016-01-01 23:00:00,483.28
2016-01-02 00:00:00,2016-01-02 00:00:00,486.32
2016-01-02 01:00:00,2016-01-02 01:00:00,486.46
2016-01-02 02:00:00,2016-01-02 02:00:00,488.62
2016-01-02 03:00:00,2016-01-02 03:00:00,488.55
2016-01-02 04:00:00,2016-01-02 04:00:00,488.59
2016-01-02 05:00:00,2016-01-02 05:00:00,487.19
2016-01-02 06:00:00,2016-01-02 06:00:00,486.81
2016-01-02 07:00:00,2016-01-02 07:00:00,486.47
2016-01-02 08:00:00,2016-01-02 08:00:00,483.72
2016-01-02 09:00:00,2016-01-02 09:00:00,483.23
2016-01-02 10:00:00,2016-01-02 10:00:00,489.54
2016-01-02 11:00:00,2016-01-02 11:00:00,491.92
2016-01-02 12:00:00,2016-01-02 12:00:00,498.14
2016-01-02 13:00:00,2016-01-02 13:00:00,499.34
2016-01-02 14:00:00,2016-01-02 14:00:00,495.44
2016-01-02 15:00:00,2016-01-02 15:00:00,497.94
2016-01-02 16:00:00,2016-01-02 16:00:00,495.32
2016-01-02 17:00:00,2016-01-02 17:00:00,492.34
2016-01-02 18:00:00,2016-01-02 18:00:00,498.1
2016-01-02 19:00:00,2016-01-02 19:00:00,490.95
2016-01-02 20:00:00,2016-01-02 20:00:00,492.9
2016-01-02 21:00:00,2016-01-02 21:00:00,490.19
2016-01-02 22:00:00,2016-01-02 22:00:00,483.87
2016-01-02 23:00:00,2016-01-02 23:00:00,483.45
2016-01-03 00:00:00,2016-01-03 00:00:00,479.36
2016-01-03 01:00:00,2016-01-03 01:00:00,481.89
2016-01-03 02:00:00,2016-01-03 02:00:00,480.96
2016-01-03 03:00:00,2016-01-03 03:00:00,478.49
2016-01-03 04:00:00,2016-01-03 04:00:00,484.57
2016-01-03 05:00:00,2016-01-03 05:00:00,483.33
2016-01-03 06:00:00,2016-01-03 06:00:00,484.03
2016-01-03 07:00:00,2016-01-03 07:00:00,482.98
2016-01-03 08:00:00,2016-01-03 08:00:00,481.51
2016-01-03 09:00:00,2016-01-03 09:00:00,480.06
2016-01-03 10:00:00,2016-01-03 10:00:00,485.29
2016-01-03 11:00:00,2016-01-03 11:00:00,491.46
2016-01-03 12:00:00,2016-01-03 12:00:00,493.19
