timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,143.25
2016-01-01 01:00:00,2016-01-01 01:00:00,140.9
2016-01-01 02:00:00,2016-01-01 02:00:00,139.93
2016-01-01 03:00:00,2016-01-01 03:00:00,141.12
2016-01-01 04:00:00,2016-01-01 04:00:00,139.02
2016-01-01 05:00:00,2016-01-01 05:00:00,146.14
2016-01-01 06:00:00,2016-01-01 06:00:00,153.66
2016-01-01 07:00:00,2016-01-01 07:00:00,150.86
2016-01-01 08:00:00,2016-01-01 08:00:00,145.82
2016-01-01 09:00:00,2016-01-01 09:00:00,147.89
2016-01-01 10:00:00,2016-01-01 10:00:00,147.8
2016-01-01 11:00:00,2016-01-01 11:00:00,148.42
2016-01-01 12:00:00,2016-01-01 12:00:00,150.24
2016-01-01 13:00:00,2016-01-01 13:00:00,153.91
2016-01-01 14:00:00,2016-01-01 14:00:00,156.45
2016-01-01 15:00:00,2016-01-01 15:00:00,153.46
2016-01-01 16:00:00,2016-01-01 16:00:00,149.83
2016-01-01 17:00:00,2016-01-01 17:00:00,151.45
2016-01-01 18:00:00,2016-01-01 18:00:00,158.7
2016-01-01 19:00:00,2016-01-01 19:00:00,162.22
2016-01-01 20:00:00,2016-01-01 20:00:00,162.57
2016-01-01 21:00:00,2016-01-01 21:00:00,159.9
2016-01-01 22:00:00,2016-01-01 22:00:00,161.39
2016-01-01 23:00:00,2016-01-01 23:00:00,158.11
2016-01-02 00:00:00,2016-01-02 00:00:00,155.81
2016-01-02 01:00:00,2016-01-02 01:00:00,155.39
2016-01-02 02:00:00,2016-01-02 02:00:00,156.14
2016-01-02 03:00:00,2016-01-02 03:00:00,153.59
2016-01-02 04:00:00,2016-01-02 04:00:00,152.35
2016-01-02 05:00:00,2016-01-02 05:00:00,150.71
2016-01-02 06:00:00,2016-01-02 06:00:00,152.78
2016-01-02 07:00:00,2016-01-02 07:00:00,152.35
2016-01-02 08:00:00,2016-01-02 08:00:00,153.95
2016-01-02 09:00:00,2016-01-02 09:00:00,149.12
2016-01-02 10:00:00,2016-01-02 10:00:00,150.92
2016-01-02 11:00:00,2016-01-02 11:00:00,148.8
2016-01-02 12:00:00,2016-01-02 12:00:00,150.27
2016-01-02 13:00:00,2016-01-02 13:00:00,151.64
2016-01-02 14:00:00,2016-01-02 14:00:00,153.69
2016-01-02 15:00:00,2016-01-02 15:00:00,153.0
2016-01-02 16:00:00,2016-01-02 16:00:00,158.12
2016-01-02 17:00:00,2016-01-02 17:00:00,157.29
2016-01-02 18:00:00,2016-01-02 18:00:00,164.51
2016-01-02 19:00:00,2016-01-02 19:00:00,172.91
2016-01-02 20:00:00,2016-01-02 20:00:00,166.99
2016-01-02 21:00:00,2016-01-02 21:00:00,159.18
2016-01-02 22:00:00,2016-01-02 22:00:00,160.56
2016-01-02 23:00:00,2016-01-02 23:00:00,150.68
2016-01-03 00:00:00,2016-01-03 00:00:00,142.22
2016-01-03 01:00:00,2016-01-03 01:00:00,140.3
2016-01-03 02:00:00,2016-01-03 02:00:00,140.27
2016-01-03 03:00:00,2016-01-03 03:00:00,140.45
2016-01-03 04:00:00,2016-01-03 04:00:00,137.64
2016-01-03 05:00:00,2016-01-03 05:00:00,139.64
2016-01-03 06:00:00,2016-01-03 06:00:00,153.24
2016-01-03 07:00:00,2016-01-03 07:00:00,150.14
2016-01-03 08:00:00,2016-01-03 08:00:00,146.43
2016-01-03 09:00:00,2016-01-03 09:00:00,148.3
