timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,241.35
2016-01-01 01:00:00,2016-01-01 01:00:00,245.6
2016-01-01 02:00:00,2016-01-01 02:00:00,241.7
2016-01-01 03:00:00,2016-01-01 03:00:00,238.81
2016-01-01 04:00:00,2016-01-01 04:00:00,239.25
2016-01-01 05:00:00,2016-01-01 05:00:00,238.97
2016-01-01 06:00:00,2016-01-01 06:00:00,237.3
2016-01-01 07:00:00,2016-01-01 07:00:00,238.58
2016-01-01 08:00:00,2016-01-01 08:00:00,230.75
2016-01-01 09:00:00,2016-01-01 09:00:00,227.68
2016-01-01 10:00:00,2016-01-01 10:00:00,224.7
2016-01-01 11:00:00,2016-01-01 11:00:00,223.87
2016-01-01 12:00:00,2016-01-01 12:00:00,222.95
2016-01-01 13:00:00,2016-01-01 13:00:00,226.24
2016-01-01 14:00:00,2016-01-01 14:00:00,223.38
2016-01-01 15:00:00,2016-01-01 15:00:00,230.99
2016-01-01 16:00:00,2016-01-01 16:00:00,237.47
2016-01-01 17:00:00,2016-01-01 17:00:00,237.35
2016-01-01 18:00:00,2016-01-01 18:00:00,241.47
2016-01-01 19:00:00,2016-01-01 19:00:00,248.99
2016-01-01 20:00:00,2016-01-01 20:00:00,249.56
2016-01-01 21:00:00,2016-01-01 21:00:00,241.98
2016-01-01 22:00:00,2016-01-01 22:00:00,242.89
2016-01-01 23:00:00,2016-01-01 23:00:00,245.8
2016-01-02 00:00:00,2016-01-02 00:00:00,239.44
2016-01-02 01:00:00,2016-01-02 01:00:00,241.62
2016-01-02 02:00:00,2016-01-02 02:00:00,238.36
2016-01-02 03:00:00,2016-01-02 03:00:00,237.96
2016-01-02 04:00:00,2016-01-02 04:00:00,237.91
2016-01-02 05:00:00,2016-01-02 05:00:00,238.28
2016-01-02 06:00:00,2016-01-02 06:00:00,236.33
2016-01-02 07:00:00,2016-01-02 07:00:00,239.61
2016-01-02 08:00:00,2016-01-02 08:00:00,235.99
2016-01-02 09:00:00,2016-01-02 09:00:00,231.6
2016-01-02 10:00:00,2016-01-02 10:00:00,232.57
2016-01-02 11:00:00,2016-01-02 11:00:00,232.15
2016-01-02 12:00:00,2016-01-02 12:00:00,230.91
2016-01-02 13:00:00,2016-01-02 13:00:00,233.82
2016-01-02 14:00:00,2016-01-02 14:00:00,228.75
2016-01-02 15:00:00,2016-01-02 15:00:00,233.08
2016-01-02 16:00:00,2016-01-02 16:00:00,239.04
2016-01-02 17:00:00,2016-01-02 17:00:00,242.39
2016-01-02 18:00:00,2016-01-02 18:00:00,245.64
2016-01-02 19:00:00,2016-01-02 19:00:00,237.94
2016-01-02 20:00:00,2016-01-02 20:00:00,239.57
2016-01-02 21:00:00,2016-01-02 21:00:00,239.9
2016-01-02 22:00:00,2016-01-02 22:00:00,248.07
2016-01-02 23:00:00,2016-01-02 23:00:00,245.57
2016-01-03 00:00:00,2016-01-03 00:00:00,240.48
2016-01-03 01:00:00,2016-01-03 01:00:00,245.57
2016-01-03 02:00:00,2016-01-03 02:00:00,238.89
2016-01-03 03:00:00,2016-01-03 03:00:00,237.2
2016-01-03 04:00:00,2016-01-03 04:00:00,238.22
2016-01-03 05:00:00,2016-01-03 05:00:00,236.51
2016-01-03 06:00:00,2016-01-03 06:00:00,233.73
2016-01-03 07:00:00,2016-01-03 07:00:00,235.06
2016-01-03 08:00:00,2016-01-03 08:00:00,226.22
2016-01-03 09:00:00,2016-01-03 09:00:00,223.61
2016-01-03 10:00:00,2016-01-03 10:00:00,220.57
2016-01-03 11:00:00,2016-01-03 11:00:00,223.14
2016-01-03 12:00:00,2016-01-03 12:00:00,220.55
2016-01-03 13:00:00,2016-01-03 13:00:00,221.94
2016-01-03 14:00:00,2016-01-03 14:00:00,224.37
2016-01-03 15:00:00,2016-01-03 15:00:00,228.72
2016-01-03 16:00:00,2016-01-03 16:00:00,234.08
2016-01-03 17:00:00,2016-01-03 17:00:00,233.63
2016-01-03 18:00:00,2016-01-03 18:00:00,236.8
2016-01-03 19:00:00,2016-01-03 19:00:00,239.15
2016-01-03 20:00:00,2016-01-03 20:00:00,245.9
2016-01-03 21:00:00,2016-01-03 21:00:00,256.81
2016-01-03 22:00:00,2016-01-03 22:00:00,251.92
2016-01-03 23:00:00,2016-01-03 23:00:00,242.26
2016-01-04 00:00:00,2016-01-04 00:00:00,239.2
2016-01-04 01:00:00,2016-01-04 01:00:00,239.82
2016-01-04 02:00:00,2016-01-04 02:00:00,238.36
2016-01-04 03:00:00,2016-01-04 03:00:00,237.62
2016-01-04 04:00:00,2016-01-04 04:00:00,235.38
2016-01-04 05:00:00,2016-01-04 05:00:00,234.61
2016-01-04 06:00:00,2016-01-04 06:00:00,232.59
2016-01-04 07:00:00,2016-01-04 07:00:00,238.75
2016-01-04 08:00:00,2016-01-04 08:00:00,237.66
2016-01-04 09:00:00,2016-01-04 09:00:00,241.46
2016-01-04 10:00:00,2016-01-04 10:00:00,241.36
2016-01-04 11:00:00,2016-01-04 11:00:00,245.46
2016-01-04 12:00:00,2016-01-04 12:00:00,249.44
2016-01-04 13:00:00,2016-01-04 13:00:00,246.98
2016-01-04 14:00:00,2016-01-04 14:00:00,256.12
2016-01-04 15:00:00,2016-01-04 15:00:00,251.18
2016-01-04 16:00:00,2016-01-04 16:00:00,251.9
2016-01-04 17:00:00,2016-01-04 17:00:00,247.9
2016-01-04 18:00:00,2016-01-04 18:00:00,244.19
2016-01-04 19:00:00,2016-01-04 19:00:00,243.64
2016-01-04 20:00:00,2016-01-04 20:00:00,247.79
2016-01-04 21:00:00,2016-01-04 21:00:00,247.26
2016-01-04 22:00:00,2016-01-04 22:00:00,244.0
2016-01-04 23:00:00,2016-01-04 23:00:00,254.21
2016-01-05 00:00:00,2016-01-05 00:00:00,245.88
2016-01-05 01:00:00,2016-01-05 01:00:00,241.73
2016-01-05 02:00:00,2016-01-05 02:00:00,240.01
2016-01-05 03:00:00,2016-01-05 03:00:00,239.31
2016-01-05 04:00:00,2016-01-05 04:00:00,239.63
2016-01-05 05:00:00,2016-01-05 05:00:00,241.2
2016-01-05 06:00:00,2016-01-05 06:00:00,239.94
2016-01-05 07:00:00,2016-01-05 07:00:00,247.33
2016-01-05 08:00:00,2016-01-05 08:00:00,245.27
2016-01-05 09:00:00,2016-01-05 09:00:00,247.94
2016-01-05 10:00:00,2016-01-05 10:00:00,249.85
2016-01-05 11:00:00,2016-01-05 11:00:00,253.33
2016-01-05 12:00:00,2016-01-05 12:00:00,254.58
2016-01-05 13:00:00,2016-01-05 13:00:00,251.42
2016-01-05 14:00:00,2016-01-05 14:00:00,253.66
2016-01-05 15:00:00,2016-01-05 15:00:00,251.49
2016-01-05 16:00:00,2016-01-05 16:00:00,249.59
2016-01-05 17:00:00,2016-01-05 17:00:00,253.06
2016-01-05 18:00:00,2016-01-05 18:00:00,251.29
2016-01-05 19:00:00,2016-01-05 19:00:00,251.44
2016-01-05 20:00:00,2016-01-05 20:00:00,254.32
2016-01-05 21:00:00,2016-01-05 21:00:00,257.83
2016-01-05 22:00:00,2016-01-05 22:00:00,257.02
2016-01-05 23:00:00,2016-01-05 23:00:00,249.8
2016-01-06 00:00:00,2016-01-06 00:00:00,245.75
2016-01-06 01:00:00,2016-01-06 01:00:00,253.31
2016-01-06 02:00:00,2016-01-06 02:00:00,243.41
2016-01-06 03:00:00,2016-01-06 03:00:00,244.1
2016-01-06 04:00:00,2016-01-06 04:00:00,245.14
2016-01-06 05:00:00,2016-01-06 05:00:00,251.15
2016-01-06 06:00:00,2016-01-06 06:00:00,245.26
2016-01-06 07:00:00,2016-01-06 07:00:00,249.65
2016-01-06 08:00:00,2016-01-06 08:00:00,249.34
2016-01-06 09:00:00,2016-01-06 09:00:00,248.36
2016-01-06 10:00:00,2016-01-06 10:00:00,255.24
2016-01-06 11:00:00,2016-01-06 11:00:00,263.56
2016-01-06 12:00:00,2016-01-06 12:00:00,257.32
2016-01-06 13:00:00,2016-01-06 13:00:00,256.91
2016-01-06 14:00:00,2016-01-06 14:00:00,258.94
2016-01-06 15:00:00,2016-01-06 15:00:00,265.36
2016-01-06 16:00:00,2016-01-06 16:00:00,262.5
2016-01-06 17:00:00,2016-01-06 17:00:00,258.6
2016-01-06 18:00:00,2016-01-06 18:00:00,268.84
2016-01-06 19:00:00,2016-01-06 19:00:00,267.07
2016-01-06 20:00:00,2016-01-06 20:00:00,259.13
2016-01-06 21:00:00,2016-01-06 21:00:00,258.82
2016-01-06 22:00:00,2016-01-06 22:00:00,257.05
2016-01-06 23:00:00,2016-01-06 23:00:00,258.18
2016-01-07 00:00:00,2016-01-07 00:00:00,251.87
2016-01-07 01:00:00,2016-01-07 01:00:00,251.97
2016-01-07 02:00:00,2016-01-07 02:00:00,248.24
2016-01-07 03:00:00,2016-01-07 03:00:00,246.2
2016-01-07 04:00:00,2016-01-07 04:00:00,247.63
2016-01-07 05:00:00,2016-01-07 05:00:00,250.62
2016-01-07 06:00:00,2016-01-07 06:00:00,248.98
2016-01-07 07:00:00,2016-01-07 07:00:00,253.87
2016-01-07 08:00:00,2016-01-07 08:00:00,255.47
2016-01-07 09:00:00,2016-01-07 09:00:00,273.87
2016-01-07 10:00:00,2016-01-07 10:00:00,272.42
2016-01-07 11:00:00,2016-01-07 11:00:00,275.11
2016-01-07 12:00:00,2016-01-07 12:00:00,274.97
2016-01-07 13:00:00,2016-01-07 13:00:00,282.39
2016-01-07 14:00:00,2016-01-07 14:00:00,292.45
2016-01-07 15:00:00,2016-01-07 15:00:00,285.41
2016-01-07 16:00:00,2016-01-07 16:00:00,286.59
2016-01-07 17:00:00,2016-01-07 17:00:00,284.66
2016-01-07 18:00:00,2016-01-07 18:00:00,281.16
2016-01-07 19:00:00,2016-01-07 19:00:00,276.19
2016-01-07 20:00:00,2016-01-07 20:00:00,280.54
2016-01-07 21:00:00,2016-01-07 21:00:00,285.11
2016-01-07 22:00:00,2016-01-07 22:00:00,282.39
2016-01-07 23:00:00,2016-01-07 23:00:00,278.09
2016-01-08 00:00:00,2016-01-08 00:00:00,269.4
2016-01-08 01:00:00,2016-01-08 01:00:00,265.81
2016-01-08 02:00:00,2016-01-08 02:00:00,261.54
2016-01-08 03:00:00,2016-01-08 03:00:00,258.32
2016-01-08 04:00:00,2016-01-08 04:00:00,257.48
2016-01-08 05:00:00,2016-01-08 05:00:00,254.2
2016-01-08 06:00:00,2016-01-08 06:00:00,256.58
2016-01-08 07:00:00,2016-01-08 07:00:00,263.15
2016-01-08 08:00:00,2016-01-08 08:00:00,268.89
2016-01-08 09:00:00,2016-01-08 09:00:00,270.86
2016-01-08 10:00:00,2016-01-08 10:00:00,271.33
2016-01-08 11:00:00,2016-01-08 11:00:00,271.53
2016-01-08 12:00:00,2016-01-08 12:00:00,274.76
2016-01-08 13:00:00,2016-01-08 13:00:00,288.52
2016-01-08 14:00:00,2016-01-08 14:00:00,290.47
2016-01-08 15:00:00,2016-01-08 15:00:00,279.13
2016-01-08 16:00:00,2016-01-08 16:00:00,289.03
2016-01-08 17:00:00,2016-01-08 17:00:00,298.81
2016-01-08 18:00:00,2016-01-08 18:00:00,287.51
2016-01-08 19:00:00,2016-01-08 19:00:00,286.79
2016-01-08 20:00:00,2016-01-08 20:00:00,283.61
2016-01-08 21:00:00,2016-01-08 21:00:00,286.68
2016-01-08 22:00:00,2016-01-08 22:00:00,288.74
2016-01-08 23:00:00,2016-01-08 23:00:00,288.81
2016-01-09 00:00:00,2016-01-09 00:00:00,282.47
2016-01-09 01:00:00,2016-01-09 01:00:00,274.82
2016-01-09 02:00:00,2016-01-09 02:00:00,264.95
2016-01-09 03:00:00,2016-01-09 03:00:00,261.55
2016-01-09 04:00:00,2016-01-09 04:00:00,257.93
2016-01-09 05:00:00,2016-01-09 05:00:00,259.62
2016-01-09 06:00:00,2016-01-09 06:00:00,256.06
2016-01-09 07:00:00,2016-01-09 07:00:00,255.13
2016-01-09 08:00:00,2016-01-09 08:00:00,256.28
2016-01-09 09:00:00,2016-01-09 09:00:00,266.21
2016-01-09 10:00:00,2016-01-09 10:00:00,272.59
2016-01-09 11:00:00,2016-01-09 11:00:00,273.13
2016-01-09 12:00:00,2016-01-09 12:00:00,282.97
2016-01-09 13:00:00,2016-01-09 13:00:00,284.81
2016-01-09 14:00:00,2016-01-09 14:00:00,283.85
2016-01-09 15:00:00,2016-01-09 15:00:00,290.46
2016-01-09 16:00:00,2016-01-09 16:00:00,310.01
2016-01-09 17:00:00,2016-01-09 17:00:00,307.53
2016-01-09 18:00:00,2016-01-09 18:00:00,319.51
2016-01-09 19:00:00,2016-01-09 19:00:00,314.89
2016-01-09 20:00:00,2016-01-09 20:00:00,309.62
2016-01-09 21:00:00,2016-01-09 21:00:00,310.44
2016-01-09 22:00:00,2016-01-09 22:00:00,310.0
2016-01-09 23:00:00,2016-01-09 23:00:00,315.23
2016-01-10 00:00:00,2016-01-10 00:00:00,305.45
2016-01-10 01:00:00,2016-01-10 01:00:00,309.49
2016-01-10 02:00:00,2016-01-10 02:00:00,289.52
2016-01-10 03:00:00,2016-01-10 03:00:00,278.49
2016-01-10 04:00:00,2016-01-10 04:00:00,272.59
2016-01-10 05:00:00,2016-01-10 05:00:00,268.69
2016-01-10 06:00:00,2016-01-10 06:00:00,265.44
2016-01-10 07:00:00,2016-01-10 07:00:00,268.26
2016-01-10 08:00:00,2016-01-10 08:00:00,262.36
2016-01-10 09:00:00,2016-01-10 09:00:00,268.12
2016-01-10 10:00:00,2016-01-10 10:00:00,283.04
2016-01-10 11:00:00,2016-01-10 11:00:00,321.01
2016-01-10 12:00:00,2016-01-10 12:00:00,328.19
2016-01-10 13:00:00,2016-01-10 13:00:00,342.38
2016-01-10 14:00:00,2016-01-10 14:00:00,361.19
2016-01-10 15:00:00,2016-01-10 15:00:00,358.51
2016-01-10 16:00:00,2016-01-10 16:00:00,362.27
2016-01-10 17:00:00,2016-01-10 17:00:00,383.98
2016-01-10 18:00:00,2016-01-10 18:00:00,388.0
2016-01-10 19:00:00,2016-01-10 19:00:00,398.07
2016-01-10 20:00:00,2016-01-10 20:00:00,386.3
2016-01-10 21:00:00,2016-01-10 21:00:00,376.15
2016-01-10 22:00:00,2016-01-10 22:00:00,368.34
2016-01-10 23:00:00,2016-01-10 23:00:00,344.38
2016-01-11 00:00:00,2016-01-11 00:00:00,328.82
2016-01-11 01:00:00,2016-01-11 01:00:00,313.73
2016-01-11 02:00:00,2016-01-11 02:00:00,296.61
2016-01-11 03:00:00,2016-01-11 03:00:00,269.27
2016-01-11 04:00:00,2016-01-11 04:00:00,267.24
2016-01-11 05:00:00,2016-01-11 05:00:00,267.47
2016-01-11 06:00:00,2016-01-11 06:00:00,292.0
2016-01-11 07:00:00,2016-01-11 07:00:00,314.63
2016-01-11 08:00:00,2016-01-11 08:00:00,330.49
2016-01-11 09:00:00,2016-01-11 09:00:00,349.57
2016-01-11 10:00:00,2016-01-11 10:00:00,368.86
2016-01-11 11:00:00,2016-01-11 11:00:00,383.43
2016-01-11 12:00:00,2016-01-11 12:00:00,381.42
2016-01-11 13:00:00,2016-01-11 13:00:00,394.49
2016-01-11 14:00:00,2016-01-11 14:00:00,393.38
2016-01-11 15:00:00,2016-01-11 15:00:00,387.78
2016-01-11 16:00:00,2016-01-11 16:00:00,401.59
2016-01-11 17:00:00,2016-01-11 17:00:00,408.59
2016-01-11 18:00:00,2016-01-11 18:00:00,414.6
2016-01-11 19:00:00,2016-01-11 19:00:00,423.85
2016-01-11 20:00:00,2016-01-11 20:00:00,426.39
