timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,115.74
2016-01-01 01:00:00,2016-01-01 01:00:00,113.01
2016-01-01 02:00:00,2016-01-01 02:00:00,137.38
2016-01-01 03:00:00,2016-01-01 03:00:00,138.45
2016-01-01 04:00:00,2016-01-01 04:00:00,138.07
2016-01-01 05:00:00,2016-01-01 05:00:00,138.32
2016-01-01 06:00:00,2016-01-01 06:00:00,139.28
2016-01-01 07:00:00,2016-01-01 07:00:00,137.66
2016-01-01 08:00:00,2016-01-01 08:00:00,127.44
2016-01-01 09:00:00,2016-01-01 09:00:00,128.21
2016-01-01 10:00:00,2016-01-01 10:00:00,131.36
2016-01-01 11:00:00,2016-01-01 11:00:00,129.24
2016-01-01 12:00:00,2016-01-01 12:00:00,131.0
2016-01-01 13:00:00,2016-01-01 13:00:00,133.78
2016-01-01 14:00:00,2016-01-01 14:00:00,132.63
2016-01-01 15:00:00,2016-01-01 15:00:00,129.9
2016-01-01 16:00:00,2016-01-01 16:00:00,126.42
2016-01-01 17:00:00,2016-01-01 17:00:00,123.72
2016-01-01 18:00:00,2016-01-01 18:00:00,131.49
2016-01-01 19:00:00,2016-01-01 19:00:00,128.7
2016-01-01 20:00:00,2016-01-01 20:00:00,125.94
2016-01-01 21:00:00,2016-01-01 21:00:00,124.63
2016-01-01 22:00:00,2016-01-01 22:00:00,126.05
2016-01-01 23:00:00,2016-01-01 23:00:00,127.65
2016-01-02 00:00:00,2016-01-02 00:00:00,110.87
2016-01-02 01:00:00,2016-01-02 01:00:00,107.39
2016-01-02 02:00:00,2016-01-02 02:00:00,129.39
2016-01-02 03:00:00,2016-01-02 03:00:00,131.14
2016-01-02 04:00:00,2016-01-02 04:00:00,125.44
2016-01-02 05:00:00,2016-01-02 05:00:00,127.86
2016-01-02 06:00:00,2016-01-02 06:00:00,132.49
2016-01-02 07:00:00,2016-01-02 07:00:00,130.58
2016-01-02 08:00:00,2016-01-02 08:00:00,124.5
2016-01-02 09:00:00,2016-01-02 09:00:00,132.92
2016-01-02 10:00:00,2016-01-02 10:00:00,141.72
2016-01-02 11:00:00,2016-01-02 11:00:00,146.57
2016-01-02 12:00:00,2016-01-02 12:00:00,147.8
2016-01-02 13:00:00,2016-01-02 13:00:00,146.82
2016-01-02 14:00:00,2016-01-02 14:00:00,143.91
2016-01-02 15:00:00,2016-01-02 15:00:00,142.68
2016-01-02 16:00:00,2016-01-02 16:00:00,138.42
2016-01-02 17:00:00,2016-01-02 17:00:00,132.57
2016-01-02 18:00:00,2016-01-02 18:00:00,142.01
2016-01-02 19:00:00,2016-01-02 19:00:00,138.92
2016-01-02 20:00:00,2016-01-02 20:00:00,139.57
2016-01-02 21:00:00,2016-01-02 21:00:00,140.22
2016-01-02 22:00:00,2016-01-02 22:00:00,140.79
2016-01-02 23:00:00,2016-01-02 23:00:00,136.29
2016-01-03 00:00:00,2016-01-03 00:00:00,116.75
2016-01-03 01:00:00,2016-01-03 01:00:00,114.45
2016-01-03 02:00:00,2016-01-03 02:00:00,137.62
2016-01-03 03:00:00,2016-01-03 03:00:00,137.94
2016-01-03 04:00:00,2016-01-03 04:00:00,137.67
2016-01-03 05:00:00,2016-01-03 05:00:00,137.67
2016-01-03 06:00:00,2016-01-03 06:00:00,138.17
2016-01-03 07:00:00,2016-01-03 07:00:00,132.2
2016-01-03 08:00:00,2016-01-03 08:00:00,126.28
2016-01-03 09:00:00,2016-01-03 09:00:00,137.43
2016-01-03 10:00:00,2016-01-03 10:00:00,149.51
2016-01-03 11:00:00,2016-01-03 11:00:00,146.06
2016-01-03 12:00:00,2016-01-03 12:00:00,147.29
2016-01-03 13:00:00,2016-01-03 13:00:00,147.01
2016-01-03 14:00:00,2016-01-03 14:00:00,139.09
2016-01-03 15:00:00,2016-01-03 15:00:00,137.87
2016-01-03 16:00:00,2016-01-03 16:00:00,130.32
2016-01-03 17:00:00,2016-01-03 17:00:00,130.85
2016-01-03 18:00:00,2016-01-03 18:00:00,140.08
2016-01-03 19:00:00,2016-01-03 19:00:00,135.65
2016-01-03 20:00:00,2016-01-03 20:00:00,134.45
2016-01-03 21:00:00,2016-01-03 21:00:00,136.87
2016-01-03 22:00:00,2016-01-03 22:00:00,137.69
2016-01-03 23:00:00,2016-01-03 23:00:00,137.27
2016-01-04 00:00:00,2016-01-04 00:00:00,121.2
2016-01-04 01:00:00,2016-01-04 01:00:00,113.66
2016-01-04 02:00:00,2016-01-04 02:00:00,133.99
2016-01-04 03:00:00,2016-01-04 03:00:00,137.47
2016-01-04 04:00:00,2016-01-04 04:00:00,135.48
2016-01-04 05:00:00,2016-01-04 05:00:00,136.62
2016-01-04 06:00:00,2016-01-04 06:00:00,137.66
2016-01-04 07:00:00,2016-01-04 07:00:00,147.68
2016-01-04 08:00:00,2016-01-04 08:00:00,156.03
2016-01-04 09:00:00,2016-01-04 09:00:00,159.15
2016-01-04 10:00:00,2016-01-04 10:00:00,162.09
2016-01-04 11:00:00,2016-01-04 11:00:00,165.46
2016-01-04 12:00:00,2016-01-04 12:00:00,169.14
2016-01-04 13:00:00,2016-01-04 13:00:00,164.98
2016-01-04 14:00:00,2016-01-04 14:00:00,169.56
2016-01-04 15:00:00,2016-01-04 15:00:00,169.38
2016-01-04 16:00:00,2016-01-04 16:00:00,163.8
2016-01-04 17:00:00,2016-01-04 17:00:00,161.71
2016-01-04 18:00:00,2016-01-04 18:00:00,158.66
2016-01-04 19:00:00,2016-01-04 19:00:00,154.55
2016-01-04 20:00:00,2016-01-04 20:00:00,149.34
2016-01-04 21:00:00,2016-01-04 21:00:00,146.84
2016-01-04 22:00:00,2016-01-04 22:00:00,151.3
2016-01-04 23:00:00,2016-01-04 23:00:00,153.55
2016-01-05 00:00:00,2016-01-05 00:00:00,133.15
2016-01-05 01:00:00,2016-01-05 01:00:00,127.57
2016-01-05 02:00:00,2016-01-05 02:00:00,148.33
