timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,88.1
2016-01-01 01:00:00,2016-01-01 01:00:00,91.88
2016-01-01 02:00:00,2016-01-01 02:00:00,92.6
2016-01-01 03:00:00,2016-01-01 03:00:00,95.39
2016-01-01 04:00:00,2016-01-01 04:00:00,95.51
2016-01-01 05:00:00,2016-01-01 05:00:00,97.72
2016-01-01 06:00:00,2016-01-01 06:00:00,98.36
2016-01-01 07:00:00,2016-01-01 07:00:00,99.49
2016-01-01 08:00:00,2016-01-01 08:00:00,99.26
2016-01-01 09:00:00,2016-01-01 09:00:00,96.48
2016-01-01 10:00:00,2016-01-01 10:00:00,94.74
2016-01-01 11:00:00,2016-01-01 11:00:00,92.91
2016-01-01 12:00:00,2016-01-01 12:00:00,85.57
2016-01-01 13:00:00,2016-01-01 13:00:00,83.7
2016-01-01 14:00:00,2016-01-01 14:00:00,81.53
2016-01-01 15:00:00,2016-01-01 15:00:00,86.64
2016-01-01 16:00:00,2016-01-01 16:00:00,92.15
2016-01-01 17:00:00,2016-01-01 17:00:00,89.65
2016-01-01 18:00:00,2016-01-01 18:00:00,86.69
2016-01-01 19:00:00,2016-01-01 19:00:00,81.75
2016-01-01 20:00:00,2016-01-01 20:00:00,79.62
2016-01-01 21:00:00,2016-01-01 21:00:00,82.96
2016-01-01 22:00:00,2016-01-01 22:00:00,83.28
2016-01-01 23:00:00,2016-01-01 23:00:00,82.97
2016-01-02 00:00:00,2016-01-02 00:00:00,84.32
2016-01-02 01:00:00,2016-01-02 01:00:00,88.76
2016-01-02 02:00:00,2016-01-02 02:00:00,96.48
2016-01-02 03:00:00,2016-01-02 03:00:00,94.94
2016-01-02 04:00:00,2016-01-02 04:00:00,95.15
2016-01-02 05:00:00,2016-01-02 05:00:00,95.99
2016-01-02 06:00:00,2016-01-02 06:00:00,99.39
2016-01-02 07:00:00,2016-01-02 07:00:00,96.15
2016-01-02 08:00:00,2016-01-02 08:00:00,98.81
2016-01-02 09:00:00,2016-01-02 09:00:00,98.36
2016-01-02 10:00:00,2016-01-02 10:00:00,96.95
2016-01-02 11:00:00,2016-01-02 11:00:00,94.71
2016-01-02 12:00:00,2016-01-02 12:00:00,97.11
2016-01-02 13:00:00,2016-01-02 13:00:00,98.54
2016-01-02 14:00:00,2016-01-02 14:00:00,108.98
2016-01-02 15:00:00,2016-01-02 15:00:00,112.26
2016-01-02 16:00:00,2016-01-02 16:00:00,113.68
2016-01-02 17:00:00,2016-01-02 17:00:00,107.11
2016-01-02 18:00:00,2016-01-02 18:00:00,100.9
2016-01-02 19:00:00,2016-01-02 19:00:00,97.76
2016-01-02 20:00:00,2016-01-02 20:00:00,96.4
2016-01-02 21:00:00,2016-01-02 21:00:00,92.25
2016-01-02 22:00:00,2016-01-02 22:00:00,91.75
2016-01-02 23:00:00,2016-01-02 23:00:00,91.36
2016-01-03 00:00:00,2016-01-03 00:00:00,82.86
2016-01-03 01:00:00,2016-01-03 01:00:00,80.45
2016-01-03 02:00:00,2016-01-03 02:00:00,90.82
2016-01-03 03:00:00,2016-01-03 03:00:00,90.63
2016-01-03 04:00:00,2016-01-03 04:00:00,92.51
2016-01-03 05:00:00,2016-01-03 05:00:00,91.41
2016-01-03 06:00:00,2016-01-03 06:00:00,91.03
2016-01-03 07:00:00,2016-01-03 07:00:00,94.75
2016-01-03 08:00:00,2016-01-03 08:00:00,93.05
2016-01-03 09:00:00,2016-01-03 09:00:00,92.06
2016-01-03 10:00:00,2016-01-03 10:00:00,92.0
2016-01-03 11:00:00,2016-01-03 11:00:00,91.18
2016-01-03 12:00:00,2016-01-03 12:00:00,92.21
2016-01-03 13:00:00,2016-01-03 13:00:00,98.63
2016-01-03 14:00:00,2016-01-03 14:00:00,102.7
2016-01-03 15:00:00,2016-01-03 15:00:00,99.81
2016-01-03 16:00:00,2016-01-03 16:00:00,100.07
2016-01-03 17:00:00,2016-01-03 17:00:00,97.09
2016-01-03 18:00:00,2016-01-03 18:00:00,95.6
2016-01-03 19:00:00,2016-01-03 19:00:00,94.72
2016-01-03 20:00:00,2016-01-03 20:00:00,90.45
2016-01-03 21:00:00,2016-01-03 21:00:00,89.42
2016-01-03 22:00:00,2016-01-03 22:00:00,89.74
2016-01-03 23:00:00,2016-01-03 23:00:00,89.96
2016-01-04 00:00:00,2016-01-04 00:00:00,83.9
2016-01-04 01:00:00,2016-01-04 01:00:00,79.13
2016-01-04 02:00:00,2016-01-04 02:00:00,87.51
2016-01-04 03:00:00,2016-01-04 03:00:00,89.28
2016-01-04 04:00:00,2016-01-04 04:00:00,89.89
2016-01-04 05:00:00,2016-01-04 05:00:00,94.14
2016-01-04 06:00:00,2016-01-04 06:00:00,99.55
2016-01-04 07:00:00,2016-01-04 07:00:00,110.08
2016-01-04 08:00:00,2016-01-04 08:00:00,130.29
2016-01-04 09:00:00,2016-01-04 09:00:00,139.83
2016-01-04 10:00:00,2016-01-04 10:00:00,151.07
2016-01-04 11:00:00,2016-01-04 11:00:00,154.58
2016-01-04 12:00:00,2016-01-04 12:00:00,153.86
2016-01-04 13:00:00,2016-01-04 13:00:00,156.87
2016-01-04 14:00:00,2016-01-04 14:00:00,157.22
2016-01-04 15:00:00,2016-01-04 15:00:00,154.43
2016-01-04 16:00:00,2016-01-04 16:00:00,147.9
2016-01-04 17:00:00,2016-01-04 17:00:00,134.85
2016-01-04 18:00:00,2016-01-04 18:00:00,125.45
2016-01-04 19:00:00,2016-01-04 19:00:00,115.31
2016-01-04 20:00:00,2016-01-04 20:00:00,113.23
2016-01-04 21:00:00,2016-01-04 21:00:00,109.55
