timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,324.12
2016-01-01 01:00:00,2016-01-01 01:00:00,321.35
2016-01-01 02:00:00,2016-01-01 02:00:00,320.99
2016-01-01 03:00:00,2016-01-01 03:00:00,333.01
2016-01-01 04:00:00,2016-01-01 04:00:00,350.32
2016-01-01 05:00:00,2016-01-01 05:00:00,367.64
2016-01-01 06:00:00,2016-01-01 06:00:00,369.54
2016-01-01 07:00:00,2016-01-01 07:00:00,363.39
2016-01-01 08:00:00,2016-01-01 08:00:00,332.33
2016-01-01 09:00:00,2016-01-01 09:00:00,291.1
2016-01-01 10:00:00,2016-01-01 10:00:00,257.82
2016-01-01 11:00:00,2016-01-01 11:00:00,226.6
2016-01-01 12:00:00,2016-01-01 12:00:00,211.61
2016-01-01 13:00:00,2016-01-01 13:00:00,199.68
2016-01-01 14:00:00,2016-01-01 14:00:00,186.9
2016-01-01 15:00:00,2016-01-01 15:00:00,176.76
2016-01-01 16:00:00,2016-01-01 16:00:00,171.93
2016-01-01 17:00:00,2016-01-01 17:00:00,182.86
2016-01-01 18:00:00,2016-01-01 18:00:00,215.42
2016-01-01 19:00:00,2016-01-01 19:00:00,230.27
2016-01-01 20:00:00,2016-01-01 20:00:00,241.8
2016-01-01 21:00:00,2016-01-01 21:00:00,253.42
2016-01-01 22:00:00,2016-01-01 22:00:00,261.68
2016-01-01 23:00:00,2016-01-01 23:00:00,268.67
2016-01-02 00:00:00,2016-01-02 00:00:00,276.72
2016-01-02 01:00:00,2016-01-02 01:00:00,277.41
2016-01-02 02:00:00,2016-01-02 02:00:00,285.8
2016-01-02 03:00:00,2016-01-02 03:00:00,290.94
2016-01-02 04:00:00,2016-01-02 04:00:00,290.81
2016-01-02 05:00:00,2016-01-02 05:00:00,297.79
2016-01-02 06:00:00,2016-01-02 06:00:00,298.25
2016-01-02 07:00:00,2016-01-02 07:00:00,293.67
2016-01-02 08:00:00,2016-01-02 08:00:00,264.59
2016-01-02 09:00:00,2016-01-02 09:00:00,247.76
2016-01-02 10:00:00,2016-01-02 10:00:00,230.59
2016-01-02 11:00:00,2016-01-02 11:00:00,208.47
