timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,42.11
2016-01-01 01:00:00,2016-01-01 01:00:00,42.6
2016-01-01 02:00:00,2016-01-01 02:00:00,42.09
2016-01-01 03:00:00,2016-01-01 03:00:00,43.11
2016-01-01 04:00:00,2016-01-01 04:00:00,44.39
2016-01-01 05:00:00,2016-01-01 05:00:00,46.53
2016-01-01 06:00:00,2016-01-01 06:00:00,45.9
2016-01-01 07:00:00,2016-01-01 07:00:00,45.89
2016-01-01 08:00:00,2016-01-01 08:00:00,49.09
2016-01-01 09:00:00,2016-01-01 09:00:00,49.03
2016-01-01 10:00:00,2016-01-01 10:00:00,47.18
2016-01-01 11:00:00,2016-01-01 11:00:00,47.92
2016-01-01 12:00:00,2016-01-01 12:00:00,50.39
2016-01-01 13:00:00,2016-01-01 13:00:00,51.32
2016-01-01 14:00:00,2016-01-01 14:00:00,52.74
2016-01-01 15:00:00,2016-01-01 15:00:00,52.24
2016-01-01 16:00:00,2016-01-01 16:00:00,50.76
2016-01-01 17:00:00,2016-01-01 17:00:00,46.77
2016-01-01 18:00:00,2016-01-01 18:00:00,46.87
2016-01-01 19:00:00,2016-01-01 19:00:00,49.62
2016-01-01 20:00:00,2016-01-01 20:00:00,49.69
2016-01-01 21:00:00,2016-01-01 21:00:00,50.19
2016-01-01 22:00:00,2016-01-01 22:00:00,50.22
2016-01-01 23:00:00,2016-01-01 23:00:00,49.92
2016-01-02 00:00:00,2016-01-02 00:00:00,46.82
2016-01-02 01:00:00,2016-01-02 01:00:00,46.9
2016-01-02 02:00:00,2016-01-02 02:00:00,48.14
2016-01-02 03:00:00,2016-01-02 03:00:00,49.15
2016-01-02 04:00:00,2016-01-02 04:00:00,49.06
2016-01-02 05:00:00,2016-01-02 05:00:00,49.67
2016-01-02 06:00:00,2016-01-02 06:00:00,48.89
2016-01-02 07:00:00,2016-01-02 07:00:00,48.13
2016-01-02 08:00:00,2016-01-02 08:00:00,41.8
2016-01-02 09:00:00,2016-01-02 09:00:00,41.51
2016-01-02 10:00:00,2016-01-02 10:00:00,47.37
2016-01-02 11:00:00,2016-01-02 11:00:00,47.19
2016-01-02 12:00:00,2016-01-02 12:00:00,46.21
2016-01-02 13:00:00,2016-01-02 13:00:00,46.07
2016-01-02 14:00:00,2016-01-02 14:00:00,44.88
