timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,177.27
2016-01-01 01:00:00,2016-01-01 01:00:00,177.21
2016-01-01 02:00:00,2016-01-01 02:00:00,187.65
2016-01-01 03:00:00,2016-01-01 03:00:00,178.9
2016-01-01 04:00:00,2016-01-01 04:00:00,184.3
2016-01-01 05:00:00,2016-01-01 05:00:00,191.86
2016-01-01 06:00:00,2016-01-01 06:00:00,180.78
2016-01-01 07:00:00,2016-01-01 07:00:00,187.28
2016-01-01 08:00:00,2016-01-01 08:00:00,154.95
2016-01-01 09:00:00,2016-01-01 09:00:00,151.7
2016-01-01 10:00:00,2016-01-01 10:00:00,141.27
2016-01-01 11:00:00,2016-01-01 11:00:00,136.95
2016-01-01 12:00:00,2016-01-01 12:00:00,126.08
2016-01-01 13:00:00,2016-01-01 13:00:00,125.67
2016-01-01 14:00:00,2016-01-01 14:00:00,123.89
2016-01-01 15:00:00,2016-01-01 15:00:00,114.31
2016-01-01 16:00:00,2016-01-01 16:00:00,121.47
2016-01-01 17:00:00,2016-01-01 17:00:00,134.91
2016-01-01 18:00:00,2016-01-01 18:00:00,163.85
2016-01-01 19:00:00,2016-01-01 19:00:00,169.09
2016-01-01 20:00:00,2016-01-01 20:00:00,173.68
2016-01-01 21:00:00,2016-01-01 21:00:00,175.34
2016-01-01 22:00:00,2016-01-01 22:00:00,229.78
2016-01-01 23:00:00,2016-01-01 23:00:00,716.06
2016-01-02 00:00:00,2016-01-02 00:00:00,715.24
2016-01-02 01:00:00,2016-01-02 01:00:00,705.96
2016-01-02 02:00:00,2016-01-02 02:00:00,660.37
2016-01-02 03:00:00,2016-01-02 03:00:00,619.08
2016-01-02 04:00:00,2016-01-02 04:00:00,603.39
2016-01-02 05:00:00,2016-01-02 05:00:00,608.32
2016-01-02 06:00:00,2016-01-02 06:00:00,495.85
2016-01-02 07:00:00,2016-01-02 07:00:00,181.26
2016-01-02 08:00:00,2016-01-02 08:00:00,159.14
2016-01-02 09:00:00,2016-01-02 09:00:00,141.81
2016-01-02 10:00:00,2016-01-02 10:00:00,123.8
2016-01-02 11:00:00,2016-01-02 11:00:00,124.15
2016-01-02 12:00:00,2016-01-02 12:00:00,125.54
2016-01-02 13:00:00,2016-01-02 13:00:00,114.02
2016-01-02 14:00:00,2016-01-02 14:00:00,111.06
2016-01-02 15:00:00,2016-01-02 15:00:00,110.46
2016-01-02 16:00:00,2016-01-02 16:00:00,110.52
2016-01-02 17:00:00,2016-01-02 17:00:00,130.3
2016-01-02 18:00:00,2016-01-02 18:00:00,151.93
2016-01-02 19:00:00,2016-01-02 19:00:00,152.06
2016-01-02 20:00:00,2016-01-02 20:00:00,152.39
2016-01-02 21:00:00,2016-01-02 21:00:00,157.77
2016-01-02 22:00:00,2016-01-02 22:00:00,156.67
2016-01-02 23:00:00,2016-01-02 23:00:00,164.95
2016-01-03 00:00:00,2016-01-03 00:00:00,158.81
2016-01-03 01:00:00,2016-01-03 01:00:00,166.95
2016-01-03 02:00:00,2016-01-03 02:00:00,166.99
2016-01-03 03:00:00,2016-01-03 03:00:00,167.13
2016-01-03 04:00:00,2016-01-03 04:00:00,167.26
2016-01-03 05:00:00,2016-01-03 05:00:00,165.88
2016-01-03 06:00:00,2016-01-03 06:00:00,166.1
2016-01-03 07:00:00,2016-01-03 07:00:00,159.55
2016-01-03 08:00:00,2016-01-03 08:00:00,122.4
2016-01-03 09:00:00,2016-01-03 09:00:00,122.49
2016-01-03 10:00:00,2016-01-03 10:00:00,120.76
2016-01-03 11:00:00,2016-01-03 11:00:00,115.57
2016-01-03 12:00:00,2016-01-03 12:00:00,105.81
2016-01-03 13:00:00,2016-01-03 13:00:00,105.99
2016-01-03 14:00:00,2016-01-03 14:00:00,106.17
2016-01-03 15:00:00,2016-01-03 15:00:00,106.12
2016-01-03 16:00:00,2016-01-03 16:00:00,109.19
2016-01-03 17:00:00,2016-01-03 17:00:00,122.77
2016-01-03 18:00:00,2016-01-03 18:00:00,138.69
2016-01-03 19:00:00,2016-01-03 19:00:00,150.63
2016-01-03 20:00:00,2016-01-03 20:00:00,382.48
2016-01-03 21:00:00,2016-01-03 21:00:00,398.88
2016-01-03 22:00:00,2016-01-03 22:00:00,442.02
2016-01-03 23:00:00,2016-01-03 23:00:00,449.09
2016-01-04 00:00:00,2016-01-04 00:00:00,443.61
2016-01-04 01:00:00,2016-01-04 01:00:00,438.17
2016-01-04 02:00:00,2016-01-04 02:00:00,436.87
2016-01-04 03:00:00,2016-01-04 03:00:00,439.32
2016-01-04 04:00:00,2016-01-04 04:00:00,437.94
2016-01-04 05:00:00,2016-01-04 05:00:00,439.83
2016-01-04 06:00:00,2016-01-04 06:00:00,439.86
2016-01-04 07:00:00,2016-01-04 07:00:00,441.97
2016-01-04 08:00:00,2016-01-04 08:00:00,428.89
2016-01-04 09:00:00,2016-01-04 09:00:00,446.6
2016-01-04 10:00:00,2016-01-04 10:00:00,235.82
