timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,142.836
2016-01-01 01:00:00,2016-01-01 01:00:00,142.836
2016-01-01 02:00:00,2016-01-01 02:00:00,203.826
2016-01-01 03:00:00,2016-01-01 03:00:00,176.006
2016-01-01 04:00:00,2016-01-01 04:00:00,126.716
2016-01-01 05:00:00,2016-01-01 05:00:00,204.018
2016-01-01 06:00:00,2016-01-01 06:00:00,184.995
2016-01-01 07:00:00,2016-01-01 07:00:00,122.052
2016-01-01 08:00:00,2016-01-01 08:00:00,227.194
2016-01-01 09:00:00,2016-01-01 09:00:00,351.871
2016-01-01 10:00:00,2016-01-01 10:00:00,350.529
2016-01-01 11:00:00,2016-01-01 11:00:00,322.0
2016-01-01 12:00:00,2016-01-01 12:00:00,316.633
2016-01-01 13:00:00,2016-01-01 13:00:00,360.441
2016-01-01 14:00:00,2016-01-01 14:00:00,382.348
2016-01-01 15:00:00,2016-01-01 15:00:00,565.768
2016-01-01 16:00:00,2016-01-01 16:00:00,571.61
2016-01-01 17:00:00,2016-01-01 17:00:00,637.415
2016-01-01 18:00:00,2016-01-01 18:00:00,693.151
2016-01-01 19:00:00,2016-01-01 19:00:00,691.392
2016-01-01 20:00:00,2016-01-01 20:00:00,665.092
2016-01-01 21:00:00,2016-01-01 21:00:00,713.7
2016-01-01 22:00:00,2016-01-01 22:00:00,614.233
2016-01-01 23:00:00,2016-01-01 23:00:00,329.439
2016-01-02 00:00:00,2016-01-02 00:00:00,280.118
2016-01-02 01:00:00,2016-01-02 01:00:00,223.652
2016-01-02 02:00:00,2016-01-02 02:00:00,213.842
2016-01-02 03:00:00,2016-01-02 03:00:00,204.263
2016-01-02 04:00:00,2016-01-02 04:00:00,120.38
2016-01-02 05:00:00,2016-01-02 05:00:00,204.327
2016-01-02 06:00:00,2016-01-02 06:00:00,208.679
2016-01-02 07:00:00,2016-01-02 07:00:00,143.951
2016-01-02 08:00:00,2016-01-02 08:00:00,192.694
2016-01-02 09:00:00,2016-01-02 09:00:00,230.131
2016-01-02 10:00:00,2016-01-02 10:00:00,248.948
2016-01-02 11:00:00,2016-01-02 11:00:00,264.239
2016-01-02 12:00:00,2016-01-02 12:00:00,379.151
