timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,163.282
2016-01-01 01:00:00,2016-01-01 01:00:00,163.282
2016-01-01 02:00:00,2016-01-01 02:00:00,137.989
2016-01-01 03:00:00,2016-01-01 03:00:00,188.094
2016-01-01 04:00:00,2016-01-01 04:00:00,149.501
2016-01-01 05:00:00,2016-01-01 05:00:00,145.521
2016-01-01 06:00:00,2016-01-01 06:00:00,200.688
2016-01-01 07:00:00,2016-01-01 07:00:00,143.749
2016-01-01 08:00:00,2016-01-01 08:00:00,151.625
2016-01-01 09:00:00,2016-01-01 09:00:00,195.319
2016-01-01 10:00:00,2016-01-01 10:00:00,221.034
2016-01-01 11:00:00,2016-01-01 11:00:00,274.09
2016-01-01 12:00:00,2016-01-01 12:00:00,268.458
2016-01-01 13:00:00,2016-01-01 13:00:00,269.55
2016-01-01 14:00:00,2016-01-01 14:00:00,205.717
2016-01-01 15:00:00,2016-01-01 15:00:00,257.981
2016-01-01 16:00:00,2016-01-01 16:00:00,297.3
2016-01-01 17:00:00,2016-01-01 17:00:00,277.772
2016-01-01 18:00:00,2016-01-01 18:00:00,179.625
2016-01-01 19:00:00,2016-01-01 19:00:00,147.776
2016-01-01 20:00:00,2016-01-01 20:00:00,152.803
2016-01-01 21:00:00,2016-01-01 21:00:00,231.456
2016-01-01 22:00:00,2016-01-01 22:00:00,188.794
2016-01-01 23:00:00,2016-01-01 23:00:00,114.203
2016-01-02 00:00:00,2016-01-02 00:00:00,166.895
2016-01-02 01:00:00,2016-01-02 01:00:00,150.645
2016-01-02 02:00:00,2016-01-02 02:00:00,126.535
2016-01-02 03:00:00,2016-01-02 03:00:00,155.47
2016-01-02 04:00:00,2016-01-02 04:00:00,164.329
2016-01-02 05:00:00,2016-01-02 05:00:00,139.583
2016-01-02 06:00:00,2016-01-02 06:00:00,140.12
2016-01-02 07:00:00,2016-01-02 07:00:00,176.562
2016-01-02 08:00:00,2016-01-02 08:00:00,266.2
2016-01-02 09:00:00,2016-01-02 09:00:00,248.264
2016-01-02 10:00:00,2016-01-02 10:00:00,281.445
2016-01-02 11:00:00,2016-01-02 11:00:00,333.769
2016-01-02 12:00:00,2016-01-02 12:00:00,318.138
2016-01-02 13:00:00,2016-01-02 13:00:00,262.438
2016-01-02 14:00:00,2016-01-02 14:00:00,280.553
2016-01-02 15:00:00,2016-01-02 15:00:00,291.884
2016-01-02 16:00:00,2016-01-02 16:00:00,316.655
2016-01-02 17:00:00,2016-01-02 17:00:00,332.523
2016-01-02 18:00:00,2016-01-02 18:00:00,370.333
2016-01-02 19:00:00,2016-01-02 19:00:00,342.793
2016-01-02 20:00:00,2016-01-02 20:00:00,187.016
2016-01-02 21:00:00,2016-01-02 21:00:00,234.944
2016-01-02 22:00:00,2016-01-02 22:00:00,181.771
2016-01-02 23:00:00,2016-01-02 23:00:00,175.362
2016-01-03 00:00:00,2016-01-03 00:00:00,158.657
2016-01-03 01:00:00,2016-01-03 01:00:00,134.539
2016-01-03 02:00:00,2016-01-03 02:00:00,158.219
2016-01-03 03:00:00,2016-01-03 03:00:00,171.804
2016-01-03 04:00:00,2016-01-03 04:00:00,144.597
2016-01-03 05:00:00,2016-01-03 05:00:00,136.657
2016-01-03 06:00:00,2016-01-03 06:00:00,180.92
2016-01-03 07:00:00,2016-01-03 07:00:00,173.202
2016-01-03 08:00:00,2016-01-03 08:00:00,138.618
2016-01-03 09:00:00,2016-01-03 09:00:00,196.962
2016-01-03 10:00:00,2016-01-03 10:00:00,262.308
2016-01-03 11:00:00,2016-01-03 11:00:00,239.488
2016-01-03 12:00:00,2016-01-03 12:00:00,274.085
2016-01-03 13:00:00,2016-01-03 13:00:00,302.604
2016-01-03 14:00:00,2016-01-03 14:00:00,265.611
2016-01-03 15:00:00,2016-01-03 15:00:00,321.466
2016-01-03 16:00:00,2016-01-03 16:00:00,316.465
2016-01-03 17:00:00,2016-01-03 17:00:00,363.336
2016-01-03 18:00:00,2016-01-03 18:00:00,292.934
2016-01-03 19:00:00,2016-01-03 19:00:00,334.05
2016-01-03 20:00:00,2016-01-03 20:00:00,270.657
2016-01-03 21:00:00,2016-01-03 21:00:00,298.085
2016-01-03 22:00:00,2016-01-03 22:00:00,213.574
2016-01-03 23:00:00,2016-01-03 23:00:00,189.726
2016-01-04 00:00:00,2016-01-04 00:00:00,169.957
2016-01-04 01:00:00,2016-01-04 01:00:00,133.548
2016-01-04 02:00:00,2016-01-04 02:00:00,147.573
2016-01-04 03:00:00,2016-01-04 03:00:00,169.482
2016-01-04 04:00:00,2016-01-04 04:00:00,152.563
2016-01-04 05:00:00,2016-01-04 05:00:00,132.892
2016-01-04 06:00:00,2016-01-04 06:00:00,170.729
2016-01-04 07:00:00,2016-01-04 07:00:00,184.817
2016-01-04 08:00:00,2016-01-04 08:00:00,199.208
2016-01-04 09:00:00,2016-01-04 09:00:00,204.015
2016-01-04 10:00:00,2016-01-04 10:00:00,272.714
2016-01-04 11:00:00,2016-01-04 11:00:00,285.912
2016-01-04 12:00:00,2016-01-04 12:00:00,275.307
2016-01-04 13:00:00,2016-01-04 13:00:00,281.522
2016-01-04 14:00:00,2016-01-04 14:00:00,249.127
2016-01-04 15:00:00,2016-01-04 15:00:00,284.908
2016-01-04 16:00:00,2016-01-04 16:00:00,274.247
2016-01-04 17:00:00,2016-01-04 17:00:00,264.913
2016-01-04 18:00:00,2016-01-04 18:00:00,313.654
2016-01-04 19:00:00,2016-01-04 19:00:00,367.534
2016-01-04 20:00:00,2016-01-04 20:00:00,382.281
2016-01-04 21:00:00,2016-01-04 21:00:00,329.473
2016-01-04 22:00:00,2016-01-04 22:00:00,375.305
2016-01-04 23:00:00,2016-01-04 23:00:00,377.146
2016-01-05 00:00:00,2016-01-05 00:00:00,308.233
2016-01-05 01:00:00,2016-01-05 01:00:00,197.475
2016-01-05 02:00:00,2016-01-05 02:00:00,163.135
2016-01-05 03:00:00,2016-01-05 03:00:00,136.238
2016-01-05 04:00:00,2016-01-05 04:00:00,153.442
2016-01-05 05:00:00,2016-01-05 05:00:00,173.94
