timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,45.285
2016-01-01 01:00:00,2016-01-01 01:00:00,45.285
2016-01-01 02:00:00,2016-01-01 02:00:00,45.714
2016-01-01 03:00:00,2016-01-01 03:00:00,45.645
2016-01-01 04:00:00,2016-01-01 04:00:00,45.526
2016-01-01 05:00:00,2016-01-01 05:00:00,45.564
2016-01-01 06:00:00,2016-01-01 06:00:00,47.215
2016-01-01 07:00:00,2016-01-01 07:00:00,47.163
2016-01-01 08:00:00,2016-01-01 08:00:00,47.32
2016-01-01 09:00:00,2016-01-01 09:00:00,44.831
2016-01-01 10:00:00,2016-01-01 10:00:00,42.547
2016-01-01 11:00:00,2016-01-01 11:00:00,41.412
2016-01-01 12:00:00,2016-01-01 12:00:00,41.463
2016-01-01 13:00:00,2016-01-01 13:00:00,41.582
2016-01-01 14:00:00,2016-01-01 14:00:00,41.537
2016-01-01 15:00:00,2016-01-01 15:00:00,41.558
2016-01-01 16:00:00,2016-01-01 16:00:00,41.783
2016-01-01 17:00:00,2016-01-01 17:00:00,43.15
2016-01-01 18:00:00,2016-01-01 18:00:00,47.073
2016-01-01 19:00:00,2016-01-01 19:00:00,47.05
2016-01-01 20:00:00,2016-01-01 20:00:00,47.389
2016-01-01 21:00:00,2016-01-01 21:00:00,47.314
2016-01-01 22:00:00,2016-01-01 22:00:00,47.299
2016-01-01 23:00:00,2016-01-01 23:00:00,45.672
2016-01-02 00:00:00,2016-01-02 00:00:00,45.531
2016-01-02 01:00:00,2016-01-02 01:00:00,45.514
2016-01-02 02:00:00,2016-01-02 02:00:00,45.547
2016-01-02 03:00:00,2016-01-02 03:00:00,45.984
2016-01-02 04:00:00,2016-01-02 04:00:00,48.891
2016-01-02 05:00:00,2016-01-02 05:00:00,48.93
2016-01-02 06:00:00,2016-01-02 06:00:00,49.154
2016-01-02 07:00:00,2016-01-02 07:00:00,49.128
2016-01-02 08:00:00,2016-01-02 08:00:00,48.705
2016-01-02 09:00:00,2016-01-02 09:00:00,46.167
2016-01-02 10:00:00,2016-01-02 10:00:00,51.822
2016-01-02 11:00:00,2016-01-02 11:00:00,88.573
2016-01-02 12:00:00,2016-01-02 12:00:00,86.106
2016-01-02 13:00:00,2016-01-02 13:00:00,96.352
2016-01-02 14:00:00,2016-01-02 14:00:00,88.875
2016-01-02 15:00:00,2016-01-02 15:00:00,89.013
2016-01-02 16:00:00,2016-01-02 16:00:00,91.039
2016-01-02 17:00:00,2016-01-02 17:00:00,52.821
2016-01-02 18:00:00,2016-01-02 18:00:00,47.483
2016-01-02 19:00:00,2016-01-02 19:00:00,47.647
2016-01-02 20:00:00,2016-01-02 20:00:00,45.666
2016-01-02 21:00:00,2016-01-02 21:00:00,45.232
2016-01-02 22:00:00,2016-01-02 22:00:00,45.363
2016-01-02 23:00:00,2016-01-02 23:00:00,45.27
2016-01-03 00:00:00,2016-01-03 00:00:00,45.369
2016-01-03 01:00:00,2016-01-03 01:00:00,45.234
2016-01-03 02:00:00,2016-01-03 02:00:00,45.32
2016-01-03 03:00:00,2016-01-03 03:00:00,46.46
2016-01-03 04:00:00,2016-01-03 04:00:00,47.347
2016-01-03 05:00:00,2016-01-03 05:00:00,47.317
2016-01-03 06:00:00,2016-01-03 06:00:00,47.444
2016-01-03 07:00:00,2016-01-03 07:00:00,47.5
2016-01-03 08:00:00,2016-01-03 08:00:00,47.439
2016-01-03 09:00:00,2016-01-03 09:00:00,44.694
2016-01-03 10:00:00,2016-01-03 10:00:00,41.725
2016-01-03 11:00:00,2016-01-03 11:00:00,42.633
2016-01-03 12:00:00,2016-01-03 12:00:00,64.064
2016-01-03 13:00:00,2016-01-03 13:00:00,94.037
2016-01-03 14:00:00,2016-01-03 14:00:00,84.865
2016-01-03 15:00:00,2016-01-03 15:00:00,98.805
2016-01-03 16:00:00,2016-01-03 16:00:00,105.085
2016-01-03 17:00:00,2016-01-03 17:00:00,88.37
2016-01-03 18:00:00,2016-01-03 18:00:00,62.71
2016-01-03 19:00:00,2016-01-03 19:00:00,46.511
2016-01-03 20:00:00,2016-01-03 20:00:00,46.411
2016-01-03 21:00:00,2016-01-03 21:00:00,46.635
2016-01-03 22:00:00,2016-01-03 22:00:00,51.925
2016-01-03 23:00:00,2016-01-03 23:00:00,71.649
2016-01-04 00:00:00,2016-01-04 00:00:00,75.177
2016-01-04 01:00:00,2016-01-04 01:00:00,72.823
2016-01-04 02:00:00,2016-01-04 02:00:00,71.458
2016-01-04 03:00:00,2016-01-04 03:00:00,72.219
2016-01-04 04:00:00,2016-01-04 04:00:00,71.362
2016-01-04 05:00:00,2016-01-04 05:00:00,68.491
2016-01-04 06:00:00,2016-01-04 06:00:00,59.597
2016-01-04 07:00:00,2016-01-04 07:00:00,60.809
2016-01-04 08:00:00,2016-01-04 08:00:00,80.524
2016-01-04 09:00:00,2016-01-04 09:00:00,82.537
2016-01-04 10:00:00,2016-01-04 10:00:00,87.407
2016-01-04 11:00:00,2016-01-04 11:00:00,83.723
2016-01-04 12:00:00,2016-01-04 12:00:00,73.888
2016-01-04 13:00:00,2016-01-04 13:00:00,73.733
2016-01-04 14:00:00,2016-01-04 14:00:00,72.566
2016-01-04 15:00:00,2016-01-04 15:00:00,81.78
2016-01-04 16:00:00,2016-01-04 16:00:00,81.876
2016-01-04 17:00:00,2016-01-04 17:00:00,70.429
2016-01-04 18:00:00,2016-01-04 18:00:00,55.898
2016-01-04 19:00:00,2016-01-04 19:00:00,51.846
2016-01-04 20:00:00,2016-01-04 20:00:00,51.738
2016-01-04 21:00:00,2016-01-04 21:00:00,51.625
2016-01-04 22:00:00,2016-01-04 22:00:00,54.957
2016-01-04 23:00:00,2016-01-04 23:00:00,73.138
2016-01-05 00:00:00,2016-01-05 00:00:00,66.865
2016-01-05 01:00:00,2016-01-05 01:00:00,74.167
2016-01-05 02:00:00,2016-01-05 02:00:00,68.192
2016-01-05 03:00:00,2016-01-05 03:00:00,65.378
2016-01-05 04:00:00,2016-01-05 04:00:00,65.842
2016-01-05 05:00:00,2016-01-05 05:00:00,63.539
2016-01-05 06:00:00,2016-01-05 06:00:00,66.4
2016-01-05 07:00:00,2016-01-05 07:00:00,65.176
2016-01-05 08:00:00,2016-01-05 08:00:00,84.29
2016-01-05 09:00:00,2016-01-05 09:00:00,82.633
2016-01-05 10:00:00,2016-01-05 10:00:00,75.524
2016-01-05 11:00:00,2016-01-05 11:00:00,77.259
2016-01-05 12:00:00,2016-01-05 12:00:00,83.382
2016-01-05 13:00:00,2016-01-05 13:00:00,89.323
2016-01-05 14:00:00,2016-01-05 14:00:00,90.709
2016-01-05 15:00:00,2016-01-05 15:00:00,86.51
2016-01-05 16:00:00,2016-01-05 16:00:00,81.579
2016-01-05 17:00:00,2016-01-05 17:00:00,73.44
2016-01-05 18:00:00,2016-01-05 18:00:00,56.757
2016-01-05 19:00:00,2016-01-05 19:00:00,53.122
2016-01-05 20:00:00,2016-01-05 20:00:00,53.283
2016-01-05 21:00:00,2016-01-05 21:00:00,53.41
2016-01-05 22:00:00,2016-01-05 22:00:00,55.894
2016-01-05 23:00:00,2016-01-05 23:00:00,77.087
2016-01-06 00:00:00,2016-01-06 00:00:00,68.367
2016-01-06 01:00:00,2016-01-06 01:00:00,67.548
2016-01-06 02:00:00,2016-01-06 02:00:00,66.914
2016-01-06 03:00:00,2016-01-06 03:00:00,66.712
2016-01-06 04:00:00,2016-01-06 04:00:00,68.182
