timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,207.964
2016-01-01 01:00:00,2016-01-01 01:00:00,207.964
2016-01-01 02:00:00,2016-01-01 02:00:00,204.688
2016-01-01 03:00:00,2016-01-01 03:00:00,166.416
2016-01-01 04:00:00,2016-01-01 04:00:00,167.022
2016-01-01 05:00:00,2016-01-01 05:00:00,186.345
2016-01-01 06:00:00,2016-01-01 06:00:00,210.025
2016-01-01 07:00:00,2016-01-01 07:00:00,216.795
2016-01-01 08:00:00,2016-01-01 08:00:00,217.283
2016-01-01 09:00:00,2016-01-01 09:00:00,214.8
2016-01-01 10:00:00,2016-01-01 10:00:00,217.598
2016-01-01 11:00:00,2016-01-01 11:00:00,267.954
2016-01-01 12:00:00,2016-01-01 12:00:00,295.197
2016-01-01 13:00:00,2016-01-01 13:00:00,276.143
2016-01-01 14:00:00,2016-01-01 14:00:00,278.746
2016-01-01 15:00:00,2016-01-01 15:00:00,331.313
2016-01-01 16:00:00,2016-01-01 16:00:00,328.604
2016-01-01 17:00:00,2016-01-01 17:00:00,350.816
2016-01-01 18:00:00,2016-01-01 18:00:00,379.967
2016-01-01 19:00:00,2016-01-01 19:00:00,389.872
2016-01-01 20:00:00,2016-01-01 20:00:00,329.83
2016-01-01 21:00:00,2016-01-01 21:00:00,323.655
2016-01-01 22:00:00,2016-01-01 22:00:00,384.224
2016-01-01 23:00:00,2016-01-01 23:00:00,260.95
2016-01-02 00:00:00,2016-01-02 00:00:00,194.206
2016-01-02 01:00:00,2016-01-02 01:00:00,213.441
2016-01-02 02:00:00,2016-01-02 02:00:00,204.6
2016-01-02 03:00:00,2016-01-02 03:00:00,198.836
2016-01-02 04:00:00,2016-01-02 04:00:00,183.574
2016-01-02 05:00:00,2016-01-02 05:00:00,217.239
2016-01-02 06:00:00,2016-01-02 06:00:00,263.164
2016-01-02 07:00:00,2016-01-02 07:00:00,284.072
2016-01-02 08:00:00,2016-01-02 08:00:00,284.42
2016-01-02 09:00:00,2016-01-02 09:00:00,330.9
2016-01-02 10:00:00,2016-01-02 10:00:00,437.061
