timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,70.062
2016-01-01 01:00:00,2016-01-01 01:00:00,70.062
2016-01-01 02:00:00,2016-01-01 02:00:00,69.186
2016-01-01 03:00:00,2016-01-01 03:00:00,68.678
2016-01-01 04:00:00,2016-01-01 04:00:00,69.113
2016-01-01 05:00:00,2016-01-01 05:00:00,70.481
2016-01-01 06:00:00,2016-01-01 06:00:00,69.537
2016-01-01 07:00:00,2016-01-01 07:00:00,85.574
2016-01-01 08:00:00,2016-01-01 08:00:00,89.525
2016-01-01 09:00:00,2016-01-01 09:00:00,88.099
2016-01-01 10:00:00,2016-01-01 10:00:00,88.94
2016-01-01 11:00:00,2016-01-01 11:00:00,88.483
2016-01-01 12:00:00,2016-01-01 12:00:00,88.729
2016-01-01 13:00:00,2016-01-01 13:00:00,88.683
2016-01-01 14:00:00,2016-01-01 14:00:00,88.282
2016-01-01 15:00:00,2016-01-01 15:00:00,90.766
2016-01-01 16:00:00,2016-01-01 16:00:00,89.372
2016-01-01 17:00:00,2016-01-01 17:00:00,90.211
2016-01-01 18:00:00,2016-01-01 18:00:00,91.004
2016-01-01 19:00:00,2016-01-01 19:00:00,90.44
2016-01-01 20:00:00,2016-01-01 20:00:00,92.117
2016-01-01 21:00:00,2016-01-01 21:00:00,90.838
2016-01-01 22:00:00,2016-01-01 22:00:00,88.441
2016-01-01 23:00:00,2016-01-01 23:00:00,88.933
2016-01-02 00:00:00,2016-01-02 00:00:00,73.866
2016-01-02 01:00:00,2016-01-02 01:00:00,69.788
2016-01-02 02:00:00,2016-01-02 02:00:00,68.563
2016-01-02 03:00:00,2016-01-02 03:00:00,69.133
2016-01-02 04:00:00,2016-01-02 04:00:00,69.085
2016-01-02 05:00:00,2016-01-02 05:00:00,69.899
2016-01-02 06:00:00,2016-01-02 06:00:00,70.633
2016-01-02 07:00:00,2016-01-02 07:00:00,71.376
2016-01-02 08:00:00,2016-01-02 08:00:00,71.116
