timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,173.172
2016-01-01 01:00:00,2016-01-01 01:00:00,173.172
2016-01-01 02:00:00,2016-01-01 02:00:00,171.577
2016-01-01 03:00:00,2016-01-01 03:00:00,172.85
2016-01-01 04:00:00,2016-01-01 04:00:00,175.191
2016-01-01 05:00:00,2016-01-01 05:00:00,172.543
2016-01-01 06:00:00,2016-01-01 06:00:00,171.72
2016-01-01 07:00:00,2016-01-01 07:00:00,173.269
2016-01-01 08:00:00,2016-01-01 08:00:00,177.858
2016-01-01 09:00:00,2016-01-01 09:00:00,176.259
2016-01-01 10:00:00,2016-01-01 10:00:00,175.26
2016-01-01 11:00:00,2016-01-01 11:00:00,177.269
2016-01-01 12:00:00,2016-01-01 12:00:00,178.741
2016-01-01 13:00:00,2016-01-01 13:00:00,177.845
2016-01-01 14:00:00,2016-01-01 14:00:00,177.952
2016-01-01 15:00:00,2016-01-01 15:00:00,179.213
2016-01-01 16:00:00,2016-01-01 16:00:00,180.52
2016-01-01 17:00:00,2016-01-01 17:00:00,175.755
2016-01-01 18:00:00,2016-01-01 18:00:00,176.269
2016-01-01 19:00:00,2016-01-01 19:00:00,175.746
2016-01-01 20:00:00,2016-01-01 20:00:00,176.742
2016-01-01 21:00:00,2016-01-01 21:00:00,172.53
2016-01-01 22:00:00,2016-01-01 22:00:00,173.393
2016-01-01 23:00:00,2016-01-01 23:00:00,172.847
2016-01-02 00:00:00,2016-01-02 00:00:00,172.698
2016-01-02 01:00:00,2016-01-02 01:00:00,171.725
2016-01-02 02:00:00,2016-01-02 02:00:00,171.963
2016-01-02 03:00:00,2016-01-02 03:00:00,173.606
2016-01-02 04:00:00,2016-01-02 04:00:00,174.157
2016-01-02 05:00:00,2016-01-02 05:00:00,172.435
2016-01-02 06:00:00,2016-01-02 06:00:00,171.674
2016-01-02 07:00:00,2016-01-02 07:00:00,177.315
