timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,18.719
2016-01-01 01:00:00,2016-01-01 01:00:00,18.719
2016-01-01 02:00:00,2016-01-01 02:00:00,18.744
2016-01-01 03:00:00,2016-01-01 03:00:00,18.59
2016-01-01 04:00:00,2016-01-01 04:00:00,18.658
2016-01-01 05:00:00,2016-01-01 05:00:00,18.377
2016-01-01 06:00:00,2016-01-01 06:00:00,18.491
2016-01-01 07:00:00,2016-01-01 07:00:00,19.796
2016-01-01 08:00:00,2016-01-01 08:00:00,27.04
2016-01-01 09:00:00,2016-01-01 09:00:00,26.833
2016-01-01 10:00:00,2016-01-01 10:00:00,26.172
2016-01-01 11:00:00,2016-01-01 11:00:00,43.103
2016-01-01 12:00:00,2016-01-01 12:00:00,44.474
2016-01-01 13:00:00,2016-01-01 13:00:00,44.265
2016-01-01 14:00:00,2016-01-01 14:00:00,44.073
2016-01-01 15:00:00,2016-01-01 15:00:00,44.131
2016-01-01 16:00:00,2016-01-01 16:00:00,44.175
2016-01-01 17:00:00,2016-01-01 17:00:00,43.582
2016-01-01 18:00:00,2016-01-01 18:00:00,36.166
2016-01-01 19:00:00,2016-01-01 19:00:00,25.394
2016-01-01 20:00:00,2016-01-01 20:00:00,24.822
2016-01-01 21:00:00,2016-01-01 21:00:00,20.854
2016-01-01 22:00:00,2016-01-01 22:00:00,20.328
2016-01-01 23:00:00,2016-01-01 23:00:00,19.386
2016-01-02 00:00:00,2016-01-02 00:00:00,19.524
2016-01-02 01:00:00,2016-01-02 01:00:00,19.218
2016-01-02 02:00:00,2016-01-02 02:00:00,18.754
2016-01-02 03:00:00,2016-01-02 03:00:00,18.347
2016-01-02 04:00:00,2016-01-02 04:00:00,18.681
2016-01-02 05:00:00,2016-01-02 05:00:00,18.759
2016-01-02 06:00:00,2016-01-02 06:00:00,18.946
2016-01-02 07:00:00,2016-01-02 07:00:00,20.612
2016-01-02 08:00:00,2016-01-02 08:00:00,19.952
2016-01-02 09:00:00,2016-01-02 09:00:00,19.983
2016-01-02 10:00:00,2016-01-02 10:00:00,20.414
2016-01-02 11:00:00,2016-01-02 11:00:00,42.915
2016-01-02 12:00:00,2016-01-02 12:00:00,45.008
2016-01-02 13:00:00,2016-01-02 13:00:00,47.059
2016-01-02 14:00:00,2016-01-02 14:00:00,47.824
2016-01-02 15:00:00,2016-01-02 15:00:00,48.284
2016-01-02 16:00:00,2016-01-02 16:00:00,47.83
2016-01-02 17:00:00,2016-01-02 17:00:00,48.449
2016-01-02 18:00:00,2016-01-02 18:00:00,37.036
2016-01-02 19:00:00,2016-01-02 19:00:00,26.6
2016-01-02 20:00:00,2016-01-02 20:00:00,24.847
2016-01-02 21:00:00,2016-01-02 21:00:00,21.479
2016-01-02 22:00:00,2016-01-02 22:00:00,19.694
2016-01-02 23:00:00,2016-01-02 23:00:00,20.771
2016-01-03 00:00:00,2016-01-03 00:00:00,19.644
2016-01-03 01:00:00,2016-01-03 01:00:00,19.115
2016-01-03 02:00:00,2016-01-03 02:00:00,18.825
2016-01-03 03:00:00,2016-01-03 03:00:00,19.257
2016-01-03 04:00:00,2016-01-03 04:00:00,19.033
2016-01-03 05:00:00,2016-01-03 05:00:00,19.338
2016-01-03 06:00:00,2016-01-03 06:00:00,18.748
2016-01-03 07:00:00,2016-01-03 07:00:00,18.794
2016-01-03 08:00:00,2016-01-03 08:00:00,21.892
2016-01-03 09:00:00,2016-01-03 09:00:00,20.318
