timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,109.663
2016-01-01 01:00:00,2016-01-01 01:00:00,109.663
2016-01-01 02:00:00,2016-01-01 02:00:00,101.066
2016-01-01 03:00:00,2016-01-01 03:00:00,93.097
2016-01-01 04:00:00,2016-01-01 04:00:00,88.43
2016-01-01 05:00:00,2016-01-01 05:00:00,88.985
2016-01-01 06:00:00,2016-01-01 06:00:00,91.641
2016-01-01 07:00:00,2016-01-01 07:00:00,96.806
2016-01-01 08:00:00,2016-01-01 08:00:00,97.965
2016-01-01 09:00:00,2016-01-01 09:00:00,119.891
2016-01-01 10:00:00,2016-01-01 10:00:00,115.449
2016-01-01 11:00:00,2016-01-01 11:00:00,107.462
2016-01-01 12:00:00,2016-01-01 12:00:00,106.97
2016-01-01 13:00:00,2016-01-01 13:00:00,86.023
2016-01-01 14:00:00,2016-01-01 14:00:00,85.669
2016-01-01 15:00:00,2016-01-01 15:00:00,83.563
2016-01-01 16:00:00,2016-01-01 16:00:00,85.405
2016-01-01 17:00:00,2016-01-01 17:00:00,89.524
2016-01-01 18:00:00,2016-01-01 18:00:00,92.258
2016-01-01 19:00:00,2016-01-01 19:00:00,98.985
2016-01-01 20:00:00,2016-01-01 20:00:00,108.318
2016-01-01 21:00:00,2016-01-01 21:00:00,104.104
2016-01-01 22:00:00,2016-01-01 22:00:00,112.277
2016-01-01 23:00:00,2016-01-01 23:00:00,98.576
2016-01-02 00:00:00,2016-01-02 00:00:00,93.107
2016-01-02 01:00:00,2016-01-02 01:00:00,97.547
2016-01-02 02:00:00,2016-01-02 02:00:00,72.221
2016-01-02 03:00:00,2016-01-02 03:00:00,68.453
2016-01-02 04:00:00,2016-01-02 04:00:00,71.284
2016-01-02 05:00:00,2016-01-02 05:00:00,72.054
2016-01-02 06:00:00,2016-01-02 06:00:00,73.314
2016-01-02 07:00:00,2016-01-02 07:00:00,78.441
2016-01-02 08:00:00,2016-01-02 08:00:00,79.899
2016-01-02 09:00:00,2016-01-02 09:00:00,120.587
