timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,464.627
2016-01-01 01:00:00,2016-01-01 01:00:00,464.627
2016-01-01 02:00:00,2016-01-01 02:00:00,461.771
2016-01-01 03:00:00,2016-01-01 03:00:00,460.43
2016-01-01 04:00:00,2016-01-01 04:00:00,459.605
2016-01-01 05:00:00,2016-01-01 05:00:00,459.594
2016-01-01 06:00:00,2016-01-01 06:00:00,458.51
2016-01-01 07:00:00,2016-01-01 07:00:00,461.916
2016-01-01 08:00:00,2016-01-01 08:00:00,463.094
2016-01-01 09:00:00,2016-01-01 09:00:00,458.243
2016-01-01 10:00:00,2016-01-01 10:00:00,457.036
2016-01-01 11:00:00,2016-01-01 11:00:00,464.616
2016-01-01 12:00:00,2016-01-01 12:00:00,466.486
2016-01-01 13:00:00,2016-01-01 13:00:00,468.817
2016-01-01 14:00:00,2016-01-01 14:00:00,472.097
2016-01-01 15:00:00,2016-01-01 15:00:00,480.106
2016-01-01 16:00:00,2016-01-01 16:00:00,492.796
2016-01-01 17:00:00,2016-01-01 17:00:00,489.086
2016-01-01 18:00:00,2016-01-01 18:00:00,496.42
2016-01-01 19:00:00,2016-01-01 19:00:00,482.197
2016-01-01 20:00:00,2016-01-01 20:00:00,470.939
2016-01-01 21:00:00,2016-01-01 21:00:00,463.28
2016-01-01 22:00:00,2016-01-01 22:00:00,463.474
2016-01-01 23:00:00,2016-01-01 23:00:00,462.408
2016-01-02 00:00:00,2016-01-02 00:00:00,461.091
2016-01-02 01:00:00,2016-01-02 01:00:00,460.962
2016-01-02 02:00:00,2016-01-02 02:00:00,460.51
2016-01-02 03:00:00,2016-01-02 03:00:00,461.115
2016-01-02 04:00:00,2016-01-02 04:00:00,461.691
2016-01-02 05:00:00,2016-01-02 05:00:00,460.649
2016-01-02 06:00:00,2016-01-02 06:00:00,460.273
2016-01-02 07:00:00,2016-01-02 07:00:00,461.518
2016-01-02 08:00:00,2016-01-02 08:00:00,460.969
2016-01-02 09:00:00,2016-01-02 09:00:00,457.456
2016-01-02 10:00:00,2016-01-02 10:00:00,460.473
2016-01-02 11:00:00,2016-01-02 11:00:00,462.828
2016-01-02 12:00:00,2016-01-02 12:00:00,466.274
2016-01-02 13:00:00,2016-01-02 13:00:00,468.167
2016-01-02 14:00:00,2016-01-02 14:00:00,476.127
2016-01-02 15:00:00,2016-01-02 15:00:00,477.4
2016-01-02 16:00:00,2016-01-02 16:00:00,479.078
2016-01-02 17:00:00,2016-01-02 17:00:00,477.298
2016-01-02 18:00:00,2016-01-02 18:00:00,484.313
2016-01-02 19:00:00,2016-01-02 19:00:00,472.003
2016-01-02 20:00:00,2016-01-02 20:00:00,469.838
2016-01-02 21:00:00,2016-01-02 21:00:00,464.645
2016-01-02 22:00:00,2016-01-02 22:00:00,469.299
2016-01-02 23:00:00,2016-01-02 23:00:00,469.118
2016-01-03 00:00:00,2016-01-03 00:00:00,467.878
2016-01-03 01:00:00,2016-01-03 01:00:00,462.027
2016-01-03 02:00:00,2016-01-03 02:00:00,461.734
2016-01-03 03:00:00,2016-01-03 03:00:00,459.863
2016-01-03 04:00:00,2016-01-03 04:00:00,461.754
2016-01-03 05:00:00,2016-01-03 05:00:00,460.197
2016-01-03 06:00:00,2016-01-03 06:00:00,461.317
2016-01-03 07:00:00,2016-01-03 07:00:00,460.312
2016-01-03 08:00:00,2016-01-03 08:00:00,460.382
2016-01-03 09:00:00,2016-01-03 09:00:00,453.72
2016-01-03 10:00:00,2016-01-03 10:00:00,460.301
2016-01-03 11:00:00,2016-01-03 11:00:00,460.67
2016-01-03 12:00:00,2016-01-03 12:00:00,466.029
2016-01-03 13:00:00,2016-01-03 13:00:00,471.903
2016-01-03 14:00:00,2016-01-03 14:00:00,480.837
2016-01-03 15:00:00,2016-01-03 15:00:00,483.936
2016-01-03 16:00:00,2016-01-03 16:00:00,484.913
2016-01-03 17:00:00,2016-01-03 17:00:00,481.628
2016-01-03 18:00:00,2016-01-03 18:00:00,483.042
2016-01-03 19:00:00,2016-01-03 19:00:00,478.149
2016-01-03 20:00:00,2016-01-03 20:00:00,472.172
2016-01-03 21:00:00,2016-01-03 21:00:00,468.727
2016-01-03 22:00:00,2016-01-03 22:00:00,467.967
2016-01-03 23:00:00,2016-01-03 23:00:00,463.114
2016-01-04 00:00:00,2016-01-04 00:00:00,461.983
2016-01-04 01:00:00,2016-01-04 01:00:00,459.662
2016-01-04 02:00:00,2016-01-04 02:00:00,457.641
2016-01-04 03:00:00,2016-01-04 03:00:00,459.402
2016-01-04 04:00:00,2016-01-04 04:00:00,457.831
2016-01-04 05:00:00,2016-01-04 05:00:00,457.91
2016-01-04 06:00:00,2016-01-04 06:00:00,456.26
2016-01-04 07:00:00,2016-01-04 07:00:00,462.158
2016-01-04 08:00:00,2016-01-04 08:00:00,471.822
2016-01-04 09:00:00,2016-01-04 09:00:00,488.429
2016-01-04 10:00:00,2016-01-04 10:00:00,514.419
2016-01-04 11:00:00,2016-01-04 11:00:00,531.273
2016-01-04 12:00:00,2016-01-04 12:00:00,555.676
2016-01-04 13:00:00,2016-01-04 13:00:00,560.239
2016-01-04 14:00:00,2016-01-04 14:00:00,564.342
2016-01-04 15:00:00,2016-01-04 15:00:00,561.745
2016-01-04 16:00:00,2016-01-04 16:00:00,558.015
2016-01-04 17:00:00,2016-01-04 17:00:00,557.553
2016-01-04 18:00:00,2016-01-04 18:00:00,546.658
2016-01-04 19:00:00,2016-01-04 19:00:00,520.812
2016-01-04 20:00:00,2016-01-04 20:00:00,500.582
2016-01-04 21:00:00,2016-01-04 21:00:00,496.676
2016-01-04 22:00:00,2016-01-04 22:00:00,489.939
2016-01-04 23:00:00,2016-01-04 23:00:00,479.602
2016-01-05 00:00:00,2016-01-05 00:00:00,474.894
2016-01-05 01:00:00,2016-01-05 01:00:00,475.182
2016-01-05 02:00:00,2016-01-05 02:00:00,473.154
2016-01-05 03:00:00,2016-01-05 03:00:00,474.05
2016-01-05 04:00:00,2016-01-05 04:00:00,474.404
2016-01-05 05:00:00,2016-01-05 05:00:00,476.357
2016-01-05 06:00:00,2016-01-05 06:00:00,475.385
2016-01-05 07:00:00,2016-01-05 07:00:00,479.381
2016-01-05 08:00:00,2016-01-05 08:00:00,488.513
2016-01-05 09:00:00,2016-01-05 09:00:00,500.924
2016-01-05 10:00:00,2016-01-05 10:00:00,534.305
2016-01-05 11:00:00,2016-01-05 11:00:00,547.866
2016-01-05 12:00:00,2016-01-05 12:00:00,566.275
2016-01-05 13:00:00,2016-01-05 13:00:00,573.367
2016-01-05 14:00:00,2016-01-05 14:00:00,578.945
2016-01-05 15:00:00,2016-01-05 15:00:00,579.931
2016-01-05 16:00:00,2016-01-05 16:00:00,566.026
2016-01-05 17:00:00,2016-01-05 17:00:00,558.873
2016-01-05 18:00:00,2016-01-05 18:00:00,555.792
2016-01-05 19:00:00,2016-01-05 19:00:00,541.829
2016-01-05 20:00:00,2016-01-05 20:00:00,520.991
2016-01-05 21:00:00,2016-01-05 21:00:00,506.104
2016-01-05 22:00:00,2016-01-05 22:00:00,500.256
2016-01-05 23:00:00,2016-01-05 23:00:00,488.339
2016-01-06 00:00:00,2016-01-06 00:00:00,484.664
2016-01-06 01:00:00,2016-01-06 01:00:00,479.229
2016-01-06 02:00:00,2016-01-06 02:00:00,481.061
2016-01-06 03:00:00,2016-01-06 03:00:00,477.98
2016-01-06 04:00:00,2016-01-06 04:00:00,476.467
2016-01-06 05:00:00,2016-01-06 05:00:00,476.229
