timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,282.248
2016-01-01 01:00:00,2016-01-01 01:00:00,282.248
2016-01-01 02:00:00,2016-01-01 02:00:00,284.864
2016-01-01 03:00:00,2016-01-01 03:00:00,280.287
2016-01-01 04:00:00,2016-01-01 04:00:00,279.975
2016-01-01 05:00:00,2016-01-01 05:00:00,291.107
2016-01-01 06:00:00,2016-01-01 06:00:00,314.64
2016-01-01 07:00:00,2016-01-01 07:00:00,320.645
2016-01-01 08:00:00,2016-01-01 08:00:00,322.365
2016-01-01 09:00:00,2016-01-01 09:00:00,301.419
2016-01-01 10:00:00,2016-01-01 10:00:00,303.071
2016-01-01 11:00:00,2016-01-01 11:00:00,301.247
2016-01-01 12:00:00,2016-01-01 12:00:00,301.529
2016-01-01 13:00:00,2016-01-01 13:00:00,312.658
2016-01-01 14:00:00,2016-01-01 14:00:00,313.171
2016-01-01 15:00:00,2016-01-01 15:00:00,310.868
2016-01-01 16:00:00,2016-01-01 16:00:00,310.426
2016-01-01 17:00:00,2016-01-01 17:00:00,313.396
2016-01-01 18:00:00,2016-01-01 18:00:00,321.408
2016-01-01 19:00:00,2016-01-01 19:00:00,320.918
2016-01-01 20:00:00,2016-01-01 20:00:00,320.297
2016-01-01 21:00:00,2016-01-01 21:00:00,317.316
2016-01-01 22:00:00,2016-01-01 22:00:00,286.089
2016-01-01 23:00:00,2016-01-01 23:00:00,278.289
2016-01-02 00:00:00,2016-01-02 00:00:00,278.51
2016-01-02 01:00:00,2016-01-02 01:00:00,284.653
2016-01-02 02:00:00,2016-01-02 02:00:00,285.717
2016-01-02 03:00:00,2016-01-02 03:00:00,280.893
2016-01-02 04:00:00,2016-01-02 04:00:00,279.286
2016-01-02 05:00:00,2016-01-02 05:00:00,293.124
2016-01-02 06:00:00,2016-01-02 06:00:00,316.554
2016-01-02 07:00:00,2016-01-02 07:00:00,316.56
2016-01-02 08:00:00,2016-01-02 08:00:00,317.179
2016-01-02 09:00:00,2016-01-02 09:00:00,324.825
2016-01-02 10:00:00,2016-01-02 10:00:00,362.24
2016-01-02 11:00:00,2016-01-02 11:00:00,393.87
2016-01-02 12:00:00,2016-01-02 12:00:00,405.96
2016-01-02 13:00:00,2016-01-02 13:00:00,414.234
2016-01-02 14:00:00,2016-01-02 14:00:00,413.011
2016-01-02 15:00:00,2016-01-02 15:00:00,412.673
2016-01-02 16:00:00,2016-01-02 16:00:00,416.573
2016-01-02 17:00:00,2016-01-02 17:00:00,375.757
2016-01-02 18:00:00,2016-01-02 18:00:00,322.597
2016-01-02 19:00:00,2016-01-02 19:00:00,294.138
2016-01-02 20:00:00,2016-01-02 20:00:00,291.499
2016-01-02 21:00:00,2016-01-02 21:00:00,260.41
2016-01-02 22:00:00,2016-01-02 22:00:00,254.098
2016-01-02 23:00:00,2016-01-02 23:00:00,252.176
2016-01-03 00:00:00,2016-01-03 00:00:00,252.04
2016-01-03 01:00:00,2016-01-03 01:00:00,253.259
2016-01-03 02:00:00,2016-01-03 02:00:00,254.717
2016-01-03 03:00:00,2016-01-03 03:00:00,252.517
2016-01-03 04:00:00,2016-01-03 04:00:00,249.772
2016-01-03 05:00:00,2016-01-03 05:00:00,264.714
2016-01-03 06:00:00,2016-01-03 06:00:00,286.127
2016-01-03 07:00:00,2016-01-03 07:00:00,285.731
2016-01-03 08:00:00,2016-01-03 08:00:00,289.637
2016-01-03 09:00:00,2016-01-03 09:00:00,277.309
2016-01-03 10:00:00,2016-01-03 10:00:00,267.88
2016-01-03 11:00:00,2016-01-03 11:00:00,270.8
2016-01-03 12:00:00,2016-01-03 12:00:00,272.26
2016-01-03 13:00:00,2016-01-03 13:00:00,271.103
2016-01-03 14:00:00,2016-01-03 14:00:00,273.505
2016-01-03 15:00:00,2016-01-03 15:00:00,269.917
2016-01-03 16:00:00,2016-01-03 16:00:00,269.557
2016-01-03 17:00:00,2016-01-03 17:00:00,271.385
2016-01-03 18:00:00,2016-01-03 18:00:00,288.304
2016-01-03 19:00:00,2016-01-03 19:00:00,288.336
2016-01-03 20:00:00,2016-01-03 20:00:00,289.947
2016-01-03 21:00:00,2016-01-03 21:00:00,258.111
2016-01-03 22:00:00,2016-01-03 22:00:00,252.28
2016-01-03 23:00:00,2016-01-03 23:00:00,255.431
2016-01-04 00:00:00,2016-01-04 00:00:00,277.308
2016-01-04 01:00:00,2016-01-04 01:00:00,285.195
2016-01-04 02:00:00,2016-01-04 02:00:00,283.929
2016-01-04 03:00:00,2016-01-04 03:00:00,279.134
2016-01-04 04:00:00,2016-01-04 04:00:00,282.238
2016-01-04 05:00:00,2016-01-04 05:00:00,292.405
2016-01-04 06:00:00,2016-01-04 06:00:00,322.622
2016-01-04 07:00:00,2016-01-04 07:00:00,373.917
2016-01-04 08:00:00,2016-01-04 08:00:00,457.268
2016-01-04 09:00:00,2016-01-04 09:00:00,493.048
2016-01-04 10:00:00,2016-01-04 10:00:00,536.234
2016-01-04 11:00:00,2016-01-04 11:00:00,550.761
2016-01-04 12:00:00,2016-01-04 12:00:00,642.705
2016-01-04 13:00:00,2016-01-04 13:00:00,684.855
2016-01-04 14:00:00,2016-01-04 14:00:00,649.187
2016-01-04 15:00:00,2016-01-04 15:00:00,669.031
2016-01-04 16:00:00,2016-01-04 16:00:00,644.015
2016-01-04 17:00:00,2016-01-04 17:00:00,527.972
2016-01-04 18:00:00,2016-01-04 18:00:00,482.59
2016-01-04 19:00:00,2016-01-04 19:00:00,455.701
2016-01-04 20:00:00,2016-01-04 20:00:00,370.688
2016-01-04 21:00:00,2016-01-04 21:00:00,356.71
2016-01-04 22:00:00,2016-01-04 22:00:00,351.103
2016-01-04 23:00:00,2016-01-04 23:00:00,343.824
2016-01-05 00:00:00,2016-01-05 00:00:00,318.29
2016-01-05 01:00:00,2016-01-05 01:00:00,315.618
2016-01-05 02:00:00,2016-01-05 02:00:00,319.574
2016-01-05 03:00:00,2016-01-05 03:00:00,314.233
2016-01-05 04:00:00,2016-01-05 04:00:00,308.53
2016-01-05 05:00:00,2016-01-05 05:00:00,320.052
2016-01-05 06:00:00,2016-01-05 06:00:00,364.281
2016-01-05 07:00:00,2016-01-05 07:00:00,380.485
2016-01-05 08:00:00,2016-01-05 08:00:00,484.026
2016-01-05 09:00:00,2016-01-05 09:00:00,516.319
2016-01-05 10:00:00,2016-01-05 10:00:00,582.957
2016-01-05 11:00:00,2016-01-05 11:00:00,607.91
2016-01-05 12:00:00,2016-01-05 12:00:00,641.275
2016-01-05 13:00:00,2016-01-05 13:00:00,676.453
2016-01-05 14:00:00,2016-01-05 14:00:00,662.13
2016-01-05 15:00:00,2016-01-05 15:00:00,654.127
2016-01-05 16:00:00,2016-01-05 16:00:00,620.19
2016-01-05 17:00:00,2016-01-05 17:00:00,522.364
2016-01-05 18:00:00,2016-01-05 18:00:00,487.163
2016-01-05 19:00:00,2016-01-05 19:00:00,464.572
2016-01-05 20:00:00,2016-01-05 20:00:00,391.785
2016-01-05 21:00:00,2016-01-05 21:00:00,358.232
2016-01-05 22:00:00,2016-01-05 22:00:00,347.968
2016-01-05 23:00:00,2016-01-05 23:00:00,344.862
2016-01-06 00:00:00,2016-01-06 00:00:00,321.305
2016-01-06 01:00:00,2016-01-06 01:00:00,319.6
2016-01-06 02:00:00,2016-01-06 02:00:00,318.613
2016-01-06 03:00:00,2016-01-06 03:00:00,309.902
2016-01-06 04:00:00,2016-01-06 04:00:00,309.151
2016-01-06 05:00:00,2016-01-06 05:00:00,324.78
2016-01-06 06:00:00,2016-01-06 06:00:00,358.262
2016-01-06 07:00:00,2016-01-06 07:00:00,383.18
2016-01-06 08:00:00,2016-01-06 08:00:00,460.977
2016-01-06 09:00:00,2016-01-06 09:00:00,506.721
2016-01-06 10:00:00,2016-01-06 10:00:00,583.094
2016-01-06 11:00:00,2016-01-06 11:00:00,597.925
2016-01-06 12:00:00,2016-01-06 12:00:00,632.602
2016-01-06 13:00:00,2016-01-06 13:00:00,646.327
2016-01-06 14:00:00,2016-01-06 14:00:00,654.108
2016-01-06 15:00:00,2016-01-06 15:00:00,653.06
2016-01-06 16:00:00,2016-01-06 16:00:00,628.292
2016-01-06 17:00:00,2016-01-06 17:00:00,514.286
2016-01-06 18:00:00,2016-01-06 18:00:00,501.624
2016-01-06 19:00:00,2016-01-06 19:00:00,468.129
2016-01-06 20:00:00,2016-01-06 20:00:00,389.341
2016-01-06 21:00:00,2016-01-06 21:00:00,364.443
2016-01-06 22:00:00,2016-01-06 22:00:00,352.239
2016-01-06 23:00:00,2016-01-06 23:00:00,348.379
2016-01-07 00:00:00,2016-01-07 00:00:00,321.963
2016-01-07 01:00:00,2016-01-07 01:00:00,324.906
2016-01-07 02:00:00,2016-01-07 02:00:00,323.374
2016-01-07 03:00:00,2016-01-07 03:00:00,318.351
2016-01-07 04:00:00,2016-01-07 04:00:00,315.318
2016-01-07 05:00:00,2016-01-07 05:00:00,332.037
2016-01-07 06:00:00,2016-01-07 06:00:00,374.261
2016-01-07 07:00:00,2016-01-07 07:00:00,387.172
2016-01-07 08:00:00,2016-01-07 08:00:00,484.161
2016-01-07 09:00:00,2016-01-07 09:00:00,531.561
2016-01-07 10:00:00,2016-01-07 10:00:00,595.586
2016-01-07 11:00:00,2016-01-07 11:00:00,602.464
2016-01-07 12:00:00,2016-01-07 12:00:00,655.413
2016-01-07 13:00:00,2016-01-07 13:00:00,636.44
2016-01-07 14:00:00,2016-01-07 14:00:00,676.099
2016-01-07 15:00:00,2016-01-07 15:00:00,662.169
2016-01-07 16:00:00,2016-01-07 16:00:00,627.825
2016-01-07 17:00:00,2016-01-07 17:00:00,538.479
2016-01-07 18:00:00,2016-01-07 18:00:00,511.848
2016-01-07 19:00:00,2016-01-07 19:00:00,488.455
2016-01-07 20:00:00,2016-01-07 20:00:00,426.08
2016-01-07 21:00:00,2016-01-07 21:00:00,419.658
2016-01-07 22:00:00,2016-01-07 22:00:00,382.409
2016-01-07 23:00:00,2016-01-07 23:00:00,359.825
2016-01-08 00:00:00,2016-01-08 00:00:00,322.966
2016-01-08 01:00:00,2016-01-08 01:00:00,326.462
2016-01-08 02:00:00,2016-01-08 02:00:00,322.565
2016-01-08 03:00:00,2016-01-08 03:00:00,315.922
2016-01-08 04:00:00,2016-01-08 04:00:00,314.074
2016-01-08 05:00:00,2016-01-08 05:00:00,328.393
2016-01-08 06:00:00,2016-01-08 06:00:00,374.41
2016-01-08 07:00:00,2016-01-08 07:00:00,388.496
2016-01-08 08:00:00,2016-01-08 08:00:00,484.13
2016-01-08 09:00:00,2016-01-08 09:00:00,522.952
2016-01-08 10:00:00,2016-01-08 10:00:00,618.131
2016-01-08 11:00:00,2016-01-08 11:00:00,612.144
2016-01-08 12:00:00,2016-01-08 12:00:00,690.9
2016-01-08 13:00:00,2016-01-08 13:00:00,661.346
2016-01-08 14:00:00,2016-01-08 14:00:00,633.747
2016-01-08 15:00:00,2016-01-08 15:00:00,672.587
2016-01-08 16:00:00,2016-01-08 16:00:00,646.704
2016-01-08 17:00:00,2016-01-08 17:00:00,552.311
2016-01-08 18:00:00,2016-01-08 18:00:00,516.662
2016-01-08 19:00:00,2016-01-08 19:00:00,467.971
2016-01-08 20:00:00,2016-01-08 20:00:00,337.236
2016-01-08 21:00:00,2016-01-08 21:00:00,322.942
2016-01-08 22:00:00,2016-01-08 22:00:00,286.297
2016-01-08 23:00:00,2016-01-08 23:00:00,279.59
2016-01-09 00:00:00,2016-01-09 00:00:00,271.952
2016-01-09 01:00:00,2016-01-09 01:00:00,271.336
2016-01-09 02:00:00,2016-01-09 02:00:00,271.97
2016-01-09 03:00:00,2016-01-09 03:00:00,271.909
2016-01-09 04:00:00,2016-01-09 04:00:00,269.941
2016-01-09 05:00:00,2016-01-09 05:00:00,285.319
2016-01-09 06:00:00,2016-01-09 06:00:00,302.906
2016-01-09 07:00:00,2016-01-09 07:00:00,317.991
2016-01-09 08:00:00,2016-01-09 08:00:00,355.263
2016-01-09 09:00:00,2016-01-09 09:00:00,358.405
2016-01-09 10:00:00,2016-01-09 10:00:00,368.645
2016-01-09 11:00:00,2016-01-09 11:00:00,418.413
2016-01-09 12:00:00,2016-01-09 12:00:00,424.946
2016-01-09 13:00:00,2016-01-09 13:00:00,427.121
2016-01-09 14:00:00,2016-01-09 14:00:00,429.179
2016-01-09 15:00:00,2016-01-09 15:00:00,422.613
2016-01-09 16:00:00,2016-01-09 16:00:00,416.608
2016-01-09 17:00:00,2016-01-09 17:00:00,377.381
2016-01-09 18:00:00,2016-01-09 18:00:00,356.152
2016-01-09 19:00:00,2016-01-09 19:00:00,339.243
2016-01-09 20:00:00,2016-01-09 20:00:00,326.633
2016-01-09 21:00:00,2016-01-09 21:00:00,298.226
2016-01-09 22:00:00,2016-01-09 22:00:00,295.1
2016-01-09 23:00:00,2016-01-09 23:00:00,293.446
2016-01-10 00:00:00,2016-01-10 00:00:00,293.743
2016-01-10 01:00:00,2016-01-10 01:00:00,295.185
2016-01-10 02:00:00,2016-01-10 02:00:00,295.279
2016-01-10 03:00:00,2016-01-10 03:00:00,293.392
2016-01-10 04:00:00,2016-01-10 04:00:00,288.703
2016-01-10 05:00:00,2016-01-10 05:00:00,296.156
2016-01-10 06:00:00,2016-01-10 06:00:00,321.798
2016-01-10 07:00:00,2016-01-10 07:00:00,318.577
2016-01-10 08:00:00,2016-01-10 08:00:00,321.859
2016-01-10 09:00:00,2016-01-10 09:00:00,310.879
2016-01-10 10:00:00,2016-01-10 10:00:00,303.962
2016-01-10 11:00:00,2016-01-10 11:00:00,300.56
2016-01-10 12:00:00,2016-01-10 12:00:00,311.763
2016-01-10 13:00:00,2016-01-10 13:00:00,374.72
2016-01-10 14:00:00,2016-01-10 14:00:00,404.958
2016-01-10 15:00:00,2016-01-10 15:00:00,358.216
2016-01-10 16:00:00,2016-01-10 16:00:00,325.152
2016-01-10 17:00:00,2016-01-10 17:00:00,326.548
2016-01-10 18:00:00,2016-01-10 18:00:00,336.365
2016-01-10 19:00:00,2016-01-10 19:00:00,328.187
2016-01-10 20:00:00,2016-01-10 20:00:00,328.134
2016-01-10 21:00:00,2016-01-10 21:00:00,300.112
2016-01-10 22:00:00,2016-01-10 22:00:00,297.292
2016-01-10 23:00:00,2016-01-10 23:00:00,307.353
2016-01-11 00:00:00,2016-01-11 00:00:00,317.177
2016-01-11 01:00:00,2016-01-11 01:00:00,318.471
2016-01-11 02:00:00,2016-01-11 02:00:00,313.631
2016-01-11 03:00:00,2016-01-11 03:00:00,319.303
2016-01-11 04:00:00,2016-01-11 04:00:00,317.896
2016-01-11 05:00:00,2016-01-11 05:00:00,323.317
2016-01-11 06:00:00,2016-01-11 06:00:00,318.453
2016-01-11 07:00:00,2016-01-11 07:00:00,377.133
2016-01-11 08:00:00,2016-01-11 08:00:00,466.172
2016-01-11 09:00:00,2016-01-11 09:00:00,510.226
2016-01-11 10:00:00,2016-01-11 10:00:00,599.287
2016-01-11 11:00:00,2016-01-11 11:00:00,629.778
2016-01-11 12:00:00,2016-01-11 12:00:00,675.186
2016-01-11 13:00:00,2016-01-11 13:00:00,635.789
2016-01-11 14:00:00,2016-01-11 14:00:00,636.942
2016-01-11 15:00:00,2016-01-11 15:00:00,633.431
2016-01-11 16:00:00,2016-01-11 16:00:00,671.359
2016-01-11 17:00:00,2016-01-11 17:00:00,581.647
2016-01-11 18:00:00,2016-01-11 18:00:00,514.624
2016-01-11 19:00:00,2016-01-11 19:00:00,484.673
2016-01-11 20:00:00,2016-01-11 20:00:00,455.54
2016-01-11 21:00:00,2016-01-11 21:00:00,400.462
2016-01-11 22:00:00,2016-01-11 22:00:00,372.974
2016-01-11 23:00:00,2016-01-11 23:00:00,371.984
2016-01-12 00:00:00,2016-01-12 00:00:00,344.407
2016-01-12 01:00:00,2016-01-12 01:00:00,340.503
2016-01-12 02:00:00,2016-01-12 02:00:00,339.895
2016-01-12 03:00:00,2016-01-12 03:00:00,335.084
2016-01-12 04:00:00,2016-01-12 04:00:00,323.602
2016-01-12 05:00:00,2016-01-12 05:00:00,337.279
2016-01-12 06:00:00,2016-01-12 06:00:00,359.99
2016-01-12 07:00:00,2016-01-12 07:00:00,382.568
2016-01-12 08:00:00,2016-01-12 08:00:00,481.186
2016-01-12 09:00:00,2016-01-12 09:00:00,526.305
2016-01-12 10:00:00,2016-01-12 10:00:00,616.358
2016-01-12 11:00:00,2016-01-12 11:00:00,648.182
2016-01-12 12:00:00,2016-01-12 12:00:00,733.989
2016-01-12 13:00:00,2016-01-12 13:00:00,720.083
2016-01-12 14:00:00,2016-01-12 14:00:00,709.45
2016-01-12 15:00:00,2016-01-12 15:00:00,746.476
2016-01-12 16:00:00,2016-01-12 16:00:00,660.515
2016-01-12 17:00:00,2016-01-12 17:00:00,549.593
2016-01-12 18:00:00,2016-01-12 18:00:00,521.492
2016-01-12 19:00:00,2016-01-12 19:00:00,490.749
2016-01-12 20:00:00,2016-01-12 20:00:00,463.235
2016-01-12 21:00:00,2016-01-12 21:00:00,390.085
2016-01-12 22:00:00,2016-01-12 22:00:00,372.41
2016-01-12 23:00:00,2016-01-12 23:00:00,362.747
2016-01-13 00:00:00,2016-01-13 00:00:00,344.203
2016-01-13 01:00:00,2016-01-13 01:00:00,348.648
2016-01-13 02:00:00,2016-01-13 02:00:00,342.056
2016-01-13 03:00:00,2016-01-13 03:00:00,333.949
2016-01-13 04:00:00,2016-01-13 04:00:00,322.661
2016-01-13 05:00:00,2016-01-13 05:00:00,330.686
2016-01-13 06:00:00,2016-01-13 06:00:00,374.032
2016-01-13 07:00:00,2016-01-13 07:00:00,393.099
2016-01-13 08:00:00,2016-01-13 08:00:00,485.671
2016-01-13 09:00:00,2016-01-13 09:00:00,547.444
2016-01-13 10:00:00,2016-01-13 10:00:00,627.64
2016-01-13 11:00:00,2016-01-13 11:00:00,657.274
2016-01-13 12:00:00,2016-01-13 12:00:00,689.695
2016-01-13 13:00:00,2016-01-13 13:00:00,731.422
2016-01-13 14:00:00,2016-01-13 14:00:00,737.294
2016-01-13 15:00:00,2016-01-13 15:00:00,741.429
2016-01-13 16:00:00,2016-01-13 16:00:00,690.594
2016-01-13 17:00:00,2016-01-13 17:00:00,645.421
2016-01-13 18:00:00,2016-01-13 18:00:00,569.611
2016-01-13 19:00:00,2016-01-13 19:00:00,511.012
2016-01-13 20:00:00,2016-01-13 20:00:00,496.766
2016-01-13 21:00:00,2016-01-13 21:00:00,440.109
2016-01-13 22:00:00,2016-01-13 22:00:00,383.539
2016-01-13 23:00:00,2016-01-13 23:00:00,368.491
2016-01-14 00:00:00,2016-01-14 00:00:00,340.804
2016-01-14 01:00:00,2016-01-14 01:00:00,343.589
2016-01-14 02:00:00,2016-01-14 02:00:00,338.364
2016-01-14 03:00:00,2016-01-14 03:00:00,334.426
2016-01-14 04:00:00,2016-01-14 04:00:00,327.906
2016-01-14 05:00:00,2016-01-14 05:00:00,346.817
2016-01-14 06:00:00,2016-01-14 06:00:00,384.886
2016-01-14 07:00:00,2016-01-14 07:00:00,402.87
2016-01-14 08:00:00,2016-01-14 08:00:00,477.859
2016-01-14 09:00:00,2016-01-14 09:00:00,545.48
2016-01-14 10:00:00,2016-01-14 10:00:00,618.573
2016-01-14 11:00:00,2016-01-14 11:00:00,727.758
2016-01-14 12:00:00,2016-01-14 12:00:00,704.327
2016-01-14 13:00:00,2016-01-14 13:00:00,736.924
2016-01-14 14:00:00,2016-01-14 14:00:00,679.053
2016-01-14 15:00:00,2016-01-14 15:00:00,728.175
2016-01-14 16:00:00,2016-01-14 16:00:00,697.109
2016-01-14 17:00:00,2016-01-14 17:00:00,586.873
2016-01-14 18:00:00,2016-01-14 18:00:00,524.778
2016-01-14 19:00:00,2016-01-14 19:00:00,504.177
2016-01-14 20:00:00,2016-01-14 20:00:00,468.808
2016-01-14 21:00:00,2016-01-14 21:00:00,379.951
2016-01-14 22:00:00,2016-01-14 22:00:00,361.394
2016-01-14 23:00:00,2016-01-14 23:00:00,347.648
2016-01-15 00:00:00,2016-01-15 00:00:00,325.611
2016-01-15 01:00:00,2016-01-15 01:00:00,331.753
2016-01-15 02:00:00,2016-01-15 02:00:00,319.317
2016-01-15 03:00:00,2016-01-15 03:00:00,313.63
2016-01-15 04:00:00,2016-01-15 04:00:00,317.765
2016-01-15 05:00:00,2016-01-15 05:00:00,334.156
2016-01-15 06:00:00,2016-01-15 06:00:00,375.633
2016-01-15 07:00:00,2016-01-15 07:00:00,380.69
2016-01-15 08:00:00,2016-01-15 08:00:00,464.638
2016-01-15 09:00:00,2016-01-15 09:00:00,534.626
2016-01-15 10:00:00,2016-01-15 10:00:00,631.093
2016-01-15 11:00:00,2016-01-15 11:00:00,638.026
2016-01-15 12:00:00,2016-01-15 12:00:00,716.233
2016-01-15 13:00:00,2016-01-15 13:00:00,734.641
2016-01-15 14:00:00,2016-01-15 14:00:00,740.984
2016-01-15 15:00:00,2016-01-15 15:00:00,724.726
2016-01-15 16:00:00,2016-01-15 16:00:00,687.168
2016-01-15 17:00:00,2016-01-15 17:00:00,579.818
2016-01-15 18:00:00,2016-01-15 18:00:00,515.852
2016-01-15 19:00:00,2016-01-15 19:00:00,502.769
2016-01-15 20:00:00,2016-01-15 20:00:00,415.525
2016-01-15 21:00:00,2016-01-15 21:00:00,407.875
2016-01-15 22:00:00,2016-01-15 22:00:00,330.277
2016-01-15 23:00:00,2016-01-15 23:00:00,283.998
2016-01-16 00:00:00,2016-01-16 00:00:00,278.482
2016-01-16 01:00:00,2016-01-16 01:00:00,282.189
2016-01-16 02:00:00,2016-01-16 02:00:00,281.17
2016-01-16 03:00:00,2016-01-16 03:00:00,278.188
2016-01-16 04:00:00,2016-01-16 04:00:00,279.544
2016-01-16 05:00:00,2016-01-16 05:00:00,283.234
2016-01-16 06:00:00,2016-01-16 06:00:00,287.805
2016-01-16 07:00:00,2016-01-16 07:00:00,291.718
2016-01-16 08:00:00,2016-01-16 08:00:00,291.752
2016-01-16 09:00:00,2016-01-16 09:00:00,310.203
2016-01-16 10:00:00,2016-01-16 10:00:00,376.992
2016-01-16 11:00:00,2016-01-16 11:00:00,392.568
2016-01-16 12:00:00,2016-01-16 12:00:00,401.157
2016-01-16 13:00:00,2016-01-16 13:00:00,403.66
2016-01-16 14:00:00,2016-01-16 14:00:00,403.797
2016-01-16 15:00:00,2016-01-16 15:00:00,409.227
2016-01-16 16:00:00,2016-01-16 16:00:00,405.803
2016-01-16 17:00:00,2016-01-16 17:00:00,397.943
2016-01-16 18:00:00,2016-01-16 18:00:00,412.647
2016-01-16 19:00:00,2016-01-16 19:00:00,356.841
2016-01-16 20:00:00,2016-01-16 20:00:00,297.118
2016-01-16 21:00:00,2016-01-16 21:00:00,283.158
