timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,154.38
2016-01-01 01:00:00,2016-01-01 01:00:00,154.38
2016-01-01 02:00:00,2016-01-01 02:00:00,152.578
2016-01-01 03:00:00,2016-01-01 03:00:00,148.858
2016-01-01 04:00:00,2016-01-01 04:00:00,151.749
2016-01-01 05:00:00,2016-01-01 05:00:00,145.254
2016-01-01 06:00:00,2016-01-01 06:00:00,149.052
2016-01-01 07:00:00,2016-01-01 07:00:00,148.802
2016-01-01 08:00:00,2016-01-01 08:00:00,150.399
2016-01-01 09:00:00,2016-01-01 09:00:00,147.232
2016-01-01 10:00:00,2016-01-01 10:00:00,145.725
2016-01-01 11:00:00,2016-01-01 11:00:00,150.056
2016-01-01 12:00:00,2016-01-01 12:00:00,149.147
2016-01-01 13:00:00,2016-01-01 13:00:00,148.93
2016-01-01 14:00:00,2016-01-01 14:00:00,150.242
2016-01-01 15:00:00,2016-01-01 15:00:00,149.43
2016-01-01 16:00:00,2016-01-01 16:00:00,150.852
2016-01-01 17:00:00,2016-01-01 17:00:00,148.772
2016-01-01 18:00:00,2016-01-01 18:00:00,155.665
2016-01-01 19:00:00,2016-01-01 19:00:00,149.318
2016-01-01 20:00:00,2016-01-01 20:00:00,147.162
2016-01-01 21:00:00,2016-01-01 21:00:00,148.485
2016-01-01 22:00:00,2016-01-01 22:00:00,150.331
2016-01-01 23:00:00,2016-01-01 23:00:00,143.958
2016-01-02 00:00:00,2016-01-02 00:00:00,146.635
2016-01-02 01:00:00,2016-01-02 01:00:00,149.411
2016-01-02 02:00:00,2016-01-02 02:00:00,146.376
2016-01-02 03:00:00,2016-01-02 03:00:00,145.862
2016-01-02 04:00:00,2016-01-02 04:00:00,146.716
2016-01-02 05:00:00,2016-01-02 05:00:00,146.496
2016-01-02 06:00:00,2016-01-02 06:00:00,148.492
2016-01-02 07:00:00,2016-01-02 07:00:00,149.875
2016-01-02 08:00:00,2016-01-02 08:00:00,151.481
2016-01-02 09:00:00,2016-01-02 09:00:00,147.946
2016-01-02 10:00:00,2016-01-02 10:00:00,149.956
2016-01-02 11:00:00,2016-01-02 11:00:00,151.356
2016-01-02 12:00:00,2016-01-02 12:00:00,151.356
2016-01-02 13:00:00,2016-01-02 13:00:00,153.387
2016-01-02 14:00:00,2016-01-02 14:00:00,150.27
2016-01-02 15:00:00,2016-01-02 15:00:00,153.199
2016-01-02 16:00:00,2016-01-02 16:00:00,150.648
2016-01-02 17:00:00,2016-01-02 17:00:00,152.225
2016-01-02 18:00:00,2016-01-02 18:00:00,155.437
2016-01-02 19:00:00,2016-01-02 19:00:00,153.327
2016-01-02 20:00:00,2016-01-02 20:00:00,149.554
2016-01-02 21:00:00,2016-01-02 21:00:00,147.835
2016-01-02 22:00:00,2016-01-02 22:00:00,145.941
2016-01-02 23:00:00,2016-01-02 23:00:00,148.638
2016-01-03 00:00:00,2016-01-03 00:00:00,148.39
2016-01-03 01:00:00,2016-01-03 01:00:00,146.737
2016-01-03 02:00:00,2016-01-03 02:00:00,147.014
2016-01-03 03:00:00,2016-01-03 03:00:00,148.839
