timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,139.284
2016-01-01 01:00:00,2016-01-01 01:00:00,139.284
2016-01-01 02:00:00,2016-01-01 02:00:00,135.3
2016-01-01 03:00:00,2016-01-01 03:00:00,135.594
2016-01-01 04:00:00,2016-01-01 04:00:00,138.873
2016-01-01 05:00:00,2016-01-01 05:00:00,136.296
2016-01-01 06:00:00,2016-01-01 06:00:00,136.057
2016-01-01 07:00:00,2016-01-01 07:00:00,165.82
2016-01-01 08:00:00,2016-01-01 08:00:00,164.022
2016-01-01 09:00:00,2016-01-01 09:00:00,157.619
2016-01-01 10:00:00,2016-01-01 10:00:00,162.043
2016-01-01 11:00:00,2016-01-01 11:00:00,160.009
2016-01-01 12:00:00,2016-01-01 12:00:00,156.044
2016-01-01 13:00:00,2016-01-01 13:00:00,161.634
2016-01-01 14:00:00,2016-01-01 14:00:00,155.268
2016-01-01 15:00:00,2016-01-01 15:00:00,159.711
2016-01-01 16:00:00,2016-01-01 16:00:00,161.431
2016-01-01 17:00:00,2016-01-01 17:00:00,156.072
2016-01-01 18:00:00,2016-01-01 18:00:00,163.021
2016-01-01 19:00:00,2016-01-01 19:00:00,145.4
2016-01-01 20:00:00,2016-01-01 20:00:00,136.936
2016-01-01 21:00:00,2016-01-01 21:00:00,131.706
2016-01-01 22:00:00,2016-01-01 22:00:00,135.181
2016-01-01 23:00:00,2016-01-01 23:00:00,128.069
2016-01-02 00:00:00,2016-01-02 00:00:00,133.087
2016-01-02 01:00:00,2016-01-02 01:00:00,135.343
2016-01-02 02:00:00,2016-01-02 02:00:00,131.646
2016-01-02 03:00:00,2016-01-02 03:00:00,130.356
2016-01-02 04:00:00,2016-01-02 04:00:00,132.692
2016-01-02 05:00:00,2016-01-02 05:00:00,131.682
2016-01-02 06:00:00,2016-01-02 06:00:00,130.782
2016-01-02 07:00:00,2016-01-02 07:00:00,137.296
2016-01-02 08:00:00,2016-01-02 08:00:00,138.254
2016-01-02 09:00:00,2016-01-02 09:00:00,129.079
2016-01-02 10:00:00,2016-01-02 10:00:00,133.307
2016-01-02 11:00:00,2016-01-02 11:00:00,132.92
2016-01-02 12:00:00,2016-01-02 12:00:00,128.824
2016-01-02 13:00:00,2016-01-02 13:00:00,135.364
2016-01-02 14:00:00,2016-01-02 14:00:00,129.458
2016-01-02 15:00:00,2016-01-02 15:00:00,129.394
2016-01-02 16:00:00,2016-01-02 16:00:00,128.548
2016-01-02 17:00:00,2016-01-02 17:00:00,126.705
2016-01-02 18:00:00,2016-01-02 18:00:00,130.567
2016-01-02 19:00:00,2016-01-02 19:00:00,132.631
2016-01-02 20:00:00,2016-01-02 20:00:00,131.954
2016-01-02 21:00:00,2016-01-02 21:00:00,126.883
2016-01-02 22:00:00,2016-01-02 22:00:00,132.645
2016-01-02 23:00:00,2016-01-02 23:00:00,128.973
2016-01-03 00:00:00,2016-01-03 00:00:00,127.494
2016-01-03 01:00:00,2016-01-03 01:00:00,131.623
2016-01-03 02:00:00,2016-01-03 02:00:00,132.128
2016-01-03 03:00:00,2016-01-03 03:00:00,126.475
2016-01-03 04:00:00,2016-01-03 04:00:00,129.851
2016-01-03 05:00:00,2016-01-03 05:00:00,129.717
2016-01-03 06:00:00,2016-01-03 06:00:00,125.9
2016-01-03 07:00:00,2016-01-03 07:00:00,133.786
2016-01-03 08:00:00,2016-01-03 08:00:00,133.068
2016-01-03 09:00:00,2016-01-03 09:00:00,125.82
2016-01-03 10:00:00,2016-01-03 10:00:00,127.538
2016-01-03 11:00:00,2016-01-03 11:00:00,128.262
2016-01-03 12:00:00,2016-01-03 12:00:00,132.253
2016-01-03 13:00:00,2016-01-03 13:00:00,131.577
2016-01-03 14:00:00,2016-01-03 14:00:00,132.733
2016-01-03 15:00:00,2016-01-03 15:00:00,136.602
2016-01-03 16:00:00,2016-01-03 16:00:00,129.509
2016-01-03 17:00:00,2016-01-03 17:00:00,132.799
