timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,144.926
2016-01-01 01:00:00,2016-01-01 01:00:00,144.926
2016-01-01 02:00:00,2016-01-01 02:00:00,139.754
2016-01-01 03:00:00,2016-01-01 03:00:00,135.696
2016-01-01 04:00:00,2016-01-01 04:00:00,135.312
2016-01-01 05:00:00,2016-01-01 05:00:00,136.798
2016-01-01 06:00:00,2016-01-01 06:00:00,136.723
2016-01-01 07:00:00,2016-01-01 07:00:00,283.476
2016-01-01 08:00:00,2016-01-01 08:00:00,322.616
2016-01-01 09:00:00,2016-01-01 09:00:00,337.1
2016-01-01 10:00:00,2016-01-01 10:00:00,324.1
2016-01-01 11:00:00,2016-01-01 11:00:00,321.449
2016-01-01 12:00:00,2016-01-01 12:00:00,322.781
2016-01-01 13:00:00,2016-01-01 13:00:00,304.217
2016-01-01 14:00:00,2016-01-01 14:00:00,302.147
2016-01-01 15:00:00,2016-01-01 15:00:00,305.633
2016-01-01 16:00:00,2016-01-01 16:00:00,317.624
2016-01-01 17:00:00,2016-01-01 17:00:00,327.798
2016-01-01 18:00:00,2016-01-01 18:00:00,334.287
2016-01-01 19:00:00,2016-01-01 19:00:00,327.363
2016-01-01 20:00:00,2016-01-01 20:00:00,318.525
2016-01-01 21:00:00,2016-01-01 21:00:00,270.609
2016-01-01 22:00:00,2016-01-01 22:00:00,252.52
2016-01-01 23:00:00,2016-01-01 23:00:00,171.269
2016-01-02 00:00:00,2016-01-02 00:00:00,155.464
2016-01-02 01:00:00,2016-01-02 01:00:00,145.185
2016-01-02 02:00:00,2016-01-02 02:00:00,137.804
2016-01-02 03:00:00,2016-01-02 03:00:00,135.855
2016-01-02 04:00:00,2016-01-02 04:00:00,134.775
2016-01-02 05:00:00,2016-01-02 05:00:00,134.082
2016-01-02 06:00:00,2016-01-02 06:00:00,138.785
2016-01-02 07:00:00,2016-01-02 07:00:00,282.483
2016-01-02 08:00:00,2016-01-02 08:00:00,325.137
2016-01-02 09:00:00,2016-01-02 09:00:00,336.113
2016-01-02 10:00:00,2016-01-02 10:00:00,323.135
2016-01-02 11:00:00,2016-01-02 11:00:00,317.721
2016-01-02 12:00:00,2016-01-02 12:00:00,306.88
2016-01-02 13:00:00,2016-01-02 13:00:00,300.244
2016-01-02 14:00:00,2016-01-02 14:00:00,301.664
2016-01-02 15:00:00,2016-01-02 15:00:00,307.546
2016-01-02 16:00:00,2016-01-02 16:00:00,315.598
2016-01-02 17:00:00,2016-01-02 17:00:00,329.926
2016-01-02 18:00:00,2016-01-02 18:00:00,334.407
2016-01-02 19:00:00,2016-01-02 19:00:00,330.136
2016-01-02 20:00:00,2016-01-02 20:00:00,317.869
2016-01-02 21:00:00,2016-01-02 21:00:00,270.624
2016-01-02 22:00:00,2016-01-02 22:00:00,252.175
2016-01-02 23:00:00,2016-01-02 23:00:00,172.388
2016-01-03 00:00:00,2016-01-03 00:00:00,154.395
2016-01-03 01:00:00,2016-01-03 01:00:00,145.035
2016-01-03 02:00:00,2016-01-03 02:00:00,138.926
2016-01-03 03:00:00,2016-01-03 03:00:00,134.666
2016-01-03 04:00:00,2016-01-03 04:00:00,135.028
2016-01-03 05:00:00,2016-01-03 05:00:00,134.088
2016-01-03 06:00:00,2016-01-03 06:00:00,137.698
2016-01-03 07:00:00,2016-01-03 07:00:00,278.853
2016-01-03 08:00:00,2016-01-03 08:00:00,322.076
2016-01-03 09:00:00,2016-01-03 09:00:00,333.807
2016-01-03 10:00:00,2016-01-03 10:00:00,322.237
2016-01-03 11:00:00,2016-01-03 11:00:00,318.074
2016-01-03 12:00:00,2016-01-03 12:00:00,318.863
2016-01-03 13:00:00,2016-01-03 13:00:00,318.333
2016-01-03 14:00:00,2016-01-03 14:00:00,318.01
2016-01-03 15:00:00,2016-01-03 15:00:00,316.463
2016-01-03 16:00:00,2016-01-03 16:00:00,314.88
2016-01-03 17:00:00,2016-01-03 17:00:00,324.237
2016-01-03 18:00:00,2016-01-03 18:00:00,327.134
2016-01-03 19:00:00,2016-01-03 19:00:00,323.491
2016-01-03 20:00:00,2016-01-03 20:00:00,312.216
2016-01-03 21:00:00,2016-01-03 21:00:00,266.815
2016-01-03 22:00:00,2016-01-03 22:00:00,247.613
2016-01-03 23:00:00,2016-01-03 23:00:00,169.165
2016-01-04 00:00:00,2016-01-04 00:00:00,151.884
2016-01-04 01:00:00,2016-01-04 01:00:00,141.51
2016-01-04 02:00:00,2016-01-04 02:00:00,136.136
2016-01-04 03:00:00,2016-01-04 03:00:00,132.236
2016-01-04 04:00:00,2016-01-04 04:00:00,132.684
2016-01-04 05:00:00,2016-01-04 05:00:00,131.202
2016-01-04 06:00:00,2016-01-04 06:00:00,133.234
2016-01-04 07:00:00,2016-01-04 07:00:00,279.367
2016-01-04 08:00:00,2016-01-04 08:00:00,318.615
2016-01-04 09:00:00,2016-01-04 09:00:00,333.053
2016-01-04 10:00:00,2016-01-04 10:00:00,319.439
2016-01-04 11:00:00,2016-01-04 11:00:00,317.055
2016-01-04 12:00:00,2016-01-04 12:00:00,301.664
2016-01-04 13:00:00,2016-01-04 13:00:00,296.33
2016-01-04 14:00:00,2016-01-04 14:00:00,297.072
2016-01-04 15:00:00,2016-01-04 15:00:00,302.365
2016-01-04 16:00:00,2016-01-04 16:00:00,314.568
2016-01-04 17:00:00,2016-01-04 17:00:00,327.041
2016-01-04 18:00:00,2016-01-04 18:00:00,331.041
2016-01-04 19:00:00,2016-01-04 19:00:00,328.233
2016-01-04 20:00:00,2016-01-04 20:00:00,313.724
2016-01-04 21:00:00,2016-01-04 21:00:00,270.058
2016-01-04 22:00:00,2016-01-04 22:00:00,251.125
2016-01-04 23:00:00,2016-01-04 23:00:00,170.577
2016-01-05 00:00:00,2016-01-05 00:00:00,154.09
2016-01-05 01:00:00,2016-01-05 01:00:00,144.04
2016-01-05 02:00:00,2016-01-05 02:00:00,137.803
2016-01-05 03:00:00,2016-01-05 03:00:00,135.188
2016-01-05 04:00:00,2016-01-05 04:00:00,133.732
2016-01-05 05:00:00,2016-01-05 05:00:00,135.388
2016-01-05 06:00:00,2016-01-05 06:00:00,135.824
2016-01-05 07:00:00,2016-01-05 07:00:00,279.972
2016-01-05 08:00:00,2016-01-05 08:00:00,319.484
2016-01-05 09:00:00,2016-01-05 09:00:00,332.119
2016-01-05 10:00:00,2016-01-05 10:00:00,321.541
2016-01-05 11:00:00,2016-01-05 11:00:00,316.402
2016-01-05 12:00:00,2016-01-05 12:00:00,307.537
2016-01-05 13:00:00,2016-01-05 13:00:00,296.688
2016-01-05 14:00:00,2016-01-05 14:00:00,300.893
2016-01-05 15:00:00,2016-01-05 15:00:00,313.467
2016-01-05 16:00:00,2016-01-05 16:00:00,318.543
2016-01-05 17:00:00,2016-01-05 17:00:00,329.478
2016-01-05 18:00:00,2016-01-05 18:00:00,333.915
2016-01-05 19:00:00,2016-01-05 19:00:00,328.209
2016-01-05 20:00:00,2016-01-05 20:00:00,316.213
2016-01-05 21:00:00,2016-01-05 21:00:00,272.449
2016-01-05 22:00:00,2016-01-05 22:00:00,253.952
2016-01-05 23:00:00,2016-01-05 23:00:00,172.729
2016-01-06 00:00:00,2016-01-06 00:00:00,153.951
2016-01-06 01:00:00,2016-01-06 01:00:00,145.619
2016-01-06 02:00:00,2016-01-06 02:00:00,140.712
2016-01-06 03:00:00,2016-01-06 03:00:00,136.278
2016-01-06 04:00:00,2016-01-06 04:00:00,135.512
2016-01-06 05:00:00,2016-01-06 05:00:00,135.839
2016-01-06 06:00:00,2016-01-06 06:00:00,138.09
2016-01-06 07:00:00,2016-01-06 07:00:00,279.204
2016-01-06 08:00:00,2016-01-06 08:00:00,319.441
2016-01-06 09:00:00,2016-01-06 09:00:00,328.311
2016-01-06 10:00:00,2016-01-06 10:00:00,316.97
2016-01-06 11:00:00,2016-01-06 11:00:00,315.365
2016-01-06 12:00:00,2016-01-06 12:00:00,316.643
2016-01-06 13:00:00,2016-01-06 13:00:00,317.332
2016-01-06 14:00:00,2016-01-06 14:00:00,312.887
2016-01-06 15:00:00,2016-01-06 15:00:00,314.781
2016-01-06 16:00:00,2016-01-06 16:00:00,314.169
2016-01-06 17:00:00,2016-01-06 17:00:00,323.39
2016-01-06 18:00:00,2016-01-06 18:00:00,328.708
2016-01-06 19:00:00,2016-01-06 19:00:00,322.618
2016-01-06 20:00:00,2016-01-06 20:00:00,311.18
2016-01-06 21:00:00,2016-01-06 21:00:00,272.55
2016-01-06 22:00:00,2016-01-06 22:00:00,254.166
2016-01-06 23:00:00,2016-01-06 23:00:00,172.588
2016-01-07 00:00:00,2016-01-07 00:00:00,155.039
2016-01-07 01:00:00,2016-01-07 01:00:00,146.382
2016-01-07 02:00:00,2016-01-07 02:00:00,139.488
2016-01-07 03:00:00,2016-01-07 03:00:00,137.091
2016-01-07 04:00:00,2016-01-07 04:00:00,135.413
2016-01-07 05:00:00,2016-01-07 05:00:00,135.671
2016-01-07 06:00:00,2016-01-07 06:00:00,137.469
2016-01-07 07:00:00,2016-01-07 07:00:00,275.68
2016-01-07 08:00:00,2016-01-07 08:00:00,313.358
2016-01-07 09:00:00,2016-01-07 09:00:00,326.854
2016-01-07 10:00:00,2016-01-07 10:00:00,315.359
2016-01-07 11:00:00,2016-01-07 11:00:00,311.335
2016-01-07 12:00:00,2016-01-07 12:00:00,310.644
2016-01-07 13:00:00,2016-01-07 13:00:00,312.133
2016-01-07 14:00:00,2016-01-07 14:00:00,313.576
2016-01-07 15:00:00,2016-01-07 15:00:00,319.846
2016-01-07 16:00:00,2016-01-07 16:00:00,318.466
2016-01-07 17:00:00,2016-01-07 17:00:00,329.273
2016-01-07 18:00:00,2016-01-07 18:00:00,336.862
2016-01-07 19:00:00,2016-01-07 19:00:00,330.759
2016-01-07 20:00:00,2016-01-07 20:00:00,317.336
2016-01-07 21:00:00,2016-01-07 21:00:00,278.254
2016-01-07 22:00:00,2016-01-07 22:00:00,261.504
2016-01-07 23:00:00,2016-01-07 23:00:00,179.88
2016-01-08 00:00:00,2016-01-08 00:00:00,162.328
2016-01-08 01:00:00,2016-01-08 01:00:00,152.864
2016-01-08 02:00:00,2016-01-08 02:00:00,145.538
2016-01-08 03:00:00,2016-01-08 03:00:00,143.722
2016-01-08 04:00:00,2016-01-08 04:00:00,142.233
2016-01-08 05:00:00,2016-01-08 05:00:00,141.479
2016-01-08 06:00:00,2016-01-08 06:00:00,144.57
2016-01-08 07:00:00,2016-01-08 07:00:00,280.661
2016-01-08 08:00:00,2016-01-08 08:00:00,321.334
2016-01-08 09:00:00,2016-01-08 09:00:00,334.517
2016-01-08 10:00:00,2016-01-08 10:00:00,321.404
2016-01-08 11:00:00,2016-01-08 11:00:00,318.484
2016-01-08 12:00:00,2016-01-08 12:00:00,319.842
2016-01-08 13:00:00,2016-01-08 13:00:00,317.652
2016-01-08 14:00:00,2016-01-08 14:00:00,313.133
2016-01-08 15:00:00,2016-01-08 15:00:00,313.786
2016-01-08 16:00:00,2016-01-08 16:00:00,312.977
2016-01-08 17:00:00,2016-01-08 17:00:00,323.424
2016-01-08 18:00:00,2016-01-08 18:00:00,328.631
2016-01-08 19:00:00,2016-01-08 19:00:00,323.382
2016-01-08 20:00:00,2016-01-08 20:00:00,311.3
2016-01-08 21:00:00,2016-01-08 21:00:00,271.062
2016-01-08 22:00:00,2016-01-08 22:00:00,253.523
2016-01-08 23:00:00,2016-01-08 23:00:00,171.775
2016-01-09 00:00:00,2016-01-09 00:00:00,154.706
2016-01-09 01:00:00,2016-01-09 01:00:00,144.464
2016-01-09 02:00:00,2016-01-09 02:00:00,137.61
2016-01-09 03:00:00,2016-01-09 03:00:00,136.155
2016-01-09 04:00:00,2016-01-09 04:00:00,133.716
2016-01-09 05:00:00,2016-01-09 05:00:00,134.949
2016-01-09 06:00:00,2016-01-09 06:00:00,135.704
2016-01-09 07:00:00,2016-01-09 07:00:00,274.423
2016-01-09 08:00:00,2016-01-09 08:00:00,314.301
2016-01-09 09:00:00,2016-01-09 09:00:00,328.994
2016-01-09 10:00:00,2016-01-09 10:00:00,313.581
2016-01-09 11:00:00,2016-01-09 11:00:00,312.284
2016-01-09 12:00:00,2016-01-09 12:00:00,312.691
2016-01-09 13:00:00,2016-01-09 13:00:00,314.232
2016-01-09 14:00:00,2016-01-09 14:00:00,312.573
2016-01-09 15:00:00,2016-01-09 15:00:00,310.735
2016-01-09 16:00:00,2016-01-09 16:00:00,311.224
2016-01-09 17:00:00,2016-01-09 17:00:00,318.58
2016-01-09 18:00:00,2016-01-09 18:00:00,323.533
2016-01-09 19:00:00,2016-01-09 19:00:00,318.576
2016-01-09 20:00:00,2016-01-09 20:00:00,304.903
2016-01-09 21:00:00,2016-01-09 21:00:00,267.279
2016-01-09 22:00:00,2016-01-09 22:00:00,250.73
2016-01-09 23:00:00,2016-01-09 23:00:00,169.33
2016-01-10 00:00:00,2016-01-10 00:00:00,154.351
2016-01-10 01:00:00,2016-01-10 01:00:00,143.974
2016-01-10 02:00:00,2016-01-10 02:00:00,138.059
2016-01-10 03:00:00,2016-01-10 03:00:00,133.295
2016-01-10 04:00:00,2016-01-10 04:00:00,134.353
2016-01-10 05:00:00,2016-01-10 05:00:00,134.15
2016-01-10 06:00:00,2016-01-10 06:00:00,135.559
2016-01-10 07:00:00,2016-01-10 07:00:00,277.174
2016-01-10 08:00:00,2016-01-10 08:00:00,317.79
2016-01-10 09:00:00,2016-01-10 09:00:00,327.33
2016-01-10 10:00:00,2016-01-10 10:00:00,314.796
2016-01-10 11:00:00,2016-01-10 11:00:00,305.062
2016-01-10 12:00:00,2016-01-10 12:00:00,289.8
2016-01-10 13:00:00,2016-01-10 13:00:00,230.615
2016-01-10 14:00:00,2016-01-10 14:00:00,231.123
2016-01-10 15:00:00,2016-01-10 15:00:00,240.584
2016-01-10 16:00:00,2016-01-10 16:00:00,302.331
2016-01-10 17:00:00,2016-01-10 17:00:00,317.016
2016-01-10 18:00:00,2016-01-10 18:00:00,323.174
2016-01-10 19:00:00,2016-01-10 19:00:00,317.053
2016-01-10 20:00:00,2016-01-10 20:00:00,302.831
2016-01-10 21:00:00,2016-01-10 21:00:00,265.907
2016-01-10 22:00:00,2016-01-10 22:00:00,248.296
2016-01-10 23:00:00,2016-01-10 23:00:00,169.298
2016-01-11 00:00:00,2016-01-11 00:00:00,152.003
2016-01-11 01:00:00,2016-01-11 01:00:00,141.857
2016-01-11 02:00:00,2016-01-11 02:00:00,136.734
2016-01-11 03:00:00,2016-01-11 03:00:00,131.802
2016-01-11 04:00:00,2016-01-11 04:00:00,131.026
2016-01-11 05:00:00,2016-01-11 05:00:00,132.202
2016-01-11 06:00:00,2016-01-11 06:00:00,134.412
2016-01-11 07:00:00,2016-01-11 07:00:00,270.812
2016-01-11 08:00:00,2016-01-11 08:00:00,313.122
2016-01-11 09:00:00,2016-01-11 09:00:00,326.571
2016-01-11 10:00:00,2016-01-11 10:00:00,313.614
2016-01-11 11:00:00,2016-01-11 11:00:00,304.876
2016-01-11 12:00:00,2016-01-11 12:00:00,299.952
2016-01-11 13:00:00,2016-01-11 13:00:00,290.845
2016-01-11 14:00:00,2016-01-11 14:00:00,300.899
2016-01-11 15:00:00,2016-01-11 15:00:00,310.577
2016-01-11 16:00:00,2016-01-11 16:00:00,310.915
2016-01-11 17:00:00,2016-01-11 17:00:00,318.575
2016-01-11 18:00:00,2016-01-11 18:00:00,324.182
2016-01-11 19:00:00,2016-01-11 19:00:00,321.423
2016-01-11 20:00:00,2016-01-11 20:00:00,306.913
2016-01-11 21:00:00,2016-01-11 21:00:00,268.267
2016-01-11 22:00:00,2016-01-11 22:00:00,250.508
2016-01-11 23:00:00,2016-01-11 23:00:00,169.922
2016-01-12 00:00:00,2016-01-12 00:00:00,153.291
2016-01-12 01:00:00,2016-01-12 01:00:00,141.434
2016-01-12 02:00:00,2016-01-12 02:00:00,138.22
2016-01-12 03:00:00,2016-01-12 03:00:00,133.327
2016-01-12 04:00:00,2016-01-12 04:00:00,132.918
2016-01-12 05:00:00,2016-01-12 05:00:00,133.539
2016-01-12 06:00:00,2016-01-12 06:00:00,134.973
2016-01-12 07:00:00,2016-01-12 07:00:00,270.794
2016-01-12 08:00:00,2016-01-12 08:00:00,312.026
2016-01-12 09:00:00,2016-01-12 09:00:00,325.28
2016-01-12 10:00:00,2016-01-12 10:00:00,314.684
2016-01-12 11:00:00,2016-01-12 11:00:00,305.95
2016-01-12 12:00:00,2016-01-12 12:00:00,288.585
2016-01-12 13:00:00,2016-01-12 13:00:00,232.876
2016-01-12 14:00:00,2016-01-12 14:00:00,231.275
2016-01-12 15:00:00,2016-01-12 15:00:00,239.246
2016-01-12 16:00:00,2016-01-12 16:00:00,303.973
2016-01-12 17:00:00,2016-01-12 17:00:00,320.753
2016-01-12 18:00:00,2016-01-12 18:00:00,324.169
2016-01-12 19:00:00,2016-01-12 19:00:00,320.413
2016-01-12 20:00:00,2016-01-12 20:00:00,306.255
2016-01-12 21:00:00,2016-01-12 21:00:00,269.155
2016-01-12 22:00:00,2016-01-12 22:00:00,248.915
2016-01-12 23:00:00,2016-01-12 23:00:00,170.987
2016-01-13 00:00:00,2016-01-13 00:00:00,152.273
2016-01-13 01:00:00,2016-01-13 01:00:00,142.739
2016-01-13 02:00:00,2016-01-13 02:00:00,137.403
2016-01-13 03:00:00,2016-01-13 03:00:00,133.744
2016-01-13 04:00:00,2016-01-13 04:00:00,133.785
2016-01-13 05:00:00,2016-01-13 05:00:00,132.618
2016-01-13 06:00:00,2016-01-13 06:00:00,135.074
2016-01-13 07:00:00,2016-01-13 07:00:00,271.787
2016-01-13 08:00:00,2016-01-13 08:00:00,313.384
2016-01-13 09:00:00,2016-01-13 09:00:00,325.454
2016-01-13 10:00:00,2016-01-13 10:00:00,313.669
2016-01-13 11:00:00,2016-01-13 11:00:00,312.892
2016-01-13 12:00:00,2016-01-13 12:00:00,313.37
2016-01-13 13:00:00,2016-01-13 13:00:00,308.492
2016-01-13 14:00:00,2016-01-13 14:00:00,307.633
2016-01-13 15:00:00,2016-01-13 15:00:00,305.472
2016-01-13 16:00:00,2016-01-13 16:00:00,308.767
2016-01-13 17:00:00,2016-01-13 17:00:00,313.051
2016-01-13 18:00:00,2016-01-13 18:00:00,324.29
