timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,69.517
2016-01-01 01:00:00,2016-01-01 01:00:00,69.517
2016-01-01 02:00:00,2016-01-01 02:00:00,69.381
2016-01-01 03:00:00,2016-01-01 03:00:00,69.722
2016-01-01 04:00:00,2016-01-01 04:00:00,70.476
2016-01-01 05:00:00,2016-01-01 05:00:00,70.139
2016-01-01 06:00:00,2016-01-01 06:00:00,70.135
2016-01-01 07:00:00,2016-01-01 07:00:00,70.657
2016-01-01 08:00:00,2016-01-01 08:00:00,70.33
2016-01-01 09:00:00,2016-01-01 09:00:00,67.538
2016-01-01 10:00:00,2016-01-01 10:00:00,66.306
2016-01-01 11:00:00,2016-01-01 11:00:00,66.449
2016-01-01 12:00:00,2016-01-01 12:00:00,65.6
2016-01-01 13:00:00,2016-01-01 13:00:00,64.827
2016-01-01 14:00:00,2016-01-01 14:00:00,64.514
2016-01-01 15:00:00,2016-01-01 15:00:00,64.322
2016-01-01 16:00:00,2016-01-01 16:00:00,64.108
2016-01-01 17:00:00,2016-01-01 17:00:00,64.74
2016-01-01 18:00:00,2016-01-01 18:00:00,70.071
2016-01-01 19:00:00,2016-01-01 19:00:00,70.129
2016-01-01 20:00:00,2016-01-01 20:00:00,70.732
2016-01-01 21:00:00,2016-01-01 21:00:00,70.112
2016-01-01 22:00:00,2016-01-01 22:00:00,69.613
2016-01-01 23:00:00,2016-01-01 23:00:00,69.211
2016-01-02 00:00:00,2016-01-02 00:00:00,69.195
2016-01-02 01:00:00,2016-01-02 01:00:00,69.245
2016-01-02 02:00:00,2016-01-02 02:00:00,68.884
2016-01-02 03:00:00,2016-01-02 03:00:00,69.257
2016-01-02 04:00:00,2016-01-02 04:00:00,69.915
2016-01-02 05:00:00,2016-01-02 05:00:00,69.44
2016-01-02 06:00:00,2016-01-02 06:00:00,70.416
2016-01-02 07:00:00,2016-01-02 07:00:00,70.434
2016-01-02 08:00:00,2016-01-02 08:00:00,70.805
