timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,109.445
2016-01-01 01:00:00,2016-01-01 01:00:00,109.445
2016-01-01 02:00:00,2016-01-01 02:00:00,110.319
2016-01-01 03:00:00,2016-01-01 03:00:00,109.953
2016-01-01 04:00:00,2016-01-01 04:00:00,110.954
2016-01-01 05:00:00,2016-01-01 05:00:00,110.274
2016-01-01 06:00:00,2016-01-01 06:00:00,119.671
2016-01-01 07:00:00,2016-01-01 07:00:00,120.025
2016-01-01 08:00:00,2016-01-01 08:00:00,120.181
2016-01-01 09:00:00,2016-01-01 09:00:00,119.409
2016-01-01 10:00:00,2016-01-01 10:00:00,118.499
2016-01-01 11:00:00,2016-01-01 11:00:00,118.955
2016-01-01 12:00:00,2016-01-01 12:00:00,119.057
2016-01-01 13:00:00,2016-01-01 13:00:00,119.381
2016-01-01 14:00:00,2016-01-01 14:00:00,119.776
2016-01-01 15:00:00,2016-01-01 15:00:00,118.302
2016-01-01 16:00:00,2016-01-01 16:00:00,118.802
2016-01-01 17:00:00,2016-01-01 17:00:00,119.713
2016-01-01 18:00:00,2016-01-01 18:00:00,120.489
2016-01-01 19:00:00,2016-01-01 19:00:00,121.171
2016-01-01 20:00:00,2016-01-01 20:00:00,123.47
2016-01-01 21:00:00,2016-01-01 21:00:00,121.573
2016-01-01 22:00:00,2016-01-01 22:00:00,121.238
2016-01-01 23:00:00,2016-01-01 23:00:00,112.025
2016-01-02 00:00:00,2016-01-02 00:00:00,111.403
2016-01-02 01:00:00,2016-01-02 01:00:00,110.303
2016-01-02 02:00:00,2016-01-02 02:00:00,110.659
2016-01-02 03:00:00,2016-01-02 03:00:00,110.07
2016-01-02 04:00:00,2016-01-02 04:00:00,112.533
2016-01-02 05:00:00,2016-01-02 05:00:00,109.216
2016-01-02 06:00:00,2016-01-02 06:00:00,109.062
2016-01-02 07:00:00,2016-01-02 07:00:00,108.387
2016-01-02 08:00:00,2016-01-02 08:00:00,109.536
2016-01-02 09:00:00,2016-01-02 09:00:00,117.984
2016-01-02 10:00:00,2016-01-02 10:00:00,119.9
2016-01-02 11:00:00,2016-01-02 11:00:00,119.541
2016-01-02 12:00:00,2016-01-02 12:00:00,118.982
2016-01-02 13:00:00,2016-01-02 13:00:00,118.421
2016-01-02 14:00:00,2016-01-02 14:00:00,119.129
2016-01-02 15:00:00,2016-01-02 15:00:00,121.302
2016-01-02 16:00:00,2016-01-02 16:00:00,121.307
2016-01-02 17:00:00,2016-01-02 17:00:00,122.347
2016-01-02 18:00:00,2016-01-02 18:00:00,123.288
2016-01-02 19:00:00,2016-01-02 19:00:00,125.0
2016-01-02 20:00:00,2016-01-02 20:00:00,123.313
2016-01-02 21:00:00,2016-01-02 21:00:00,121.389
2016-01-02 22:00:00,2016-01-02 22:00:00,120.693
2016-01-02 23:00:00,2016-01-02 23:00:00,111.402
2016-01-03 00:00:00,2016-01-03 00:00:00,110.611
2016-01-03 01:00:00,2016-01-03 01:00:00,110.935
2016-01-03 02:00:00,2016-01-03 02:00:00,112.554
2016-01-03 03:00:00,2016-01-03 03:00:00,110.863
2016-01-03 04:00:00,2016-01-03 04:00:00,110.996
2016-01-03 05:00:00,2016-01-03 05:00:00,109.716
2016-01-03 06:00:00,2016-01-03 06:00:00,109.22
2016-01-03 07:00:00,2016-01-03 07:00:00,109.289
2016-01-03 08:00:00,2016-01-03 08:00:00,111.033
2016-01-03 09:00:00,2016-01-03 09:00:00,120.075
2016-01-03 10:00:00,2016-01-03 10:00:00,120.812
2016-01-03 11:00:00,2016-01-03 11:00:00,119.393
2016-01-03 12:00:00,2016-01-03 12:00:00,118.935
2016-01-03 13:00:00,2016-01-03 13:00:00,118.187
2016-01-03 14:00:00,2016-01-03 14:00:00,119.314
2016-01-03 15:00:00,2016-01-03 15:00:00,120.327
2016-01-03 16:00:00,2016-01-03 16:00:00,119.978
2016-01-03 17:00:00,2016-01-03 17:00:00,120.322
2016-01-03 18:00:00,2016-01-03 18:00:00,122.017
2016-01-03 19:00:00,2016-01-03 19:00:00,122.626
