timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,98.009
2016-01-01 01:00:00,2016-01-01 01:00:00,98.009
2016-01-01 02:00:00,2016-01-01 02:00:00,97.925
2016-01-01 03:00:00,2016-01-01 03:00:00,97.562
2016-01-01 04:00:00,2016-01-01 04:00:00,97.6
2016-01-01 05:00:00,2016-01-01 05:00:00,97.883
2016-01-01 06:00:00,2016-01-01 06:00:00,97.721
2016-01-01 07:00:00,2016-01-01 07:00:00,97.846
2016-01-01 08:00:00,2016-01-01 08:00:00,97.61
2016-01-01 09:00:00,2016-01-01 09:00:00,94.214
2016-01-01 10:00:00,2016-01-01 10:00:00,94.036
2016-01-01 11:00:00,2016-01-01 11:00:00,94.704
2016-01-01 12:00:00,2016-01-01 12:00:00,93.637
2016-01-01 13:00:00,2016-01-01 13:00:00,93.803
2016-01-01 14:00:00,2016-01-01 14:00:00,97.029
2016-01-01 15:00:00,2016-01-01 15:00:00,94.572
2016-01-01 16:00:00,2016-01-01 16:00:00,93.821
2016-01-01 17:00:00,2016-01-01 17:00:00,93.834
2016-01-01 18:00:00,2016-01-01 18:00:00,97.288
2016-01-01 19:00:00,2016-01-01 19:00:00,99.348
2016-01-01 20:00:00,2016-01-01 20:00:00,97.989
2016-01-01 21:00:00,2016-01-01 21:00:00,97.898
2016-01-01 22:00:00,2016-01-01 22:00:00,97.936
2016-01-01 23:00:00,2016-01-01 23:00:00,97.892
2016-01-02 00:00:00,2016-01-02 00:00:00,97.732
2016-01-02 01:00:00,2016-01-02 01:00:00,97.99
2016-01-02 02:00:00,2016-01-02 02:00:00,97.673
2016-01-02 03:00:00,2016-01-02 03:00:00,97.281
2016-01-02 04:00:00,2016-01-02 04:00:00,97.362
2016-01-02 05:00:00,2016-01-02 05:00:00,97.974
2016-01-02 06:00:00,2016-01-02 06:00:00,98.341
2016-01-02 07:00:00,2016-01-02 07:00:00,97.593
2016-01-02 08:00:00,2016-01-02 08:00:00,97.49
2016-01-02 09:00:00,2016-01-02 09:00:00,94.734
2016-01-02 10:00:00,2016-01-02 10:00:00,95.095
2016-01-02 11:00:00,2016-01-02 11:00:00,95.7
2016-01-02 12:00:00,2016-01-02 12:00:00,94.628
2016-01-02 13:00:00,2016-01-02 13:00:00,92.662
2016-01-02 14:00:00,2016-01-02 14:00:00,92.43
2016-01-02 15:00:00,2016-01-02 15:00:00,92.503
2016-01-02 16:00:00,2016-01-02 16:00:00,93.493
2016-01-02 17:00:00,2016-01-02 17:00:00,92.79
2016-01-02 18:00:00,2016-01-02 18:00:00,98.464
2016-01-02 19:00:00,2016-01-02 19:00:00,98.297
2016-01-02 20:00:00,2016-01-02 20:00:00,98.722
2016-01-02 21:00:00,2016-01-02 21:00:00,96.378
2016-01-02 22:00:00,2016-01-02 22:00:00,96.663
2016-01-02 23:00:00,2016-01-02 23:00:00,96.81
2016-01-03 00:00:00,2016-01-03 00:00:00,98.747
2016-01-03 01:00:00,2016-01-03 01:00:00,97.982
2016-01-03 02:00:00,2016-01-03 02:00:00,96.243
2016-01-03 03:00:00,2016-01-03 03:00:00,96.429
2016-01-03 04:00:00,2016-01-03 04:00:00,95.61
2016-01-03 05:00:00,2016-01-03 05:00:00,96.605
2016-01-03 06:00:00,2016-01-03 06:00:00,96.271
2016-01-03 07:00:00,2016-01-03 07:00:00,95.957
2016-01-03 08:00:00,2016-01-03 08:00:00,96.058
2016-01-03 09:00:00,2016-01-03 09:00:00,93.03
2016-01-03 10:00:00,2016-01-03 10:00:00,93.546
2016-01-03 11:00:00,2016-01-03 11:00:00,92.621
2016-01-03 12:00:00,2016-01-03 12:00:00,92.62
2016-01-03 13:00:00,2016-01-03 13:00:00,92.533
2016-01-03 14:00:00,2016-01-03 14:00:00,93.628
2016-01-03 15:00:00,2016-01-03 15:00:00,92.287
2016-01-03 16:00:00,2016-01-03 16:00:00,92.297
2016-01-03 17:00:00,2016-01-03 17:00:00,92.684
2016-01-03 18:00:00,2016-01-03 18:00:00,95.89
2016-01-03 19:00:00,2016-01-03 19:00:00,96.249
2016-01-03 20:00:00,2016-01-03 20:00:00,96.683
2016-01-03 21:00:00,2016-01-03 21:00:00,96.433
2016-01-03 22:00:00,2016-01-03 22:00:00,96.457
2016-01-03 23:00:00,2016-01-03 23:00:00,97.39
2016-01-04 00:00:00,2016-01-04 00:00:00,96.746
2016-01-04 01:00:00,2016-01-04 01:00:00,96.45
2016-01-04 02:00:00,2016-01-04 02:00:00,96.61
2016-01-04 03:00:00,2016-01-04 03:00:00,96.225
2016-01-04 04:00:00,2016-01-04 04:00:00,95.541
2016-01-04 05:00:00,2016-01-04 05:00:00,96.257
2016-01-04 06:00:00,2016-01-04 06:00:00,96.887
2016-01-04 07:00:00,2016-01-04 07:00:00,96.835
2016-01-04 08:00:00,2016-01-04 08:00:00,103.224
2016-01-04 09:00:00,2016-01-04 09:00:00,104.923
2016-01-04 10:00:00,2016-01-04 10:00:00,104.763
2016-01-04 11:00:00,2016-01-04 11:00:00,104.311
2016-01-04 12:00:00,2016-01-04 12:00:00,104.038
2016-01-04 13:00:00,2016-01-04 13:00:00,104.734
2016-01-04 14:00:00,2016-01-04 14:00:00,104.971
2016-01-04 15:00:00,2016-01-04 15:00:00,104.845
2016-01-04 16:00:00,2016-01-04 16:00:00,100.092
2016-01-04 17:00:00,2016-01-04 17:00:00,95.7
2016-01-04 18:00:00,2016-01-04 18:00:00,100.239
2016-01-04 19:00:00,2016-01-04 19:00:00,101.361
2016-01-04 20:00:00,2016-01-04 20:00:00,99.467
2016-01-04 21:00:00,2016-01-04 21:00:00,98.985
2016-01-04 22:00:00,2016-01-04 22:00:00,99.362
2016-01-04 23:00:00,2016-01-04 23:00:00,99.129
2016-01-05 00:00:00,2016-01-05 00:00:00,98.663
2016-01-05 01:00:00,2016-01-05 01:00:00,98.672
2016-01-05 02:00:00,2016-01-05 02:00:00,98.353
2016-01-05 03:00:00,2016-01-05 03:00:00,98.254
2016-01-05 04:00:00,2016-01-05 04:00:00,98.159
2016-01-05 05:00:00,2016-01-05 05:00:00,98.712
2016-01-05 06:00:00,2016-01-05 06:00:00,98.064
2016-01-05 07:00:00,2016-01-05 07:00:00,100.569
2016-01-05 08:00:00,2016-01-05 08:00:00,108.848
2016-01-05 09:00:00,2016-01-05 09:00:00,106.892
2016-01-05 10:00:00,2016-01-05 10:00:00,105.309
2016-01-05 11:00:00,2016-01-05 11:00:00,107.64
2016-01-05 12:00:00,2016-01-05 12:00:00,108.674
2016-01-05 13:00:00,2016-01-05 13:00:00,107.629
2016-01-05 14:00:00,2016-01-05 14:00:00,109.193
2016-01-05 15:00:00,2016-01-05 15:00:00,107.949
2016-01-05 16:00:00,2016-01-05 16:00:00,101.612
2016-01-05 17:00:00,2016-01-05 17:00:00,96.08
2016-01-05 18:00:00,2016-01-05 18:00:00,100.224
2016-01-05 19:00:00,2016-01-05 19:00:00,99.004
2016-01-05 20:00:00,2016-01-05 20:00:00,100.294
2016-01-05 21:00:00,2016-01-05 21:00:00,101.087
2016-01-05 22:00:00,2016-01-05 22:00:00,99.96
2016-01-05 23:00:00,2016-01-05 23:00:00,99.404
2016-01-06 00:00:00,2016-01-06 00:00:00,99.398
2016-01-06 01:00:00,2016-01-06 01:00:00,99.081
2016-01-06 02:00:00,2016-01-06 02:00:00,99.136
2016-01-06 03:00:00,2016-01-06 03:00:00,98.318
2016-01-06 04:00:00,2016-01-06 04:00:00,98.437
2016-01-06 05:00:00,2016-01-06 05:00:00,98.671
2016-01-06 06:00:00,2016-01-06 06:00:00,98.883
2016-01-06 07:00:00,2016-01-06 07:00:00,101.001
2016-01-06 08:00:00,2016-01-06 08:00:00,102.282
2016-01-06 09:00:00,2016-01-06 09:00:00,108.88
2016-01-06 10:00:00,2016-01-06 10:00:00,106.49
2016-01-06 11:00:00,2016-01-06 11:00:00,106.97
2016-01-06 12:00:00,2016-01-06 12:00:00,107.698
2016-01-06 13:00:00,2016-01-06 13:00:00,105.92
2016-01-06 14:00:00,2016-01-06 14:00:00,107.754
