timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,363.541
2016-01-01 01:00:00,2016-01-01 01:00:00,363.541
2016-01-01 02:00:00,2016-01-01 02:00:00,363.964
2016-01-01 03:00:00,2016-01-01 03:00:00,369.658
2016-01-01 04:00:00,2016-01-01 04:00:00,360.446
2016-01-01 05:00:00,2016-01-01 05:00:00,360.676
2016-01-01 06:00:00,2016-01-01 06:00:00,359.936
2016-01-01 07:00:00,2016-01-01 07:00:00,362.338
2016-01-01 08:00:00,2016-01-01 08:00:00,359.486
2016-01-01 09:00:00,2016-01-01 09:00:00,352.906
2016-01-01 10:00:00,2016-01-01 10:00:00,350.922
2016-01-01 11:00:00,2016-01-01 11:00:00,359.574
2016-01-01 12:00:00,2016-01-01 12:00:00,353.691
2016-01-01 13:00:00,2016-01-01 13:00:00,351.592
2016-01-01 14:00:00,2016-01-01 14:00:00,351.249
2016-01-01 15:00:00,2016-01-01 15:00:00,350.382
2016-01-01 16:00:00,2016-01-01 16:00:00,352.164
2016-01-01 17:00:00,2016-01-01 17:00:00,358.056
2016-01-01 18:00:00,2016-01-01 18:00:00,362.72
2016-01-01 19:00:00,2016-01-01 19:00:00,359.488
2016-01-01 20:00:00,2016-01-01 20:00:00,363.481
2016-01-01 21:00:00,2016-01-01 21:00:00,364.649
2016-01-01 22:00:00,2016-01-01 22:00:00,367.84
2016-01-01 23:00:00,2016-01-01 23:00:00,373.332
2016-01-02 00:00:00,2016-01-02 00:00:00,364.283
2016-01-02 01:00:00,2016-01-02 01:00:00,373.719
2016-01-02 02:00:00,2016-01-02 02:00:00,357.016
2016-01-02 03:00:00,2016-01-02 03:00:00,360.869
2016-01-02 04:00:00,2016-01-02 04:00:00,358.455
2016-01-02 05:00:00,2016-01-02 05:00:00,365.9
2016-01-02 06:00:00,2016-01-02 06:00:00,358.449
2016-01-02 07:00:00,2016-01-02 07:00:00,356.517
2016-01-02 08:00:00,2016-01-02 08:00:00,354.577
2016-01-02 09:00:00,2016-01-02 09:00:00,351.371
2016-01-02 10:00:00,2016-01-02 10:00:00,350.556
2016-01-02 11:00:00,2016-01-02 11:00:00,349.628
2016-01-02 12:00:00,2016-01-02 12:00:00,345.58
2016-01-02 13:00:00,2016-01-02 13:00:00,348.053
2016-01-02 14:00:00,2016-01-02 14:00:00,347.596
2016-01-02 15:00:00,2016-01-02 15:00:00,348.476
2016-01-02 16:00:00,2016-01-02 16:00:00,346.28
2016-01-02 17:00:00,2016-01-02 17:00:00,352.806
2016-01-02 18:00:00,2016-01-02 18:00:00,374.947
2016-01-02 19:00:00,2016-01-02 19:00:00,367.287
2016-01-02 20:00:00,2016-01-02 20:00:00,372.98
2016-01-02 21:00:00,2016-01-02 21:00:00,366.21
2016-01-02 22:00:00,2016-01-02 22:00:00,360.175
2016-01-02 23:00:00,2016-01-02 23:00:00,360.55
2016-01-03 00:00:00,2016-01-03 00:00:00,372.351
2016-01-03 01:00:00,2016-01-03 01:00:00,371.372
2016-01-03 02:00:00,2016-01-03 02:00:00,357.945
2016-01-03 03:00:00,2016-01-03 03:00:00,354.179
2016-01-03 04:00:00,2016-01-03 04:00:00,397.2
2016-01-03 05:00:00,2016-01-03 05:00:00,434.063
2016-01-03 06:00:00,2016-01-03 06:00:00,439.568
2016-01-03 07:00:00,2016-01-03 07:00:00,436.093
2016-01-03 08:00:00,2016-01-03 08:00:00,436.366
2016-01-03 09:00:00,2016-01-03 09:00:00,425.178
2016-01-03 10:00:00,2016-01-03 10:00:00,425.203
2016-01-03 11:00:00,2016-01-03 11:00:00,424.73
2016-01-03 12:00:00,2016-01-03 12:00:00,427.994
2016-01-03 13:00:00,2016-01-03 13:00:00,433.957
2016-01-03 14:00:00,2016-01-03 14:00:00,431.413
2016-01-03 15:00:00,2016-01-03 15:00:00,427.846
2016-01-03 16:00:00,2016-01-03 16:00:00,426.549
2016-01-03 17:00:00,2016-01-03 17:00:00,399.876
2016-01-03 18:00:00,2016-01-03 18:00:00,361.093
2016-01-03 19:00:00,2016-01-03 19:00:00,368.544
2016-01-03 20:00:00,2016-01-03 20:00:00,369.851
