timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,19.97
2016-01-01 01:00:00,2016-01-01 01:00:00,19.97
2016-01-01 02:00:00,2016-01-01 02:00:00,19.987
2016-01-01 03:00:00,2016-01-01 03:00:00,19.917
2016-01-01 04:00:00,2016-01-01 04:00:00,20.053
2016-01-01 05:00:00,2016-01-01 05:00:00,20.211
2016-01-01 06:00:00,2016-01-01 06:00:00,20.126
2016-01-01 07:00:00,2016-01-01 07:00:00,20.0
2016-01-01 08:00:00,2016-01-01 08:00:00,20.088
2016-01-01 09:00:00,2016-01-01 09:00:00,18.993
2016-01-01 10:00:00,2016-01-01 10:00:00,18.7
2016-01-01 11:00:00,2016-01-01 11:00:00,18.83
2016-01-01 12:00:00,2016-01-01 12:00:00,18.585
2016-01-01 13:00:00,2016-01-01 13:00:00,18.57
2016-01-01 14:00:00,2016-01-01 14:00:00,18.975
2016-01-01 15:00:00,2016-01-01 15:00:00,18.862
2016-01-01 16:00:00,2016-01-01 16:00:00,18.906
2016-01-01 17:00:00,2016-01-01 17:00:00,18.942
2016-01-01 18:00:00,2016-01-01 18:00:00,20.095
2016-01-01 19:00:00,2016-01-01 19:00:00,20.116
2016-01-01 20:00:00,2016-01-01 20:00:00,20.209
2016-01-01 21:00:00,2016-01-01 21:00:00,19.95
2016-01-01 22:00:00,2016-01-01 22:00:00,20.144
2016-01-01 23:00:00,2016-01-01 23:00:00,20.051
2016-01-02 00:00:00,2016-01-02 00:00:00,19.989
2016-01-02 01:00:00,2016-01-02 01:00:00,19.908
2016-01-02 02:00:00,2016-01-02 02:00:00,19.82
2016-01-02 03:00:00,2016-01-02 03:00:00,19.818
2016-01-02 04:00:00,2016-01-02 04:00:00,19.812
2016-01-02 05:00:00,2016-01-02 05:00:00,20.133
2016-01-02 06:00:00,2016-01-02 06:00:00,20.104
2016-01-02 07:00:00,2016-01-02 07:00:00,19.798
2016-01-02 08:00:00,2016-01-02 08:00:00,20.131
2016-01-02 09:00:00,2016-01-02 09:00:00,18.604
2016-01-02 10:00:00,2016-01-02 10:00:00,18.597
2016-01-02 11:00:00,2016-01-02 11:00:00,18.737
2016-01-02 12:00:00,2016-01-02 12:00:00,18.557
2016-01-02 13:00:00,2016-01-02 13:00:00,18.414
2016-01-02 14:00:00,2016-01-02 14:00:00,18.813
2016-01-02 15:00:00,2016-01-02 15:00:00,17.852
2016-01-02 16:00:00,2016-01-02 16:00:00,18.809
2016-01-02 17:00:00,2016-01-02 17:00:00,18.821
2016-01-02 18:00:00,2016-01-02 18:00:00,20.099
2016-01-02 19:00:00,2016-01-02 19:00:00,20.247
2016-01-02 20:00:00,2016-01-02 20:00:00,20.337
2016-01-02 21:00:00,2016-01-02 21:00:00,19.944
2016-01-02 22:00:00,2016-01-02 22:00:00,20.054
2016-01-02 23:00:00,2016-01-02 23:00:00,20.108
2016-01-03 00:00:00,2016-01-03 00:00:00,20.132
2016-01-03 01:00:00,2016-01-03 01:00:00,19.956
2016-01-03 02:00:00,2016-01-03 02:00:00,19.974
2016-01-03 03:00:00,2016-01-03 03:00:00,19.891
2016-01-03 04:00:00,2016-01-03 04:00:00,20.061
2016-01-03 05:00:00,2016-01-03 05:00:00,20.248
2016-01-03 06:00:00,2016-01-03 06:00:00,20.219
2016-01-03 07:00:00,2016-01-03 07:00:00,19.941
2016-01-03 08:00:00,2016-01-03 08:00:00,20.281
2016-01-03 09:00:00,2016-01-03 09:00:00,19.315
2016-01-03 10:00:00,2016-01-03 10:00:00,18.738
2016-01-03 11:00:00,2016-01-03 11:00:00,18.749
