timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,241.827
2016-01-01 01:00:00,2016-01-01 01:00:00,241.827
2016-01-01 02:00:00,2016-01-01 02:00:00,240.699
2016-01-01 03:00:00,2016-01-01 03:00:00,242.458
2016-01-01 04:00:00,2016-01-01 04:00:00,247.412
2016-01-01 05:00:00,2016-01-01 05:00:00,236.68
2016-01-01 06:00:00,2016-01-01 06:00:00,244.491
2016-01-01 07:00:00,2016-01-01 07:00:00,319.95
2016-01-01 08:00:00,2016-01-01 08:00:00,333.141
2016-01-01 09:00:00,2016-01-01 09:00:00,340.243
2016-01-01 10:00:00,2016-01-01 10:00:00,342.771
2016-01-01 11:00:00,2016-01-01 11:00:00,302.48
2016-01-01 12:00:00,2016-01-01 12:00:00,294.723
2016-01-01 13:00:00,2016-01-01 13:00:00,297.983
2016-01-01 14:00:00,2016-01-01 14:00:00,304.428
2016-01-01 15:00:00,2016-01-01 15:00:00,305.71
2016-01-01 16:00:00,2016-01-01 16:00:00,284.31
2016-01-01 17:00:00,2016-01-01 17:00:00,275.594
2016-01-01 18:00:00,2016-01-01 18:00:00,274.706
2016-01-01 19:00:00,2016-01-01 19:00:00,274.605
2016-01-01 20:00:00,2016-01-01 20:00:00,275.763
2016-01-01 21:00:00,2016-01-01 21:00:00,269.396
2016-01-01 22:00:00,2016-01-01 22:00:00,266.643
2016-01-01 23:00:00,2016-01-01 23:00:00,250.457
2016-01-02 00:00:00,2016-01-02 00:00:00,223.344
2016-01-02 01:00:00,2016-01-02 01:00:00,221.97
2016-01-02 02:00:00,2016-01-02 02:00:00,219.543
2016-01-02 03:00:00,2016-01-02 03:00:00,221.667
2016-01-02 04:00:00,2016-01-02 04:00:00,219.209
2016-01-02 05:00:00,2016-01-02 05:00:00,218.487
2016-01-02 06:00:00,2016-01-02 06:00:00,218.783
2016-01-02 07:00:00,2016-01-02 07:00:00,223.498
2016-01-02 08:00:00,2016-01-02 08:00:00,229.185
2016-01-02 09:00:00,2016-01-02 09:00:00,237.82
2016-01-02 10:00:00,2016-01-02 10:00:00,230.112
2016-01-02 11:00:00,2016-01-02 11:00:00,236.831
2016-01-02 12:00:00,2016-01-02 12:00:00,240.139
2016-01-02 13:00:00,2016-01-02 13:00:00,243.017
2016-01-02 14:00:00,2016-01-02 14:00:00,244.683
2016-01-02 15:00:00,2016-01-02 15:00:00,247.731
2016-01-02 16:00:00,2016-01-02 16:00:00,250.136
2016-01-02 17:00:00,2016-01-02 17:00:00,247.804
2016-01-02 18:00:00,2016-01-02 18:00:00,250.653
2016-01-02 19:00:00,2016-01-02 19:00:00,247.101
2016-01-02 20:00:00,2016-01-02 20:00:00,250.17
2016-01-02 21:00:00,2016-01-02 21:00:00,246.432
2016-01-02 22:00:00,2016-01-02 22:00:00,251.496
2016-01-02 23:00:00,2016-01-02 23:00:00,234.715
2016-01-03 00:00:00,2016-01-03 00:00:00,230.964
2016-01-03 01:00:00,2016-01-03 01:00:00,231.889
2016-01-03 02:00:00,2016-01-03 02:00:00,234.428
2016-01-03 03:00:00,2016-01-03 03:00:00,233.949
2016-01-03 04:00:00,2016-01-03 04:00:00,230.377
2016-01-03 05:00:00,2016-01-03 05:00:00,231.365
2016-01-03 06:00:00,2016-01-03 06:00:00,230.085
2016-01-03 07:00:00,2016-01-03 07:00:00,238.38
2016-01-03 08:00:00,2016-01-03 08:00:00,232.623
2016-01-03 09:00:00,2016-01-03 09:00:00,236.927
2016-01-03 10:00:00,2016-01-03 10:00:00,236.548
2016-01-03 11:00:00,2016-01-03 11:00:00,232.729
2016-01-03 12:00:00,2016-01-03 12:00:00,236.804
2016-01-03 13:00:00,2016-01-03 13:00:00,238.68
2016-01-03 14:00:00,2016-01-03 14:00:00,244.285
2016-01-03 15:00:00,2016-01-03 15:00:00,238.808
2016-01-03 16:00:00,2016-01-03 16:00:00,241.911
2016-01-03 17:00:00,2016-01-03 17:00:00,244.862
2016-01-03 18:00:00,2016-01-03 18:00:00,245.617
2016-01-03 19:00:00,2016-01-03 19:00:00,245.067
2016-01-03 20:00:00,2016-01-03 20:00:00,242.832
2016-01-03 21:00:00,2016-01-03 21:00:00,244.644
2016-01-03 22:00:00,2016-01-03 22:00:00,240.71
2016-01-03 23:00:00,2016-01-03 23:00:00,226.026
2016-01-04 00:00:00,2016-01-04 00:00:00,227.275
2016-01-04 01:00:00,2016-01-04 01:00:00,222.311
2016-01-04 02:00:00,2016-01-04 02:00:00,223.777
2016-01-04 03:00:00,2016-01-04 03:00:00,218.854
2016-01-04 04:00:00,2016-01-04 04:00:00,218.812
2016-01-04 05:00:00,2016-01-04 05:00:00,215.572
2016-01-04 06:00:00,2016-01-04 06:00:00,242.671
2016-01-04 07:00:00,2016-01-04 07:00:00,298.482
2016-01-04 08:00:00,2016-01-04 08:00:00,330.173
2016-01-04 09:00:00,2016-01-04 09:00:00,336.892
2016-01-04 10:00:00,2016-01-04 10:00:00,345.087
2016-01-04 11:00:00,2016-01-04 11:00:00,331.153
2016-01-04 12:00:00,2016-01-04 12:00:00,320.609
2016-01-04 13:00:00,2016-01-04 13:00:00,324.254
2016-01-04 14:00:00,2016-01-04 14:00:00,318.347
2016-01-04 15:00:00,2016-01-04 15:00:00,300.024
2016-01-04 16:00:00,2016-01-04 16:00:00,292.049
2016-01-04 17:00:00,2016-01-04 17:00:00,283.571
2016-01-04 18:00:00,2016-01-04 18:00:00,268.846
2016-01-04 19:00:00,2016-01-04 19:00:00,263.797
2016-01-04 20:00:00,2016-01-04 20:00:00,271.193
2016-01-04 21:00:00,2016-01-04 21:00:00,265.189
2016-01-04 22:00:00,2016-01-04 22:00:00,268.08
2016-01-04 23:00:00,2016-01-04 23:00:00,249.679
2016-01-05 00:00:00,2016-01-05 00:00:00,236.795
2016-01-05 01:00:00,2016-01-05 01:00:00,231.002
2016-01-05 02:00:00,2016-01-05 02:00:00,220.472
2016-01-05 03:00:00,2016-01-05 03:00:00,219.639
2016-01-05 04:00:00,2016-01-05 04:00:00,225.543
2016-01-05 05:00:00,2016-01-05 05:00:00,224.791
2016-01-05 06:00:00,2016-01-05 06:00:00,250.603
2016-01-05 07:00:00,2016-01-05 07:00:00,267.595
2016-01-05 08:00:00,2016-01-05 08:00:00,279.081
2016-01-05 09:00:00,2016-01-05 09:00:00,285.645
2016-01-05 10:00:00,2016-01-05 10:00:00,304.896
2016-01-05 11:00:00,2016-01-05 11:00:00,322.119
2016-01-05 12:00:00,2016-01-05 12:00:00,314.347
2016-01-05 13:00:00,2016-01-05 13:00:00,314.939
2016-01-05 14:00:00,2016-01-05 14:00:00,319.017
2016-01-05 15:00:00,2016-01-05 15:00:00,308.165
2016-01-05 16:00:00,2016-01-05 16:00:00,303.896
2016-01-05 17:00:00,2016-01-05 17:00:00,296.925
2016-01-05 18:00:00,2016-01-05 18:00:00,278.201
2016-01-05 19:00:00,2016-01-05 19:00:00,265.198
2016-01-05 20:00:00,2016-01-05 20:00:00,264.569
2016-01-05 21:00:00,2016-01-05 21:00:00,262.88
2016-01-05 22:00:00,2016-01-05 22:00:00,262.493
2016-01-05 23:00:00,2016-01-05 23:00:00,251.181
2016-01-06 00:00:00,2016-01-06 00:00:00,227.4
2016-01-06 01:00:00,2016-01-06 01:00:00,217.04
2016-01-06 02:00:00,2016-01-06 02:00:00,217.191
2016-01-06 03:00:00,2016-01-06 03:00:00,218.475
2016-01-06 04:00:00,2016-01-06 04:00:00,218.079
2016-01-06 05:00:00,2016-01-06 05:00:00,211.768
2016-01-06 06:00:00,2016-01-06 06:00:00,237.169
2016-01-06 07:00:00,2016-01-06 07:00:00,251.985
2016-01-06 08:00:00,2016-01-06 08:00:00,269.153
2016-01-06 09:00:00,2016-01-06 09:00:00,275.921
2016-01-06 10:00:00,2016-01-06 10:00:00,283.721
2016-01-06 11:00:00,2016-01-06 11:00:00,283.601
2016-01-06 12:00:00,2016-01-06 12:00:00,286.806
2016-01-06 13:00:00,2016-01-06 13:00:00,286.523
2016-01-06 14:00:00,2016-01-06 14:00:00,283.126
2016-01-06 15:00:00,2016-01-06 15:00:00,282.274
2016-01-06 16:00:00,2016-01-06 16:00:00,286.346
2016-01-06 17:00:00,2016-01-06 17:00:00,289.25
2016-01-06 18:00:00,2016-01-06 18:00:00,283.521
2016-01-06 19:00:00,2016-01-06 19:00:00,284.886
2016-01-06 20:00:00,2016-01-06 20:00:00,280.675
2016-01-06 21:00:00,2016-01-06 21:00:00,277.223
2016-01-06 22:00:00,2016-01-06 22:00:00,273.18
2016-01-06 23:00:00,2016-01-06 23:00:00,256.528
2016-01-07 00:00:00,2016-01-07 00:00:00,248.207
2016-01-07 01:00:00,2016-01-07 01:00:00,231.264
2016-01-07 02:00:00,2016-01-07 02:00:00,218.905
2016-01-07 03:00:00,2016-01-07 03:00:00,216.549
2016-01-07 04:00:00,2016-01-07 04:00:00,219.194
2016-01-07 05:00:00,2016-01-07 05:00:00,222.13
2016-01-07 06:00:00,2016-01-07 06:00:00,241.876
2016-01-07 07:00:00,2016-01-07 07:00:00,274.387
2016-01-07 08:00:00,2016-01-07 08:00:00,271.206
2016-01-07 09:00:00,2016-01-07 09:00:00,286.684
2016-01-07 10:00:00,2016-01-07 10:00:00,293.756
2016-01-07 11:00:00,2016-01-07 11:00:00,299.268
2016-01-07 12:00:00,2016-01-07 12:00:00,303.822
2016-01-07 13:00:00,2016-01-07 13:00:00,307.328
2016-01-07 14:00:00,2016-01-07 14:00:00,302.687
2016-01-07 15:00:00,2016-01-07 15:00:00,310.182
2016-01-07 16:00:00,2016-01-07 16:00:00,332.118
2016-01-07 17:00:00,2016-01-07 17:00:00,300.496
2016-01-07 18:00:00,2016-01-07 18:00:00,303.734
2016-01-07 19:00:00,2016-01-07 19:00:00,298.775
2016-01-07 20:00:00,2016-01-07 20:00:00,297.287
2016-01-07 21:00:00,2016-01-07 21:00:00,296.26
2016-01-07 22:00:00,2016-01-07 22:00:00,296.149
2016-01-07 23:00:00,2016-01-07 23:00:00,287.648
2016-01-08 00:00:00,2016-01-08 00:00:00,254.592
2016-01-08 01:00:00,2016-01-08 01:00:00,249.905
2016-01-08 02:00:00,2016-01-08 02:00:00,249.84
2016-01-08 03:00:00,2016-01-08 03:00:00,249.358
2016-01-08 04:00:00,2016-01-08 04:00:00,246.874
2016-01-08 05:00:00,2016-01-08 05:00:00,247.118
2016-01-08 06:00:00,2016-01-08 06:00:00,261.554
2016-01-08 07:00:00,2016-01-08 07:00:00,324.593
2016-01-08 08:00:00,2016-01-08 08:00:00,349.969
2016-01-08 09:00:00,2016-01-08 09:00:00,360.893
2016-01-08 10:00:00,2016-01-08 10:00:00,365.173
2016-01-08 11:00:00,2016-01-08 11:00:00,311.62
2016-01-08 12:00:00,2016-01-08 12:00:00,309.695
2016-01-08 13:00:00,2016-01-08 13:00:00,308.852
2016-01-08 14:00:00,2016-01-08 14:00:00,305.985
2016-01-08 15:00:00,2016-01-08 15:00:00,299.876
2016-01-08 16:00:00,2016-01-08 16:00:00,289.774
2016-01-08 17:00:00,2016-01-08 17:00:00,286.676
2016-01-08 18:00:00,2016-01-08 18:00:00,278.535
2016-01-08 19:00:00,2016-01-08 19:00:00,274.453
2016-01-08 20:00:00,2016-01-08 20:00:00,271.357
2016-01-08 21:00:00,2016-01-08 21:00:00,267.662
2016-01-08 22:00:00,2016-01-08 22:00:00,264.41
2016-01-08 23:00:00,2016-01-08 23:00:00,245.863
2016-01-09 00:00:00,2016-01-09 00:00:00,217.391
2016-01-09 01:00:00,2016-01-09 01:00:00,214.876
2016-01-09 02:00:00,2016-01-09 02:00:00,211.863
2016-01-09 03:00:00,2016-01-09 03:00:00,210.453
2016-01-09 04:00:00,2016-01-09 04:00:00,207.779
2016-01-09 05:00:00,2016-01-09 05:00:00,192.439
2016-01-09 06:00:00,2016-01-09 06:00:00,200.889
2016-01-09 07:00:00,2016-01-09 07:00:00,267.429
2016-01-09 08:00:00,2016-01-09 08:00:00,314.596
2016-01-09 09:00:00,2016-01-09 09:00:00,325.8
2016-01-09 10:00:00,2016-01-09 10:00:00,305.291
2016-01-09 11:00:00,2016-01-09 11:00:00,317.325
2016-01-09 12:00:00,2016-01-09 12:00:00,300.094
2016-01-09 13:00:00,2016-01-09 13:00:00,236.202
2016-01-09 14:00:00,2016-01-09 14:00:00,260.718
2016-01-09 15:00:00,2016-01-09 15:00:00,269.124
2016-01-09 16:00:00,2016-01-09 16:00:00,284.383
2016-01-09 17:00:00,2016-01-09 17:00:00,287.306
2016-01-09 18:00:00,2016-01-09 18:00:00,285.028
2016-01-09 19:00:00,2016-01-09 19:00:00,280.852
2016-01-09 20:00:00,2016-01-09 20:00:00,267.786
2016-01-09 21:00:00,2016-01-09 21:00:00,286.902
2016-01-09 22:00:00,2016-01-09 22:00:00,284.528
2016-01-09 23:00:00,2016-01-09 23:00:00,275.379
