timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,298.246
2016-01-01 01:00:00,2016-01-01 01:00:00,298.246
2016-01-01 02:00:00,2016-01-01 02:00:00,297.542
2016-01-01 03:00:00,2016-01-01 03:00:00,296.576
2016-01-01 04:00:00,2016-01-01 04:00:00,297.952
2016-01-01 05:00:00,2016-01-01 05:00:00,296.222
2016-01-01 06:00:00,2016-01-01 06:00:00,298.831
2016-01-01 07:00:00,2016-01-01 07:00:00,321.099
2016-01-01 08:00:00,2016-01-01 08:00:00,324.242
2016-01-01 09:00:00,2016-01-01 09:00:00,320.323
2016-01-01 10:00:00,2016-01-01 10:00:00,321.134
2016-01-01 11:00:00,2016-01-01 11:00:00,322.734
2016-01-01 12:00:00,2016-01-01 12:00:00,322.25
2016-01-01 13:00:00,2016-01-01 13:00:00,320.755
2016-01-01 14:00:00,2016-01-01 14:00:00,322.933
2016-01-01 15:00:00,2016-01-01 15:00:00,322.946
2016-01-01 16:00:00,2016-01-01 16:00:00,320.026
2016-01-01 17:00:00,2016-01-01 17:00:00,316.548
2016-01-01 18:00:00,2016-01-01 18:00:00,319.56
2016-01-01 19:00:00,2016-01-01 19:00:00,321.733
2016-01-01 20:00:00,2016-01-01 20:00:00,322.919
2016-01-01 21:00:00,2016-01-01 21:00:00,319.625
2016-01-01 22:00:00,2016-01-01 22:00:00,301.343
2016-01-01 23:00:00,2016-01-01 23:00:00,297.406
2016-01-02 00:00:00,2016-01-02 00:00:00,298.484
2016-01-02 01:00:00,2016-01-02 01:00:00,298.921
2016-01-02 02:00:00,2016-01-02 02:00:00,295.379
2016-01-02 03:00:00,2016-01-02 03:00:00,295.247
2016-01-02 04:00:00,2016-01-02 04:00:00,296.368
2016-01-02 05:00:00,2016-01-02 05:00:00,297.902
2016-01-02 06:00:00,2016-01-02 06:00:00,296.225
2016-01-02 07:00:00,2016-01-02 07:00:00,300.914
2016-01-02 08:00:00,2016-01-02 08:00:00,300.834
2016-01-02 09:00:00,2016-01-02 09:00:00,295.146
2016-01-02 10:00:00,2016-01-02 10:00:00,298.516
2016-01-02 11:00:00,2016-01-02 11:00:00,298.432
2016-01-02 12:00:00,2016-01-02 12:00:00,299.623
2016-01-02 13:00:00,2016-01-02 13:00:00,300.643
2016-01-02 14:00:00,2016-01-02 14:00:00,301.079
2016-01-02 15:00:00,2016-01-02 15:00:00,299.591
2016-01-02 16:00:00,2016-01-02 16:00:00,298.61
2016-01-02 17:00:00,2016-01-02 17:00:00,297.883
2016-01-02 18:00:00,2016-01-02 18:00:00,305.073
2016-01-02 19:00:00,2016-01-02 19:00:00,305.085
2016-01-02 20:00:00,2016-01-02 20:00:00,303.481
2016-01-02 21:00:00,2016-01-02 21:00:00,301.929
2016-01-02 22:00:00,2016-01-02 22:00:00,300.116
2016-01-02 23:00:00,2016-01-02 23:00:00,299.698
2016-01-03 00:00:00,2016-01-03 00:00:00,297.723
2016-01-03 01:00:00,2016-01-03 01:00:00,294.396
2016-01-03 02:00:00,2016-01-03 02:00:00,295.608
2016-01-03 03:00:00,2016-01-03 03:00:00,298.386
2016-01-03 04:00:00,2016-01-03 04:00:00,295.773
2016-01-03 05:00:00,2016-01-03 05:00:00,295.023
2016-01-03 06:00:00,2016-01-03 06:00:00,295.95
2016-01-03 07:00:00,2016-01-03 07:00:00,298.516
2016-01-03 08:00:00,2016-01-03 08:00:00,298.9
2016-01-03 09:00:00,2016-01-03 09:00:00,294.628
2016-01-03 10:00:00,2016-01-03 10:00:00,295.267
2016-01-03 11:00:00,2016-01-03 11:00:00,297.108
2016-01-03 12:00:00,2016-01-03 12:00:00,294.874
2016-01-03 13:00:00,2016-01-03 13:00:00,294.805
2016-01-03 14:00:00,2016-01-03 14:00:00,297.467
2016-01-03 15:00:00,2016-01-03 15:00:00,299.3
2016-01-03 16:00:00,2016-01-03 16:00:00,297.908
2016-01-03 17:00:00,2016-01-03 17:00:00,295.925
2016-01-03 18:00:00,2016-01-03 18:00:00,301.764
2016-01-03 19:00:00,2016-01-03 19:00:00,303.938
2016-01-03 20:00:00,2016-01-03 20:00:00,300.402
2016-01-03 21:00:00,2016-01-03 21:00:00,300.048
2016-01-03 22:00:00,2016-01-03 22:00:00,297.002
2016-01-03 23:00:00,2016-01-03 23:00:00,299.383
2016-01-04 00:00:00,2016-01-04 00:00:00,300.776
2016-01-04 01:00:00,2016-01-04 01:00:00,294.567
2016-01-04 02:00:00,2016-01-04 02:00:00,293.543
2016-01-04 03:00:00,2016-01-04 03:00:00,295.458
2016-01-04 04:00:00,2016-01-04 04:00:00,295.287
2016-01-04 05:00:00,2016-01-04 05:00:00,293.358
2016-01-04 06:00:00,2016-01-04 06:00:00,319.095
2016-01-04 07:00:00,2016-01-04 07:00:00,372.56
2016-01-04 08:00:00,2016-01-04 08:00:00,392.534
2016-01-04 09:00:00,2016-01-04 09:00:00,404.711
2016-01-04 10:00:00,2016-01-04 10:00:00,430.435
2016-01-04 11:00:00,2016-01-04 11:00:00,443.387
2016-01-04 12:00:00,2016-01-04 12:00:00,446.031
2016-01-04 13:00:00,2016-01-04 13:00:00,449.719
2016-01-04 14:00:00,2016-01-04 14:00:00,441.502
2016-01-04 15:00:00,2016-01-04 15:00:00,441.416
2016-01-04 16:00:00,2016-01-04 16:00:00,434.312
2016-01-04 17:00:00,2016-01-04 17:00:00,421.432
2016-01-04 18:00:00,2016-01-04 18:00:00,406.535
2016-01-04 19:00:00,2016-01-04 19:00:00,394.926
2016-01-04 20:00:00,2016-01-04 20:00:00,387.978
2016-01-04 21:00:00,2016-01-04 21:00:00,342.285
2016-01-04 22:00:00,2016-01-04 22:00:00,317.16
2016-01-04 23:00:00,2016-01-04 23:00:00,310.809
2016-01-05 00:00:00,2016-01-05 00:00:00,303.018
2016-01-05 01:00:00,2016-01-05 01:00:00,301.064
2016-01-05 02:00:00,2016-01-05 02:00:00,300.999
2016-01-05 03:00:00,2016-01-05 03:00:00,299.671
2016-01-05 04:00:00,2016-01-05 04:00:00,300.297
2016-01-05 05:00:00,2016-01-05 05:00:00,297.885
2016-01-05 06:00:00,2016-01-05 06:00:00,323.667
2016-01-05 07:00:00,2016-01-05 07:00:00,372.452
2016-01-05 08:00:00,2016-01-05 08:00:00,391.134
2016-01-05 09:00:00,2016-01-05 09:00:00,427.542
2016-01-05 10:00:00,2016-01-05 10:00:00,437.293
2016-01-05 11:00:00,2016-01-05 11:00:00,452.531
2016-01-05 12:00:00,2016-01-05 12:00:00,452.79
2016-01-05 13:00:00,2016-01-05 13:00:00,458.759
2016-01-05 14:00:00,2016-01-05 14:00:00,454.912
2016-01-05 15:00:00,2016-01-05 15:00:00,451.111
2016-01-05 16:00:00,2016-01-05 16:00:00,445.466
2016-01-05 17:00:00,2016-01-05 17:00:00,434.867
2016-01-05 18:00:00,2016-01-05 18:00:00,414.194
2016-01-05 19:00:00,2016-01-05 19:00:00,398.276
2016-01-05 20:00:00,2016-01-05 20:00:00,390.004
2016-01-05 21:00:00,2016-01-05 21:00:00,362.593
2016-01-05 22:00:00,2016-01-05 22:00:00,319.079
2016-01-05 23:00:00,2016-01-05 23:00:00,310.315
2016-01-06 00:00:00,2016-01-06 00:00:00,307.744
2016-01-06 01:00:00,2016-01-06 01:00:00,305.457
2016-01-06 02:00:00,2016-01-06 02:00:00,301.821
2016-01-06 03:00:00,2016-01-06 03:00:00,301.922
2016-01-06 04:00:00,2016-01-06 04:00:00,303.162
2016-01-06 05:00:00,2016-01-06 05:00:00,299.626
2016-01-06 06:00:00,2016-01-06 06:00:00,324.442
2016-01-06 07:00:00,2016-01-06 07:00:00,377.022
2016-01-06 08:00:00,2016-01-06 08:00:00,396.572
2016-01-06 09:00:00,2016-01-06 09:00:00,429.708
2016-01-06 10:00:00,2016-01-06 10:00:00,444.83
2016-01-06 11:00:00,2016-01-06 11:00:00,411.128
2016-01-06 12:00:00,2016-01-06 12:00:00,354.653
2016-01-06 13:00:00,2016-01-06 13:00:00,363.37
2016-01-06 14:00:00,2016-01-06 14:00:00,355.054
2016-01-06 15:00:00,2016-01-06 15:00:00,351.729
2016-01-06 16:00:00,2016-01-06 16:00:00,344.571
2016-01-06 17:00:00,2016-01-06 17:00:00,332.734
2016-01-06 18:00:00,2016-01-06 18:00:00,310.237
2016-01-06 19:00:00,2016-01-06 19:00:00,299.493
2016-01-06 20:00:00,2016-01-06 20:00:00,290.555
2016-01-06 21:00:00,2016-01-06 21:00:00,261.801
