timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,169.661
2016-01-01 01:00:00,2016-01-01 01:00:00,169.661
2016-01-01 02:00:00,2016-01-01 02:00:00,168.022
2016-01-01 03:00:00,2016-01-01 03:00:00,168.77
2016-01-01 04:00:00,2016-01-01 04:00:00,172.563
2016-01-01 05:00:00,2016-01-01 05:00:00,168.799
2016-01-01 06:00:00,2016-01-01 06:00:00,169.02
2016-01-01 07:00:00,2016-01-01 07:00:00,183.707
2016-01-01 08:00:00,2016-01-01 08:00:00,197.243
2016-01-01 09:00:00,2016-01-01 09:00:00,184.313
2016-01-01 10:00:00,2016-01-01 10:00:00,180.357
2016-01-01 11:00:00,2016-01-01 11:00:00,180.197
2016-01-01 12:00:00,2016-01-01 12:00:00,179.85
2016-01-01 13:00:00,2016-01-01 13:00:00,181.967
2016-01-01 14:00:00,2016-01-01 14:00:00,182.256
2016-01-01 15:00:00,2016-01-01 15:00:00,182.165
2016-01-01 16:00:00,2016-01-01 16:00:00,194.653
2016-01-01 17:00:00,2016-01-01 17:00:00,197.192
2016-01-01 18:00:00,2016-01-01 18:00:00,198.45
2016-01-01 19:00:00,2016-01-01 19:00:00,197.402
2016-01-01 20:00:00,2016-01-01 20:00:00,198.491
2016-01-01 21:00:00,2016-01-01 21:00:00,192.591
2016-01-01 22:00:00,2016-01-01 22:00:00,184.366
2016-01-01 23:00:00,2016-01-01 23:00:00,171.865
2016-01-02 00:00:00,2016-01-02 00:00:00,168.202
2016-01-02 01:00:00,2016-01-02 01:00:00,169.08
2016-01-02 02:00:00,2016-01-02 02:00:00,169.119
2016-01-02 03:00:00,2016-01-02 03:00:00,167.965
2016-01-02 04:00:00,2016-01-02 04:00:00,168.52
2016-01-02 05:00:00,2016-01-02 05:00:00,171.593
2016-01-02 06:00:00,2016-01-02 06:00:00,168.074
2016-01-02 07:00:00,2016-01-02 07:00:00,183.013
2016-01-02 08:00:00,2016-01-02 08:00:00,190.159
2016-01-02 09:00:00,2016-01-02 09:00:00,175.383
2016-01-02 10:00:00,2016-01-02 10:00:00,172.774
2016-01-02 11:00:00,2016-01-02 11:00:00,175.961
2016-01-02 12:00:00,2016-01-02 12:00:00,176.341
2016-01-02 13:00:00,2016-01-02 13:00:00,177.5
2016-01-02 14:00:00,2016-01-02 14:00:00,177.385
2016-01-02 15:00:00,2016-01-02 15:00:00,178.186
2016-01-02 16:00:00,2016-01-02 16:00:00,189.963
2016-01-02 17:00:00,2016-01-02 17:00:00,194.609
2016-01-02 18:00:00,2016-01-02 18:00:00,194.273
2016-01-02 19:00:00,2016-01-02 19:00:00,188.864
2016-01-02 20:00:00,2016-01-02 20:00:00,187.717
2016-01-02 21:00:00,2016-01-02 21:00:00,185.961
2016-01-02 22:00:00,2016-01-02 22:00:00,185.242
2016-01-02 23:00:00,2016-01-02 23:00:00,173.183
2016-01-03 00:00:00,2016-01-03 00:00:00,168.505
2016-01-03 01:00:00,2016-01-03 01:00:00,169.466
2016-01-03 02:00:00,2016-01-03 02:00:00,169.75
2016-01-03 03:00:00,2016-01-03 03:00:00,170.356
2016-01-03 04:00:00,2016-01-03 04:00:00,168.542
2016-01-03 05:00:00,2016-01-03 05:00:00,168.296
2016-01-03 06:00:00,2016-01-03 06:00:00,171.559
2016-01-03 07:00:00,2016-01-03 07:00:00,183.669
2016-01-03 08:00:00,2016-01-03 08:00:00,192.783
2016-01-03 09:00:00,2016-01-03 09:00:00,179.491
2016-01-03 10:00:00,2016-01-03 10:00:00,176.524
2016-01-03 11:00:00,2016-01-03 11:00:00,175.516
2016-01-03 12:00:00,2016-01-03 12:00:00,176.582
2016-01-03 13:00:00,2016-01-03 13:00:00,176.087
2016-01-03 14:00:00,2016-01-03 14:00:00,175.282
2016-01-03 15:00:00,2016-01-03 15:00:00,176.001
2016-01-03 16:00:00,2016-01-03 16:00:00,187.533
2016-01-03 17:00:00,2016-01-03 17:00:00,190.519
2016-01-03 18:00:00,2016-01-03 18:00:00,194.51
2016-01-03 19:00:00,2016-01-03 19:00:00,187.211
2016-01-03 20:00:00,2016-01-03 20:00:00,186.447
2016-01-03 21:00:00,2016-01-03 21:00:00,185.219
2016-01-03 22:00:00,2016-01-03 22:00:00,185.508
2016-01-03 23:00:00,2016-01-03 23:00:00,173.836
2016-01-04 00:00:00,2016-01-04 00:00:00,170.226
2016-01-04 01:00:00,2016-01-04 01:00:00,169.192
2016-01-04 02:00:00,2016-01-04 02:00:00,169.151
2016-01-04 03:00:00,2016-01-04 03:00:00,169.431
2016-01-04 04:00:00,2016-01-04 04:00:00,168.936
