timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,71.425
2016-01-01 01:00:00,2016-01-01 01:00:00,71.425
2016-01-01 02:00:00,2016-01-01 02:00:00,71.139
2016-01-01 03:00:00,2016-01-01 03:00:00,70.276
2016-01-01 04:00:00,2016-01-01 04:00:00,70.277
2016-01-01 05:00:00,2016-01-01 05:00:00,70.703
2016-01-01 06:00:00,2016-01-01 06:00:00,71.559
2016-01-01 07:00:00,2016-01-01 07:00:00,69.93
2016-01-01 08:00:00,2016-01-01 08:00:00,71.081
2016-01-01 09:00:00,2016-01-01 09:00:00,71.801
2016-01-01 10:00:00,2016-01-01 10:00:00,69.23
2016-01-01 11:00:00,2016-01-01 11:00:00,69.852
2016-01-01 12:00:00,2016-01-01 12:00:00,69.421
2016-01-01 13:00:00,2016-01-01 13:00:00,71.168
2016-01-01 14:00:00,2016-01-01 14:00:00,71.939
2016-01-01 15:00:00,2016-01-01 15:00:00,72.135
2016-01-01 16:00:00,2016-01-01 16:00:00,72.47
2016-01-01 17:00:00,2016-01-01 17:00:00,72.408
2016-01-01 18:00:00,2016-01-01 18:00:00,71.194
2016-01-01 19:00:00,2016-01-01 19:00:00,71.922
2016-01-01 20:00:00,2016-01-01 20:00:00,72.001
2016-01-01 21:00:00,2016-01-01 21:00:00,71.509
2016-01-01 22:00:00,2016-01-01 22:00:00,70.658
2016-01-01 23:00:00,2016-01-01 23:00:00,70.47
2016-01-02 00:00:00,2016-01-02 00:00:00,69.373
2016-01-02 01:00:00,2016-01-02 01:00:00,70.505
2016-01-02 02:00:00,2016-01-02 02:00:00,71.196
2016-01-02 03:00:00,2016-01-02 03:00:00,70.705
2016-01-02 04:00:00,2016-01-02 04:00:00,69.908
2016-01-02 05:00:00,2016-01-02 05:00:00,70.21
2016-01-02 06:00:00,2016-01-02 06:00:00,70.716
2016-01-02 07:00:00,2016-01-02 07:00:00,70.584
2016-01-02 08:00:00,2016-01-02 08:00:00,71.035
2016-01-02 09:00:00,2016-01-02 09:00:00,70.023
2016-01-02 10:00:00,2016-01-02 10:00:00,70.2
2016-01-02 11:00:00,2016-01-02 11:00:00,72.18
2016-01-02 12:00:00,2016-01-02 12:00:00,74.649
2016-01-02 13:00:00,2016-01-02 13:00:00,74.576
2016-01-02 14:00:00,2016-01-02 14:00:00,73.043
2016-01-02 15:00:00,2016-01-02 15:00:00,73.99
2016-01-02 16:00:00,2016-01-02 16:00:00,74.256
2016-01-02 17:00:00,2016-01-02 17:00:00,75.318
2016-01-02 18:00:00,2016-01-02 18:00:00,74.17
2016-01-02 19:00:00,2016-01-02 19:00:00,70.325
2016-01-02 20:00:00,2016-01-02 20:00:00,69.981
2016-01-02 21:00:00,2016-01-02 21:00:00,70.471
2016-01-02 22:00:00,2016-01-02 22:00:00,70.361
2016-01-02 23:00:00,2016-01-02 23:00:00,70.42
2016-01-03 00:00:00,2016-01-03 00:00:00,70.836
2016-01-03 01:00:00,2016-01-03 01:00:00,70.719
2016-01-03 02:00:00,2016-01-03 02:00:00,71.182
2016-01-03 03:00:00,2016-01-03 03:00:00,70.513
2016-01-03 04:00:00,2016-01-03 04:00:00,68.611
2016-01-03 05:00:00,2016-01-03 05:00:00,69.713
2016-01-03 06:00:00,2016-01-03 06:00:00,69.311
2016-01-03 07:00:00,2016-01-03 07:00:00,69.715
2016-01-03 08:00:00,2016-01-03 08:00:00,69.183
2016-01-03 09:00:00,2016-01-03 09:00:00,70.641
2016-01-03 10:00:00,2016-01-03 10:00:00,70.335
2016-01-03 11:00:00,2016-01-03 11:00:00,69.631
2016-01-03 12:00:00,2016-01-03 12:00:00,69.364
2016-01-03 13:00:00,2016-01-03 13:00:00,71.379
2016-01-03 14:00:00,2016-01-03 14:00:00,71.99
2016-01-03 15:00:00,2016-01-03 15:00:00,70.107
2016-01-03 16:00:00,2016-01-03 16:00:00,70.795
2016-01-03 17:00:00,2016-01-03 17:00:00,71.824
2016-01-03 18:00:00,2016-01-03 18:00:00,71.532
2016-01-03 19:00:00,2016-01-03 19:00:00,71.987
2016-01-03 20:00:00,2016-01-03 20:00:00,71.421
2016-01-03 21:00:00,2016-01-03 21:00:00,70.742
2016-01-03 22:00:00,2016-01-03 22:00:00,71.203
2016-01-03 23:00:00,2016-01-03 23:00:00,71.018
2016-01-04 00:00:00,2016-01-04 00:00:00,71.293
2016-01-04 01:00:00,2016-01-04 01:00:00,70.876
2016-01-04 02:00:00,2016-01-04 02:00:00,71.336
2016-01-04 03:00:00,2016-01-04 03:00:00,72.114
2016-01-04 04:00:00,2016-01-04 04:00:00,70.998
2016-01-04 05:00:00,2016-01-04 05:00:00,71.688
2016-01-04 06:00:00,2016-01-04 06:00:00,70.878
2016-01-04 07:00:00,2016-01-04 07:00:00,74.401
2016-01-04 08:00:00,2016-01-04 08:00:00,85.988
2016-01-04 09:00:00,2016-01-04 09:00:00,90.192
2016-01-04 10:00:00,2016-01-04 10:00:00,94.488
2016-01-04 11:00:00,2016-01-04 11:00:00,97.204
2016-01-04 12:00:00,2016-01-04 12:00:00,100.844
2016-01-04 13:00:00,2016-01-04 13:00:00,101.652
2016-01-04 14:00:00,2016-01-04 14:00:00,103.084
2016-01-04 15:00:00,2016-01-04 15:00:00,104.212
2016-01-04 16:00:00,2016-01-04 16:00:00,103.435
2016-01-04 17:00:00,2016-01-04 17:00:00,101.839
2016-01-04 18:00:00,2016-01-04 18:00:00,90.013
2016-01-04 19:00:00,2016-01-04 19:00:00,79.627
2016-01-04 20:00:00,2016-01-04 20:00:00,75.469
2016-01-04 21:00:00,2016-01-04 21:00:00,73.877
2016-01-04 22:00:00,2016-01-04 22:00:00,74.407
2016-01-04 23:00:00,2016-01-04 23:00:00,74.968
2016-01-05 00:00:00,2016-01-05 00:00:00,73.145
2016-01-05 01:00:00,2016-01-05 01:00:00,71.613
2016-01-05 02:00:00,2016-01-05 02:00:00,70.743
2016-01-05 03:00:00,2016-01-05 03:00:00,70.213
2016-01-05 04:00:00,2016-01-05 04:00:00,70.094
2016-01-05 05:00:00,2016-01-05 05:00:00,70.032
2016-01-05 06:00:00,2016-01-05 06:00:00,71.066
2016-01-05 07:00:00,2016-01-05 07:00:00,72.56
2016-01-05 08:00:00,2016-01-05 08:00:00,83.245
2016-01-05 09:00:00,2016-01-05 09:00:00,88.652
2016-01-05 10:00:00,2016-01-05 10:00:00,98.412
2016-01-05 11:00:00,2016-01-05 11:00:00,100.717
2016-01-05 12:00:00,2016-01-05 12:00:00,98.944
2016-01-05 13:00:00,2016-01-05 13:00:00,97.966
2016-01-05 14:00:00,2016-01-05 14:00:00,98.496
2016-01-05 15:00:00,2016-01-05 15:00:00,98.449
2016-01-05 16:00:00,2016-01-05 16:00:00,97.281
