timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,121.982
2016-01-01 01:00:00,2016-01-01 01:00:00,121.982
2016-01-01 02:00:00,2016-01-01 02:00:00,121.837
2016-01-01 03:00:00,2016-01-01 03:00:00,121.222
2016-01-01 04:00:00,2016-01-01 04:00:00,120.993
2016-01-01 05:00:00,2016-01-01 05:00:00,121.259
2016-01-01 06:00:00,2016-01-01 06:00:00,120.84
2016-01-01 07:00:00,2016-01-01 07:00:00,122.024
2016-01-01 08:00:00,2016-01-01 08:00:00,120.421
2016-01-01 09:00:00,2016-01-01 09:00:00,119.816
2016-01-01 10:00:00,2016-01-01 10:00:00,120.716
2016-01-01 11:00:00,2016-01-01 11:00:00,120.018
2016-01-01 12:00:00,2016-01-01 12:00:00,118.675
2016-01-01 13:00:00,2016-01-01 13:00:00,119.878
2016-01-01 14:00:00,2016-01-01 14:00:00,118.28
2016-01-01 15:00:00,2016-01-01 15:00:00,119.838
2016-01-01 16:00:00,2016-01-01 16:00:00,109.665
2016-01-01 17:00:00,2016-01-01 17:00:00,109.658
2016-01-01 18:00:00,2016-01-01 18:00:00,112.784
2016-01-01 19:00:00,2016-01-01 19:00:00,111.979
2016-01-01 20:00:00,2016-01-01 20:00:00,110.299
2016-01-01 21:00:00,2016-01-01 21:00:00,111.583
2016-01-01 22:00:00,2016-01-01 22:00:00,110.002
2016-01-01 23:00:00,2016-01-01 23:00:00,111.211
2016-01-02 00:00:00,2016-01-02 00:00:00,110.572
2016-01-02 01:00:00,2016-01-02 01:00:00,110.93
2016-01-02 02:00:00,2016-01-02 02:00:00,111.065
2016-01-02 03:00:00,2016-01-02 03:00:00,111.357
2016-01-02 04:00:00,2016-01-02 04:00:00,111.048
2016-01-02 05:00:00,2016-01-02 05:00:00,111.434
2016-01-02 06:00:00,2016-01-02 06:00:00,111.356
2016-01-02 07:00:00,2016-01-02 07:00:00,112.129
2016-01-02 08:00:00,2016-01-02 08:00:00,112.393
2016-01-02 09:00:00,2016-01-02 09:00:00,110.19
2016-01-02 10:00:00,2016-01-02 10:00:00,108.775
2016-01-02 11:00:00,2016-01-02 11:00:00,109.521
2016-01-02 12:00:00,2016-01-02 12:00:00,108.748
2016-01-02 13:00:00,2016-01-02 13:00:00,108.656
2016-01-02 14:00:00,2016-01-02 14:00:00,108.648
2016-01-02 15:00:00,2016-01-02 15:00:00,109.928
2016-01-02 16:00:00,2016-01-02 16:00:00,110.808
2016-01-02 17:00:00,2016-01-02 17:00:00,112.757
2016-01-02 18:00:00,2016-01-02 18:00:00,114.15
2016-01-02 19:00:00,2016-01-02 19:00:00,110.453
2016-01-02 20:00:00,2016-01-02 20:00:00,111.489
2016-01-02 21:00:00,2016-01-02 21:00:00,109.25
2016-01-02 22:00:00,2016-01-02 22:00:00,109.274
2016-01-02 23:00:00,2016-01-02 23:00:00,108.385
2016-01-03 00:00:00,2016-01-03 00:00:00,108.836
2016-01-03 01:00:00,2016-01-03 01:00:00,109.165
2016-01-03 02:00:00,2016-01-03 02:00:00,109.151
2016-01-03 03:00:00,2016-01-03 03:00:00,109.18
2016-01-03 04:00:00,2016-01-03 04:00:00,110.844
2016-01-03 05:00:00,2016-01-03 05:00:00,109.005
2016-01-03 06:00:00,2016-01-03 06:00:00,111.155
2016-01-03 07:00:00,2016-01-03 07:00:00,110.773
2016-01-03 08:00:00,2016-01-03 08:00:00,111.465
2016-01-03 09:00:00,2016-01-03 09:00:00,112.019
2016-01-03 10:00:00,2016-01-03 10:00:00,110.918
2016-01-03 11:00:00,2016-01-03 11:00:00,109.918
2016-01-03 12:00:00,2016-01-03 12:00:00,110.253
2016-01-03 13:00:00,2016-01-03 13:00:00,109.669
2016-01-03 14:00:00,2016-01-03 14:00:00,110.425
2016-01-03 15:00:00,2016-01-03 15:00:00,113.692
2016-01-03 16:00:00,2016-01-03 16:00:00,111.185
2016-01-03 17:00:00,2016-01-03 17:00:00,111.479
2016-01-03 18:00:00,2016-01-03 18:00:00,114.524
2016-01-03 19:00:00,2016-01-03 19:00:00,112.101
2016-01-03 20:00:00,2016-01-03 20:00:00,111.169
2016-01-03 21:00:00,2016-01-03 21:00:00,110.774
2016-01-03 22:00:00,2016-01-03 22:00:00,112.992
2016-01-03 23:00:00,2016-01-03 23:00:00,118.474
2016-01-04 00:00:00,2016-01-04 00:00:00,117.503
2016-01-04 01:00:00,2016-01-04 01:00:00,113.987
2016-01-04 02:00:00,2016-01-04 02:00:00,113.067
2016-01-04 03:00:00,2016-01-04 03:00:00,112.987
