timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,872.114
2016-01-01 01:00:00,2016-01-01 01:00:00,872.114
2016-01-01 02:00:00,2016-01-01 02:00:00,854.539
2016-01-01 03:00:00,2016-01-01 03:00:00,838.849
2016-01-01 04:00:00,2016-01-01 04:00:00,839.032
2016-01-01 05:00:00,2016-01-01 05:00:00,845.253
2016-01-01 06:00:00,2016-01-01 06:00:00,884.378
2016-01-01 07:00:00,2016-01-01 07:00:00,890.323
2016-01-01 08:00:00,2016-01-01 08:00:00,898.173
2016-01-01 09:00:00,2016-01-01 09:00:00,909.523
2016-01-01 10:00:00,2016-01-01 10:00:00,911.205
2016-01-01 11:00:00,2016-01-01 11:00:00,921.604
2016-01-01 12:00:00,2016-01-01 12:00:00,925.195
2016-01-01 13:00:00,2016-01-01 13:00:00,930.257
2016-01-01 14:00:00,2016-01-01 14:00:00,934.905
2016-01-01 15:00:00,2016-01-01 15:00:00,935.384
2016-01-01 16:00:00,2016-01-01 16:00:00,932.448
2016-01-01 17:00:00,2016-01-01 17:00:00,923.933
2016-01-01 18:00:00,2016-01-01 18:00:00,908.268
2016-01-01 19:00:00,2016-01-01 19:00:00,901.72
2016-01-01 20:00:00,2016-01-01 20:00:00,897.838
2016-01-01 21:00:00,2016-01-01 21:00:00,885.505
2016-01-01 22:00:00,2016-01-01 22:00:00,885.331
2016-01-01 23:00:00,2016-01-01 23:00:00,879.552
2016-01-02 00:00:00,2016-01-02 00:00:00,879.582
2016-01-02 01:00:00,2016-01-02 01:00:00,892.307
2016-01-02 02:00:00,2016-01-02 02:00:00,880.017
2016-01-02 03:00:00,2016-01-02 03:00:00,863.889
2016-01-02 04:00:00,2016-01-02 04:00:00,865.916
2016-01-02 05:00:00,2016-01-02 05:00:00,875.915
2016-01-02 06:00:00,2016-01-02 06:00:00,918.982
2016-01-02 07:00:00,2016-01-02 07:00:00,1020.865
2016-01-02 08:00:00,2016-01-02 08:00:00,1051.483
2016-01-02 09:00:00,2016-01-02 09:00:00,1130.9449
2016-01-02 10:00:00,2016-01-02 10:00:00,1164.7209
2016-01-02 11:00:00,2016-01-02 11:00:00,1168.3719
2016-01-02 12:00:00,2016-01-02 12:00:00,1169.0081
2016-01-02 13:00:00,2016-01-02 13:00:00,1172.468
2016-01-02 14:00:00,2016-01-02 14:00:00,1183.09
2016-01-02 15:00:00,2016-01-02 15:00:00,1186.653
2016-01-02 16:00:00,2016-01-02 16:00:00,1187.739
2016-01-02 17:00:00,2016-01-02 17:00:00,1181.326
2016-01-02 18:00:00,2016-01-02 18:00:00,1038.674
2016-01-02 19:00:00,2016-01-02 19:00:00,1019.256
2016-01-02 20:00:00,2016-01-02 20:00:00,1007.622
2016-01-02 21:00:00,2016-01-02 21:00:00,993.531
2016-01-02 22:00:00,2016-01-02 22:00:00,987.112
2016-01-02 23:00:00,2016-01-02 23:00:00,951.826
2016-01-03 00:00:00,2016-01-03 00:00:00,923.554
2016-01-03 01:00:00,2016-01-03 01:00:00,899.468
2016-01-03 02:00:00,2016-01-03 02:00:00,901.051
2016-01-03 03:00:00,2016-01-03 03:00:00,898.427
2016-01-03 04:00:00,2016-01-03 04:00:00,896.083
2016-01-03 05:00:00,2016-01-03 05:00:00,905.833
2016-01-03 06:00:00,2016-01-03 06:00:00,962.731
2016-01-03 07:00:00,2016-01-03 07:00:00,1048.676
2016-01-03 08:00:00,2016-01-03 08:00:00,1078.219
2016-01-03 09:00:00,2016-01-03 09:00:00,1147.267
2016-01-03 10:00:00,2016-01-03 10:00:00,1180.989
2016-01-03 11:00:00,2016-01-03 11:00:00,1180.073
2016-01-03 12:00:00,2016-01-03 12:00:00,1178.752
2016-01-03 13:00:00,2016-01-03 13:00:00,1181.231
2016-01-03 14:00:00,2016-01-03 14:00:00,1182.218
2016-01-03 15:00:00,2016-01-03 15:00:00,1184.765
2016-01-03 16:00:00,2016-01-03 16:00:00,1184.109
2016-01-03 17:00:00,2016-01-03 17:00:00,1182.075
2016-01-03 18:00:00,2016-01-03 18:00:00,1029.363
2016-01-03 19:00:00,2016-01-03 19:00:00,1011.979
2016-01-03 20:00:00,2016-01-03 20:00:00,997.949
2016-01-03 21:00:00,2016-01-03 21:00:00,996.349
2016-01-03 22:00:00,2016-01-03 22:00:00,981.169
2016-01-03 23:00:00,2016-01-03 23:00:00,959.396
2016-01-04 00:00:00,2016-01-04 00:00:00,945.432
2016-01-04 01:00:00,2016-01-04 01:00:00,904.484
2016-01-04 02:00:00,2016-01-04 02:00:00,897.025
2016-01-04 03:00:00,2016-01-04 03:00:00,897.406
2016-01-04 04:00:00,2016-01-04 04:00:00,899.59
2016-01-04 05:00:00,2016-01-04 05:00:00,907.399
2016-01-04 06:00:00,2016-01-04 06:00:00,998.774
2016-01-04 07:00:00,2016-01-04 07:00:00,1075.677
2016-01-04 08:00:00,2016-01-04 08:00:00,1246.485
2016-01-04 09:00:00,2016-01-04 09:00:00,1411.924
2016-01-04 10:00:00,2016-01-04 10:00:00,1485.756
2016-01-04 11:00:00,2016-01-04 11:00:00,1516.699
2016-01-04 12:00:00,2016-01-04 12:00:00,1530.271
2016-01-04 13:00:00,2016-01-04 13:00:00,1511.7629
2016-01-04 14:00:00,2016-01-04 14:00:00,1502.412
2016-01-04 15:00:00,2016-01-04 15:00:00,1504.417
2016-01-04 16:00:00,2016-01-04 16:00:00,1475.8781
2016-01-04 17:00:00,2016-01-04 17:00:00,1429.193
2016-01-04 18:00:00,2016-01-04 18:00:00,1194.6379
2016-01-04 19:00:00,2016-01-04 19:00:00,1126.959
2016-01-04 20:00:00,2016-01-04 20:00:00,1103.963
2016-01-04 21:00:00,2016-01-04 21:00:00,1082.9041
2016-01-04 22:00:00,2016-01-04 22:00:00,1052.5389
2016-01-04 23:00:00,2016-01-04 23:00:00,1026.11
2016-01-05 00:00:00,2016-01-05 00:00:00,994.848
2016-01-05 01:00:00,2016-01-05 01:00:00,924.009
2016-01-05 02:00:00,2016-01-05 02:00:00,895.086
2016-01-05 03:00:00,2016-01-05 03:00:00,884.28
2016-01-05 04:00:00,2016-01-05 04:00:00,894.338
2016-01-05 05:00:00,2016-01-05 05:00:00,905.543
2016-01-05 06:00:00,2016-01-05 06:00:00,1002.057
2016-01-05 07:00:00,2016-01-05 07:00:00,1073.2791
2016-01-05 08:00:00,2016-01-05 08:00:00,1212.7271
2016-01-05 09:00:00,2016-01-05 09:00:00,1388.537
2016-01-05 10:00:00,2016-01-05 10:00:00,1495.49
2016-01-05 11:00:00,2016-01-05 11:00:00,1535.241
2016-01-05 12:00:00,2016-01-05 12:00:00,1541.691
2016-01-05 13:00:00,2016-01-05 13:00:00,1543.209
2016-01-05 14:00:00,2016-01-05 14:00:00,1543.744
2016-01-05 15:00:00,2016-01-05 15:00:00,1529.127
2016-01-05 16:00:00,2016-01-05 16:00:00,1493.434
2016-01-05 17:00:00,2016-01-05 17:00:00,1424.826
2016-01-05 18:00:00,2016-01-05 18:00:00,1193.41
2016-01-05 19:00:00,2016-01-05 19:00:00,1124.088
2016-01-05 20:00:00,2016-01-05 20:00:00,1091.822
2016-01-05 21:00:00,2016-01-05 21:00:00,1059.4301
2016-01-05 22:00:00,2016-01-05 22:00:00,1033.183
2016-01-05 23:00:00,2016-01-05 23:00:00,994.794
2016-01-06 00:00:00,2016-01-06 00:00:00,976.705
2016-01-06 01:00:00,2016-01-06 01:00:00,910.101
2016-01-06 02:00:00,2016-01-06 02:00:00,888.584
2016-01-06 03:00:00,2016-01-06 03:00:00,875.33
2016-01-06 04:00:00,2016-01-06 04:00:00,888.002
2016-01-06 05:00:00,2016-01-06 05:00:00,898.794
2016-01-06 06:00:00,2016-01-06 06:00:00,992.732
2016-01-06 07:00:00,2016-01-06 07:00:00,1061.105
2016-01-06 08:00:00,2016-01-06 08:00:00,1210.955
2016-01-06 09:00:00,2016-01-06 09:00:00,1391.0389
2016-01-06 10:00:00,2016-01-06 10:00:00,1500.45
2016-01-06 11:00:00,2016-01-06 11:00:00,1577.905
2016-01-06 12:00:00,2016-01-06 12:00:00,1639.8
2016-01-06 13:00:00,2016-01-06 13:00:00,1621.116
2016-01-06 14:00:00,2016-01-06 14:00:00,1611.946
2016-01-06 15:00:00,2016-01-06 15:00:00,1618.7729
2016-01-06 16:00:00,2016-01-06 16:00:00,1579.662
2016-01-06 17:00:00,2016-01-06 17:00:00,1527.5909
2016-01-06 18:00:00,2016-01-06 18:00:00,1295.481
2016-01-06 19:00:00,2016-01-06 19:00:00,1226.494
2016-01-06 20:00:00,2016-01-06 20:00:00,1199.255
2016-01-06 21:00:00,2016-01-06 21:00:00,1173.613
2016-01-06 22:00:00,2016-01-06 22:00:00,1138.786
2016-01-06 23:00:00,2016-01-06 23:00:00,1100.517
2016-01-07 00:00:00,2016-01-07 00:00:00,1076.233
2016-01-07 01:00:00,2016-01-07 01:00:00,1012.813
2016-01-07 02:00:00,2016-01-07 02:00:00,994.463
2016-01-07 03:00:00,2016-01-07 03:00:00,977.465
2016-01-07 04:00:00,2016-01-07 04:00:00,991.393
2016-01-07 05:00:00,2016-01-07 05:00:00,998.154
2016-01-07 06:00:00,2016-01-07 06:00:00,1096.933
2016-01-07 07:00:00,2016-01-07 07:00:00,1170.683
2016-01-07 08:00:00,2016-01-07 08:00:00,1307.584
2016-01-07 09:00:00,2016-01-07 09:00:00,1481.41
2016-01-07 10:00:00,2016-01-07 10:00:00,1576.166
2016-01-07 11:00:00,2016-01-07 11:00:00,1610.525
2016-01-07 12:00:00,2016-01-07 12:00:00,1613.876
2016-01-07 13:00:00,2016-01-07 13:00:00,1629.599
2016-01-07 14:00:00,2016-01-07 14:00:00,1637.7061
2016-01-07 15:00:00,2016-01-07 15:00:00,1633.381
2016-01-07 16:00:00,2016-01-07 16:00:00,1606.672
2016-01-07 17:00:00,2016-01-07 17:00:00,1540.964
2016-01-07 18:00:00,2016-01-07 18:00:00,1293.332
2016-01-07 19:00:00,2016-01-07 19:00:00,1222.8409
2016-01-07 20:00:00,2016-01-07 20:00:00,1195.235
2016-01-07 21:00:00,2016-01-07 21:00:00,1173.527
2016-01-07 22:00:00,2016-01-07 22:00:00,1138.478
2016-01-07 23:00:00,2016-01-07 23:00:00,1101.479
2016-01-08 00:00:00,2016-01-08 00:00:00,1074.632
2016-01-08 01:00:00,2016-01-08 01:00:00,1012.793
2016-01-08 02:00:00,2016-01-08 02:00:00,992.157
2016-01-08 03:00:00,2016-01-08 03:00:00,973.919
2016-01-08 04:00:00,2016-01-08 04:00:00,990.658
2016-01-08 05:00:00,2016-01-08 05:00:00,995.953
2016-01-08 06:00:00,2016-01-08 06:00:00,1095.521
2016-01-08 07:00:00,2016-01-08 07:00:00,1156.196
2016-01-08 08:00:00,2016-01-08 08:00:00,1277.196
2016-01-08 09:00:00,2016-01-08 09:00:00,1457.886
2016-01-08 10:00:00,2016-01-08 10:00:00,1545.748
2016-01-08 11:00:00,2016-01-08 11:00:00,1560.646
2016-01-08 12:00:00,2016-01-08 12:00:00,1604.33
2016-01-08 13:00:00,2016-01-08 13:00:00,1619.2841
2016-01-08 14:00:00,2016-01-08 14:00:00,1606.485
2016-01-08 15:00:00,2016-01-08 15:00:00,1578.085
2016-01-08 16:00:00,2016-01-08 16:00:00,1560.45
2016-01-08 17:00:00,2016-01-08 17:00:00,1493.2531
2016-01-08 18:00:00,2016-01-08 18:00:00,1277.485
2016-01-08 19:00:00,2016-01-08 19:00:00,1216.938
2016-01-08 20:00:00,2016-01-08 20:00:00,1198.897
2016-01-08 21:00:00,2016-01-08 21:00:00,1201.922
2016-01-08 22:00:00,2016-01-08 22:00:00,1176.252
2016-01-08 23:00:00,2016-01-08 23:00:00,1113.173
2016-01-09 00:00:00,2016-01-09 00:00:00,1068.7581
2016-01-09 01:00:00,2016-01-09 01:00:00,1004.923
2016-01-09 02:00:00,2016-01-09 02:00:00,979.937
2016-01-09 03:00:00,2016-01-09 03:00:00,967.179
2016-01-09 04:00:00,2016-01-09 04:00:00,967.428
2016-01-09 05:00:00,2016-01-09 05:00:00,978.666
2016-01-09 06:00:00,2016-01-09 06:00:00,1022.309
2016-01-09 07:00:00,2016-01-09 07:00:00,1128.684
2016-01-09 08:00:00,2016-01-09 08:00:00,1165.566
2016-01-09 09:00:00,2016-01-09 09:00:00,1248.45
2016-01-09 10:00:00,2016-01-09 10:00:00,1287.99
2016-01-09 11:00:00,2016-01-09 11:00:00,1304.417
2016-01-09 12:00:00,2016-01-09 12:00:00,1307.187
2016-01-09 13:00:00,2016-01-09 13:00:00,1308.684
2016-01-09 14:00:00,2016-01-09 14:00:00,1321.108
2016-01-09 15:00:00,2016-01-09 15:00:00,1318.631
2016-01-09 16:00:00,2016-01-09 16:00:00,1323.514
2016-01-09 17:00:00,2016-01-09 17:00:00,1314.2729
2016-01-09 18:00:00,2016-01-09 18:00:00,1136.795
2016-01-09 19:00:00,2016-01-09 19:00:00,1108.1689
2016-01-09 20:00:00,2016-01-09 20:00:00,1100.491
2016-01-09 21:00:00,2016-01-09 21:00:00,1085.584
2016-01-09 22:00:00,2016-01-09 22:00:00,1087.719
2016-01-09 23:00:00,2016-01-09 23:00:00,1047.3
2016-01-10 00:00:00,2016-01-10 00:00:00,1027.431
2016-01-10 01:00:00,2016-01-10 01:00:00,994.509
2016-01-10 02:00:00,2016-01-10 02:00:00,993.713
2016-01-10 03:00:00,2016-01-10 03:00:00,995.973
2016-01-10 04:00:00,2016-01-10 04:00:00,997.586
2016-01-10 05:00:00,2016-01-10 05:00:00,1002.956
2016-01-10 06:00:00,2016-01-10 06:00:00,1046.222
2016-01-10 07:00:00,2016-01-10 07:00:00,1143.762
2016-01-10 08:00:00,2016-01-10 08:00:00,1175.2159
2016-01-10 09:00:00,2016-01-10 09:00:00,1271.6071
2016-01-10 10:00:00,2016-01-10 10:00:00,1303.251
2016-01-10 11:00:00,2016-01-10 11:00:00,1303.614
2016-01-10 12:00:00,2016-01-10 12:00:00,1307.375
2016-01-10 13:00:00,2016-01-10 13:00:00,1305.151
2016-01-10 14:00:00,2016-01-10 14:00:00,1302.238
2016-01-10 15:00:00,2016-01-10 15:00:00,1306.96
2016-01-10 16:00:00,2016-01-10 16:00:00,1302.28
2016-01-10 17:00:00,2016-01-10 17:00:00,1289.838
2016-01-10 18:00:00,2016-01-10 18:00:00,1119.871
2016-01-10 19:00:00,2016-01-10 19:00:00,1096.439
2016-01-10 20:00:00,2016-01-10 20:00:00,1084.599
2016-01-10 21:00:00,2016-01-10 21:00:00,1080.584
2016-01-10 22:00:00,2016-01-10 22:00:00,1067.578
2016-01-10 23:00:00,2016-01-10 23:00:00,1048.516
2016-01-11 00:00:00,2016-01-11 00:00:00,1026.59
2016-01-11 01:00:00,2016-01-11 01:00:00,989.759
2016-01-11 02:00:00,2016-01-11 02:00:00,986.514
2016-01-11 03:00:00,2016-01-11 03:00:00,988.032
2016-01-11 04:00:00,2016-01-11 04:00:00,1000.346
2016-01-11 05:00:00,2016-01-11 05:00:00,1011.434
2016-01-11 06:00:00,2016-01-11 06:00:00,1101.441
2016-01-11 07:00:00,2016-01-11 07:00:00,1182.873
2016-01-11 08:00:00,2016-01-11 08:00:00,1334.047
2016-01-11 09:00:00,2016-01-11 09:00:00,1506.111
2016-01-11 10:00:00,2016-01-11 10:00:00,1603.181
2016-01-11 11:00:00,2016-01-11 11:00:00,1627.083
2016-01-11 12:00:00,2016-01-11 12:00:00,1640.86
2016-01-11 13:00:00,2016-01-11 13:00:00,1640.897
2016-01-11 14:00:00,2016-01-11 14:00:00,1628.921
2016-01-11 15:00:00,2016-01-11 15:00:00,1594.0031
2016-01-11 16:00:00,2016-01-11 16:00:00,1603.463
2016-01-11 17:00:00,2016-01-11 17:00:00,1541.307
2016-01-11 18:00:00,2016-01-11 18:00:00,1313.7729
2016-01-11 19:00:00,2016-01-11 19:00:00,1239.995
2016-01-11 20:00:00,2016-01-11 20:00:00,1199.975
2016-01-11 21:00:00,2016-01-11 21:00:00,1181.972
2016-01-11 22:00:00,2016-01-11 22:00:00,1155.73
2016-01-11 23:00:00,2016-01-11 23:00:00,1117.509
2016-01-12 00:00:00,2016-01-12 00:00:00,1093.5601
2016-01-12 01:00:00,2016-01-12 01:00:00,1032.444
2016-01-12 02:00:00,2016-01-12 02:00:00,1006.153
2016-01-12 03:00:00,2016-01-12 03:00:00,994.087
2016-01-12 04:00:00,2016-01-12 04:00:00,992.28
2016-01-12 05:00:00,2016-01-12 05:00:00,1002.564
2016-01-12 06:00:00,2016-01-12 06:00:00,1094.4041
2016-01-12 07:00:00,2016-01-12 07:00:00,1160.321
2016-01-12 08:00:00,2016-01-12 08:00:00,1311.355
2016-01-12 09:00:00,2016-01-12 09:00:00,1489.094
2016-01-12 10:00:00,2016-01-12 10:00:00,1597.962
2016-01-12 11:00:00,2016-01-12 11:00:00,1640.295
2016-01-12 12:00:00,2016-01-12 12:00:00,1636.35
2016-01-12 13:00:00,2016-01-12 13:00:00,1649.8879
2016-01-12 14:00:00,2016-01-12 14:00:00,1651.11
2016-01-12 15:00:00,2016-01-12 15:00:00,1652.963
2016-01-12 16:00:00,2016-01-12 16:00:00,1638.4771
2016-01-12 17:00:00,2016-01-12 17:00:00,1587.092
2016-01-12 18:00:00,2016-01-12 18:00:00,1344.214
2016-01-12 19:00:00,2016-01-12 19:00:00,1262.839
2016-01-12 20:00:00,2016-01-12 20:00:00,1224.871
2016-01-12 21:00:00,2016-01-12 21:00:00,1203.043
2016-01-12 22:00:00,2016-01-12 22:00:00,1167.653
