timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,571.417
2016-01-01 01:00:00,2016-01-01 01:00:00,571.417
2016-01-01 02:00:00,2016-01-01 02:00:00,571.403
2016-01-01 03:00:00,2016-01-01 03:00:00,570.956
2016-01-01 04:00:00,2016-01-01 04:00:00,569.678
2016-01-01 05:00:00,2016-01-01 05:00:00,571.099
2016-01-01 06:00:00,2016-01-01 06:00:00,570.559
2016-01-01 07:00:00,2016-01-01 07:00:00,580.586
2016-01-01 08:00:00,2016-01-01 08:00:00,582.333
2016-01-01 09:00:00,2016-01-01 09:00:00,580.049
2016-01-01 10:00:00,2016-01-01 10:00:00,576.239
2016-01-01 11:00:00,2016-01-01 11:00:00,576.149
2016-01-01 12:00:00,2016-01-01 12:00:00,577.633
2016-01-01 13:00:00,2016-01-01 13:00:00,579.046
2016-01-01 14:00:00,2016-01-01 14:00:00,573.645
2016-01-01 15:00:00,2016-01-01 15:00:00,573.655
2016-01-01 16:00:00,2016-01-01 16:00:00,573.332
2016-01-01 17:00:00,2016-01-01 17:00:00,574.19
2016-01-01 18:00:00,2016-01-01 18:00:00,574.204
2016-01-01 19:00:00,2016-01-01 19:00:00,576.586
2016-01-01 20:00:00,2016-01-01 20:00:00,571.891
2016-01-01 21:00:00,2016-01-01 21:00:00,571.958
2016-01-01 22:00:00,2016-01-01 22:00:00,570.45
2016-01-01 23:00:00,2016-01-01 23:00:00,571.241
2016-01-02 00:00:00,2016-01-02 00:00:00,565.24
2016-01-02 01:00:00,2016-01-02 01:00:00,570.963
2016-01-02 02:00:00,2016-01-02 02:00:00,599.484
2016-01-02 03:00:00,2016-01-02 03:00:00,627.368
2016-01-02 04:00:00,2016-01-02 04:00:00,628.374
2016-01-02 05:00:00,2016-01-02 05:00:00,628.871
2016-01-02 06:00:00,2016-01-02 06:00:00,629.871
2016-01-02 07:00:00,2016-01-02 07:00:00,599.061
2016-01-02 08:00:00,2016-01-02 08:00:00,584.924
2016-01-02 09:00:00,2016-01-02 09:00:00,583.109
2016-01-02 10:00:00,2016-01-02 10:00:00,576.758
2016-01-02 11:00:00,2016-01-02 11:00:00,575.302
2016-01-02 12:00:00,2016-01-02 12:00:00,576.729
2016-01-02 13:00:00,2016-01-02 13:00:00,569.956
2016-01-02 14:00:00,2016-01-02 14:00:00,572.916
2016-01-02 15:00:00,2016-01-02 15:00:00,575.217
2016-01-02 16:00:00,2016-01-02 16:00:00,577.327
2016-01-02 17:00:00,2016-01-02 17:00:00,568.048
2016-01-02 18:00:00,2016-01-02 18:00:00,559.907
2016-01-02 19:00:00,2016-01-02 19:00:00,561.955
2016-01-02 20:00:00,2016-01-02 20:00:00,564.426
2016-01-02 21:00:00,2016-01-02 21:00:00,560.942
2016-01-02 22:00:00,2016-01-02 22:00:00,562.453
2016-01-02 23:00:00,2016-01-02 23:00:00,563.315
2016-01-03 00:00:00,2016-01-03 00:00:00,573.284
2016-01-03 01:00:00,2016-01-03 01:00:00,566.977
2016-01-03 02:00:00,2016-01-03 02:00:00,554.545
2016-01-03 03:00:00,2016-01-03 03:00:00,547.874
2016-01-03 04:00:00,2016-01-03 04:00:00,555.576
2016-01-03 05:00:00,2016-01-03 05:00:00,567.592
2016-01-03 06:00:00,2016-01-03 06:00:00,570.898
2016-01-03 07:00:00,2016-01-03 07:00:00,578.986
2016-01-03 08:00:00,2016-01-03 08:00:00,578.547
2016-01-03 09:00:00,2016-01-03 09:00:00,562.732
2016-01-03 10:00:00,2016-01-03 10:00:00,567.404
2016-01-03 11:00:00,2016-01-03 11:00:00,569.849
2016-01-03 12:00:00,2016-01-03 12:00:00,566.384
2016-01-03 13:00:00,2016-01-03 13:00:00,565.873
2016-01-03 14:00:00,2016-01-03 14:00:00,568.194
2016-01-03 15:00:00,2016-01-03 15:00:00,567.962
2016-01-03 16:00:00,2016-01-03 16:00:00,568.856
2016-01-03 17:00:00,2016-01-03 17:00:00,567.183
2016-01-03 18:00:00,2016-01-03 18:00:00,577.999
2016-01-03 19:00:00,2016-01-03 19:00:00,574.558
2016-01-03 20:00:00,2016-01-03 20:00:00,575.891
2016-01-03 21:00:00,2016-01-03 21:00:00,576.717
2016-01-03 22:00:00,2016-01-03 22:00:00,577.501
2016-01-03 23:00:00,2016-01-03 23:00:00,573.25
2016-01-04 00:00:00,2016-01-04 00:00:00,614.775
2016-01-04 01:00:00,2016-01-04 01:00:00,607.458
