timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,247.861
2016-01-01 01:00:00,2016-01-01 01:00:00,247.861
2016-01-01 02:00:00,2016-01-01 02:00:00,245.558
2016-01-01 03:00:00,2016-01-01 03:00:00,244.115
2016-01-01 04:00:00,2016-01-01 04:00:00,243.278
2016-01-01 05:00:00,2016-01-01 05:00:00,244.284
2016-01-01 06:00:00,2016-01-01 06:00:00,249.462
2016-01-01 07:00:00,2016-01-01 07:00:00,278.357
2016-01-01 08:00:00,2016-01-01 08:00:00,295.343
2016-01-01 09:00:00,2016-01-01 09:00:00,301.029
2016-01-01 10:00:00,2016-01-01 10:00:00,301.737
2016-01-01 11:00:00,2016-01-01 11:00:00,300.367
2016-01-01 12:00:00,2016-01-01 12:00:00,300.415
2016-01-01 13:00:00,2016-01-01 13:00:00,303.88
2016-01-01 14:00:00,2016-01-01 14:00:00,303.873
2016-01-01 15:00:00,2016-01-01 15:00:00,305.037
2016-01-01 16:00:00,2016-01-01 16:00:00,303.746
2016-01-01 17:00:00,2016-01-01 17:00:00,304.864
2016-01-01 18:00:00,2016-01-01 18:00:00,303.892
2016-01-01 19:00:00,2016-01-01 19:00:00,300.769
2016-01-01 20:00:00,2016-01-01 20:00:00,296.574
2016-01-01 21:00:00,2016-01-01 21:00:00,286.799
2016-01-01 22:00:00,2016-01-01 22:00:00,278.011
2016-01-01 23:00:00,2016-01-01 23:00:00,255.167
2016-01-02 00:00:00,2016-01-02 00:00:00,248.047
2016-01-02 01:00:00,2016-01-02 01:00:00,243.699
2016-01-02 02:00:00,2016-01-02 02:00:00,245.325
2016-01-02 03:00:00,2016-01-02 03:00:00,244.082
2016-01-02 04:00:00,2016-01-02 04:00:00,243.588
2016-01-02 05:00:00,2016-01-02 05:00:00,245.371
2016-01-02 06:00:00,2016-01-02 06:00:00,251.354
2016-01-02 07:00:00,2016-01-02 07:00:00,276.5
2016-01-02 08:00:00,2016-01-02 08:00:00,297.416
2016-01-02 09:00:00,2016-01-02 09:00:00,300.794
2016-01-02 10:00:00,2016-01-02 10:00:00,302.73
2016-01-02 11:00:00,2016-01-02 11:00:00,303.043
