timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,22.764
2016-01-01 01:00:00,2016-01-01 01:00:00,22.764
2016-01-01 02:00:00,2016-01-01 02:00:00,22.932
2016-01-01 03:00:00,2016-01-01 03:00:00,22.386
2016-01-01 04:00:00,2016-01-01 04:00:00,22.592
2016-01-01 05:00:00,2016-01-01 05:00:00,22.557
2016-01-01 06:00:00,2016-01-01 06:00:00,22.565
2016-01-01 07:00:00,2016-01-01 07:00:00,22.821
2016-01-01 08:00:00,2016-01-01 08:00:00,22.06
2016-01-01 09:00:00,2016-01-01 09:00:00,20.298
2016-01-01 10:00:00,2016-01-01 10:00:00,20.207
2016-01-01 11:00:00,2016-01-01 11:00:00,20.056
2016-01-01 12:00:00,2016-01-01 12:00:00,20.279
2016-01-01 13:00:00,2016-01-01 13:00:00,23.949
2016-01-01 14:00:00,2016-01-01 14:00:00,21.991
2016-01-01 15:00:00,2016-01-01 15:00:00,22.205
2016-01-01 16:00:00,2016-01-01 16:00:00,21.499
2016-01-01 17:00:00,2016-01-01 17:00:00,22.048
2016-01-01 18:00:00,2016-01-01 18:00:00,23.288
2016-01-01 19:00:00,2016-01-01 19:00:00,23.494
2016-01-01 20:00:00,2016-01-01 20:00:00,23.697
2016-01-01 21:00:00,2016-01-01 21:00:00,22.971
2016-01-01 22:00:00,2016-01-01 22:00:00,23.027
2016-01-01 23:00:00,2016-01-01 23:00:00,22.645
2016-01-02 00:00:00,2016-01-02 00:00:00,22.487
2016-01-02 01:00:00,2016-01-02 01:00:00,22.485
2016-01-02 02:00:00,2016-01-02 02:00:00,22.578
2016-01-02 03:00:00,2016-01-02 03:00:00,22.69
2016-01-02 04:00:00,2016-01-02 04:00:00,22.692
2016-01-02 05:00:00,2016-01-02 05:00:00,22.647
2016-01-02 06:00:00,2016-01-02 06:00:00,22.763
2016-01-02 07:00:00,2016-01-02 07:00:00,23.004
2016-01-02 08:00:00,2016-01-02 08:00:00,21.583
2016-01-02 09:00:00,2016-01-02 09:00:00,19.885
2016-01-02 10:00:00,2016-01-02 10:00:00,19.984
2016-01-02 11:00:00,2016-01-02 11:00:00,20.051
2016-01-02 12:00:00,2016-01-02 12:00:00,23.425
2016-01-02 13:00:00,2016-01-02 13:00:00,21.036
2016-01-02 14:00:00,2016-01-02 14:00:00,21.267
2016-01-02 15:00:00,2016-01-02 15:00:00,20.79
2016-01-02 16:00:00,2016-01-02 16:00:00,21.191
2016-01-02 17:00:00,2016-01-02 17:00:00,20.591
2016-01-02 18:00:00,2016-01-02 18:00:00,23.179
2016-01-02 19:00:00,2016-01-02 19:00:00,24.174
2016-01-02 20:00:00,2016-01-02 20:00:00,23.976
2016-01-02 21:00:00,2016-01-02 21:00:00,23.528
2016-01-02 22:00:00,2016-01-02 22:00:00,23.52
2016-01-02 23:00:00,2016-01-02 23:00:00,22.973
2016-01-03 00:00:00,2016-01-03 00:00:00,22.626
2016-01-03 01:00:00,2016-01-03 01:00:00,22.499
2016-01-03 02:00:00,2016-01-03 02:00:00,22.596
2016-01-03 03:00:00,2016-01-03 03:00:00,25.04
2016-01-03 04:00:00,2016-01-03 04:00:00,23.084
2016-01-03 05:00:00,2016-01-03 05:00:00,23.774
2016-01-03 06:00:00,2016-01-03 06:00:00,23.434
2016-01-03 07:00:00,2016-01-03 07:00:00,23.604
2016-01-03 08:00:00,2016-01-03 08:00:00,23.797
2016-01-03 09:00:00,2016-01-03 09:00:00,21.663
2016-01-03 10:00:00,2016-01-03 10:00:00,20.999
2016-01-03 11:00:00,2016-01-03 11:00:00,20.857
2016-01-03 12:00:00,2016-01-03 12:00:00,20.957
