timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,25.741
2016-01-01 01:00:00,2016-01-01 01:00:00,25.741
2016-01-01 02:00:00,2016-01-01 02:00:00,25.328
2016-01-01 03:00:00,2016-01-01 03:00:00,25.388
2016-01-01 04:00:00,2016-01-01 04:00:00,25.529
2016-01-01 05:00:00,2016-01-01 05:00:00,24.725
2016-01-01 06:00:00,2016-01-01 06:00:00,25.366
2016-01-01 07:00:00,2016-01-01 07:00:00,25.346
2016-01-01 08:00:00,2016-01-01 08:00:00,26.196
2016-01-01 09:00:00,2016-01-01 09:00:00,33.455
2016-01-01 10:00:00,2016-01-01 10:00:00,35.607
2016-01-01 11:00:00,2016-01-01 11:00:00,33.565
2016-01-01 12:00:00,2016-01-01 12:00:00,35.483
2016-01-01 13:00:00,2016-01-01 13:00:00,34.478
2016-01-01 14:00:00,2016-01-01 14:00:00,32.497
2016-01-01 15:00:00,2016-01-01 15:00:00,33.123
2016-01-01 16:00:00,2016-01-01 16:00:00,38.396
2016-01-01 17:00:00,2016-01-01 17:00:00,34.257
2016-01-01 18:00:00,2016-01-01 18:00:00,27.776
2016-01-01 19:00:00,2016-01-01 19:00:00,26.533
2016-01-01 20:00:00,2016-01-01 20:00:00,25.33
2016-01-01 21:00:00,2016-01-01 21:00:00,24.944
2016-01-01 22:00:00,2016-01-01 22:00:00,25.043
2016-01-01 23:00:00,2016-01-01 23:00:00,24.721
2016-01-02 00:00:00,2016-01-02 00:00:00,25.373
2016-01-02 01:00:00,2016-01-02 01:00:00,25.246
2016-01-02 02:00:00,2016-01-02 02:00:00,25.437
2016-01-02 03:00:00,2016-01-02 03:00:00,25.442
2016-01-02 04:00:00,2016-01-02 04:00:00,25.105
2016-01-02 05:00:00,2016-01-02 05:00:00,24.896
2016-01-02 06:00:00,2016-01-02 06:00:00,25.421
2016-01-02 07:00:00,2016-01-02 07:00:00,25.084
2016-01-02 08:00:00,2016-01-02 08:00:00,26.797
2016-01-02 09:00:00,2016-01-02 09:00:00,30.938
2016-01-02 10:00:00,2016-01-02 10:00:00,36.312
2016-01-02 11:00:00,2016-01-02 11:00:00,34.226
2016-01-02 12:00:00,2016-01-02 12:00:00,33.828
2016-01-02 13:00:00,2016-01-02 13:00:00,32.821
2016-01-02 14:00:00,2016-01-02 14:00:00,32.604
2016-01-02 15:00:00,2016-01-02 15:00:00,33.091
2016-01-02 16:00:00,2016-01-02 16:00:00,34.932
2016-01-02 17:00:00,2016-01-02 17:00:00,33.102
2016-01-02 18:00:00,2016-01-02 18:00:00,30.187
2016-01-02 19:00:00,2016-01-02 19:00:00,26.464
2016-01-02 20:00:00,2016-01-02 20:00:00,25.442
2016-01-02 21:00:00,2016-01-02 21:00:00,25.235
2016-01-02 22:00:00,2016-01-02 22:00:00,25.204
2016-01-02 23:00:00,2016-01-02 23:00:00,24.89
2016-01-03 00:00:00,2016-01-03 00:00:00,25.565
2016-01-03 01:00:00,2016-01-03 01:00:00,25.242
2016-01-03 02:00:00,2016-01-03 02:00:00,25.427
2016-01-03 03:00:00,2016-01-03 03:00:00,25.276
2016-01-03 04:00:00,2016-01-03 04:00:00,25.148
2016-01-03 05:00:00,2016-01-03 05:00:00,24.804
2016-01-03 06:00:00,2016-01-03 06:00:00,25.25
2016-01-03 07:00:00,2016-01-03 07:00:00,27.08
2016-01-03 08:00:00,2016-01-03 08:00:00,27.954
2016-01-03 09:00:00,2016-01-03 09:00:00,31.691
2016-01-03 10:00:00,2016-01-03 10:00:00,33.449
2016-01-03 11:00:00,2016-01-03 11:00:00,37.193
2016-01-03 12:00:00,2016-01-03 12:00:00,32.643
2016-01-03 13:00:00,2016-01-03 13:00:00,32.895
2016-01-03 14:00:00,2016-01-03 14:00:00,32.894
2016-01-03 15:00:00,2016-01-03 15:00:00,33.645
2016-01-03 16:00:00,2016-01-03 16:00:00,33.875
2016-01-03 17:00:00,2016-01-03 17:00:00,33.946
2016-01-03 18:00:00,2016-01-03 18:00:00,34.884
2016-01-03 19:00:00,2016-01-03 19:00:00,28.465
2016-01-03 20:00:00,2016-01-03 20:00:00,25.036
2016-01-03 21:00:00,2016-01-03 21:00:00,24.946
2016-01-03 22:00:00,2016-01-03 22:00:00,24.955
2016-01-03 23:00:00,2016-01-03 23:00:00,24.618
2016-01-04 00:00:00,2016-01-04 00:00:00,25.09
2016-01-04 01:00:00,2016-01-04 01:00:00,25.023
2016-01-04 02:00:00,2016-01-04 02:00:00,25.193
2016-01-04 03:00:00,2016-01-04 03:00:00,25.07
2016-01-04 04:00:00,2016-01-04 04:00:00,25.178
2016-01-04 05:00:00,2016-01-04 05:00:00,24.696
2016-01-04 06:00:00,2016-01-04 06:00:00,25.136
2016-01-04 07:00:00,2016-01-04 07:00:00,24.948
2016-01-04 08:00:00,2016-01-04 08:00:00,29.453
2016-01-04 09:00:00,2016-01-04 09:00:00,42.264
2016-01-04 10:00:00,2016-01-04 10:00:00,45.059
2016-01-04 11:00:00,2016-01-04 11:00:00,44.057
2016-01-04 12:00:00,2016-01-04 12:00:00,43.902
2016-01-04 13:00:00,2016-01-04 13:00:00,40.515
2016-01-04 14:00:00,2016-01-04 14:00:00,39.788
2016-01-04 15:00:00,2016-01-04 15:00:00,40.72
2016-01-04 16:00:00,2016-01-04 16:00:00,42.795
2016-01-04 17:00:00,2016-01-04 17:00:00,38.3
2016-01-04 18:00:00,2016-01-04 18:00:00,31.009
2016-01-04 19:00:00,2016-01-04 19:00:00,28.666
2016-01-04 20:00:00,2016-01-04 20:00:00,25.634
2016-01-04 21:00:00,2016-01-04 21:00:00,28.507
2016-01-04 22:00:00,2016-01-04 22:00:00,29.038
2016-01-04 23:00:00,2016-01-04 23:00:00,28.392
2016-01-05 00:00:00,2016-01-05 00:00:00,26.188
2016-01-05 01:00:00,2016-01-05 01:00:00,25.605
2016-01-05 02:00:00,2016-01-05 02:00:00,25.65
2016-01-05 03:00:00,2016-01-05 03:00:00,25.714
2016-01-05 04:00:00,2016-01-05 04:00:00,25.664
2016-01-05 05:00:00,2016-01-05 05:00:00,25.442
2016-01-05 06:00:00,2016-01-05 06:00:00,25.691
2016-01-05 07:00:00,2016-01-05 07:00:00,25.545
2016-01-05 08:00:00,2016-01-05 08:00:00,28.879
2016-01-05 09:00:00,2016-01-05 09:00:00,37.771
2016-01-05 10:00:00,2016-01-05 10:00:00,39.874
2016-01-05 11:00:00,2016-01-05 11:00:00,44.626
2016-01-05 12:00:00,2016-01-05 12:00:00,44.798
2016-01-05 13:00:00,2016-01-05 13:00:00,39.228
2016-01-05 14:00:00,2016-01-05 14:00:00,38.901
2016-01-05 15:00:00,2016-01-05 15:00:00,39.15
2016-01-05 16:00:00,2016-01-05 16:00:00,38.583
2016-01-05 17:00:00,2016-01-05 17:00:00,35.384
2016-01-05 18:00:00,2016-01-05 18:00:00,36.116
2016-01-05 19:00:00,2016-01-05 19:00:00,31.663
2016-01-05 20:00:00,2016-01-05 20:00:00,30.408
2016-01-05 21:00:00,2016-01-05 21:00:00,29.765
2016-01-05 22:00:00,2016-01-05 22:00:00,28.926
2016-01-05 23:00:00,2016-01-05 23:00:00,27.602
2016-01-06 00:00:00,2016-01-06 00:00:00,26.347
2016-01-06 01:00:00,2016-01-06 01:00:00,25.543
2016-01-06 02:00:00,2016-01-06 02:00:00,25.339
2016-01-06 03:00:00,2016-01-06 03:00:00,25.526
2016-01-06 04:00:00,2016-01-06 04:00:00,25.303
2016-01-06 05:00:00,2016-01-06 05:00:00,24.882
2016-01-06 06:00:00,2016-01-06 06:00:00,25.201
2016-01-06 07:00:00,2016-01-06 07:00:00,25.334
2016-01-06 08:00:00,2016-01-06 08:00:00,30.562
2016-01-06 09:00:00,2016-01-06 09:00:00,37.546
2016-01-06 10:00:00,2016-01-06 10:00:00,41.264
2016-01-06 11:00:00,2016-01-06 11:00:00,41.662
2016-01-06 12:00:00,2016-01-06 12:00:00,41.815
2016-01-06 13:00:00,2016-01-06 13:00:00,44.7
2016-01-06 14:00:00,2016-01-06 14:00:00,40.77
2016-01-06 15:00:00,2016-01-06 15:00:00,39.87
2016-01-06 16:00:00,2016-01-06 16:00:00,41.8
2016-01-06 17:00:00,2016-01-06 17:00:00,40.011
2016-01-06 18:00:00,2016-01-06 18:00:00,38.249
2016-01-06 19:00:00,2016-01-06 19:00:00,31.123
2016-01-06 20:00:00,2016-01-06 20:00:00,27.312
2016-01-06 21:00:00,2016-01-06 21:00:00,29.836
2016-01-06 22:00:00,2016-01-06 22:00:00,31.224
2016-01-06 23:00:00,2016-01-06 23:00:00,29.827
2016-01-07 00:00:00,2016-01-07 00:00:00,29.581
2016-01-07 01:00:00,2016-01-07 01:00:00,29.216
2016-01-07 02:00:00,2016-01-07 02:00:00,25.853
2016-01-07 03:00:00,2016-01-07 03:00:00,25.819
2016-01-07 04:00:00,2016-01-07 04:00:00,25.821
2016-01-07 05:00:00,2016-01-07 05:00:00,25.296
2016-01-07 06:00:00,2016-01-07 06:00:00,25.773
2016-01-07 07:00:00,2016-01-07 07:00:00,25.656
2016-01-07 08:00:00,2016-01-07 08:00:00,32.614
2016-01-07 09:00:00,2016-01-07 09:00:00,40.402
2016-01-07 10:00:00,2016-01-07 10:00:00,43.635
2016-01-07 11:00:00,2016-01-07 11:00:00,41.503
2016-01-07 12:00:00,2016-01-07 12:00:00,40.516
2016-01-07 13:00:00,2016-01-07 13:00:00,41.722
2016-01-07 14:00:00,2016-01-07 14:00:00,40.563
2016-01-07 15:00:00,2016-01-07 15:00:00,40.541
2016-01-07 16:00:00,2016-01-07 16:00:00,40.877
2016-01-07 17:00:00,2016-01-07 17:00:00,41.161
2016-01-07 18:00:00,2016-01-07 18:00:00,35.002
2016-01-07 19:00:00,2016-01-07 19:00:00,30.789
2016-01-07 20:00:00,2016-01-07 20:00:00,28.885
2016-01-07 21:00:00,2016-01-07 21:00:00,30.128
2016-01-07 22:00:00,2016-01-07 22:00:00,30.062
2016-01-07 23:00:00,2016-01-07 23:00:00,29.458
2016-01-08 00:00:00,2016-01-08 00:00:00,29.572
2016-01-08 01:00:00,2016-01-08 01:00:00,28.513
2016-01-08 02:00:00,2016-01-08 02:00:00,26.675
2016-01-08 03:00:00,2016-01-08 03:00:00,26.55
2016-01-08 04:00:00,2016-01-08 04:00:00,26.628
2016-01-08 05:00:00,2016-01-08 05:00:00,26.327
2016-01-08 06:00:00,2016-01-08 06:00:00,26.499
2016-01-08 07:00:00,2016-01-08 07:00:00,26.467
2016-01-08 08:00:00,2016-01-08 08:00:00,29.984
2016-01-08 09:00:00,2016-01-08 09:00:00,42.203
2016-01-08 10:00:00,2016-01-08 10:00:00,41.343
2016-01-08 11:00:00,2016-01-08 11:00:00,42.516
2016-01-08 12:00:00,2016-01-08 12:00:00,41.789
2016-01-08 13:00:00,2016-01-08 13:00:00,43.741
2016-01-08 14:00:00,2016-01-08 14:00:00,41.301
2016-01-08 15:00:00,2016-01-08 15:00:00,41.057
2016-01-08 16:00:00,2016-01-08 16:00:00,44.213
2016-01-08 17:00:00,2016-01-08 17:00:00,41.319
2016-01-08 18:00:00,2016-01-08 18:00:00,35.582
2016-01-08 19:00:00,2016-01-08 19:00:00,28.115
2016-01-08 20:00:00,2016-01-08 20:00:00,25.725
2016-01-08 21:00:00,2016-01-08 21:00:00,26.458
2016-01-08 22:00:00,2016-01-08 22:00:00,28.394
2016-01-08 23:00:00,2016-01-08 23:00:00,28.378
2016-01-09 00:00:00,2016-01-09 00:00:00,29.955
2016-01-09 01:00:00,2016-01-09 01:00:00,29.213
2016-01-09 02:00:00,2016-01-09 02:00:00,26.486
2016-01-09 03:00:00,2016-01-09 03:00:00,26.495
2016-01-09 04:00:00,2016-01-09 04:00:00,26.376
2016-01-09 05:00:00,2016-01-09 05:00:00,25.962
2016-01-09 06:00:00,2016-01-09 06:00:00,26.157
2016-01-09 07:00:00,2016-01-09 07:00:00,26.413
2016-01-09 08:00:00,2016-01-09 08:00:00,27.839
2016-01-09 09:00:00,2016-01-09 09:00:00,36.342
2016-01-09 10:00:00,2016-01-09 10:00:00,37.0
2016-01-09 11:00:00,2016-01-09 11:00:00,38.011
2016-01-09 12:00:00,2016-01-09 12:00:00,33.691
2016-01-09 13:00:00,2016-01-09 13:00:00,34.315
2016-01-09 14:00:00,2016-01-09 14:00:00,33.715
2016-01-09 15:00:00,2016-01-09 15:00:00,33.926
2016-01-09 16:00:00,2016-01-09 16:00:00,36.325
