timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,217.655
2016-01-01 01:00:00,2016-01-01 01:00:00,217.655
2016-01-01 02:00:00,2016-01-01 02:00:00,215.678
2016-01-01 03:00:00,2016-01-01 03:00:00,215.401
2016-01-01 04:00:00,2016-01-01 04:00:00,216.143
2016-01-01 05:00:00,2016-01-01 05:00:00,220.936
2016-01-01 06:00:00,2016-01-01 06:00:00,225.137
2016-01-01 07:00:00,2016-01-01 07:00:00,244.161
2016-01-01 08:00:00,2016-01-01 08:00:00,249.781
2016-01-01 09:00:00,2016-01-01 09:00:00,238.579
2016-01-01 10:00:00,2016-01-01 10:00:00,223.742
2016-01-01 11:00:00,2016-01-01 11:00:00,224.596
2016-01-01 12:00:00,2016-01-01 12:00:00,225.461
2016-01-01 13:00:00,2016-01-01 13:00:00,223.993
2016-01-01 14:00:00,2016-01-01 14:00:00,222.53
2016-01-01 15:00:00,2016-01-01 15:00:00,223.622
2016-01-01 16:00:00,2016-01-01 16:00:00,228.26
2016-01-01 17:00:00,2016-01-01 17:00:00,247.497
2016-01-01 18:00:00,2016-01-01 18:00:00,242.827
2016-01-01 19:00:00,2016-01-01 19:00:00,242.73
2016-01-01 20:00:00,2016-01-01 20:00:00,244.707
2016-01-01 21:00:00,2016-01-01 21:00:00,242.812
2016-01-01 22:00:00,2016-01-01 22:00:00,240.727
2016-01-01 23:00:00,2016-01-01 23:00:00,226.951
2016-01-02 00:00:00,2016-01-02 00:00:00,219.165
2016-01-02 01:00:00,2016-01-02 01:00:00,216.008
2016-01-02 02:00:00,2016-01-02 02:00:00,216.517
2016-01-02 03:00:00,2016-01-02 03:00:00,217.12
2016-01-02 04:00:00,2016-01-02 04:00:00,219.024
2016-01-02 05:00:00,2016-01-02 05:00:00,217.242
2016-01-02 06:00:00,2016-01-02 06:00:00,221.886
2016-01-02 07:00:00,2016-01-02 07:00:00,240.958
2016-01-02 08:00:00,2016-01-02 08:00:00,244.577
2016-01-02 09:00:00,2016-01-02 09:00:00,232.661
2016-01-02 10:00:00,2016-01-02 10:00:00,217.569
2016-01-02 11:00:00,2016-01-02 11:00:00,224.355
2016-01-02 12:00:00,2016-01-02 12:00:00,220.051
2016-01-02 13:00:00,2016-01-02 13:00:00,217.818
2016-01-02 14:00:00,2016-01-02 14:00:00,217.774
