timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,52.184
2016-01-01 01:00:00,2016-01-01 01:00:00,52.184
2016-01-01 02:00:00,2016-01-01 02:00:00,53.043
2016-01-01 03:00:00,2016-01-01 03:00:00,52.801
2016-01-01 04:00:00,2016-01-01 04:00:00,53.061
2016-01-01 05:00:00,2016-01-01 05:00:00,54.03
2016-01-01 06:00:00,2016-01-01 06:00:00,53.789
2016-01-01 07:00:00,2016-01-01 07:00:00,54.263
2016-01-01 08:00:00,2016-01-01 08:00:00,53.815
2016-01-01 09:00:00,2016-01-01 09:00:00,53.587
2016-01-01 10:00:00,2016-01-01 10:00:00,53.36
2016-01-01 11:00:00,2016-01-01 11:00:00,53.092
2016-01-01 12:00:00,2016-01-01 12:00:00,53.898
2016-01-01 13:00:00,2016-01-01 13:00:00,54.251
2016-01-01 14:00:00,2016-01-01 14:00:00,54.666
2016-01-01 15:00:00,2016-01-01 15:00:00,54.571
2016-01-01 16:00:00,2016-01-01 16:00:00,55.297
2016-01-01 17:00:00,2016-01-01 17:00:00,54.824
2016-01-01 18:00:00,2016-01-01 18:00:00,54.392
2016-01-01 19:00:00,2016-01-01 19:00:00,54.719
2016-01-01 20:00:00,2016-01-01 20:00:00,54.366
2016-01-01 21:00:00,2016-01-01 21:00:00,54.487
2016-01-01 22:00:00,2016-01-01 22:00:00,53.458
2016-01-01 23:00:00,2016-01-01 23:00:00,53.129
2016-01-02 00:00:00,2016-01-02 00:00:00,53.365
2016-01-02 01:00:00,2016-01-02 01:00:00,53.41
2016-01-02 02:00:00,2016-01-02 02:00:00,53.46
2016-01-02 03:00:00,2016-01-02 03:00:00,53.352
2016-01-02 04:00:00,2016-01-02 04:00:00,53.943
2016-01-02 05:00:00,2016-01-02 05:00:00,54.12
2016-01-02 06:00:00,2016-01-02 06:00:00,54.278
2016-01-02 07:00:00,2016-01-02 07:00:00,54.377
2016-01-02 08:00:00,2016-01-02 08:00:00,53.929
2016-01-02 09:00:00,2016-01-02 09:00:00,54.411
2016-01-02 10:00:00,2016-01-02 10:00:00,53.112
2016-01-02 11:00:00,2016-01-02 11:00:00,54.979
2016-01-02 12:00:00,2016-01-02 12:00:00,56.113
2016-01-02 13:00:00,2016-01-02 13:00:00,55.574
2016-01-02 14:00:00,2016-01-02 14:00:00,56.125
2016-01-02 15:00:00,2016-01-02 15:00:00,55.642
2016-01-02 16:00:00,2016-01-02 16:00:00,56.4
2016-01-02 17:00:00,2016-01-02 17:00:00,56.508
2016-01-02 18:00:00,2016-01-02 18:00:00,55.203
2016-01-02 19:00:00,2016-01-02 19:00:00,55.562
2016-01-02 20:00:00,2016-01-02 20:00:00,56.235
2016-01-02 21:00:00,2016-01-02 21:00:00,55.764
2016-01-02 22:00:00,2016-01-02 22:00:00,54.881
2016-01-02 23:00:00,2016-01-02 23:00:00,54.564
2016-01-03 00:00:00,2016-01-03 00:00:00,54.492
2016-01-03 01:00:00,2016-01-03 01:00:00,54.536
2016-01-03 02:00:00,2016-01-03 02:00:00,54.943
2016-01-03 03:00:00,2016-01-03 03:00:00,54.284
2016-01-03 04:00:00,2016-01-03 04:00:00,54.626
2016-01-03 05:00:00,2016-01-03 05:00:00,55.31
2016-01-03 06:00:00,2016-01-03 06:00:00,55.217
2016-01-03 07:00:00,2016-01-03 07:00:00,55.818
2016-01-03 08:00:00,2016-01-03 08:00:00,54.957
2016-01-03 09:00:00,2016-01-03 09:00:00,54.98
2016-01-03 10:00:00,2016-01-03 10:00:00,54.419
2016-01-03 11:00:00,2016-01-03 11:00:00,53.764
2016-01-03 12:00:00,2016-01-03 12:00:00,55.815
2016-01-03 13:00:00,2016-01-03 13:00:00,55.175
2016-01-03 14:00:00,2016-01-03 14:00:00,58.1
2016-01-03 15:00:00,2016-01-03 15:00:00,58.604
2016-01-03 16:00:00,2016-01-03 16:00:00,59.015
2016-01-03 17:00:00,2016-01-03 17:00:00,58.46
2016-01-03 18:00:00,2016-01-03 18:00:00,55.981
2016-01-03 19:00:00,2016-01-03 19:00:00,55.286
2016-01-03 20:00:00,2016-01-03 20:00:00,54.5
2016-01-03 21:00:00,2016-01-03 21:00:00,54.58
2016-01-03 22:00:00,2016-01-03 22:00:00,54.761
2016-01-03 23:00:00,2016-01-03 23:00:00,54.274
2016-01-04 00:00:00,2016-01-04 00:00:00,54.932
2016-01-04 01:00:00,2016-01-04 01:00:00,43.461
2016-01-04 02:00:00,2016-01-04 02:00:00,42.771
2016-01-04 03:00:00,2016-01-04 03:00:00,42.799
2016-01-04 04:00:00,2016-01-04 04:00:00,42.294
2016-01-04 05:00:00,2016-01-04 05:00:00,43.849
2016-01-04 06:00:00,2016-01-04 06:00:00,48.709
2016-01-04 07:00:00,2016-01-04 07:00:00,62.827
2016-01-04 08:00:00,2016-01-04 08:00:00,85.228
2016-01-04 09:00:00,2016-01-04 09:00:00,104.88
2016-01-04 10:00:00,2016-01-04 10:00:00,112.66
2016-01-04 11:00:00,2016-01-04 11:00:00,113.275
2016-01-04 12:00:00,2016-01-04 12:00:00,112.003
2016-01-04 13:00:00,2016-01-04 13:00:00,111.261
2016-01-04 14:00:00,2016-01-04 14:00:00,115.943
2016-01-04 15:00:00,2016-01-04 15:00:00,115.322
2016-01-04 16:00:00,2016-01-04 16:00:00,113.204
2016-01-04 17:00:00,2016-01-04 17:00:00,107.071
2016-01-04 18:00:00,2016-01-04 18:00:00,94.478
2016-01-04 19:00:00,2016-01-04 19:00:00,84.573
2016-01-04 20:00:00,2016-01-04 20:00:00,69.789
2016-01-04 21:00:00,2016-01-04 21:00:00,58.804
2016-01-04 22:00:00,2016-01-04 22:00:00,60.345
2016-01-04 23:00:00,2016-01-04 23:00:00,52.469
2016-01-05 00:00:00,2016-01-05 00:00:00,42.748
2016-01-05 01:00:00,2016-01-05 01:00:00,41.832
2016-01-05 02:00:00,2016-01-05 02:00:00,40.251
2016-01-05 03:00:00,2016-01-05 03:00:00,40.744
2016-01-05 04:00:00,2016-01-05 04:00:00,40.613
2016-01-05 05:00:00,2016-01-05 05:00:00,41.95
2016-01-05 06:00:00,2016-01-05 06:00:00,47.06
2016-01-05 07:00:00,2016-01-05 07:00:00,61.113
2016-01-05 08:00:00,2016-01-05 08:00:00,86.228
2016-01-05 09:00:00,2016-01-05 09:00:00,107.18
2016-01-05 10:00:00,2016-01-05 10:00:00,117.494
2016-01-05 11:00:00,2016-01-05 11:00:00,118.742
2016-01-05 12:00:00,2016-01-05 12:00:00,123.465
2016-01-05 13:00:00,2016-01-05 13:00:00,116.023
2016-01-05 14:00:00,2016-01-05 14:00:00,120.559
2016-01-05 15:00:00,2016-01-05 15:00:00,117.456
2016-01-05 16:00:00,2016-01-05 16:00:00,114.145
2016-01-05 17:00:00,2016-01-05 17:00:00,105.166
2016-01-05 18:00:00,2016-01-05 18:00:00,91.832
2016-01-05 19:00:00,2016-01-05 19:00:00,81.804
2016-01-05 20:00:00,2016-01-05 20:00:00,74.099
2016-01-05 21:00:00,2016-01-05 21:00:00,66.184
2016-01-05 22:00:00,2016-01-05 22:00:00,65.42
2016-01-05 23:00:00,2016-01-05 23:00:00,59.234
2016-01-06 00:00:00,2016-01-06 00:00:00,46.921
2016-01-06 01:00:00,2016-01-06 01:00:00,47.428
2016-01-06 02:00:00,2016-01-06 02:00:00,45.929
2016-01-06 03:00:00,2016-01-06 03:00:00,45.351
2016-01-06 04:00:00,2016-01-06 04:00:00,43.863
2016-01-06 05:00:00,2016-01-06 05:00:00,44.085
2016-01-06 06:00:00,2016-01-06 06:00:00,50.138
2016-01-06 07:00:00,2016-01-06 07:00:00,64.016
2016-01-06 08:00:00,2016-01-06 08:00:00,88.232
2016-01-06 09:00:00,2016-01-06 09:00:00,107.401
2016-01-06 10:00:00,2016-01-06 10:00:00,114.704
2016-01-06 11:00:00,2016-01-06 11:00:00,120.603
2016-01-06 12:00:00,2016-01-06 12:00:00,122.327
2016-01-06 13:00:00,2016-01-06 13:00:00,119.699
2016-01-06 14:00:00,2016-01-06 14:00:00,119.775
2016-01-06 15:00:00,2016-01-06 15:00:00,119.531
2016-01-06 16:00:00,2016-01-06 16:00:00,119.466
2016-01-06 17:00:00,2016-01-06 17:00:00,110.814
2016-01-06 18:00:00,2016-01-06 18:00:00,95.688
2016-01-06 19:00:00,2016-01-06 19:00:00,87.177
2016-01-06 20:00:00,2016-01-06 20:00:00,76.998
2016-01-06 21:00:00,2016-01-06 21:00:00,68.484
2016-01-06 22:00:00,2016-01-06 22:00:00,65.744
2016-01-06 23:00:00,2016-01-06 23:00:00,59.187
2016-01-07 00:00:00,2016-01-07 00:00:00,46.936
2016-01-07 01:00:00,2016-01-07 01:00:00,46.752
2016-01-07 02:00:00,2016-01-07 02:00:00,45.188
2016-01-07 03:00:00,2016-01-07 03:00:00,45.423
2016-01-07 04:00:00,2016-01-07 04:00:00,44.476
2016-01-07 05:00:00,2016-01-07 05:00:00,46.083
2016-01-07 06:00:00,2016-01-07 06:00:00,51.384
2016-01-07 07:00:00,2016-01-07 07:00:00,61.225
2016-01-07 08:00:00,2016-01-07 08:00:00,85.649
2016-01-07 09:00:00,2016-01-07 09:00:00,106.68
2016-01-07 10:00:00,2016-01-07 10:00:00,116.117
2016-01-07 11:00:00,2016-01-07 11:00:00,121.504
2016-01-07 12:00:00,2016-01-07 12:00:00,121.105
2016-01-07 13:00:00,2016-01-07 13:00:00,114.852
2016-01-07 14:00:00,2016-01-07 14:00:00,118.888
2016-01-07 15:00:00,2016-01-07 15:00:00,117.797
2016-01-07 16:00:00,2016-01-07 16:00:00,114.547
2016-01-07 17:00:00,2016-01-07 17:00:00,105.649
2016-01-07 18:00:00,2016-01-07 18:00:00,88.31
2016-01-07 19:00:00,2016-01-07 19:00:00,81.971
2016-01-07 20:00:00,2016-01-07 20:00:00,72.255
2016-01-07 21:00:00,2016-01-07 21:00:00,62.905
2016-01-07 22:00:00,2016-01-07 22:00:00,63.686
2016-01-07 23:00:00,2016-01-07 23:00:00,55.541
2016-01-08 00:00:00,2016-01-08 00:00:00,45.795
2016-01-08 01:00:00,2016-01-08 01:00:00,45.374
2016-01-08 02:00:00,2016-01-08 02:00:00,44.509
2016-01-08 03:00:00,2016-01-08 03:00:00,44.67
2016-01-08 04:00:00,2016-01-08 04:00:00,44.892
2016-01-08 05:00:00,2016-01-08 05:00:00,45.541
2016-01-08 06:00:00,2016-01-08 06:00:00,50.529
2016-01-08 07:00:00,2016-01-08 07:00:00,61.075
2016-01-08 08:00:00,2016-01-08 08:00:00,84.978
2016-01-08 09:00:00,2016-01-08 09:00:00,103.021
2016-01-08 10:00:00,2016-01-08 10:00:00,111.183
2016-01-08 11:00:00,2016-01-08 11:00:00,113.547
2016-01-08 12:00:00,2016-01-08 12:00:00,114.478
2016-01-08 13:00:00,2016-01-08 13:00:00,109.947
2016-01-08 14:00:00,2016-01-08 14:00:00,115.456
2016-01-08 15:00:00,2016-01-08 15:00:00,115.893
2016-01-08 16:00:00,2016-01-08 16:00:00,112.522
2016-01-08 17:00:00,2016-01-08 17:00:00,99.181
2016-01-08 18:00:00,2016-01-08 18:00:00,88.333
2016-01-08 19:00:00,2016-01-08 19:00:00,79.288
2016-01-08 20:00:00,2016-01-08 20:00:00,73.822
2016-01-08 21:00:00,2016-01-08 21:00:00,64.207
2016-01-08 22:00:00,2016-01-08 22:00:00,58.694
2016-01-08 23:00:00,2016-01-08 23:00:00,48.637
2016-01-09 00:00:00,2016-01-09 00:00:00,44.356
2016-01-09 01:00:00,2016-01-09 01:00:00,43.808
2016-01-09 02:00:00,2016-01-09 02:00:00,43.144
2016-01-09 03:00:00,2016-01-09 03:00:00,43.555
2016-01-09 04:00:00,2016-01-09 04:00:00,42.825
2016-01-09 05:00:00,2016-01-09 05:00:00,43.368
2016-01-09 06:00:00,2016-01-09 06:00:00,44.103
2016-01-09 07:00:00,2016-01-09 07:00:00,44.613
2016-01-09 08:00:00,2016-01-09 08:00:00,54.61
2016-01-09 09:00:00,2016-01-09 09:00:00,70.243
2016-01-09 10:00:00,2016-01-09 10:00:00,72.048
2016-01-09 11:00:00,2016-01-09 11:00:00,71.605
2016-01-09 12:00:00,2016-01-09 12:00:00,70.686
2016-01-09 13:00:00,2016-01-09 13:00:00,70.861
2016-01-09 14:00:00,2016-01-09 14:00:00,71.527
2016-01-09 15:00:00,2016-01-09 15:00:00,70.73
2016-01-09 16:00:00,2016-01-09 16:00:00,71.928
2016-01-09 17:00:00,2016-01-09 17:00:00,71.821
2016-01-09 18:00:00,2016-01-09 18:00:00,73.644
2016-01-09 19:00:00,2016-01-09 19:00:00,59.341
2016-01-09 20:00:00,2016-01-09 20:00:00,51.27
2016-01-09 21:00:00,2016-01-09 21:00:00,43.831
2016-01-09 22:00:00,2016-01-09 22:00:00,43.283
2016-01-09 23:00:00,2016-01-09 23:00:00,41.89
2016-01-10 00:00:00,2016-01-10 00:00:00,42.71
2016-01-10 01:00:00,2016-01-10 01:00:00,42.145
2016-01-10 02:00:00,2016-01-10 02:00:00,42.193
2016-01-10 03:00:00,2016-01-10 03:00:00,42.376
2016-01-10 04:00:00,2016-01-10 04:00:00,41.984
2016-01-10 05:00:00,2016-01-10 05:00:00,44.061
2016-01-10 06:00:00,2016-01-10 06:00:00,42.924
2016-01-10 07:00:00,2016-01-10 07:00:00,43.211
2016-01-10 08:00:00,2016-01-10 08:00:00,53.947
2016-01-10 09:00:00,2016-01-10 09:00:00,69.253
2016-01-10 10:00:00,2016-01-10 10:00:00,70.371
2016-01-10 11:00:00,2016-01-10 11:00:00,70.953
2016-01-10 12:00:00,2016-01-10 12:00:00,70.501
2016-01-10 13:00:00,2016-01-10 13:00:00,71.968
2016-01-10 14:00:00,2016-01-10 14:00:00,70.723
2016-01-10 15:00:00,2016-01-10 15:00:00,73.223
2016-01-10 16:00:00,2016-01-10 16:00:00,73.393
2016-01-10 17:00:00,2016-01-10 17:00:00,72.305
2016-01-10 18:00:00,2016-01-10 18:00:00,71.996
2016-01-10 19:00:00,2016-01-10 19:00:00,55.604
