timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,128.344
2016-01-01 01:00:00,2016-01-01 01:00:00,128.344
2016-01-01 02:00:00,2016-01-01 02:00:00,126.307
2016-01-01 03:00:00,2016-01-01 03:00:00,126.361
2016-01-01 04:00:00,2016-01-01 04:00:00,125.08
2016-01-01 05:00:00,2016-01-01 05:00:00,127.131
2016-01-01 06:00:00,2016-01-01 06:00:00,124.962
2016-01-01 07:00:00,2016-01-01 07:00:00,135.905
2016-01-01 08:00:00,2016-01-01 08:00:00,141.713
2016-01-01 09:00:00,2016-01-01 09:00:00,136.957
2016-01-01 10:00:00,2016-01-01 10:00:00,135.308
2016-01-01 11:00:00,2016-01-01 11:00:00,137.289
2016-01-01 12:00:00,2016-01-01 12:00:00,137.026
2016-01-01 13:00:00,2016-01-01 13:00:00,136.422
2016-01-01 14:00:00,2016-01-01 14:00:00,134.504
2016-01-01 15:00:00,2016-01-01 15:00:00,134.707
2016-01-01 16:00:00,2016-01-01 16:00:00,134.872
2016-01-01 17:00:00,2016-01-01 17:00:00,137.865
2016-01-01 18:00:00,2016-01-01 18:00:00,138.227
2016-01-01 19:00:00,2016-01-01 19:00:00,138.036
2016-01-01 20:00:00,2016-01-01 20:00:00,141.346
2016-01-01 21:00:00,2016-01-01 21:00:00,141.921
2016-01-01 22:00:00,2016-01-01 22:00:00,139.819
2016-01-01 23:00:00,2016-01-01 23:00:00,131.836
2016-01-02 00:00:00,2016-01-02 00:00:00,131.548
2016-01-02 01:00:00,2016-01-02 01:00:00,122.033
2016-01-02 02:00:00,2016-01-02 02:00:00,123.245
2016-01-02 03:00:00,2016-01-02 03:00:00,123.127
2016-01-02 04:00:00,2016-01-02 04:00:00,121.958
2016-01-02 05:00:00,2016-01-02 05:00:00,124.382
2016-01-02 06:00:00,2016-01-02 06:00:00,120.899
2016-01-02 07:00:00,2016-01-02 07:00:00,131.046
2016-01-02 08:00:00,2016-01-02 08:00:00,137.485
2016-01-02 09:00:00,2016-01-02 09:00:00,131.251
2016-01-02 10:00:00,2016-01-02 10:00:00,131.918
2016-01-02 11:00:00,2016-01-02 11:00:00,134.05
2016-01-02 12:00:00,2016-01-02 12:00:00,136.591
2016-01-02 13:00:00,2016-01-02 13:00:00,137.376
2016-01-02 14:00:00,2016-01-02 14:00:00,137.287
2016-01-02 15:00:00,2016-01-02 15:00:00,137.043
2016-01-02 16:00:00,2016-01-02 16:00:00,137.627
2016-01-02 17:00:00,2016-01-02 17:00:00,139.774
2016-01-02 18:00:00,2016-01-02 18:00:00,144.309
2016-01-02 19:00:00,2016-01-02 19:00:00,139.594
2016-01-02 20:00:00,2016-01-02 20:00:00,139.838
2016-01-02 21:00:00,2016-01-02 21:00:00,138.868
2016-01-02 22:00:00,2016-01-02 22:00:00,132.061
2016-01-02 23:00:00,2016-01-02 23:00:00,127.117
2016-01-03 00:00:00,2016-01-03 00:00:00,123.832
2016-01-03 01:00:00,2016-01-03 01:00:00,121.633
2016-01-03 02:00:00,2016-01-03 02:00:00,121.629
2016-01-03 03:00:00,2016-01-03 03:00:00,121.597
