timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,21.373
2016-01-01 01:00:00,2016-01-01 01:00:00,21.373
2016-01-01 02:00:00,2016-01-01 02:00:00,21.26
2016-01-01 03:00:00,2016-01-01 03:00:00,21.773
2016-01-01 04:00:00,2016-01-01 04:00:00,23.758
2016-01-01 05:00:00,2016-01-01 05:00:00,21.343
2016-01-01 06:00:00,2016-01-01 06:00:00,21.351
2016-01-01 07:00:00,2016-01-01 07:00:00,21.445
2016-01-01 08:00:00,2016-01-01 08:00:00,21.388
2016-01-01 09:00:00,2016-01-01 09:00:00,20.676
2016-01-01 10:00:00,2016-01-01 10:00:00,21.128
2016-01-01 11:00:00,2016-01-01 11:00:00,19.996
2016-01-01 12:00:00,2016-01-01 12:00:00,20.017
2016-01-01 13:00:00,2016-01-01 13:00:00,22.338
2016-01-01 14:00:00,2016-01-01 14:00:00,19.994
2016-01-01 15:00:00,2016-01-01 15:00:00,20.012
2016-01-01 16:00:00,2016-01-01 16:00:00,19.825
2016-01-01 17:00:00,2016-01-01 17:00:00,20.643
2016-01-01 18:00:00,2016-01-01 18:00:00,20.966
2016-01-01 19:00:00,2016-01-01 19:00:00,21.227
2016-01-01 20:00:00,2016-01-01 20:00:00,21.76
2016-01-01 21:00:00,2016-01-01 21:00:00,21.617
2016-01-01 22:00:00,2016-01-01 22:00:00,24.188
2016-01-01 23:00:00,2016-01-01 23:00:00,21.184
2016-01-02 00:00:00,2016-01-02 00:00:00,21.197
2016-01-02 01:00:00,2016-01-02 01:00:00,21.223
2016-01-02 02:00:00,2016-01-02 02:00:00,21.214
2016-01-02 03:00:00,2016-01-02 03:00:00,21.203
2016-01-02 04:00:00,2016-01-02 04:00:00,21.257
2016-01-02 05:00:00,2016-01-02 05:00:00,21.329
2016-01-02 06:00:00,2016-01-02 06:00:00,21.255
2016-01-02 07:00:00,2016-01-02 07:00:00,23.258
2016-01-02 08:00:00,2016-01-02 08:00:00,21.43
2016-01-02 09:00:00,2016-01-02 09:00:00,20.487
2016-01-02 10:00:00,2016-01-02 10:00:00,20.835
2016-01-02 11:00:00,2016-01-02 11:00:00,20.3
2016-01-02 12:00:00,2016-01-02 12:00:00,19.849
2016-01-02 13:00:00,2016-01-02 13:00:00,20.065
2016-01-02 14:00:00,2016-01-02 14:00:00,20.386
2016-01-02 15:00:00,2016-01-02 15:00:00,19.814
2016-01-02 16:00:00,2016-01-02 16:00:00,20.933
2016-01-02 17:00:00,2016-01-02 17:00:00,21.203
2016-01-02 18:00:00,2016-01-02 18:00:00,21.534
2016-01-02 19:00:00,2016-01-02 19:00:00,21.32
2016-01-02 20:00:00,2016-01-02 20:00:00,21.67
2016-01-02 21:00:00,2016-01-02 21:00:00,21.754
2016-01-02 22:00:00,2016-01-02 22:00:00,21.615
2016-01-02 23:00:00,2016-01-02 23:00:00,21.084
2016-01-03 00:00:00,2016-01-03 00:00:00,21.229
2016-01-03 01:00:00,2016-01-03 01:00:00,21.338
2016-01-03 02:00:00,2016-01-03 02:00:00,23.704
2016-01-03 03:00:00,2016-01-03 03:00:00,21.254
2016-01-03 04:00:00,2016-01-03 04:00:00,21.153
2016-01-03 05:00:00,2016-01-03 05:00:00,21.121
2016-01-03 06:00:00,2016-01-03 06:00:00,21.397
2016-01-03 07:00:00,2016-01-03 07:00:00,21.196
2016-01-03 08:00:00,2016-01-03 08:00:00,21.296
2016-01-03 09:00:00,2016-01-03 09:00:00,20.402
2016-01-03 10:00:00,2016-01-03 10:00:00,20.356
2016-01-03 11:00:00,2016-01-03 11:00:00,21.769
2016-01-03 12:00:00,2016-01-03 12:00:00,20.496
2016-01-03 13:00:00,2016-01-03 13:00:00,19.837
2016-01-03 14:00:00,2016-01-03 14:00:00,19.893
2016-01-03 15:00:00,2016-01-03 15:00:00,19.949
2016-01-03 16:00:00,2016-01-03 16:00:00,19.937
2016-01-03 17:00:00,2016-01-03 17:00:00,19.817
2016-01-03 18:00:00,2016-01-03 18:00:00,20.891
2016-01-03 19:00:00,2016-01-03 19:00:00,21.316
2016-01-03 20:00:00,2016-01-03 20:00:00,22.455
2016-01-03 21:00:00,2016-01-03 21:00:00,23.672
2016-01-03 22:00:00,2016-01-03 22:00:00,21.66
2016-01-03 23:00:00,2016-01-03 23:00:00,21.246
2016-01-04 00:00:00,2016-01-04 00:00:00,21.355
2016-01-04 01:00:00,2016-01-04 01:00:00,21.314
2016-01-04 02:00:00,2016-01-04 02:00:00,21.361
2016-01-04 03:00:00,2016-01-04 03:00:00,21.33
2016-01-04 04:00:00,2016-01-04 04:00:00,21.362
2016-01-04 05:00:00,2016-01-04 05:00:00,21.297
2016-01-04 06:00:00,2016-01-04 06:00:00,23.715
2016-01-04 07:00:00,2016-01-04 07:00:00,21.422
2016-01-04 08:00:00,2016-01-04 08:00:00,20.875
2016-01-04 09:00:00,2016-01-04 09:00:00,20.359
2016-01-04 10:00:00,2016-01-04 10:00:00,20.528
2016-01-04 11:00:00,2016-01-04 11:00:00,20.0
2016-01-04 12:00:00,2016-01-04 12:00:00,20.21
2016-01-04 13:00:00,2016-01-04 13:00:00,19.809
2016-01-04 14:00:00,2016-01-04 14:00:00,19.888
2016-01-04 15:00:00,2016-01-04 15:00:00,22.453
2016-01-04 16:00:00,2016-01-04 16:00:00,20.051
2016-01-04 17:00:00,2016-01-04 17:00:00,19.975
2016-01-04 18:00:00,2016-01-04 18:00:00,21.115
2016-01-04 19:00:00,2016-01-04 19:00:00,21.277
2016-01-04 20:00:00,2016-01-04 20:00:00,21.747
2016-01-04 21:00:00,2016-01-04 21:00:00,21.798
2016-01-04 22:00:00,2016-01-04 22:00:00,21.682
2016-01-04 23:00:00,2016-01-04 23:00:00,21.27
2016-01-05 00:00:00,2016-01-05 00:00:00,21.674
2016-01-05 01:00:00,2016-01-05 01:00:00,23.598
2016-01-05 02:00:00,2016-01-05 02:00:00,21.823
2016-01-05 03:00:00,2016-01-05 03:00:00,21.264
2016-01-05 04:00:00,2016-01-05 04:00:00,21.363
2016-01-05 05:00:00,2016-01-05 05:00:00,21.343
2016-01-05 06:00:00,2016-01-05 06:00:00,21.214
2016-01-05 07:00:00,2016-01-05 07:00:00,21.328
2016-01-05 08:00:00,2016-01-05 08:00:00,20.897
2016-01-05 09:00:00,2016-01-05 09:00:00,20.512
2016-01-05 10:00:00,2016-01-05 10:00:00,23.052
2016-01-05 11:00:00,2016-01-05 11:00:00,21.32
