timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,28.284
2016-01-01 01:00:00,2016-01-01 01:00:00,28.284
2016-01-01 02:00:00,2016-01-01 02:00:00,29.069
2016-01-01 03:00:00,2016-01-01 03:00:00,28.195
2016-01-01 04:00:00,2016-01-01 04:00:00,28.028
2016-01-01 05:00:00,2016-01-01 05:00:00,28.216
2016-01-01 06:00:00,2016-01-01 06:00:00,28.07
2016-01-01 07:00:00,2016-01-01 07:00:00,30.165
2016-01-01 08:00:00,2016-01-01 08:00:00,31.141
2016-01-01 09:00:00,2016-01-01 09:00:00,30.499
2016-01-01 10:00:00,2016-01-01 10:00:00,29.071
2016-01-01 11:00:00,2016-01-01 11:00:00,28.875
2016-01-01 12:00:00,2016-01-01 12:00:00,28.641
2016-01-01 13:00:00,2016-01-01 13:00:00,28.344
2016-01-01 14:00:00,2016-01-01 14:00:00,28.281
2016-01-01 15:00:00,2016-01-01 15:00:00,28.335
2016-01-01 16:00:00,2016-01-01 16:00:00,28.224
2016-01-01 17:00:00,2016-01-01 17:00:00,26.868
2016-01-01 18:00:00,2016-01-01 18:00:00,33.248
2016-01-01 19:00:00,2016-01-01 19:00:00,38.221
2016-01-01 20:00:00,2016-01-01 20:00:00,39.402
2016-01-01 21:00:00,2016-01-01 21:00:00,29.568
2016-01-01 22:00:00,2016-01-01 22:00:00,28.188
2016-01-01 23:00:00,2016-01-01 23:00:00,28.071
2016-01-02 00:00:00,2016-01-02 00:00:00,27.974
2016-01-02 01:00:00,2016-01-02 01:00:00,28.042
2016-01-02 02:00:00,2016-01-02 02:00:00,28.27
2016-01-02 03:00:00,2016-01-02 03:00:00,27.994
2016-01-02 04:00:00,2016-01-02 04:00:00,27.759
2016-01-02 05:00:00,2016-01-02 05:00:00,28.28
2016-01-02 06:00:00,2016-01-02 06:00:00,27.87
2016-01-02 07:00:00,2016-01-02 07:00:00,29.486
2016-01-02 08:00:00,2016-01-02 08:00:00,29.211
2016-01-02 09:00:00,2016-01-02 09:00:00,29.694
2016-01-02 10:00:00,2016-01-02 10:00:00,29.567
2016-01-02 11:00:00,2016-01-02 11:00:00,29.151
2016-01-02 12:00:00,2016-01-02 12:00:00,28.927
2016-01-02 13:00:00,2016-01-02 13:00:00,28.652
2016-01-02 14:00:00,2016-01-02 14:00:00,28.621
2016-01-02 15:00:00,2016-01-02 15:00:00,28.287
2016-01-02 16:00:00,2016-01-02 16:00:00,28.101
2016-01-02 17:00:00,2016-01-02 17:00:00,26.42
2016-01-02 18:00:00,2016-01-02 18:00:00,32.609
2016-01-02 19:00:00,2016-01-02 19:00:00,30.267
2016-01-02 20:00:00,2016-01-02 20:00:00,29.192
2016-01-02 21:00:00,2016-01-02 21:00:00,28.145
