timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,30.327
2016-01-01 01:00:00,2016-01-01 01:00:00,30.327
2016-01-01 02:00:00,2016-01-01 02:00:00,30.19
2016-01-01 03:00:00,2016-01-01 03:00:00,30.358
2016-01-01 04:00:00,2016-01-01 04:00:00,29.875
2016-01-01 05:00:00,2016-01-01 05:00:00,29.315
2016-01-01 06:00:00,2016-01-01 06:00:00,29.005
2016-01-01 07:00:00,2016-01-01 07:00:00,29.233
2016-01-01 08:00:00,2016-01-01 08:00:00,29.062
2016-01-01 09:00:00,2016-01-01 09:00:00,28.861
2016-01-01 10:00:00,2016-01-01 10:00:00,29.271
2016-01-01 11:00:00,2016-01-01 11:00:00,29.257
2016-01-01 12:00:00,2016-01-01 12:00:00,29.406
2016-01-01 13:00:00,2016-01-01 13:00:00,29.837
2016-01-01 14:00:00,2016-01-01 14:00:00,29.859
2016-01-01 15:00:00,2016-01-01 15:00:00,30.418
2016-01-01 16:00:00,2016-01-01 16:00:00,29.653
2016-01-01 17:00:00,2016-01-01 17:00:00,29.827
2016-01-01 18:00:00,2016-01-01 18:00:00,30.28
2016-01-01 19:00:00,2016-01-01 19:00:00,30.013
2016-01-01 20:00:00,2016-01-01 20:00:00,29.463
2016-01-01 21:00:00,2016-01-01 21:00:00,29.849
2016-01-01 22:00:00,2016-01-01 22:00:00,29.461
2016-01-01 23:00:00,2016-01-01 23:00:00,29.75
2016-01-02 00:00:00,2016-01-02 00:00:00,30.033
2016-01-02 01:00:00,2016-01-02 01:00:00,29.307
2016-01-02 02:00:00,2016-01-02 02:00:00,29.743
2016-01-02 03:00:00,2016-01-02 03:00:00,29.658
2016-01-02 04:00:00,2016-01-02 04:00:00,29.117
2016-01-02 05:00:00,2016-01-02 05:00:00,30.056
2016-01-02 06:00:00,2016-01-02 06:00:00,29.143
2016-01-02 07:00:00,2016-01-02 07:00:00,29.654
2016-01-02 08:00:00,2016-01-02 08:00:00,29.376
2016-01-02 09:00:00,2016-01-02 09:00:00,29.22
2016-01-02 10:00:00,2016-01-02 10:00:00,29.094
2016-01-02 11:00:00,2016-01-02 11:00:00,28.97
2016-01-02 12:00:00,2016-01-02 12:00:00,29.846
2016-01-02 13:00:00,2016-01-02 13:00:00,29.947
2016-01-02 14:00:00,2016-01-02 14:00:00,30.8
2016-01-02 15:00:00,2016-01-02 15:00:00,30.494
2016-01-02 16:00:00,2016-01-02 16:00:00,30.94
2016-01-02 17:00:00,2016-01-02 17:00:00,29.373
2016-01-02 18:00:00,2016-01-02 18:00:00,29.325
2016-01-02 19:00:00,2016-01-02 19:00:00,29.605
2016-01-02 20:00:00,2016-01-02 20:00:00,29.846
2016-01-02 21:00:00,2016-01-02 21:00:00,29.388
2016-01-02 22:00:00,2016-01-02 22:00:00,29.609
2016-01-02 23:00:00,2016-01-02 23:00:00,29.642
2016-01-03 00:00:00,2016-01-03 00:00:00,29.973
2016-01-03 01:00:00,2016-01-03 01:00:00,29.134
2016-01-03 02:00:00,2016-01-03 02:00:00,29.951
2016-01-03 03:00:00,2016-01-03 03:00:00,29.714
2016-01-03 04:00:00,2016-01-03 04:00:00,29.745
2016-01-03 05:00:00,2016-01-03 05:00:00,29.488
2016-01-03 06:00:00,2016-01-03 06:00:00,29.527
2016-01-03 07:00:00,2016-01-03 07:00:00,29.552
2016-01-03 08:00:00,2016-01-03 08:00:00,29.183
2016-01-03 09:00:00,2016-01-03 09:00:00,29.316
2016-01-03 10:00:00,2016-01-03 10:00:00,29.008
2016-01-03 11:00:00,2016-01-03 11:00:00,29.567
2016-01-03 12:00:00,2016-01-03 12:00:00,29.492
2016-01-03 13:00:00,2016-01-03 13:00:00,29.462
2016-01-03 14:00:00,2016-01-03 14:00:00,29.844
2016-01-03 15:00:00,2016-01-03 15:00:00,29.929
2016-01-03 16:00:00,2016-01-03 16:00:00,29.548
2016-01-03 17:00:00,2016-01-03 17:00:00,29.824
2016-01-03 18:00:00,2016-01-03 18:00:00,29.295
2016-01-03 19:00:00,2016-01-03 19:00:00,29.654
2016-01-03 20:00:00,2016-01-03 20:00:00,29.068
2016-01-03 21:00:00,2016-01-03 21:00:00,29.214
2016-01-03 22:00:00,2016-01-03 22:00:00,28.925
2016-01-03 23:00:00,2016-01-03 23:00:00,29.323
2016-01-04 00:00:00,2016-01-04 00:00:00,28.863
2016-01-04 01:00:00,2016-01-04 01:00:00,28.872
2016-01-04 02:00:00,2016-01-04 02:00:00,29.136
2016-01-04 03:00:00,2016-01-04 03:00:00,28.433
2016-01-04 04:00:00,2016-01-04 04:00:00,29.001
2016-01-04 05:00:00,2016-01-04 05:00:00,29.032
2016-01-04 06:00:00,2016-01-04 06:00:00,29.094
2016-01-04 07:00:00,2016-01-04 07:00:00,29.028
2016-01-04 08:00:00,2016-01-04 08:00:00,28.533
2016-01-04 09:00:00,2016-01-04 09:00:00,30.71
2016-01-04 10:00:00,2016-01-04 10:00:00,34.51
2016-01-04 11:00:00,2016-01-04 11:00:00,40.083
2016-01-04 12:00:00,2016-01-04 12:00:00,43.523
2016-01-04 13:00:00,2016-01-04 13:00:00,43.528
2016-01-04 14:00:00,2016-01-04 14:00:00,45.28
2016-01-04 15:00:00,2016-01-04 15:00:00,45.008
2016-01-04 16:00:00,2016-01-04 16:00:00,42.094
2016-01-04 17:00:00,2016-01-04 17:00:00,41.147
2016-01-04 18:00:00,2016-01-04 18:00:00,36.717
2016-01-04 19:00:00,2016-01-04 19:00:00,32.122
2016-01-04 20:00:00,2016-01-04 20:00:00,31.2
2016-01-04 21:00:00,2016-01-04 21:00:00,30.694
2016-01-04 22:00:00,2016-01-04 22:00:00,30.994
2016-01-04 23:00:00,2016-01-04 23:00:00,30.678
2016-01-05 00:00:00,2016-01-05 00:00:00,30.862
2016-01-05 01:00:00,2016-01-05 01:00:00,30.696
2016-01-05 02:00:00,2016-01-05 02:00:00,30.465
2016-01-05 03:00:00,2016-01-05 03:00:00,30.72
2016-01-05 04:00:00,2016-01-05 04:00:00,30.294
2016-01-05 05:00:00,2016-01-05 05:00:00,30.501
2016-01-05 06:00:00,2016-01-05 06:00:00,31.234
2016-01-05 07:00:00,2016-01-05 07:00:00,31.919
2016-01-05 08:00:00,2016-01-05 08:00:00,29.028
2016-01-05 09:00:00,2016-01-05 09:00:00,30.987
2016-01-05 10:00:00,2016-01-05 10:00:00,35.597
2016-01-05 11:00:00,2016-01-05 11:00:00,42.2
2016-01-05 12:00:00,2016-01-05 12:00:00,44.328
2016-01-05 13:00:00,2016-01-05 13:00:00,42.26
2016-01-05 14:00:00,2016-01-05 14:00:00,41.542
2016-01-05 15:00:00,2016-01-05 15:00:00,40.852
2016-01-05 16:00:00,2016-01-05 16:00:00,39.239
2016-01-05 17:00:00,2016-01-05 17:00:00,35.219
2016-01-05 18:00:00,2016-01-05 18:00:00,29.916
2016-01-05 19:00:00,2016-01-05 19:00:00,28.954
2016-01-05 20:00:00,2016-01-05 20:00:00,27.956
2016-01-05 21:00:00,2016-01-05 21:00:00,27.409
2016-01-05 22:00:00,2016-01-05 22:00:00,27.802
2016-01-05 23:00:00,2016-01-05 23:00:00,27.247
2016-01-06 00:00:00,2016-01-06 00:00:00,27.333
2016-01-06 01:00:00,2016-01-06 01:00:00,27.134
2016-01-06 02:00:00,2016-01-06 02:00:00,27.162
2016-01-06 03:00:00,2016-01-06 03:00:00,27.683
2016-01-06 04:00:00,2016-01-06 04:00:00,27.426
2016-01-06 05:00:00,2016-01-06 05:00:00,27.586
2016-01-06 06:00:00,2016-01-06 06:00:00,26.889
2016-01-06 07:00:00,2016-01-06 07:00:00,28.349
2016-01-06 08:00:00,2016-01-06 08:00:00,27.205
2016-01-06 09:00:00,2016-01-06 09:00:00,29.391
2016-01-06 10:00:00,2016-01-06 10:00:00,35.027
2016-01-06 11:00:00,2016-01-06 11:00:00,42.94
2016-01-06 12:00:00,2016-01-06 12:00:00,44.918
2016-01-06 13:00:00,2016-01-06 13:00:00,43.79
2016-01-06 14:00:00,2016-01-06 14:00:00,44.112
2016-01-06 15:00:00,2016-01-06 15:00:00,44.957
2016-01-06 16:00:00,2016-01-06 16:00:00,43.707
2016-01-06 17:00:00,2016-01-06 17:00:00,41.771
2016-01-06 18:00:00,2016-01-06 18:00:00,33.911
2016-01-06 19:00:00,2016-01-06 19:00:00,31.949
2016-01-06 20:00:00,2016-01-06 20:00:00,31.523
2016-01-06 21:00:00,2016-01-06 21:00:00,30.57
2016-01-06 22:00:00,2016-01-06 22:00:00,31.243
2016-01-06 23:00:00,2016-01-06 23:00:00,31.039
2016-01-07 00:00:00,2016-01-07 00:00:00,31.316
2016-01-07 01:00:00,2016-01-07 01:00:00,31.059
2016-01-07 02:00:00,2016-01-07 02:00:00,30.799
2016-01-07 03:00:00,2016-01-07 03:00:00,31.196
2016-01-07 04:00:00,2016-01-07 04:00:00,30.777
2016-01-07 05:00:00,2016-01-07 05:00:00,30.749
2016-01-07 06:00:00,2016-01-07 06:00:00,31.17
2016-01-07 07:00:00,2016-01-07 07:00:00,31.076
2016-01-07 08:00:00,2016-01-07 08:00:00,31.477
2016-01-07 09:00:00,2016-01-07 09:00:00,31.826
2016-01-07 10:00:00,2016-01-07 10:00:00,34.834
2016-01-07 11:00:00,2016-01-07 11:00:00,38.984
2016-01-07 12:00:00,2016-01-07 12:00:00,39.961
2016-01-07 13:00:00,2016-01-07 13:00:00,39.877
2016-01-07 14:00:00,2016-01-07 14:00:00,43.859
2016-01-07 15:00:00,2016-01-07 15:00:00,42.065
2016-01-07 16:00:00,2016-01-07 16:00:00,39.909
2016-01-07 17:00:00,2016-01-07 17:00:00,39.062
2016-01-07 18:00:00,2016-01-07 18:00:00,34.995
2016-01-07 19:00:00,2016-01-07 19:00:00,33.231
2016-01-07 20:00:00,2016-01-07 20:00:00,32.851
2016-01-07 21:00:00,2016-01-07 21:00:00,32.842
2016-01-07 22:00:00,2016-01-07 22:00:00,33.272
2016-01-07 23:00:00,2016-01-07 23:00:00,33.555
2016-01-08 00:00:00,2016-01-08 00:00:00,32.796
2016-01-08 01:00:00,2016-01-08 01:00:00,33.226
2016-01-08 02:00:00,2016-01-08 02:00:00,32.667
2016-01-08 03:00:00,2016-01-08 03:00:00,32.661
2016-01-08 04:00:00,2016-01-08 04:00:00,33.011
2016-01-08 05:00:00,2016-01-08 05:00:00,32.625
2016-01-08 06:00:00,2016-01-08 06:00:00,32.517
2016-01-08 07:00:00,2016-01-08 07:00:00,32.672
2016-01-08 08:00:00,2016-01-08 08:00:00,33.177
2016-01-08 09:00:00,2016-01-08 09:00:00,32.962
2016-01-08 10:00:00,2016-01-08 10:00:00,36.46
2016-01-08 11:00:00,2016-01-08 11:00:00,39.311
2016-01-08 12:00:00,2016-01-08 12:00:00,40.342
2016-01-08 13:00:00,2016-01-08 13:00:00,43.237
2016-01-08 14:00:00,2016-01-08 14:00:00,41.413
2016-01-08 15:00:00,2016-01-08 15:00:00,40.237
2016-01-08 16:00:00,2016-01-08 16:00:00,40.235
2016-01-08 17:00:00,2016-01-08 17:00:00,39.664
2016-01-08 18:00:00,2016-01-08 18:00:00,35.195
2016-01-08 19:00:00,2016-01-08 19:00:00,33.735
2016-01-08 20:00:00,2016-01-08 20:00:00,31.474
2016-01-08 21:00:00,2016-01-08 21:00:00,31.527
2016-01-08 22:00:00,2016-01-08 22:00:00,31.542
2016-01-08 23:00:00,2016-01-08 23:00:00,32.766
2016-01-09 00:00:00,2016-01-09 00:00:00,31.477
2016-01-09 01:00:00,2016-01-09 01:00:00,31.76
2016-01-09 02:00:00,2016-01-09 02:00:00,30.858
2016-01-09 03:00:00,2016-01-09 03:00:00,30.687
2016-01-09 04:00:00,2016-01-09 04:00:00,30.639
2016-01-09 05:00:00,2016-01-09 05:00:00,31.322
2016-01-09 06:00:00,2016-01-09 06:00:00,30.535
2016-01-09 07:00:00,2016-01-09 07:00:00,30.81
2016-01-09 08:00:00,2016-01-09 08:00:00,30.348
2016-01-09 09:00:00,2016-01-09 09:00:00,30.232
2016-01-09 10:00:00,2016-01-09 10:00:00,30.697
2016-01-09 11:00:00,2016-01-09 11:00:00,30.396
2016-01-09 12:00:00,2016-01-09 12:00:00,30.166
2016-01-09 13:00:00,2016-01-09 13:00:00,30.843
2016-01-09 14:00:00,2016-01-09 14:00:00,30.596
2016-01-09 15:00:00,2016-01-09 15:00:00,30.972
2016-01-09 16:00:00,2016-01-09 16:00:00,29.7
2016-01-09 17:00:00,2016-01-09 17:00:00,29.376
2016-01-09 18:00:00,2016-01-09 18:00:00,30.407
2016-01-09 19:00:00,2016-01-09 19:00:00,29.647
2016-01-09 20:00:00,2016-01-09 20:00:00,30.007
2016-01-09 21:00:00,2016-01-09 21:00:00,29.771
2016-01-09 22:00:00,2016-01-09 22:00:00,29.58
2016-01-09 23:00:00,2016-01-09 23:00:00,30.073
2016-01-10 00:00:00,2016-01-10 00:00:00,29.481
2016-01-10 01:00:00,2016-01-10 01:00:00,30.128
2016-01-10 02:00:00,2016-01-10 02:00:00,29.664
2016-01-10 03:00:00,2016-01-10 03:00:00,29.71
2016-01-10 04:00:00,2016-01-10 04:00:00,29.721
2016-01-10 05:00:00,2016-01-10 05:00:00,29.703
2016-01-10 06:00:00,2016-01-10 06:00:00,29.81
2016-01-10 07:00:00,2016-01-10 07:00:00,30.406
